genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
WT,ID01,64.31137458,145.6809416,-145.6809416,0,0,0,dark
WT,ID01,64.08508629,145.922889,-145.922889,-0.22628829,-0.2419474,1,dark
WT,ID01,63.89381153,146.1382458,-146.1382458,-0.41756305,-0.4573042,2,dark
WT,ID01,63.46656986,146.4338306,-146.4338306,-0.84480472,-0.752889,3,dark
WT,ID01,63.28436283,146.5168584,-146.5168584,-1.02701175,-0.8359168,4,dark
WT,ID01,62.94091117,147.0066316,-147.0066316,-1.37046341,-1.32569,5,dark
WT,ID01,62.73322281,147.1895461,-147.1895461,-1.57815177,-1.5086045,6,dark
WT,ID01,62.45507466,147.5066274,-147.5066274,-1.85629992,-1.8256858,7,dark
WT,ID01,62.13886953,147.7902131,-147.7902131,-2.17250505,-2.1092715,8,dark
WT,ID01,62.04229854,148.0142735,-148.0142735,-2.26907604,-2.3333319,9,dark
WT,ID01,61.75235268,148.1798587,-148.1798587,-2.5590219,-2.4989171,10,dark
WT,ID01,61.42800444,148.535721,-148.535721,-2.88337014,-2.8547794,11,dark
WT,ID01,61.05885109,148.9437313,-148.9437313,-3.25252349,-3.2627897,12,dark
WT,ID01,60.92709835,149.1811216,-149.1811216,-3.38427623,-3.50018,13,dark
WT,ID01,60.45643494,149.5243481,-149.5243481,-3.85493964,-3.8434065,14,dark
WT,ID01,60.20131517,149.797528,-149.797528,-4.11005941,-4.1165864,15,dark
WT,ID01,59.96583943,150.1676138,-150.1676138,-4.34553515,-4.4866722,16,dark
WT,ID01,59.84468095,150.4962574,-150.4962574,-4.46669363,-4.8153158,17,dark
WT,ID01,59.35727406,150.738297,-150.738297,-4.95410052,-5.0573554,18,dark
WT,ID01,59.12076639,150.9760574,-150.9760574,-5.19060819,-5.2951158,19,dark
WT,ID01,58.96280168,151.3005711,-151.3005711,-5.3485729,-5.6196295,20,dark
WT,ID01,58.60557879,151.461808,-151.461808,-5.70579579,-5.7808664,21,dark
WT,ID01,58.37619919,151.8483997,-151.8483997,-5.93517539,-6.1674581,22,dark
WT,ID01,58.10101958,152.0673466,-152.0673466,-6.210355,-6.386405,23,dark
WT,ID01,57.92137062,152.1735102,-152.1735102,-6.39000396,-6.4925686,24,dark
WT,ID01,57.52507797,152.4195707,-152.4195707,-6.78629661,-6.7386291,25,dark
WT,ID01,57.25640284,152.443879,-152.443879,-7.05497174,-6.7629374,26,dark
WT,ID01,57.15138532,152.6750072,-152.6750072,-7.15998926,-6.9940656,27,dark
WT,ID01,56.88583686,152.8916345,-152.8916345,-7.42553772,-7.2106929,28,dark
WT,ID01,56.63095246,152.9335427,-152.9335427,-7.68042212,-7.2526011,29,dark
WT,ID01,56.19871862,152.9887711,-152.9887711,-8.11265596,-7.3078295,30,dark
WT,ID01,55.95468599,153.1421237,-153.1421237,-8.35668859,-7.4611821,31,dark
WT,ID01,55.67736658,153.2267762,-153.2267762,-8.634008,-7.5458346,32,dark
WT,ID01,55.3165519,153.239189,-153.239189,-8.99482268,-7.5582474,33,dark
WT,ID01,55.02154255,153.311114,-153.311114,-9.28983203,-7.6301724,34,dark
WT,ID01,54.77261804,153.4012529,-153.4012529,-9.53875654,-7.7203113,35,dark
WT,ID01,54.45126802,153.4053771,-153.4053771,-9.86010656,-7.7244355,36,dark
WT,ID01,54.07783057,153.4474882,-153.4474882,-10.23354401,-7.7665466,37,dark
WT,ID01,53.83895944,153.5867274,-153.5867274,-10.47241514,-7.9057858,38,dark
WT,ID01,53.51352953,153.662318,-153.662318,-10.79784505,-7.9813764,39,dark
WT,ID01,53.17215339,153.6931051,-153.6931051,-11.13922119,-8.0121635,40,dark
WT,ID01,52.89383991,153.8377901,-153.8377901,-11.41753467,-8.1568485,41,dark
WT,ID01,52.5216548,153.8711679,-153.8711679,-11.78971978,-8.1902263,42,dark
WT,ID01,52.17411628,153.9760162,-153.9760162,-12.1372583,-8.2950746,43,dark
WT,ID01,51.90551428,154.038777,-154.038777,-12.4058603,-8.3578354,44,dark
WT,ID01,51.62418503,154.0818269,-154.0818269,-12.68718955,-8.4008853,45,dark
WT,ID01,51.23869998,154.1180894,-154.1180894,-13.0726746,-8.4371478,46,dark
WT,ID01,50.93756332,154.1419469,-154.1419469,-13.37381126,-8.4610053,47,dark
WT,ID01,50.6103785,154.2508268,-154.2508268,-13.70099608,-8.5698852,48,dark
WT,ID01,50.24952715,154.2296209,-154.2296209,-14.06184743,-8.5486793,49,dark
WT,ID01,50.00402704,154.396939,-154.396939,-14.30734754,-8.7159974,50,dark
WT,ID01,49.65577252,154.5089707,-154.5089707,-14.65560206,-8.8280291,51,dark
WT,ID01,49.37518828,154.6291723,-154.6291723,-14.9361863,-8.9482307,52,dark
WT,ID01,49.05098152,154.7853155,-154.7853155,-15.26039306,-9.1043739,53,dark
WT,ID01,48.74327538,154.9435413,-154.9435413,-15.5680992,-9.2625997,54,dark
WT,ID01,48.29622278,155.0580312,-155.0580312,-16.0151518,-9.3770896,55,dark
WT,ID01,47.99603744,155.1078337,-155.1078337,-16.31533714,-9.4268921,56,dark
WT,ID01,47.763678,155.2779754,-155.2779754,-16.54769658,-9.5970338,57,dark
WT,ID01,47.28727878,155.4099082,-155.4099082,-17.0240958,-9.7289666,58,dark
WT,ID01,47.06061238,155.5023486,-155.5023486,-17.2507622,-9.821407,59,dark
WT,ID01,46.76340022,155.8632958,-155.8632958,-17.54797436,-10.1823542,60,dark
WT,ID01,46.4141459,156.0605551,-156.0605551,-17.89722868,-10.3796135,61,dark
WT,ID01,46.10145991,156.1009685,-156.1009685,-18.20991467,-10.4200269,62,dark
WT,ID01,45.89137679,156.281916,-156.281916,-18.41999779,-10.6009744,63,dark
WT,ID01,45.45918879,156.4832454,-156.4832454,-18.85218579,-10.8023038,64,dark
WT,ID01,45.18646653,156.8720408,-156.8720408,-19.12490805,-11.1910992,65,dark
WT,ID01,44.99473569,157.0308888,-157.0308888,-19.31663889,-11.3499472,66,dark
WT,ID01,44.69460235,157.1864126,-157.1864126,-19.61677223,-11.505471,67,dark
WT,ID01,44.39081623,157.4927551,-157.4927551,-19.92055835,-11.8118135,68,dark
WT,ID01,44.09117217,157.8146891,-157.8146891,-20.22020241,-12.1337475,69,dark
WT,ID01,43.86715537,158.0570288,-158.0570288,-20.44421921,-12.3760872,70,dark
WT,ID01,43.57578371,158.3419978,-158.3419978,-20.73559087,-12.6610562,71,dark
WT,ID01,43.39688711,158.7402466,-158.7402466,-20.91448747,-13.059305,72,dark
WT,ID01,43.1509697,159.0886502,-159.0886502,-21.16040488,-13.4077086,73,dark
WT,ID01,42.99636545,159.215133,-159.215133,-21.31500913,-13.5341914,74,dark
WT,ID01,42.67982936,159.6595797,-159.6595797,-21.63154522,-13.9786381,75,dark
WT,ID01,42.35057205,159.8502563,-159.8502563,-21.96080253,-14.1693147,76,dark
WT,ID01,42.21320826,160.2507952,-160.2507952,-22.09816632,-14.5698536,77,dark
WT,ID01,42.08793341,160.6932842,-160.6932842,-22.22344117,-15.0123426,78,dark
WT,ID01,41.99642027,161.0881929,-161.0881929,-22.31495431,-15.4072513,79,dark
WT,ID01,41.72343073,161.3612422,-161.3612422,-22.58794385,-15.6803006,80,dark
WT,ID01,41.54471027,161.8596638,-161.8596638,-22.76666431,-16.1787222,81,dark
WT,ID01,41.38860569,162.2011212,-162.2011212,-22.92276889,-16.5201796,82,dark
WT,ID01,41.28193187,162.6221212,-162.6221212,-23.02944271,-16.9411796,83,dark
WT,ID01,41.16833217,163.0577476,-163.0577476,-23.14304241,-17.376806,84,dark
WT,ID01,40.96850512,163.356927,-163.356927,-23.34286946,-17.6759854,85,dark
WT,ID01,40.83046007,163.8492073,-163.8492073,-23.48091451,-18.1682657,86,dark
WT,ID01,40.64174248,164.2356825,-164.2356825,-23.6696321,-18.5547409,87,dark
WT,ID01,40.58691019,164.5975338,-164.5975338,-23.72446439,-18.9165922,88,dark
WT,ID01,40.3965868,165.0524877,-165.0524877,-23.91478778,-19.3715461,89,dark
WT,ID01,40.22432143,165.3553905,-165.3553905,-24.08705315,-19.6744489,90,dark
WT,ID01,40.11436763,165.9298946,-165.9298946,-24.19700695,-20.248953,91,dark
WT,ID01,40.12547703,166.2685502,-166.2685502,-24.18589755,-20.5876086,92,dark
WT,ID01,40.02371672,166.6217291,-166.6217291,-24.28765786,-20.9407875,93,dark
WT,ID01,39.88940378,166.9932807,-166.9932807,-24.4219708,-21.3123391,94,dark
WT,ID01,39.63474073,167.5244473,-167.5244473,-24.67663385,-21.8435057,95,dark
WT,ID01,39.4110934,167.9289994,-167.9289994,-24.90028118,-22.2480578,96,dark
WT,ID01,39.20046859,168.2035738,-168.2035738,-25.11090599,-22.5226322,97,dark
WT,ID01,39.10201728,168.5453534,-168.5453534,-25.2093573,-22.8644118,98,dark
WT,ID01,39.00680937,168.8916734,-168.8916734,-25.30456521,-23.2107318,99,dark
WT,ID01,38.91349611,169.229501,-169.229501,-25.39787847,-23.5485594,100,dark
WT,ID01,38.47537247,169.5065887,-169.5065887,-25.83600211,-23.8256471,101,dark
WT,ID01,38.32236235,169.8668799,-169.8668799,-25.98901223,-24.1859383,102,dark
WT,ID01,38.02997311,170.1045259,-170.1045259,-26.28140147,-24.4235843,103,dark
WT,ID01,37.91240019,170.3526718,-170.3526718,-26.39897439,-24.6717302,104,dark
WT,ID01,37.62861042,170.5580125,-170.5580125,-26.68276416,-24.8770709,105,dark
WT,ID01,37.36503884,170.9784593,-170.9784593,-26.94633574,-25.2975177,106,dark
WT,ID01,37.13163164,171.1443017,-171.1443017,-27.17974294,-25.4633601,107,dark
WT,ID01,36.81610777,171.2708587,-171.2708587,-27.49526681,-25.5899171,108,dark
WT,ID01,36.54373693,171.5199139,-171.5199139,-27.76763765,-25.8389723,109,dark
