genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
WT,ID07,129.6383113,144.0059961,-144.0059961,0,0,0,dark
WT,ID07,129.4279145,144.0662713,-144.0662713,-0.2103968,-0.0602752,1,dark
WT,ID07,129.3560353,144.1083846,-144.1083846,-0.282276,-0.1023885,2,dark
WT,ID07,129.2102311,144.2218188,-144.2218188,-0.4280802,-0.2158227,3,dark
WT,ID07,129.1677067,144.2919363,-144.2919363,-0.4706046,-0.2859402,4,dark
WT,ID07,129.023403,144.3831831,-144.3831831,-0.6149083,-0.377187,5,dark
WT,ID07,128.9574728,144.7117653,-144.7117653,-0.6808385,-0.7057692,6,dark
WT,ID07,128.7455558,144.9007087,-144.9007087,-0.8927555,-0.8947126,7,dark
WT,ID07,128.5795504,145.0084351,-145.0084351,-1.0587609,-1.002439,8,dark
WT,ID07,128.3611886,145.118382,-145.118382,-1.2771227,-1.1123859,9,dark
WT,ID07,128.219642,145.2002277,-145.2002277,-1.4186693,-1.1942316,10,dark
WT,ID07,128.0940667,145.4077612,-145.4077612,-1.5442446,-1.4017651,11,dark
WT,ID07,127.9553841,145.577173,-145.577173,-1.6829272,-1.5711769,12,dark
WT,ID07,127.6866194,145.7510292,-145.7510292,-1.9516919,-1.7450331,13,dark
WT,ID07,127.3422049,145.9776374,-145.9776374,-2.2961064,-1.9716413,14,dark
WT,ID07,127.1690103,146.1067628,-146.1067628,-2.469301,-2.1007667,15,dark
WT,ID07,127.069363,146.2308853,-146.2308853,-2.5689483,-2.2248892,16,dark
WT,ID07,126.9204018,146.5585379,-146.5585379,-2.7179095,-2.5525418,17,dark
WT,ID07,126.6711869,146.8549304,-146.8549304,-2.9671244,-2.8489343,18,dark
WT,ID07,126.3715534,146.9624043,-146.9624043,-3.2667579,-2.9564082,19,dark
WT,ID07,126.185916,147.0759493,-147.0759493,-3.4523953,-3.0699532,20,dark
WT,ID07,125.9923361,147.1870903,-147.1870903,-3.6459752,-3.1810942,21,dark
WT,ID07,125.8089076,147.3331485,-147.3331485,-3.8294037,-3.3271524,22,dark
WT,ID07,125.5189316,147.4836048,-147.4836048,-4.1193797,-3.4776087,23,dark
WT,ID07,125.2300132,147.5107021,-147.5107021,-4.4082981,-3.504706,24,dark
WT,ID07,125.106276,147.6683896,-147.6683896,-4.5320353,-3.6623935,25,dark
WT,ID07,124.8704059,147.7581912,-147.7581912,-4.7679054,-3.7521951,26,dark
WT,ID07,124.6578058,147.95105,-147.95105,-4.9805055,-3.9450539,27,dark
WT,ID07,124.3391647,147.9241134,-147.9241134,-5.2991466,-3.9181173,28,dark
WT,ID07,124.1901822,148.0280104,-148.0280104,-5.4481291,-4.0220143,29,dark
WT,ID07,124.0870081,148.0013044,-148.0013044,-5.5513032,-3.9953083,30,dark
WT,ID07,123.7988478,147.9703716,-147.9703716,-5.8394635,-3.9643755,31,dark
WT,ID07,123.5654861,147.940098,-147.940098,-6.0728252,-3.9341019,32,dark
WT,ID07,123.6413926,148.0358636,-148.0358636,-5.9969187,-4.0298675,33,dark
WT,ID07,123.3015927,148.0736055,-148.0736055,-6.3367186,-4.0676094,34,dark
WT,ID07,123.1555229,148.1299619,-148.1299619,-6.4827884,-4.1239658,35,dark
WT,ID07,123.1138038,148.105309,-148.105309,-6.5245075,-4.0993129,36,dark
WT,ID07,122.9707062,148.21466,-148.21466,-6.6676051,-4.2086639,37,dark
WT,ID07,123.0182421,148.2131142,-148.2131142,-6.6200692,-4.2071181,38,dark
WT,ID07,122.8905331,148.3093291,-148.3093291,-6.7477782,-4.303333,39,dark
WT,ID07,122.9399112,148.398501,-148.398501,-6.6984001,-4.3925049,40,dark
WT,ID07,122.6594429,148.4766344,-148.4766344,-6.9788684,-4.4706383,41,dark
WT,ID07,122.4920077,148.6940346,-148.6940346,-7.1463036,-4.6880385,42,dark
WT,ID07,122.6189654,148.7212001,-148.7212001,-7.0193459,-4.715204,43,dark
WT,ID07,122.6170522,148.898666,-148.898666,-7.0212591,-4.8926699,44,dark
WT,ID07,122.5639854,148.9245722,-148.9245722,-7.0743259,-4.9185761,45,dark
WT,ID07,122.5821276,149.0119574,-149.0119574,-7.0561837,-5.0059613,46,dark
WT,ID07,122.4938007,149.2525742,-149.2525742,-7.1445106,-5.2465781,47,dark
WT,ID07,122.5602419,149.3896944,-149.3896944,-7.0780694,-5.3836983,48,dark
WT,ID07,122.5950023,149.7138244,-149.7138244,-7.043309,-5.7078283,49,dark
WT,ID07,122.6611693,149.9058549,-149.9058549,-6.977142,-5.8998588,50,dark
WT,ID07,122.6319958,150.0620353,-150.0620353,-7.0063155,-6.0560392,51,dark
WT,ID07,122.52274,150.2686508,-150.2686508,-7.1155713,-6.2626547,52,dark
WT,ID07,122.6125824,150.5179985,-150.5179985,-7.0257289,-6.5120024,53,dark
WT,ID07,122.594952,150.6432916,-150.6432916,-7.0433593,-6.6372955,54,dark
WT,ID07,122.4281981,150.7872337,-150.7872337,-7.2101132,-6.7812376,55,dark
WT,ID07,122.540603,151.1321753,-151.1321753,-7.0977083,-7.1261792,56,dark
