 ,Mean1
533,11.436
534,11.364
535,11.402
536,11.206
537,11.316
538,11.379
539,11.482
540,11.251
541,11.571
542,11.411
543,11.637
544,11.664
545,11.396
546,11.496
547,11.523
548,11.576
549,11.343
550,11.522
551,11.310
552,11.497
553,11.587
554,11.556
555,11.476
556,11.696
557,11.313
558,11.430
559,11.601
560,11.605
