 ,Mean1
533,30.203
534,30.301
535,29.925
536,30.588
537,30.005
538,30.665
539,30.290
540,31.017
541,29.973
542,29.992
543,30.197
544,30.979
545,30.035
546,33.023
547,34.472
548,35.594
549,32.564
550,32.514
551,32.142
552,31.715
553,29.727
554,30.697
555,29.584
556,29.578
557,30.629
558,31.041
559,30.798
560,28.630
