 ,Mean1
533,34.319
534,34.574
535,34.281
536,34.684
537,34.057
538,34.216
539,34.153
540,33.711
541,34.181
542,33.308
543,33.953
544,33.764
545,34.042
546,33.841
547,34.198
548,34.263
549,34.123
550,33.752
551,33.667
552,33.797
553,33.416
554,33.420
555,34.008
556,34.219
557,33.553
558,34.132
559,33.561
560,33.730
