 ,Mean1
1,232.909
2,230.267
3,224.358
4,222.790
5,218.154
6,215.492
7,211.347
8,209.157
9,205.147
10,203.243
11,197.032
12,195.227
13,193.698
14,192.155
15,188.573
16,187.763
17,185.140
18,181.420
19,180.373
20,177.094
21,175.229
22,173.488
23,174.242
24,172.544
25,171.156
26,169.829
27,169.183
28,167.973
29,167.094
30,164.916
31,165.280
32,161.807
33,160.800
34,160.763
35,159.364
36,155.600
37,155.689
38,155.370
39,154.347
40,151.726
41,150.523
42,149.657
43,149.866
44,147.679
45,148.965
46,146.994
47,149.148
48,148.318
49,148.292
50,147.988
51,145.504
52,144.779
53,147.228
54,145.216
55,146.590
56,145.979
57,146.625
58,145.490
59,144.685
60,144.543
61,145.149
62,144.865
63,145.012
64,146.344
65,145.250
66,145.209
67,144.191
68,143.179
69,144.147
70,144.930
71,146.021
72,144.849
73,145.088
74,144.256
75,143.623
76,141.902
77,143.923
78,143.597
79,141.601
80,142.800
81,142.865
82,141.001
83,140.886
84,142.635
85,143.328
86,142.629
87,141.766
88,140.946
89,141.743
90,142.569
91,141.122
92,142.147
93,144.641
94,144.114
95,145.763
96,145.615
97,145.313
98,145.968
99,145.970
100,146.010
101,146.314
102,146.650
103,146.867
104,157.396
105,163.343
106,170.964
107,172.535
108,172.391
109,172.375
110,170.747
111,168.605
112,169.393
113,168.135
114,164.890
115,165.943
116,164.301
117,159.951
118,159.995
119,159.590
120,158.354
121,154.299
122,152.428
123,152.394
124,151.378
125,151.519
126,153.126
127,150.519
128,150.963
129,150.218
130,148.321
131,150.936
132,168.868
133,196.088
134,204.988
135,205.048
136,205.408
137,204.924
138,203.022
139,199.735
140,194.452
141,192.009
142,189.822
143,184.738
144,183.418
145,180.647
146,177.094
147,173.655
148,172.247
149,167.690
150,164.133
151,161.198
152,158.626
153,154.190
154,151.346
155,149.431
156,145.520
157,140.832
158,140.524
159,138.216
160,135.810
161,135.362
162,131.135
163,130.063
164,127.065
165,124.614
166,123.791
167,121.604
168,119.265
169,116.626
170,115.057
171,113.872
172,112.307
173,110.662
174,109.570
175,108.110
176,105.750
177,102.690
178,101.299
179,100.032
180,96.929
181,95.943
182,93.724
183,92.478
184,91.783
185,89.110
186,88.777
187,86.852
188,85.414
189,85.663
190,84.658
191,82.609
192,83.790
193,82.342
194,80.963
195,80.098
196,79.061
197,78.610
198,78.905
199,79.181
200,76.863
201,77.096
202,76.979
203,77.233
204,75.778
205,75.696
206,75.509
207,75.022
208,74.711
209,73.745
210,74.363
211,74.931
212,73.792
213,73.497
214,73.365
215,72.230
216,71.828
217,71.915
218,71.124
219,71.558
220,72.058
221,70.402
222,70.922
223,70.809
224,70.477
225,70.234
226,70.012
227,69.148
228,69.534
229,69.203
230,68.454
231,68.622
232,68.544
233,68.930
234,69.353
235,67.917
236,68.635
237,68.505
238,67.665
239,66.854
240,66.628
241,66.173
242,68.216
243,67.662
244,65.552
245,66.378
246,66.269
247,65.773
248,65.957
249,65.945
250,65.145
251,64.279
252,64.433
253,64.583
254,64.692
255,64.527
256,64.225
257,64.294
258,64.446
259,64.583
260,63.130
261,62.499
262,64.344
263,62.207
