 ,Mean1
1,237.834
2,234.299
3,230.758
4,228.932
5,226.784
6,223.569
7,222.136
8,220.350
9,216.889
10,214.801
11,212.814
12,210.793
13,206.979
14,205.269
15,203.547
16,200.630
17,199.727
18,198.511
19,197.350
20,196.682
21,194.243
22,191.885
23,189.818
24,188.092
25,185.519
26,185.439
27,183.946
28,182.873
29,181.703
30,182.360
31,180.855
32,182.307
33,180.655
34,180.797
35,180.682
36,179.880
37,179.086
38,176.762
39,174.071
40,173.183
41,171.877
42,167.714
43,168.763
44,166.721
45,166.780
46,167.114
47,166.297
48,163.746
49,162.542
50,158.659
51,159.556
52,158.694
53,158.670
54,157.151
55,156.092
56,160.142
57,159.620
58,160.491
59,158.767
60,158.570
61,159.187
62,159.975
63,158.557
64,157.433
65,156.455
66,157.156
67,152.788
68,150.960
69,149.376
70,151.225
71,154.149
72,152.772
73,151.457
74,148.994
75,152.234
76,152.164
77,151.230
78,151.363
79,150.211
80,150.219
81,150.212
82,148.977
83,149.889
84,150.270
85,150.318
86,150.341
87,150.734
88,150.154
89,149.034
90,149.260
91,147.874
92,148.338
93,147.500
94,148.780
95,146.754
96,146.028
97,146.973
98,145.000
99,145.452
100,145.031
101,145.769
102,144.370
103,145.232
104,143.676
105,143.775
106,144.064
107,144.460
108,144.026
109,146.364
110,143.597
111,144.648
112,144.281
113,142.949
114,142.871
115,140.681
116,141.107
117,140.491
118,141.926
119,140.582
120,140.893
121,141.916
122,141.616
123,140.890
124,143.923
125,143.163
126,142.451
127,142.649
128,143.685
129,141.042
130,143.024
131,142.107
132,140.996
133,165.024
134,173.346
135,173.933
136,172.167
137,168.319
138,162.209
139,157.450
140,153.182
141,149.503
142,145.537
143,139.517
144,134.867
145,131.364
146,128.679
147,125.302
148,122.260
149,119.805
150,116.623
151,114.176
152,111.528
153,110.362
154,108.517
155,106.613
156,104.782
157,103.884
158,101.727
159,101.319
160,101.229
161,98.867
162,98.926
163,98.033
164,96.691
165,95.488
166,95.821
167,95.599
168,95.372
169,94.865
170,93.942
171,94.109
172,94.315
173,95.135
174,96.059
175,95.708
176,95.009
177,96.074
178,95.604
179,96.294
180,97.078
181,97.502
182,98.207
183,99.122
184,99.654
185,101.369
186,100.693
187,100.831
188,101.302
189,101.653
190,101.156
191,100.576
192,98.818
193,100.045
194,99.536
195,98.069
196,99.351
197,98.403
198,97.691
199,98.525
200,98.759
201,99.235
202,99.499
203,99.532
204,97.385
205,97.754
206,96.778
207,97.732
208,98.192
209,97.202
210,97.985
211,96.820
212,96.956
213,96.323
214,95.115
215,93.326
216,92.594
217,92.535
218,93.571
219,91.294
220,91.007
221,90.520
222,90.059
223,89.952
224,88.213
225,86.040
226,85.790
227,85.412
228,82.710
229,83.080
230,82.803
231,82.216
232,81.701
233,80.437
234,80.055
235,79.137
236,77.704
237,77.941
238,77.169
239,77.025
240,76.514
241,76.647
242,77.222
243,76.092
244,75.872
245,76.184
246,75.799
247,75.339
248,74.439
249,74.411
250,74.689
251,74.527
252,75.711
253,74.560
254,74.142
255,73.838
256,73.568
257,72.596
258,72.848
259,72.882
260,72.789
261,72.823
262,72.386
263,73.232
264,72.478
265,72.495
266,72.191
267,72.830
268,72.888
269,72.944
270,73.384
271,72.553
272,71.212
273,70.719
274,70.234
275,69.739
276,69.829
277,69.282
278,69.612
279,69.687
280,69.027
281,69.338
282,69.858
283,68.800
284,69.052
285,69.958
286,70.559
287,70.844
288,69.628
289,70.923
290,71.462
291,71.811
292,71.603
293,70.714
294,70.553
295,70.482
296,70.730
297,71.047
298,70.185
299,71.426
300,70.245
301,70.784
302,70.353
303,70.334
304,71.501
305,70.862
306,70.795
307,70.981
308,71.303
309,71.463
310,70.230
311,69.727
312,71.704
313,70.863
314,71.089
315,72.248
316,71.533
317,72.656
318,71.813
319,72.022
320,72.393
321,72.989
322,72.574
323,72.535
324,72.260
325,72.351
326,72.434
327,72.331
328,72.772
329,73.090
330,71.747
331,72.946
332,72.795
333,72.751
334,72.448
335,72.442
336,72.494
337,72.699
338,72.236
339,70.824
340,71.996
341,72.698
342,71.349
343,72.793
344,72.736
345,71.328
346,73.259
347,72.670
348,71.479
349,72.596
350,73.139
351,72.263
352,71.845
353,73.141
354,74.057
355,72.650
356,72.795
357,72.951
358,71.851
359,72.657
360,72.233
361,71.592
362,71.688
363,71.185
364,72.227
365,71.428
366,71.750
367,71.468
368,71.495
369,70.881
370,71.070
371,71.025
372,70.877
373,71.218
374,71.748
375,71.789
376,71.306
377,70.906
378,70.867
379,70.526
380,70.332
381,71.816
382,71.006
383,71.070
384,71.003
385,70.881
386,72.251
387,71.765
388,71.843
389,70.950
390,71.312
391,71.000
392,70.315
393,69.785
394,70.703
395,70.536
396,70.232
397,69.022
398,70.708
399,69.986
400,70.280
401,70.374
402,71.099
403,71.014
404,70.112
405,69.975
406,69.379
407,69.399
408,67.992
409,69.154
410,67.605
411,68.290
412,67.169
413,66.553
414,66.116
415,67.179
416,65.485
417,65.945
418,64.950
419,64.806
420,65.117
421,64.428
422,64.551
423,64.250
424,63.449
425,63.555
426,61.744
427,61.290
428,62.979
429,64.961
430,64.375
431,64.252
432,64.458
433,63.906
434,63.688
435,63.081
436,62.883
437,64.470
438,63.446
439,63.888
440,63.971
441,63.608
442,62.923
443,63.559
444,63.340
445,63.196
446,62.904
447,62.716
448,63.203
449,63.272
450,63.574
451,63.036
452,62.896
453,64.135
454,63.589
455,64.445
456,64.432
457,63.978
458,63.902
459,64.788
460,64.437
461,65.886
462,64.531
463,65.210
464,64.241
465,64.591
466,65.562
467,65.414
468,64.591
469,65.197
470,65.474
471,65.083
472,64.096
473,64.147
474,64.853
475,64.252
476,65.232
477,64.430
478,63.903
479,64.925
480,64.300
481,64.570
482,63.976
483,63.253
484,64.327
485,63.263
486,64.356
487,64.319
488,63.965
489,63.830
490,63.395
491,64.091
492,64.354
493,64.472
494,64.573
495,65.054
496,64.214
497,64.955
498,65.467
499,64.626
500,64.965
501,64.405
502,64.720
503,64.075
504,63.877
505,64.029
506,64.511
507,63.059
508,63.742
509,62.791
510,62.918
511,62.911
512,63.038
513,63.374
514,64.172
515,63.566
516,65.012
517,64.003
518,64.031
519,63.990
520,64.222
521,63.063
522,63.763
523,63.146
524,63.693
525,65.172
526,64.971
527,64.032
528,64.058
529,64.535
530,64.401
531,65.302
532,63.634
533,63.643
534,63.586
535,62.588
536,63.004
537,62.254
538,62.071
539,62.700
540,61.958
541,61.237
542,61.965
543,62.325
544,61.867
545,62.275
546,62.613
547,62.798
548,62.613
549,62.617
550,62.691
551,62.875
552,63.349
553,62.636
554,63.835
555,62.991
556,62.829
557,63.233
558,61.275
559,62.624
560,62.441
