 ,Mean1
1,227.601
2,224.707
3,221.885
4,217.709
5,216.997
6,213.072
7,212.385
8,208.838
9,206.510
10,204.042
11,202.126
12,199.099
13,196.802
14,194.638
15,191.738
16,190.785
17,190.995
18,188.936
19,186.374
20,187.387
21,184.791
22,183.173
23,181.059
24,180.113
25,176.461
26,176.538
27,177.143
28,173.848
29,173.901
30,170.191
31,171.928
32,169.643
33,171.368
34,169.454
35,169.035
36,166.353
37,167.743
38,166.816
39,168.676
40,167.818
41,164.930
42,166.168
43,165.430
44,163.582
45,163.664
46,162.774
47,163.116
48,160.882
49,158.165
50,158.350
51,156.488
52,156.519
53,154.634
54,151.748
55,154.831
56,151.750
57,151.281
58,149.955
59,149.048
60,148.602
61,148.257
62,148.183
63,146.651
64,148.877
65,145.205
66,139.851
67,136.752
68,134.628
69,129.686
70,128.624
71,133.324
72,133.268
73,132.350
74,132.830
75,131.748
76,137.776
77,135.657
78,134.625
79,133.759
80,133.461
81,132.820
82,132.400
83,131.781
84,131.480
85,130.320
86,132.201
87,133.110
88,131.002
89,131.724
90,130.781
91,131.013
92,129.682
93,131.490
94,130.329
95,129.519
96,130.872
97,128.328
98,129.780
99,130.086
100,129.668
101,132.759
102,130.743
103,130.943
104,130.295
105,129.251
106,130.517
107,130.965
108,130.608
109,131.667
110,132.561
111,130.262
112,130.644
113,129.799
114,126.790
115,126.033
116,123.525
117,125.708
118,125.941
119,125.509
120,126.388
121,126.893
122,128.054
123,127.880
124,128.998
125,130.943
126,130.272
127,131.347
128,133.086
129,133.539
130,136.075
131,134.676
132,135.643
133,165.310
134,168.163
135,168.771
136,167.763
137,164.025
138,158.462
139,154.801
140,150.958
141,145.332
142,143.961
143,139.601
144,134.445
145,130.856
146,125.211
147,122.006
148,118.018
149,114.007
150,111.752
151,107.471
152,105.229
153,101.705
154,99.413
155,96.409
156,94.872
157,92.159
158,91.154
159,89.571
160,88.985
161,86.124
162,86.057
163,83.124
164,81.334
165,81.758
166,80.593
167,80.009
168,79.410
169,77.369
170,77.930
171,76.880
172,76.659
173,78.225
174,78.737
175,78.029
176,80.523
177,78.728
178,79.241
179,78.429
180,79.764
181,79.770
182,80.730
183,82.136
184,81.778
185,81.421
186,81.619
187,82.636
188,82.334
189,84.256
190,82.756
191,83.416
192,82.336
193,81.798
194,81.704
195,81.732
196,82.054
197,82.083
198,82.777
199,83.440
200,82.666
201,80.679
202,81.568
203,81.196
204,80.293
205,80.355
206,80.833
207,80.490
208,80.140
209,79.417
210,78.708
211,78.495
212,79.556
213,78.919
214,78.859
215,77.891
216,78.568
217,78.893
218,79.765
219,77.769
220,78.841
221,77.489
222,77.860
223,76.628
224,76.086
225,75.231
226,75.122
227,74.141
228,74.017
229,72.755
230,73.482
231,73.885
232,72.803
233,72.958
234,70.429
235,70.679
236,68.765
237,68.519
238,67.154
239,68.594
240,67.298
241,67.032
242,68.088
243,67.389
244,67.478
245,67.926
246,67.731
247,67.695
248,66.465
249,68.155
250,68.374
251,68.082
252,67.521
253,67.859
254,67.852
255,67.566
256,67.307
257,66.816
258,65.741
259,66.433
260,65.824
261,66.128
262,66.349
263,64.941
264,65.437
265,66.007
266,65.500
267,66.157
268,65.511
269,64.925
270,65.901
271,65.250
272,65.661
273,65.378
274,65.570
275,65.596
276,65.669
277,64.889
278,64.775
279,65.331
280,65.119
281,64.907
282,65.038
283,64.181
284,65.276
285,65.744
286,64.430
287,65.263
288,64.174
289,65.242
290,65.682
291,65.804
292,67.033
293,67.705
294,67.415
295,66.601
296,67.457
297,67.962
298,66.866
299,68.134
300,68.298
301,68.491
302,67.650
303,69.638
304,69.218
305,68.962
306,67.362
307,66.597
308,67.395
309,67.544
310,68.150
311,67.980
312,66.528
313,66.311
314,66.708
315,66.914
316,67.427
317,67.964
318,67.816
319,67.221
320,67.546
321,67.533
322,66.539
323,67.337
324,68.077
325,68.779
326,67.243
327,67.408
328,67.287
329,66.346
330,66.771
331,66.379
332,66.355
333,66.360
334,66.510
335,64.943
336,66.668
337,66.420
338,66.506
339,66.573
340,65.637
341,65.933
342,66.345
343,64.457
344,67.086
345,65.288
346,66.711
347,65.247
348,65.969
349,65.901
350,66.147
351,66.046
352,65.618
353,66.200
354,67.008
355,66.442
356,66.166
357,65.869
358,65.793
359,64.401
360,64.681
361,64.777
362,66.758
363,65.603
364,64.674
365,65.466
366,67.448
367,65.296
368,66.753
369,66.636
370,66.690
371,67.418
372,67.226
373,66.693
374,67.846
375,66.714
376,67.920
377,65.638
378,67.040
379,69.181
380,67.515
381,67.168
382,67.339
383,67.342
384,66.911
385,68.631
386,66.565
387,66.507
388,65.972
389,65.959
390,64.210
391,65.085
392,64.332
393,63.939
394,64.381
395,63.692
396,63.698
397,62.143
398,63.327
399,63.822
400,63.993
401,63.449
402,63.504
403,63.048
404,63.209
405,63.173
406,63.137
407,64.372
408,63.291
409,63.487
410,63.027
411,62.350
412,62.755
413,62.304
414,61.434
415,62.345
416,61.620
417,61.418
418,61.842
419,62.276
420,61.703
421,61.131
422,61.349
423,60.178
424,62.828
425,63.770
426,65.509
427,64.554
428,62.964
429,60.695
430,60.262
431,59.089
432,57.801
433,57.689
434,57.033
435,56.668
436,55.791
437,55.726
438,55.374
439,56.082
440,54.756
441,54.726
442,54.311
443,54.565
444,54.796
445,54.110
446,55.267
447,55.070
448,53.665
449,54.308
450,54.296
451,53.764
452,54.081
453,54.658
454,54.854
455,55.705
456,55.474
457,55.816
458,56.585
459,56.445
460,56.034
461,55.376
462,57.199
463,55.581
464,55.023
465,56.530
466,55.835
467,55.835
468,56.694
469,57.679
470,57.455
471,57.032
472,56.801
473,57.199
474,57.872
475,57.817
476,59.247
477,58.051
478,58.635
479,57.677
480,57.758
481,57.753
482,57.828
483,57.205
484,58.072
485,56.204
486,57.164
487,57.568
488,57.729
489,57.004
490,57.877
491,57.985
492,58.124
493,58.022
494,58.146
495,58.217
496,58.593
497,59.762
498,58.374
499,58.133
500,58.539
501,57.847
502,58.872
503,58.057
504,58.808
505,57.865
506,58.502
507,57.730
508,57.965
509,57.662
510,56.939
511,57.029
512,58.020
513,57.328
514,58.548
515,57.671
516,57.545
517,58.263
518,57.861
519,57.288
520,57.635
521,57.185
522,57.096
523,57.409
524,56.655
525,57.215
526,56.320
527,56.070
528,57.261
529,57.117
530,56.582
531,56.402
532,55.977
533,55.076
534,55.614
535,55.043
536,55.187
537,54.842
538,55.861
539,55.766
540,54.719
541,55.311
542,55.689
543,54.871
544,54.197
545,55.118
546,54.781
547,53.498
548,54.080
549,55.171
550,55.294
551,55.930
552,56.170
553,55.415
554,55.116
555,55.611
556,55.723
557,55.006
558,55.307
559,55.395
560,54.679
