 ,Mean1
1,204.238
2,196.042
3,191.690
4,184.690
5,178.592
6,173.669
7,168.305
8,165.396
9,162.056
10,157.710
11,154.730
12,154.336
13,150.847
14,146.056
15,145.593
16,144.267
17,139.606
18,138.519
19,136.777
20,135.577
21,136.697
22,134.640
23,132.593
24,131.858
25,131.138
26,130.141
27,127.449
28,126.411
29,125.357
30,125.190
31,124.554
32,122.688
33,122.656
34,120.032
35,119.916
36,117.351
37,116.767
38,116.033
39,115.500
40,116.562
41,113.748
42,112.329
43,112.822
44,111.644
45,109.415
46,112.198
47,109.825
48,108.918
49,109.703
50,107.991
51,107.979
52,108.053
53,106.381
54,107.314
55,104.531
56,104.681
57,103.922
58,102.908
59,103.884
60,103.121
61,103.277
62,102.402
63,103.824
64,104.113
65,102.228
66,104.607
67,103.078
68,102.910
69,104.470
70,102.954
71,103.199
72,102.095
73,101.231
74,101.002
75,102.314
76,102.380
77,101.297
78,99.318
79,99.361
80,101.281
81,99.621
82,100.512
83,99.777
84,98.681
85,99.385
86,99.698
87,100.459
88,100.852
89,99.896
90,100.477
91,98.614
92,98.434
93,98.656
94,99.093
95,99.160
96,97.681
97,98.609
98,99.442
99,99.176
100,99.148
101,100.139
102,100.968
103,102.743
104,101.228
105,101.773
106,101.945
107,101.367
108,100.136
109,101.350
110,100.901
111,101.901
112,101.654
113,102.097
114,101.562
115,102.317
116,101.662
117,101.678
118,101.253
119,100.815
120,99.493
121,103.393
122,103.435
123,103.039
124,104.264
125,102.910
126,101.697
127,102.853
128,101.266
129,101.976
130,102.429
131,100.499
132,100.942
133,148.256
134,160.698
135,165.621
136,165.277
137,166.428
138,163.728
139,163.876
140,159.921
141,159.788
142,158.813
143,155.142
144,154.776
145,152.081
146,150.024
147,148.778
148,146.450
149,147.395
150,146.037
151,141.408
152,143.179
153,141.691
154,139.744
155,138.590
156,135.980
157,135.259
158,134.483
159,133.832
160,130.869
161,129.114
162,127.817
163,128.171
164,124.735
165,124.083
166,122.224
167,119.063
168,118.120
169,117.729
170,116.124
171,113.965
172,111.324
173,110.263
174,109.728
175,110.589
176,109.869
177,108.370
178,108.260
179,105.869
180,105.143
181,101.914
182,101.053
183,101.634
184,99.000
185,97.569
186,94.814
187,94.574
188,93.634
189,91.631
190,90.119
191,90.815
192,91.631
193,89.858
194,87.841
195,88.205
196,85.780
197,84.950
198,84.578
199,83.736
200,83.786
201,81.918
202,83.031
203,80.640
204,80.576
205,79.763
206,79.345
207,78.932
208,76.275
209,76.154
