 ,Mean1
533,117.895
534,117.728
535,116.667
536,118.289
537,117.571
538,117.615
539,118.424
540,119.205
541,121.845
542,119.583
543,120.173
544,121.152
545,122.039
546,122.723
547,121.498
548,121.789
549,120.449
550,121.622
551,121.686
552,123.306
553,123.498
554,122.844
555,123.643
556,124.424
557,122.553
558,124.387
559,124.473
560,124.905
