Date,Track ID,ID,Speed,Edge time,Edge X,Edge Y,Y,L-NAME,sec,Ymm,y_axis,mm/sec,Condition
0804_04_,110,0804_04_110,0.049826014,65.5,25.27164106,290.3299783,-8.7980993,0 mM,2.183333333,-18.92064366,-1.892064366,0.321458155,dark
0804_04_,110,0804_04_110,0.056456628,66.5,25.30110354,290.3614994,-8.8296204,0 mM,2.216666667,-18.98843097,-1.898843097,0.36423631,dark
0804_04_,110,0804_04_110,0.555311588,67.5,25.56134724,290.498193,-8.966314,0 mM,2.25,-19.2823957,-1.92823957,3.582655406,dark
0804_04_,110,0804_04_110,0.250278565,68.5,25.91290316,290.5269673,-8.9950883,0 mM,2.283333333,-19.34427591,-1.934427591,1.614700419,dark
0804_04_,110,0804_04_110,0.241753726,69.5,26.04267457,290.5629644,-9.0310854,0 mM,2.316666667,-19.42168903,-1.942168903,1.559701458,dark
0804_04_,110,0804_04_110,0.596975823,70.5,26.2416807,290.4305798,-8.8987008,0 mM,2.35,-19.13699097,-1.913699097,3.851456923,dark
0804_04_,110,0804_04_110,0.289368866,71.5,26.34612974,290.313323,-8.781444,0 mM,2.383333333,-18.88482581,-1.888482581,1.86689591,dark
0804_04_,110,0804_04_110,0.171585292,72.5,26.36660442,290.4174533,-8.8855743,0 mM,2.416666667,-19.10876194,-1.910876194,1.107001884,dark
0804_04_,110,0804_04_110,0.219500287,73.5,26.53888046,290.3288169,-8.7969379,0 mM,2.45,-18.91814602,-1.891814602,1.416130884,dark
0804_04_,110,0804_04_110,0.525146604,74.5,26.8635918,290.3867221,-8.8548431,0 mM,2.483333333,-19.04267333,-1.904267333,3.388042606,dark
0804_04_,110,0804_04_110,0.058580061,75.5,27.07498805,290.5249882,-8.9931092,0 mM,2.516666667,-19.34001978,-1.934001978,0.377935877,dark
0804_04_,110,0804_04_110,0.179597464,76.5,27.12743525,290.4942568,-8.9623778,0 mM,2.55,-19.27393075,-1.927393075,1.158693316,dark
0804_04_,110,0804_04_110,0.122494889,77.5,27.15588838,290.404759,-8.87288,0 mM,2.583333333,-19.08146237,-1.908146237,0.790289606,dark
0804_04_,110,0804_04_110,0.662025708,78.5,27.37660988,290.5602618,-9.0283828,0 mM,2.616666667,-19.41587699,-1.941587699,4.2711336,dark
0804_04_,110,0804_04_110,0.365345441,79.5,27.82499452,290.7327956,-9.2009166,0 mM,2.65,-19.78691742,-1.978691742,2.357067361,dark
0804_04_,110,0804_04_110,0.279617309,80.5,28.02857148,290.8478971,-9.3160181,0 mM,2.683333333,-20.03444753,-2.003444753,1.803982639,dark
0804_04_,110,0804_04_110,0.247296856,81.5,28.11753591,290.8817403,-9.3498613,0 mM,2.716666667,-20.1072286,-2.01072286,1.595463587,dark
0804_04_,110,0804_04_110,0.233903292,82.5,28.23399551,290.8833715,-9.3514925,0 mM,2.75,-20.11073656,-2.011073656,1.509053497,dark
0804_04_,110,0804_04_110,0.156017159,83.5,28.35249529,291.0262033,-9.4943243,0 mM,2.783333333,-20.41790172,-2.041790172,1.006562316,dark
0804_04_,110,0804_04_110,0.318888796,84.5,28.58035379,291.0544186,-9.5225396,0 mM,2.816666667,-20.47857978,-2.047857978,2.057347071,dark
0804_04_,110,0804_04_110,0.137416248,85.5,28.70876665,291.1070257,-9.5751467,0 mM,2.85,-20.59171333,-2.059171333,0.886556439,dark
0804_04_,110,0804_04_110,0.312759934,86.5,28.83434826,291.1702874,-9.6384084,0 mM,2.883333333,-20.72776,-2.072776,2.017806026,dark
0804_04_,110,0804_04_110,0.133068904,87.5,29.04190596,291.2146286,-9.6827496,0 mM,2.916666667,-20.82311742,-2.082311742,0.858509058,dark
0804_04_,110,0804_04_110,0.174982083,88.5,29.1531688,291.3207386,-9.7888596,0 mM,2.95,-21.05131097,-2.105131097,1.128916665,dark
0804_04_,110,0804_04_110,0.370198884,89.5,29.22922761,291.5687529,-10.0368739,0 mM,2.983333333,-21.58467505,-2.158467505,2.388379897,dark
0804_04_,110,0804_04_110,0.156133535,90.5,29.32141003,291.7701402,-10.2382612,0 mM,3.016666667,-22.01776602,-2.201776602,1.007313129,dark
