time,condition,2017-06-27_2d_nnxnn_03,2017-06-27_2d_nnxnn_04,2017-06-30_2d_nnxnn_03
30,dark_30,-0.326461027,-0.412423428,0.642485329
60,dark_60,-0.065848116,-0.279951391,0.59867879
90,dark_90,-0.006826471,-0.203925501,0.388192026
120,dark_120,-0.048105479,-0.128647891,0.152192639
150,dark_150,-0.042840604,-0.059453988,0.08068174
180,dark_180,-0.012311914,-0.053995018,0.045382118
210,dark_210,-0.035710152,-0.034769612,0.036435169
240,dark_240,-0.041358106,-0.011995564,0.01634209
270,sideUV_30,-0.071937399,0.014803989,0.094519058
300,sideUV_60,0.002730228,0.084957731,0.056689737
330,sideUV_90,-0.016223846,0.037002488,0.029377167
360,sideUV_120,-0.019565432,-0.002898813,0.03492654
390,dark1_30,-0.02227754,-0.060760973,0.012102433
420,dark1_60,0.022941094,0.000313994,-0.010437016
450,dark1_90,0.030874057,0.012506507,-0.013827215
480,dark1_120,0.034753873,0.025610794,-0.002785112
510,top488_30,0.248861668,0.341220656,0.284531564
540,top488_60,0.233536025,0.403630556,0.272188203
570,top488_90,0.188851966,0.359462301,0.212809016
600,top488_120,0.152966695,0.351095119,0.17056472
630,dark2_30,-0.004529868,0.021433532,-0.016763969
660,dark2_60,-0.007508987,-0.024467225,-0.074095252
690,dark2_90,0.019239154,-0.006840385,-0.037111973
720,dark2_120,-0.016216051,0.059307553,-0.082619249
750,top395_30,0.135095744,0.340808271,0.067503983
780,top395_60,0.086172487,0.265097031,0.045485997
810,top395_90,0.047495232,0.18127571,-0.011409995
840,top395_120,0.020824624,0.124832232,-0.050274677
870,dark3_30,-0.121637969,-0.238399225,-0.219982622
900,dark3_60,-0.101294502,-0.231888048,-0.19292207
930,dark3_90,-0.107059469,-0.200275897,-0.178858834
960,dark3_120,-0.099403127,-0.155196701,-0.183097397
990,dark3_150,-0.082899483,-0.111943807,-0.236707465
1020,dark3_180,-0.107520804,-0.066082328,-0.205876662
