time,condition,2017-08-04_3d_L_0mM_00,2017-08-04_3d_L_0mM_03,2017-08-06_3d_L_0mM_00,2017-08-07_3d_L_0mM_00,2017-08-08_3d_L_0mM_00,2017-08-08_3d_L_0mM_03,2017-08-09_3d_L_0mM_06,2017-08-15_3d_L_0mM_00,2017-08-15_3d_L_0mM_03,2017-08-15_3d_L_0mM_06,2017-08-16_3d_L_0mM_00,2017-08-17_3d_L_0mM_00,2017-08-17_3d_L_0mM_03,2017-08-21_3d_L_0mM_03,2017-08-21_3d_L_0mM_06
30,dark_30,0.325652217,-0.034412413,-0.243279022,0.208212293,0.041831338,-0.353792453,-0.360909054,-0.081770206,-0.333498731,-0.526570463,-0.321721124,-0.052386732,-0.183690652,-0.039106095,0.187336693
60,dark_60,0.36159786,-0.178284468,-0.070601813,0.059945656,-0.007418276,-0.256369137,-0.298749653,0.250687009,-0.292148461,-0.376611488,-0.19704882,0.021245128,-0.219743157,0.064769819,0.240639687
90,dark_90,0.355226808,-0.150179341,0.03432467,0.011063029,0.079207033,-0.158602969,-0.264630871,0.264520622,-0.23375182,-0.234917144,-0.04788516,0.040461109,-0.226068571,0.138874205,0.292500591
120,dark_120,0.235874766,-0.176524204,0.073731063,-0.0466154,0.122329438,-0.081798219,-0.224844842,0.300902248,-0.183315367,-0.187328449,0.03029911,0.12041052,-0.198958703,0.164001744,0.276631237
150,dark_150,0.073033362,-0.123476847,0.044969425,-0.05619674,0.179275397,-7.33E-05,-0.2057649,0.255595516,-0.131416628,-0.056487847,-0.062101961,0.086353907,-0.142408594,0.124087284,0.243472202
180,dark_180,0.037432353,-0.02884315,0.058865879,-0.119710101,0.188029139,0.079977211,-0.185155307,0.209426827,-0.135847308,0.050588059,0.019394721,0.146811816,-0.09815067,0.102270004,0.177170141
210,dark_210,-0.042301079,-0.010576558,0.06805067,-0.084196552,0.251025303,0.139812748,-0.153481635,0.205418822,-0.109628629,0.109172577,0.126848903,0.186557281,-0.086521065,0.105046646,0.095605536
240,dark_240,-0.045382734,-0.04033662,0.04552109,-0.038813265,0.251068006,0.169269074,-0.126133055,0.263369829,-0.157584399,0.136323024,0.127456077,0.233255154,-0.0077708,0.094817381,0.105394225
270,sideUV_30,-0.217297497,0.025130678,-0.057101773,-0.108954836,0.256928427,0.069332612,-0.162735935,-0.20696483,-0.120410291,-0.029288464,0.048665207,0.077958633,-0.029905516,-0.168639695,-0.253023441
300,sideUV_60,-0.405406241,-0.108624882,-0.133366187,-0.228150792,0.167904994,-0.012271874,-0.159071959,-0.467500925,-0.303213801,0.019186905,-0.054873043,-0.021412909,-0.153372455,-0.122012364,-0.259333816
330,sideUV_90,-0.441043997,-0.172610599,-0.207026178,-0.293085816,0.071748328,-0.121638034,-0.13385824,-0.449555027,-0.231058438,0.031843318,-0.11515944,-0.125311675,-0.155236278,-0.161776,-0.298532059
360,sideUV_120,-0.381322302,-0.169294941,-0.195326268,-0.339783497,0.001705823,-0.122018663,-0.137213504,-0.324162817,-0.211322928,0.078081066,-0.112279027,-0.06659575,-0.137798988,-0.103406538,-0.269951826
390,dark1_30,-0.271852124,-0.167958259,-0.120425429,-0.155206239,-0.248949519,-0.236382723,-0.156602786,-0.099081447,-0.187140418,-0.039703249,-0.241417358,-0.026989408,-0.105389428,-0.134889947,-0.185079228
420,dark1_60,-0.232937029,-0.222494005,0.078493082,-0.285972013,-0.276397814,-0.08706354,-0.144205219,0.116742655,-0.131707942,-0.179329445,-0.065505858,-0.043905436,-0.018319086,-0.033549293,0.014216818
450,dark1_90,-0.209785456,-0.162023904,0.085571095,-0.181945775,-0.153039816,0.04237119,-0.120558284,0.100990361,-0.190758064,-0.159297826,0.003195123,-0.035015461,0.016580449,-0.015462058,0.08074189
480,dark1_120,-0.099442799,-0.101971133,0.079771588,-0.071688828,-0.099890854,0.021254322,-0.132590166,0.092855795,-0.073878193,-0.072015779,0.09118196,-0.014477411,-0.001916372,-0.046757466,0.064512423
510,top488_30,-0.084319274,0.257646827,0.071797442,0.247057869,0.365135886,0.330093837,0.034825757,0.315134139,0.231783927,0.254007328,0.339089999,0.159142282,0.134063822,0.209561153,0.188404083
540,top488_60,0.2238973,0.406963519,0.251784864,0.327591672,0.474531172,0.513745221,0.141994104,0.444643181,0.435392769,0.32664158,0.341725288,0.451812043,0.216136914,0.207354807,0.321029797
570,top488_90,0.310530927,0.372896093,0.226470444,0.388257697,0.526084358,0.521547296,0.202106406,0.460676888,0.40704218,0.344181391,0.289609002,0.517387968,0.267971864,0.231287428,0.337262117
600,top488_120,0.353759077,0.305597325,0.246554765,0.441394039,0.534256401,0.498578549,0.208809963,0.402264976,0.451373677,0.320954595,0.331314754,0.539914473,0.248258927,0.239008056,0.3763626
630,dark2_30,0.134606148,-0.104232382,0.158020969,0.305897636,0.161305427,0.065078286,-0.334876918,0.077836801,-0.066995417,0.221390489,-0.033053209,0.296108061,-0.05705816,0.016227005,0.111171169
660,dark2_60,-0.002838138,-0.329576444,0.144543384,0.150453347,-0.046076857,-0.155748681,-0.272595927,0.118622786,-0.290314848,-0.17010671,-0.079460002,0.195925047,-0.126769039,-0.05734148,-0.005895403
690,dark2_90,0.031540104,-0.237343901,0.143359376,0.15273681,0.004889092,-0.146422604,-0.158074768,0.180875307,-0.117388122,-0.357684502,0.014008255,0.226890717,-0.073654044,-0.053566232,0.095164189
