time,condition,2017-08-04_3d_L_0.1mM_01,2017-08-04_3d_L_0.1mM_04,2017-08-06_3d_L_0.1mM_01,2017-08-07_3d_L_0.1mM_01,2017-08-08_3d_L_0.1mM_01,2017-08-08_3d_L_0.1mM_04,2017-08-09_3d_L_0.1mM_05,2017-08-15_3d_L_0.1mM_01,2017-08-15_3d_L_0.1mM_04,2017-08-15_3d_L_0.1mM_07,2017-08-16_3d_L_0.1mM_01,2017-08-17_3d_L_0.1mM_01,2017-08-17_3d_L_0.1mM_04,2017-08-21_3d_L_0.1mM_04,2017-08-21_3d_L_0.1mM_07
720,dark2_120,0.072588701,0.098277804,0.143714081,0.090316674,0.120745782,0.141165656,0.026277539,0.112193293,0.00932554,0.085103329,0.045529225,0.282703898,0.073680369,0.210202621,0.123305056
750,top395_30,0.055316217,0.395399382,0.064634636,0.082283679,0.226444183,0.31517142,0.142512374,0.2028619,0.266900334,0.291016915,0.22160392,0.286323061,0.148627639,0.219211353,0.048257281
780,top395_60,0.055881548,0.228726441,-0.221678299,-0.263042685,0.162023179,0.235232025,0.204486304,-0.008954933,0.148229425,0.108859588,0.074976818,-0.030563611,0.013038997,-0.02599634,-0.23631582
810,top395_90,-0.007461951,0.058677772,-0.259495662,-0.419244821,-0.027877161,0.155384321,0.179551734,-0.100101075,0.026788384,-0.048986622,-0.051621949,-0.418472016,-0.079708659,-0.009333318,-0.357788482
840,top395_120,-0.074338586,-0.01636827,-0.221396467,-0.337274684,-0.089689291,0.057269172,0.113513152,-0.126873648,-0.019147839,-0.160720396,-0.159058057,-0.560044036,-0.117175269,0.053047984,-0.20766483
870,dark3_30,-0.239239919,-0.458294054,-0.097469783,-0.051672361,-0.371343382,-0.509023018,-0.322103565,-0.400839578,-0.222715199,-0.455796701,-0.409694379,-0.295707929,-0.322726252,0.029763552,-0.05674665
900,dark3_60,-0.30921877,-0.482548674,-0.027001539,-0.222429836,-0.347849641,-0.490981815,-0.438685318,-0.229328613,-0.299387242,-0.493911866,-0.41820274,-0.264265693,-0.35082494,0.033823595,-0.027486682
930,dark3_90,-0.254610316,-0.336505659,0.010653275,-0.146861841,-0.164526253,-0.244095534,-0.173670089,-0.155149989,-0.189665474,-0.359334003,-0.325082352,-0.157931079,-0.288777932,0.023311655,0.020713429
960,dark3_120,-0.173964152,-0.242672687,0.0117204,-0.120581419,-0.046218191,-0.131233132,-0.122463558,-0.151961182,-0.103031988,-0.170333731,-0.220186523,-0.129586714,-0.099466131,0.009346502,0.001302509
990,dark3_150,-0.098840632,-0.187727632,0.017259563,-0.087214504,-0.000141809,-0.074717026,0.00738827,-0.116313052,-0.07331349,-0.10364129,-0.154943841,-0.066715788,-0.047689758,0.003703175,-0.011288741
1020,dark3_180,-0.094371402,-0.030254695,0.01232508,-0.082024558,0.040774932,-0.027737977,-0.039766638,-0.039745013,-0.072848281,-0.054415723,-0.050624995,-0.048642138,-0.030288902,0.014479902,0.049319981
