frame,WT_cPRC,WT_cPRC,WT_cPRC,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa
11,1.065663,1.066701,0.952329,1.172622,1.267873,0.963726,1.001427,1.133685,1.004795,1.021952,1.028892,0.930797,1.161147,0.977363,1.063926,1.026949,0.990113,0.968343,1.092302,1.082406,1.053788,0.95826,1.042168,1.002623,1.006009,1.048028,1.153631,1.018446,1.040016,1.031605,0.915838,1.05085,1.019907,0.999948,0.954735,1.007457,1.077869,1.009206,1.059267,1.023973,1.041318,1.05561,0.994143,1.009969,0.972017,1.029497,0.947484,1.023029,1.02939,1.041091,1.023464,1.026135,0.988125,0.977956,1.007956
12,1.070353,1.066536,0.96286,1.142301,1.264638,0.922923,0.999265,1.083149,1.010689,1.028264,1.008347,0.928946,1.155294,0.9781,1.058158,1.023538,0.988518,0.979482,1.090035,1.081583,1.054318,0.954117,1.049488,1.002521,1.001243,1.056937,1.159149,1.015963,1.046046,1.053991,0.90704,1.037759,1.02323,0.996925,0.965082,1.023712,1.079291,1.002327,1.071464,1.020492,1.015789,1.088549,1.016601,0.997395,0.955236,1.024465,0.962638,1.006959,1.047855,0.999764,1.001966,1.039202,0.992679,0.982743,1.002605
13,1.055072,1.077872,0.973122,1.13859,1.269513,0.892865,1.010941,1.078159,1.001032,1.03744,1.05164,0.931736,1.15378,0.97167,1.067093,1.018985,0.973166,1.002315,1.087383,1.082588,1.053615,0.952747,1.045267,1.011535,1.006865,1.055668,1.166376,1.022472,1.040272,1.044348,0.902948,1.0402,1.022198,0.970914,0.971617,1.014196,1.083855,1.014239,1.055539,1.015051,1.00123,1.093846,1.022415,1.001586,0.960773,1.036323,0.967677,1.012708,1.051425,1.026679,0.961855,1.030422,0.962288,0.983393,0.998604
14,1.050005,1.065833,0.957021,1.119628,1.253611,0.898371,1.054359,1.064666,1.001965,1.025574,1.038844,0.932256,1.153078,0.977134,1.055764,1.010517,0.959669,1.011893,1.079316,1.103561,1.056121,0.941494,1.050289,1.009535,1.014748,1.063355,1.176149,1.028727,1.04272,1.039023,0.917962,1.019788,1.029147,0.990231,0.958803,1.015288,1.083855,1.015453,1.043857,1.02906,1.032169,1.103206,0.991742,0.999943,0.954206,1.051364,0.953171,1.016137,1.045365,1.010959,0.965631,1.032931,0.994637,0.977779,1.029869
15,1.038192,1.058838,0.969436,1.130584,1.273796,0.893842,1.149628,1.052802,1.013086,1.063686,1.024948,0.942838,1.133445,0.97954,1.052238,1.013535,0.95093,1.023124,1.067958,1.114766,1.059911,0.934981,1.060541,1.014433,1.010022,1.080892,1.178307,1.034918,1.03797,1.024585,0.92499,1.030609,1.040861,1.019667,0.956272,1.010078,1.09139,1.01262,1.069246,1.014405,1.054501,1.097991,1.017696,0.980799,0.949742,1.054397,0.966885,1.010388,1.05208,1.006541,0.974525,1.02313,1.004171,0.976006,1.020517
16,1.035489,1.047634,0.979804,1.124547,1.281861,0.867402,1.204636,1.032002,1.007925,1.067677,1.037698,0.94806,1.123227,0.981074,1.041485,1.004928,0.94885,1.027066,1.053307,1.120358,1.055846,0.937486,1.062996,1.022649,1.011957,1.069961,1.149764,1.036207,1.043634,1.046335,0.919232,1.018501,1.037932,0.990166,0.956945,1.024492,1.077571,1.000101,1.054793,1.022973,1.028578,1.114515,1.043356,0.997508,0.958026,1.06291,0.970161,1.014053,1.04794,1.010487,0.991196,1.022022,0.97361,0.984694,1.038615
17,1.030899,1.031073,0.990101,1.12003,1.265139,0.869334,1.227815,1.007867,1.017682,1.064229,1.010594,0.957161,1.118828,0.98464,1.046491,1.000545,0.949111,1.038787,1.043299,1.116149,1.042307,0.93088,1.070193,1.013462,1.000733,1.056138,1.029085,1.039295,1.038225,1.045699,0.933841,1.022985,1.038524,1.018785,0.965402,1.02262,1.026103,0.99216,1.084541,1.023139,0.96424,1.092721,1.011545,0.979213,0.992103,1.049555,0.981283,1.025483,1.034625,1.002488,0.990704,1.03156,0.998638,0.993145,1.028892
18,1.032141,1.033892,0.979242,1.118107,1.238757,0.853128,1.199663,1.004532,1.029703,1.050238,1.020546,0.957641,1.105531,0.98464,1.043618,1.000183,0.952702,1.0295,1.033243,1.121235,1.041105,0.933349,1.062665,1.014897,0.997372,1.059453,1.033636,1.030828,1.041587,1.022041,0.93382,1.013867,1.037143,0.998819,0.945701,1.017223,0.917937,1.011937,1.085287,1.001897,0.991097,1.085502,1.033875,1.007137,0.978026,1.036759,0.97556,1.022424,1.056717,0.995711,0.983799,1.029926,0.996637,0.980498,1.032055
19,1.030055,1.014726,0.980529,1.096328,1.219711,0.851419,1.161391,0.989664,1.03896,1.070324,1.006283,0.967399,1.106868,1.005007,1.047351,0.996465,0.955127,1.024884,1.018014,1.117282,1.030083,0.931185,1.062465,1.015476,0.997861,1.055057,1.070042,1.028218,1.027664,1.007418,0.934903,1.015266,1.034124,1.00131,0.940351,1.011607,0.925102,1.00263,1.060318,1.018011,1.012002,1.082675,1.008216,0.963806,0.982318,1.054587,0.972104,1.017347,0.942273,1.008214,0.994927,1.027272,0.98506,0.98168,1.021401
20,1.018609,1.003059,0.979535,1.087518,1.160295,0.853239,1.12727,0.97976,1.033332,1.059825,1.002476,0.965789,1.101446,1.005032,1.051225,0.992465,0.954735,1.014816,1.00574,1.125282,1.03377,0.925509,1.044814,1.012622,0.998757,1.048333,1.010552,1.037337,1.024594,1.01065,0.935944,1.005524,1.040982,0.991529,0.938333,1.011294,1.02471,0.992236,1.058942,1.003335,0.960846,1.096454,1.02132,1.011555,0.993691,1.070172,0.974228,1.00827,0.891857,1.019409,0.979196,1.022839,0.997787,0.983098,1.034614
