frame,WT_cPRC,WT_cPRC,WT_cPRC,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa
41,0.98156,1.029799,1.060355,1.000939,0.958172,0.914843,1.024261,0.973574,1.019746,1.014056,1.006421,1.027077,0.962536,0.992841,1.027512,0.989385,1.00471,1.038112,0.984675,1.037318,1.022269,1.002086,1.005675,1.039212,0.997678,1.041375,1.009361,1.018796,1.007674,0.9778,1.000167,1.004011,1.020225,0.961677,0.943362,1.010109,1.005531,0.994259,1.051619,1.037398,1.016281,1.055693,1.025322,0.995809,1.020515,1.055648,1.020121,1.022121,1.020086,0.978425,0.978838,0.979261,1.031242,1.005142,1.045408
42,0.987879,1.018414,1.051883,1.006976,0.973254,0.916863,0.99494,0.984165,1.022244,1.014143,1.009402,1.027975,0.958814,0.996196,1.040179,0.990023,1.013608,1.026987,0.988473,1.014888,1.021617,1.005903,1.014665,1.042226,0.997046,1.030396,1.016671,1.026547,1.01692,0.990595,1.015171,1.00227,1.026279,0.966529,0.948007,1.018346,0.998066,0.993854,1.052346,1.048259,1.009739,1.047348,1.027471,0.996432,1.022189,1.010063,1.072061,1.024374,1.014126,0.964957,0.980291,0.972494,0.979356,0.997163,1.037034
43,0.986855,0.990987,1.050819,0.97925,0.964597,0.915664,1.018293,0.992642,1.018148,1.016724,1.019445,1.017016,0.956074,0.999627,1.049996,0.989992,1.015315,1.046182,0.985458,1.02187,1.023736,1.003164,1.015936,1.031663,1.002607,1.036814,1.004751,1.019751,1.015349,0.99849,1.000458,1.00193,1.019209,1.011261,0.949737,1.014196,1.025535,1.007309,1.053206,1.044924,1.00669,1.036534,1.027345,0.9919,1.057639,1.060543,1.09409,1.011666,0.995064,0.974264,0.976737,0.983666,0.974589,1.003132,1.042989
44,0.990611,0.994088,1.052234,0.985421,0.971021,0.937553,1.011936,0.99305,1.007825,1.009544,1.012612,1.007648,0.957571,0.993053,1.063022,0.989483,1.018766,1.06793,0.969928,1.004081,1.029156,1.007961,1.017007,1.010303,0.993624,1.021111,1.006013,1.019576,1.012206,1.018121,1.001853,0.992319,1.020301,1.012325,0.93199,1.014165,1.016677,1.006677,1.063301,1.036398,0.990113,1.031209,1.023468,0.994393,1.013219,1.043286,1.028652,1.018423,0.98741,0.985588,0.96952,0.979232,0.986167,1.001537,1.013213
45,0.981361,0.993749,1.051497,0.974599,0.971249,0.940217,0.992216,0.997505,1.001332,1.009848,1.01839,0.999267,0.954204,0.995806,1.051693,0.992411,1.022171,1.039713,0.962958,1.00885,1.033597,1.002512,1.009992,1.012013,0.995335,1.016738,1.017142,1.027963,1.008186,1.016955,1.01616,0.989482,1.023336,1.006993,0.927922,1.007738,1.016492,1.007865,1.035789,1.03104,0.993458,1.012983,1.022794,0.999264,1.027597,1.040988,0.987042,1.031568,0.982076,0.968066,0.979464,0.978678,0.978505,1.008274,1.029636
46,0.985763,1.008483,1.043681,0.970663,0.975532,0.949585,1.000735,0.987016,0.992741,0.994404,1.009723,0.982189,0.955888,1.004007,1.037002,0.995594,1.010418,1.025651,0.954422,1.010038,1.031427,1.002199,1.018042,1.002855,0.996639,1.009051,1.015963,1.026642,1.009136,1.018518,1.019721,0.990674,1.020119,0.997276,0.937404,1.015475,1.020871,1.001998,1.047891,1.017636,0.997098,1.018583,0.997641,0.987369,1.028884,1.058123,0.986178,1.01728,0.982261,0.988912,0.970883,0.982091,0.980591,1.008037,1.041267
47,0.984948,1.008889,1.022408,0.982112,0.97011,0.952315,1.002422,0.983961,1.007159,0.983298,1.006191,0.985663,0.960506,1.003033,1.027904,1.000129,1.009868,1.020201,0.962042,1.00199,1.031193,0.993813,1.015579,0.984727,0.982665,1.014176,1.021764,1.018748,0.998977,1.012504,1.011839,0.98165,1.01713,0.992657,0.932695,1.005866,0.999403,0.997648,1.021986,1.027413,1.006788,1.012242,0.996039,0.995299,1.030515,1.029619,1.003635,1.016036,0.964009,0.994403,0.977654,0.985708,0.971567,0.957863,1.005955
48,0.979523,1.006028,1.00949,0.996646,0.98387,0.92905,0.999827,0.998192,1.008325,0.992018,1.010823,0.995258,0.966546,1.007735,1.02046,1.000214,1.00859,1.015465,0.978694,1.007764,1.017053,0.998751,1.007006,0.991929,0.988328,1.013,1.01469,1.0113,0.995103,1.008663,1.018961,0.989936,1.01361,1.025298,0.929908,0.999563,1.005417,0.992742,1.032176,1.018261,1.043876,1.004556,1.002149,0.997791,1.032318,1.017638,0.986214,0.998756,0.982076,0.977824,0.972313,0.98177,0.980463,0.994445,1.025821
49,0.983756,0.997867,1.004154,0.990474,0.971932,0.975625,0.999222,0.988187,0.999201,1.01039,0.985645,1.000596,0.971291,1.003253,1.017848,1.002839,1.007807,1.004088,0.996154,0.99662,1.021648,1.000419,1.002019,0.987016,0.998289,1.005313,1.004975,1.015565,0.994774,1.003444,1.013879,0.998127,1.009984,1.021626,0.965659,1.00103,1.009526,1.001593,0.995737,1.002147,0.994737,1.00247,0.985422,0.995016,1.015451,1.024342,1.00162,1.004337,0.98559,0.98666,0.979866,0.980049,0.969269,0.980025,0.979855
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,1.007531,0.995791,0.991002,0.995752,1.00164,1.016605,0.992475,1.011151,0.997236,1.00449,1.000275,0.998664,1.007596,1.00338,0.998161,0.99654,0.996857,0.998928,1.005342,0.991251,0.987521,0.997077,1.004674,1.006477,0.997372,1.015563,0.991842,1.007098,0.984505,0.992476,1.000833,1.015493,1.003399,0.975831,0.970304,0.992762,1.025435,1.001821,0.992353,1.009026,0.984309,1.013587,1.04542,0.98567,0.98721,1.044211,0.976784,1.003059,1.00027,0.993909,0.983128,0.987254,0.9668,0.991194,1.000837
52,1.007084,1.009649,0.987105,0.985197,1.014125,0.997403,0.990486,0.997811,0.989411,0.993536,1.004907,0.991961,1.007088,0.995603,0.998531,1.108014,0.990309,0.988927,0.984699,0.979621,0.983558,0.993004,1.009025,1.010433,0.996109,1.016644,1.002252,1.015104,0.990389,0.985588,1.001926,1.005448,1.007784,0.999948,0.940511,0.999376,0.936846,0.999494,1.019634,1.008776,0.979833,1.009552,1.032485,0.988275,0.983648,1.018699,0.987006,0.99768,0.966157,0.979626,1.022883,0.979903,0.949306,0.990781,1.00549
53,1.142732,1.095517,1.07676,0.996243,1.013715,1.010012,0.985297,0.973421,0.971563,0.892432,1.0349,0.988281,1.360071,1.31363,0.998629,1.128946,0.979452,1.168285,1.331288,0.982926,0.98313,0.993182,1.397791,1.308815,1.00992,1.06004,1.221658,1.337593,1.204027,1.235754,1.396768,1.078659,1.369035,0.925534,0.916613,0.928739,0.889829,0.947825,0.947195,0.909068,1.004968,1.018692,1.0549,0.979553,1.012318,0.966342,0.945792,1.00074,0.914675,0.937677,0.986212,0.980224,0.957564,0.989303,1.034056
54,1.281411,1.187503,1.149401,0.999329,1.027703,1.003774,0.992778,0.966598,0.946222,0.871348,1.005136,0.991084,1.445496,1.371248,1.193126,1.128088,1.355681,1.176209,1.426182,0.981436,1.156169,1.407446,1.495949,1.412526,1.217188,1.113663,1.264159,1.424952,1.264691,1.28042,1.448319,1.119351,1.448966,0.881295,0.918888,0.917257,0.885933,0.955969,0.924903,0.898291,0.993802,1.019351,1.08056,0.980629,1.001288,0.922131,0.911777,0.919718,0.88749,0.933624,0.997743,0.984949,0.945305,1.001832,1.009305
55,1.33843,1.228548,1.186904,1.000447,1.026883,0.999068,0.976172,0.936836,0.928574,0.86317,1.024169,0.989871,1.470762,1.383092,1.228169,1.125865,1.431044,1.161723,1.428919,0.987412,1.192985,1.448093,1.562356,1.439986,1.26294,1.11766,1.269276,1.447631,1.250365,1.285956,1.513833,1.125877,1.462591,0.887276,0.909982,0.899504,0.87301,0.949949,0.922342,0.893433,1.008903,1.007274,1.073313,0.965845,0.965064,0.922009,0.917321,0.908556,0.900634,0.905979,1.001743,0.984891,0.950115,0.989835,0.997999
56,1.363527,1.245043,1.21219,0.992576,1.034355,1.001554,0.977642,0.949973,0.916087,0.868658,0.921394,0.969716,1.456636,1.362708,1.214881,1.117772,1.464743,1.104561,1.408506,0.993963,1.190978,1.470549,1.596029,1.427394,1.272555,1.106352,1.263287,1.443016,1.228695,1.234482,1.503951,1.129509,1.448374,0.901962,0.924974,0.901345,0.898999,0.953591,0.902592,0.87119,1.004427,0.983641,1.095938,0.940527,1.017854,0.939837,0.912893,0.902337,0.897548,0.911834,1.010994,0.981187,0.931302,0.978961,1.0154
57,1.372509,1.241636,1.200267,0.992174,1.021187,0.975669,0.970204,0.936531,0.918118,0.854971,0.907682,1.192334,1.415282,1.325669,1.18195,1.105528,1.455258,1.048365,1.377541,1.315945,1.177541,1.439068,1.617144,1.421757,1.262105,1.101768,1.259078,1.416899,1.190908,1.196307,1.496746,1.118745,1.420411,0.878208,0.93718,0.901158,0.899539,0.944664,0.911196,0.879633,0.97939,1.003431,1.076009,0.950382,0.97133,0.942571,0.934634,0.913633,0.909141,0.887514,0.987352,0.975061,0.90555,0.962473,1.024053
58,1.368922,1.221123,1.191327,0.999598,1.015082,0.994495,0.964107,0.923445,0.903067,0.845405,0.906214,1.364629,1.374358,1.28663,1.141738,1.094488,1.43263,0.99234,1.364531,1.463617,1.153744,1.401202,1.607605,1.390891,1.23157,1.082232,1.251603,1.398883,1.153413,1.144276,1.474766,1.106373,1.393555,0.892543,0.929235,0.903716,0.898942,0.938164,0.909915,0.886158,1.005657,1.00538,1.076725,0.94755,0.989528,0.952253,0.925707,0.888418,0.91146,0.905636,0.983911,0.968411,0.917596,0.965073,1.053829
59,1.345594,1.218783,1.181896,1.012835,1.050759,0.974515,0.978161,0.916037,0.920815,0.820134,0.90149,1.40152,1.343898,1.262392,1.102473,1.080525,1.409956,0.957244,1.340331,1.493318,1.13175,1.360313,1.604942,1.358142,1.2057,1.071748,1.236477,1.358967,1.13039,1.097624,1.455514,1.087815,1.367017,0.899056,0.947495,0.896789,0.907259,0.945448,0.898673,0.888347,1.017954,1.008207,1.081023,0.93322,0.986996,0.944556,0.92146,0.897596,0.93314,0.911234,0.990838,0.966311,0.924747,0.948289,1.029776
60,1.336056,1.192919,1.170674,1.00313,1.052034,0.959464,0.990875,0.911759,0.932869,0.821088,0.904059,1.418989,1.308761,1.218906,1.05868,1.057464,1.37579,0.918364,1.331999,1.500361,1.107698,1.316629,1.589154,1.328348,1.177283,1.054257,1.215291,1.326405,1.096404,1.044374,1.426568,1.086075,1.332226,0.912029,0.949801,0.902437,0.906861,0.944082,0.899725,0.89408,0.980718,1.003541,1.045546,0.904106,0.982403,0.971496,0.904327,0.891948,0.911432,0.928498,1.011866,0.957327,0.904188,0.933278,1.035777
61,1.310959,1.162946,1.169703,1.038996,1.080421,0.971141,1.007308,0.887472,0.927475,0.830654,0.904838,1.424019,1.267457,1.180443,1.023474,1.0351,1.343836,0.888718,1.274676,1.49663,1.082689,1.273924,1.585376,1.300772,1.154407,1.041586,1.204527,1.28972,1.072796,1.017697,1.394727,1.058871,1.302199,0.924587,0.940607,0.900846,0.898416,0.943804,0.924043,0.894705,0.994048,1.010924,1.027935,0.918946,0.990944,0.93195,0.929451,0.903009,0.914576,0.954126,1.003486,0.973545,0.91334,0.942261,1.037266
62,1.287611,1.129806,1.148641,1.022763,1.063653,0.981619,1.00653,0.896891,0.917885,0.812824,0.902545,1.41709,1.223607,1.147606,1.011688,1.007848,1.307451,0.881919,1.273892,1.489777,1.051965,1.22775,1.557525,1.279456,1.135768,1.023955,1.168191,1.260787,1.04389,0.974064,1.354807,1.047559,1.26413,0.921097,0.941152,0.902936,0.89725,0.944234,0.934252,0.884157,1.012986,1.020202,1.065771,0.920702,0.966867,0.960141,0.981175,0.903917,0.909682,0.929828,0.992268,0.95899,0.903124,0.945039,1.030241
63,1.263418,1.101371,1.128468,1.032646,1.072675,0.947054,0.990789,0.86825,0.911725,0.820655,0.930016,1.422861,1.195016,1.112244,0.959059,0.978627,1.273481,0.867592,1.259242,1.470956,1.020721,1.185854,1.555663,1.248736,1.111752,1.006441,1.155624,1.228908,1.010707,0.928869,1.336721,1.040919,1.234467,0.908837,0.948744,0.90278,0.893824,0.947699,0.951669,0.892808,0.968765,1.021382,1.03851,0.898895,0.98,0.937906,1.005435,0.898,0.895912,0.929463,1.029095,0.952135,0.894782,0.948998,1.049363
64,1.24305,1.056482,1.101754,1.034972,1.073085,0.928362,0.991264,0.86517,0.91259,0.831934,0.939509,1.439226,1.161739,1.080627,0.936074,0.957945,1.239297,0.844468,1.250283,1.480879,0.991046,1.145895,1.546951,1.238737,1.091361,1.009709,1.150035,1.18928,0.988342,0.902986,1.305036,1.029852,1.204713,0.903804,0.916741,0.916633,0.909762,0.94914,0.927981,0.911007,0.954452,1.017128,1.054942,0.902974,0.982532,0.913509,0.952919,0.902538,0.914675,0.950909,1.002279,0.953827,0.901124,0.939129,1.059458
65,1.22303,1.028204,1.079054,1.035687,1.064519,0.922923,0.994551,0.886988,0.907362,0.826012,0.93795,1.439021,1.136837,1.039335,0.906843,0.92763,1.20225,0.81924,1.249488,1.463529,0.968023,1.111207,1.5438,1.219102,1.063087,0.987964,1.132374,1.164356,0.961519,0.86293,1.271165,1.004086,1.174959,0.913456,0.940543,0.902499,0.922685,0.930981,0.92649,0.904086,0.972356,1.020641,1.029999,0.885358,0.948798,0.942312,0.927147,0.902841,0.899724,0.934589,1.019486,0.944231,0.928875,0.93251,1.053829
66,1.177029,1.004382,1.032986,1.028308,1.056545,0.909293,0.988454,0.85132,0.937165,0.814885,0.929787,1.399204,1.114996,1.005414,0.870941,0.898338,1.181665,0.819439,1.228001,1.443858,0.94391,1.076513,1.543583,1.200727,1.044163,0.959989,1.12345,1.126733,0.946097,0.842822,1.243406,0.998203,1.149499,0.903142,0.931862,0.910767,0.923652,0.95172,0.948476,0.913258,0.951697,1.022343,1.029409,0.890343,0.952747,0.919275,0.928335,0.913397,0.913551,0.912778,1.000313,0.956452,0.892058,0.916553,1.093887
67,1.129528,0.981876,1.00688,1.043111,1.016266,0.900724,0.993167,0.849894,0.908961,0.833301,0.937858,1.377047,1.084469,0.968747,0.844724,0.872733,1.154551,0.804953,1.224251,1.430218,0.930035,1.037944,1.528691,1.174731,1.014381,0.935963,1.114148,1.108637,0.918543,0.810369,1.217938,0.979664,1.141502,0.899302,0.937052,0.912951,0.907899,0.935635,0.936164,0.9069,0.984456,1.02259,1.009775,0.890683,0.987554,0.919588,0.914585,0.915045,0.891615,0.898237,0.986615,0.954235,0.905848,0.919626,1.075789
68,1.09542,0.955417,0.984309,1.030723,1.018545,0.908427,1.014011,0.831157,0.903466,0.824603,0.936299,1.36674,1.053578,0.943213,0.825374,0.84453,1.123566,0.79728,1.233752,1.402682,0.90091,1.01016,1.507202,1.152328,0.999776,0.963609,1.08432,1.092054,0.901147,0.782367,1.195354,0.989028,1.119562,0.89794,0.931477,0.904777,0.910615,0.94307,0.960483,0.922952,0.939203,1.04271,1.047316,0.885358,0.985408,0.948024,0.940069,0.917196,0.897092,0.906816,1.016581,0.955723,0.904571,0.923468,1.094631
69,1.083209,0.928015,0.97675,1.007826,1.006333,0.894397,1.006011,0.83994,0.905331,0.838008,0.934006,1.349779,1.02349,0.924727,0.799637,0.817309,1.099101,0.791182,1.218415,1.392854,0.877612,0.978204,1.458898,1.138707,0.99067,0.942451,1.076362,1.066478,0.889636,0.763716,1.12503,0.982066,1.100536,0.899652,0.924878,0.90487,0.912705,0.946333,0.938497,0.955243,0.982636,1.045784,1.048496,0.885018,0.987597,0.977208,0.924483,0.908859,0.893934,0.939114,0.996804,0.965232,0.904997,0.89776,1.061087
70,1.060636,0.912371,0.9621,1.013014,0.991616,0.890423,1.008649,0.808396,0.898671,0.843192,0.926622,1.343871,1.008636,0.91124,0.774867,0.796618,1.068387,0.788271,1.210505,1.379976,0.853631,0.953407,1.520579,1.144967,0.964983,0.940312,1.05817,1.048796,0.869866,0.749199,1.119959,0.962997,1.089672,0.894619,0.92821,0.907273,0.909947,0.935129,0.959737,0.972149,0.968519,1.048748,1.029409,0.901728,0.981245,0.93282,0.914117,0.904286,0.892313,0.920756,1.002279,0.989324,0.923768,0.921695,1.047641
71,1.03994,0.896661,0.948515,1.033943,0.976307,0.911934,1.062013,0.827338,0.883221,0.846055,0.950654,1.345345,0.980435,0.89289,0.746017,0.777441,1.05836,0.782583,1.188849,1.372306,0.842211,0.925722,1.509622,1.133983,0.959056,0.933448,1.038953,1.023539,0.86252,0.722865,1.109162,0.948317,1.072997,0.891778,0.939807,0.908614,0.927406,0.939403,0.955072,0.998103,0.973586,1.037083,1.038299,0.879184,1.009785,0.875133,0.923512,0.899681,0.895385,0.906816,1.007307,1.020418,0.884481,0.925832,1.050712
72,1.004968,0.875891,0.927136,1.02321,0.980681,0.909759,1.064089,0.813743,0.893843,0.822498,0.946388,1.341747,0.965243,0.872718,0.720812,0.75238,1.035611,0.767449,1.168037,1.353229,0.828805,0.897881,1.49809,1.113695,0.954085,0.926466,1.034709,1.013257,0.857916,0.7075,1.068054,0.946634,1.065714,0.939467,0.925615,0.908427,0.910615,0.939353,0.948151,0.986471,0.94786,1.030276,1.026291,0.884395,0.983906,0.953491,0.909366,0.905329,0.892156,0.919919,1.013274,1.004171,0.900741,0.91614,1.000744
73,0.980864,0.862471,0.911632,1.050579,0.960086,0.9346,1.070576,0.823264,0.887117,0.837748,0.959596,1.33244,0.946981,0.845616,0.706284,0.727034,1.014187,0.764327,1.142788,1.332742,0.812974,0.874957,1.477045,1.099233,0.94335,0.91892,1.025336,0.988127,0.843042,0.691711,1.04344,0.936532,1.057141,0.923406,0.933432,0.902905,0.912946,0.945372,0.964096,1.005316,0.939793,1.061567,1.013862,0.877202,0.964592,0.94797,0.898387,0.901631,0.910976,0.902526,0.899374,0.993233,0.896144,0.91413,1.006327
74,0.96772,0.842586,0.898667,1.055901,0.970064,0.899059,1.071873,0.84465,0.885885,0.835231,0.940748,1.326279,0.927246,0.82946,0.683909,0.70896,0.99363,0.764922,1.113536,1.303863,0.799018,0.851955,1.460787,1.081149,0.928561,0.902722,1.006142,0.976923,0.828717,0.679895,1.013224,0.936569,1.042803,0.933772,0.948648,0.908646,0.920937,0.931285,0.937751,0.995768,0.975307,1.059343,1.030673,0.868649,0.973305,0.947099,0.915917,0.899176,0.896566,0.90302,0.897028,1.002158,0.903294,0.916849,1.009538
75,0.943736,0.81272,0.881022,1.086266,0.966146,0.87515,1.04411,0.817129,0.884153,0.832216,0.956065,1.304466,0.905668,0.822767,0.663678,0.688541,0.967924,0.755913,1.104818,1.290999,0.793242,0.833764,1.464329,1.056935,0.9241,0.89654,1.010186,0.958509,0.814428,0.673007,0.995481,0.920944,1.025809,0.912509,0.940127,0.904527,0.913515,0.944158,0.944232,0.983031,0.991638,1.05594,1.010955,0.893005,0.93867,0.96418,0.900007,0.90116,0.90247,0.905507,0.895106,0.987604,0.890908,0.938774,1.018796
76,0.918798,0.797382,0.864336,1.088681,0.957488,0.873218,1.058554,0.841213,0.899371,0.819093,0.929374,1.295755,0.888598,0.817566,0.661229,0.677029,0.952767,0.7382,1.075494,1.268913,0.783503,0.814465,1.463763,1.036401,0.919945,0.893625,1.006531,0.941766,0.806096,0.659099,0.973147,0.917028,1.012927,0.924055,0.935354,0.90668,0.91171,0.940996,0.92649,1.015656,0.974078,1.05712,0.991068,0.869555,0.959313,1.010866,0.919336,0.90822,0.897604,0.931972,0.879955,1.001138,0.865881,0.911766,1.06011
77,0.89993,0.786964,0.862932,1.069407,0.951337,0.880367,1.033515,0.835179,0.875429,0.831717,0.933364,1.281946,0.865548,0.808001,0.65163,0.664164,0.93998,0.737141,1.051981,1.240669,0.779112,0.79699,1.460621,1.018461,0.919191,0.890615,0.996369,0.920551,0.797654,0.653827,0.948699,0.918446,1.002018,0.917309,0.939807,0.906992,0.91424,0.936899,0.934558,1.018866,0.978898,1.052454,0.988961,0.884225,0.955236,0.979506,0.907674,0.906875,0.90466,0.907888,0.887866,0.987662,0.881204,0.913362,1.02517
78,0.883616,0.773321,0.838535,1.078753,0.952385,0.864405,1.046445,0.828916,0.901668,0.823952,0.935795,1.282892,0.846812,0.796081,0.637504,0.641956,0.927584,0.721743,1.052114,1.229788,0.771574,0.786752,1.459812,1.005246,0.915382,0.881682,0.987031,0.902376,0.794474,0.645694,0.9308,0.915533,0.977423,0.924055,0.939518,0.908677,0.911582,0.936495,0.939032,1.025558,0.98667,1.055061,0.985464,0.886095,0.95927,0.976038,0.919012,0.906976,0.903536,0.926246,0.891486,0.995566,0.883374,0.898824,1.016051
79,0.868197,0.756296,0.830683,1.084164,0.936757,0.860099,1.041299,0.825632,0.892411,0.829635,0.951066,1.284029,0.835841,0.793014,0.627721,0.630358,0.910282,0.714666,1.053368,1.21973,0.764596,0.77369,1.490065,0.993015,0.909474,0.864004,0.973862,0.884854,0.776202,0.623069,0.930301,0.90895,0.961749,0.912807,0.936187,0.905775,0.903563,0.936267,0.948801,1.059558,1.001131,1.056736,1.039395,0.908638,0.973219,0.965227,0.90645,0.904219,0.909312,0.904328,0.897587,0.9937,0.903209,0.933396,1.06318
80,0.852797,0.744869,0.824949,1.068333,0.942862,0.837633,1.030791,0.819827,0.894642,0.826446,0.94116,1.27878,0.810482,0.785076,0.612289,0.616641,0.907008,0.702561,1.024212,1.206124,0.770382,0.759564,1.505583,0.975597,0.894808,0.870422,0.967673,0.872551,0.767359,0.613877,0.920274,0.898261,0.950354,0.919916,0.922476,0.910206,0.908738,0.939201,0.934138,1.071837,0.992474,1.030303,0.997978,0.887907,0.965622,0.971251,0.905658,0.89531,0.890008,0.902183,0.896469,0.986087,0.889717,0.911116,1.041593
81,0.844242,0.738089,0.811774,1.077277,0.930013,0.831039,1.015871,0.817536,0.894409,0.810048,0.945288,1.264114,0.796364,0.782483,0.604834,0.607016,0.88882,0.699942,1.012745,1.179411,0.767876,0.737832,1.487645,0.965744,0.893809,0.864498,0.972365,0.856588,0.763668,0.602882,0.90704,0.883279,0.940537,0.914883,0.918792,0.90278,0.921505,0.941907,0.931385,1.060017,0.972356,1.015042,1.001348,0.890456,0.944807,0.939769,0.910878,0.910506,0.89621,0.905036,0.894749,0.991833,0.885332,0.922818,1.038615
82,0.825544,0.715401,0.805443,1.086892,0.945505,0.833881,1.023871,0.800606,0.887183,0.805124,0.938042,1.25293,0.787525,0.775681,0.596041,0.591826,0.868571,0.693843,1.001604,1.16542,0.76429,0.724195,1.486453,0.948224,0.881139,0.861089,0.95573,0.850015,0.750731,0.59618,0.887246,0.877717,0.928657,0.906165,0.913602,0.899348,0.911013,0.946662,0.955168,1.062393,0.99031,1.015426,1.029746,0.889323,0.981373,0.934982,0.90825,0.910842,0.91752,0.93446,0.927218,0.993758,0.904273,0.920986,1.03601
83,0.802414,0.701187,0.796983,1.072761,0.961817,0.836567,1.010422,0.823264,0.878426,0.826967,0.947718,1.238031,0.779244,0.765734,0.5784,0.5808,0.851055,0.677439,0.990076,1.163032,0.764229,0.711148,1.50628,0.925734,0.863743,0.851686,0.946274,0.83854,0.751425,0.591252,0.885226,0.876468,0.925607,0.918139,0.91405,0.921063,0.898246,0.939226,0.964096,1.058724,0.989867,1.032718,1.002149,0.888757,0.987039,0.963051,0.922828,0.935485,0.901602,0.915759,0.900246,0.984191,0.919256,0.924295,1.054341
84,0.792499,0.68876,0.802623,1.084209,0.951611,0.81419,1.021104,0.804094,0.886551,0.827921,0.932447,1.240478,0.764044,0.752408,0.578084,0.565618,0.835674,0.666578,0.983083,1.157925,0.756721,0.703364,1.522085,0.91078,0.864334,0.848582,0.943799,0.834768,0.741924,0.593478,0.885851,0.87399,0.929613,0.930399,0.931766,0.92097,0.905866,0.933839,0.976733,1.038482,0.990507,1.01485,1.00257,0.85177,0.965408,0.912258,0.90807,0.930711,0.901744,0.906708,0.895888,0.991541,0.943603,0.915253,1.050107
85,0.785166,0.68274,0.787037,1.080005,0.974074,0.82045,1.012368,0.819598,0.878426,0.809115,0.946113,1.233008,0.754409,0.732474,0.564263,0.55656,0.832942,0.649063,0.967745,1.138309,0.746289,0.696355,1.533321,0.917663,0.843495,0.826202,0.944141,0.831187,0.710459,0.57888,0.882019,0.861467,0.916488,0.921331,0.927249,0.914168,0.915065,0.927618,0.9575,1.080738,0.970585,1.018583,0.992795,0.854376,0.968026,0.951261,0.891944,0.916053,0.923936,0.926246,0.907218,1.001838,0.886907,0.886472,1.011352
86,0.776135,0.679375,0.785142,1.088413,0.980043,0.816898,0.995632,0.826319,0.886551,0.830915,0.928227,1.23004,0.743743,0.724078,0.557668,0.550597,0.821712,0.641893,0.956616,1.137047,0.743804,0.687734,1.529805,0.903984,0.840134,0.823499,0.929969,0.825315,0.678483,0.573476,0.87901,0.859651,0.914228,0.961976,0.925615,0.912015,0.901146,0.950582,0.929893,1.08768,0.953665,1.013834,1.015421,0.86729,0.945236,0.92753,0.898495,0.927786,0.91422,0.920048,0.908067,0.996208,0.882864,0.908693,0.98674
87,0.770283,0.669618,0.776787,1.094048,0.996173,0.809706,0.998746,0.804374,0.885352,0.840134,0.941573,1.235591,0.73558,0.711794,0.550028,0.545918,0.819119,0.623413,0.93771,1.126065,0.73219,0.673558,1.534827,0.902158,0.833452,0.818069,0.929851,0.815686,0.660649,0.567224,0.864464,0.848546,0.904669,0.935199,0.912641,0.911079,0.907743,0.956095,0.948476,1.082364,0.978013,1.017622,0.997978,0.858963,0.975622,0.940572,0.923836,0.926273,0.911745,0.931136,0.909028,0.987837,0.884268,0.879735,1.01647
88,0.768783,0.660697,0.752659,1.099414,1.023283,0.796741,0.996411,0.807964,0.875162,0.814039,0.950011,1.246741,0.726487,0.70178,0.541507,0.536736,0.822029,0.611057,0.93326,1.101193,0.731885,0.670025,1.549849,0.882218,0.821332,0.818398,0.92444,0.807378,0.644423,0.564787,0.851761,0.852632,0.891787,0.92578,0.929075,0.902281,0.924264,0.934269,0.938707,1.115739,0.98603,1.015152,1.014452,0.871425,0.953305,0.923818,0.987042,0.916793,0.926212,0.930643,0.913341,1.000438,0.915766,0.901602,1.005676
89,0.767551,0.659473,0.745346,1.084567,1.057912,0.817142,0.993902,0.813055,0.890147,0.824798,0.951204,1.231102,0.716945,0.694401,0.543227,0.52688,0.81689,0.602961,0.922179,1.096545,0.734839,0.668294,1.545619,0.871176,0.813713,0.808642,0.909809,0.796524,0.654546,0.557581,0.834154,0.848433,0.879133,0.919735,0.931189,0.909145,0.932538,0.930147,0.930639,1.106921,0.985243,1.003815,1.005393,0.848598,0.945837,0.936234,0.981463,0.914641,0.933069,0.928391,0.926369,0.980749,0.896016,0.895633,1.028194
