Date,Track ID,ID,Condition,L_NAME
0804_02_,169,0804_02_169,dark,0.1 mM
0804_05_,121,0804_05_121,dark,0.1 mM
0815_02_,14,0815_02_14,dark,0.1 mM
0815_05_,30,0815_05_30,dark,0.1 mM
0816_02_,240,0816_02_240,dark,0.1 mM
0821_02_,337,0821_02_337,dark,0.1 mM
0804_02_,169,0804_02_169,sideUV,0.1 mM
0804_05_,121,0804_05_121,sideUV,0.1 mM
0815_02_,14,0815_02_14,sideUV,0.1 mM
0815_05_,30,0815_05_30,sideUV,0.1 mM
0816_02_,240,0816_02_240,sideUV,0.1 mM
0821_02_,337,0821_02_337,sideUV,0.1 mM
