frame,stimuli,larva_1,larva_2,larva_3,larva_4,larva_5,larva_6,larva_7,larva_8,larva_9,larva_10,larva_11
29,cPRC,0.98246511,0.940380851,1.010934684,0.991463796,0.977643372,1.031056461,0.996208901,1.019846061,0.947270416,1.114892379,1.052080984
30,cPRC,0.997185704,1.049534318,1.005406459,0.953148053,0.963517211,1.029545914,1.008413552,0.939085213,0.975097622,1.047004072,1.078812317
31,cPRC,0.973759909,1.032568073,1.005576932,0.973052906,1.011885187,1.006067692,1.006419552,1.041358251,1.022498201,1.119371728,1.103146853
32,cPRC,1.100914535,0.964584446,1.004164434,1.0058322,0.892434367,1.026740612,0.983797975,0.957232368,1.012997871,1.048225713,1.058425446
33,cPRC,1.046727102,1.057246248,1.006015294,0.958772382,0.954080935,1.030538559,0.999749969,1.011253203,0.998073595,1.102268761,1.042155425
34,cPRC,1.002467511,1.004330545,1.009449126,1.01198381,1.036916745,0.99091906,0.978125391,1.04177888,1.017411145,1.062187318,1.00967178
35,cPRC,0.993028725,0.945126654,1.001339438,1.039578175,1.024372714,1.01616678,1.004769346,0.954107692,0.979915165,1.052472368,1.053096097
36,cPRC,1.009998977,1.007178027,1.010374556,0.992430478,1.037255773,0.99350857,1.029419302,0.981508694,1.005653645,1.113147179,1.080475976
37,cPRC,1.006086527,1.054814024,1.004724563,0.941328173,0.989848375,0.985653724,1.008654207,1.035048809,1.011246038,1.111169284,1.066546357
38,cPRC,1.001440493,1.033339266,1.007062491,1.014532334,1.011320141,1.01961946,1.025190649,0.917212483,0.984564262,1.076148924,1.050501917
39,cPRC,1.05870898,0.989084653,1.005820467,1.0421267,0.959674895,1.009218262,1.00507876,0.988839664,0.960341791,1.008726003,1.01556508
40,cPRC,1.025404249,0.903719523,0.999780819,1.000954852,0.985723536,1.034379665,0.995177522,1.007527628,1.01343583,1.062943572,1.035247011
41,cPRC,0.948524606,1.026813787,1.005041157,1.015542956,0.990978468,0.968045057,1.027425303,0.978083569,0.987933173,1.078941245,1.031496729
42,cPRC,1.003298907,1.025152756,0.999391165,0.967077056,1.004878611,1.027258514,1.001125141,0.961198302,0.967921841,1.047760326,1.003750282
43,cPRC,1.056410416,0.946431749,1.006258828,0.999548769,0.965494873,1.039386051,0.98792349,0.981989413,1.012189333,1.068644561,1.028310399
44,cPRC,0.933412768,0.968796346,1.004529736,1.010577727,0.968546124,0.982416837,0.988507938,1.04177888,1.004238703,1.026992437,0.98372998
45,cPRC,0.983100883,1.042059678,1.00207004,1.02397945,1.011320141,0.974475673,0.992908489,1.019846061,1.031425815,1.001628854,1.040632754
46,cPRC,0.981780432,0.980838821,1.001802153,0.953807154,0.987023143,0.997133884,0.979191149,1.048508951,1.01683843,1.004363002,0.995854952
47,cPRC,0.887392574,0.954084357,0.999220691,0.986366748,0.969337189,1.002442379,0.985345043,1.028198559,0.988910157,1.026468877,0.983899165
48,cPRC,0.954980149,0.984872753,1.000194827,0.997966927,1.054998231,0.975123051,1.044271159,0.954047602,1.008618287,1.049505526,0.969180014
49,cPRC,1.01958448,0.971643827,1.001193317,0.964484591,0.987983722,0.96739768,0.993046006,0.989981372,0.981869133,0.981617219,0.985111663
50,cPRC,1.033326961,1.1173993,1,1.028285577,1.033187438,0.892906117,1.008379172,0.992985868,0.986619298,1,1
51,cPRC,0.977525642,0.993830456,1.002654522,1.020947585,1.020869426,0.955226984,1.038289161,1.003561693,0.98880909,1.022396742,1.027323483
52,cPRC,0.907248258,0.93545708,1.000803663,1.089538038,1.009455487,1.079307659,0.961932742,0.973576825,1.010167986,1.059744037,1.002622378
53,cPRC,1.066387164,1.059500504,1.021698894,1.062339133,1.078391155,1.042881889,1.024056132,1.017081924,0.981161662,1.157591623,1.032483645
54,cPRC,1.097491141,1.049712286,1.024694365,1.083825828,1.084098124,1.049916724,1.002328416,1.065033678,1.010370121,1.139906923,1.063923979
55,cPRC,1.182684741,1.098356766,1.028201257,1.116033901,1.067429253,1.056261023,1.01095762,1.072124288,0.987461526,1.144851658,1.047738552
56,cPRC,1.069468218,1.094856736,1.030758365,1.12715074,1.093251876,1.054534683,1.026978372,1.07068213,1.040555564,1.214136126,1.036515903
57,cPRC,1.162437812,1.096399122,1.026837465,1.076883297,1.063304414,1.080170829,1.014911239,1.066896465,1.062790377,1.215241419,1.047823145
58,cPRC,1.148499709,1.086848194,1.030441771,1.100259415,1.068841869,1.08875937,1.024365546,1.051873986,1.049146287,1.255148342,1.052165576
59,cPRC,1.098860499,1.001542386,1.027592421,1.129347743,1.059688117,1.085090898,1.050906363,1.044663196,1.060870098,1.273182083,1.057607715
60,cPRC,1.089421713,1.056000475,1.03022259,1.158655772,1.039741977,1.094456291,1.085285661,1.076270492,1.075120592,1.197556719,1.114905256
61,cPRC,1.103115288,1.087204129,1.031391554,1.128073481,1.097207201,1.059152642,1.01728341,1.027056851,1.078994839,1.221000582,1.062062937
62,cPRC,1.105364947,1.057602183,1.026715698,1.143320686,1.079690761,1.131572597,1.052109639,1.070922489,1.015120285,1.245084351,1.072834424
63,cPRC,1.202882764,1.084060034,1.032487458,1.130402305,1.09986292,1.134291583,1.049840605,1.116891275,1.062925134,1.266783013,1.05377284
64,cPRC,1.199752804,1.062822566,1.031415908,1.177462123,1.102462133,1.055613645,1.080163145,1.026516041,1.04564262,1.21716114,1.071960298
65,cPRC,1.128986364,1.012220443,1.037041547,1.118011205,1.068841869,1.055095743,1.028284786,1.062089272,1.068618593,1.272193136,1.044383036
66,cPRC,1.170751768,1.095924542,1.03599435,1.172760535,1.029345122,1.060404238,1.014979997,1.033306202,1.026978852,1.275974404,1.068153621
67,cPRC,1.202051369,1.079610844,1.026204276,1.139717601,1.051833971,1.099462677,1.109694962,1.039014744,1.095670949,1.254741129,1.084874803
68,cPRC,1.141652921,1.135848609,1.030368711,1.135279653,1.114045586,1.086601445,1.051972122,1.056560999,1.051504525,1.277312391,1.070071058
69,cPRC,1.155346496,1.110873821,1.032292631,1.183218272,1.120317601,1.125789359,1.082947868,1.060346664,1.044227677,1.31785922,1.095815475
70,cPRC,1.229683047,1.040339325,1.031342847,1.178780325,1.064434507,1.091478355,1.017833479,1.140206163,1.040858766,1.328679465,1.069732687
71,cPRC,1.157889589,1.126772261,1.030660952,1.197454856,1.082798517,1.142319063,1.078994249,1.076270492,1.050325406,1.32390925,1.121870065
72,cPRC,1.204349933,1.193272824,1.03207345,1.170036251,1.128228252,1.067136963,1.065930116,1.1137666,1.075693307,1.25823153,1.078868712
73,cPRC,1.171778787,1.132763837,1.033778189,1.195038152,1.131279502,1.078358172,1.006453932,1.053075784,1.052178307,1.314252472,1.055831266
74,cPRC,1.128790742,1.244349528,1.030807072,1.189677463,1.05036485,1.184614389,1.027872234,1.132274294,1.096041529,1.262536358,1.101511392
75,cPRC,1.076168289,1.01589844,1.030003409,1.183086452,1.152525249,1.123027215,1.077894112,1.056741269,1.08691178,1.277545084,1.101849763
76,cPRC,1.213642002,1.026220561,1.029662462,1.178648505,1.066694693,1.082760339,1.060016877,1.12049667,1.067035205,1.310762071,1.071988495
77,cPRC,1.11147815,1.186035475,1.032828406,1.168761988,1.067881291,1.114654467,1.073802975,1.080536876,1.060836409,1.242059337,1.089668396
78,cPRC,1.105267136,1.08933974,1.032877113,1.20009126,1.094607988,1.118409256,1.044924366,1.082099214,1.064710656,1.280744619,1.061724566
79,cPRC,1.170702863,1.074212493,1.033607715,1.221050675,1.021660491,1.100671115,1.044477435,1.087807756,1.066967827,1.26672484,1.096323032
80,cPRC,1.223080788,1.112000949,1.0310019,1.229179588,1.050986402,1.078962391,1.081950869,1.104332483,1.090651272,1.244269924,1.059102188
81,cPRC,1.170311618,1.098238121,1.034411378,1.183525853,1.075848446,1.090572027,1.06183898,1.127407011,1.059960492,1.316753927,1.018469434
82,cPRC,1.30265024,1.116331494,1.032463105,1.193500249,1.101275536,1.053153611,1.030897612,1.02056714,1.071246344,1.287260035,1.03679788
83,cPRC,1.284163914,1.042356291,1.030052116,1.176451501,1.100710489,1.107576474,1.066514564,1.070021141,1.087888765,1.331239092,1.064910896
84,cPRC,1.103702156,1.115204366,1.030125177,1.182734932,1.152920782,1.038997624,1.067820978,1.118513703,1.078556881,1.306631763,1.02653395
85,cPRC,1.127176856,1.073559945,1.028371731,1.195741193,1.081216387,1.098038446,1.039423678,1.125904763,1.08846148,1.290517743,1.02145838
86,cPRC,1.153145743,1.178382868,1.035872583,1.172496895,1.056354343,1.097606861,1.016630204,1.08468308,1.058309725,1.246305992,1.028113016
87,cPRC,1.067120748,1.158509818,1.035166334,1.143408567,1.08794044,1.060620031,1.031310164,1.025674782,1.036816073,1.280279232,1.065192872
88,cPRC,1.095877256,1.101322893,1.032438751,1.220567334,1.055337259,1.131917865,1.05104388,1.07044177,1.037927813,1.322105876,1.091755019
89,cPRC,1.200730917,1.10102628,1.031245434,1.224609821,1.096133613,1.094111023,1.057404051,1.07044177,1.101802367,1.274985457,1.035810963
90,cPRC,1.141310582,1.127365486,1.029370221,1.20022308,1.076300483,1.072013873,1.049806226,1.141768501,1.050055893,1.286852821,1.064657117
91,cPRC,1.096366312,1.071602302,1.0292241,1.159095173,1.055563278,1.039472368,1.047537192,1.057462348,1.054974503,1.252065154,1.051263253
92,cPRC,1.172707993,1.151865694,1.02615557,1.182383411,1.002222893,1.067956975,1.104331791,1.158533588,1.09526668,1.222862129,1.024616513
93,cPRC,1.043792765,1.081805778,1.022283376,1.182251591,1.048104665,1.081422426,1.061976497,1.082640023,1.072054883,1.211751018,1.081039928
94,cPRC,1.068147766,1.19107789,1.02615557,1.216173327,1.073701269,1.071884398,1.068714839,1.116891275,1.044631946,1.244444444,1.04528536
95,cPRC,1.140919337,1.117043365,1.01860601,1.203079185,1.078899696,1.014785708,1.072840355,1.135999869,1.072459152,1.248225713,1.061160614
96,cPRC,1.274774034,1.099721184,1.016974331,1.194335111,1.09828079,1.092341525,1.092711589,1.118153164,1.051605592,1.23327516,1.114595082
97,cPRC,1.186597191,1.106958534,1.019848035,1.140113061,1.070254486,1.06752539,1.075006251,1.083962001,1.111740655,1.196509599,1.031383939
98,cPRC,1.090839976,1.177374385,1.018313769,1.186821358,1.056354343,1.063986393,1.052419052,1.124402515,1.085631594,1.233042467,1.042521994
99,cPRC,1.110744566,1.107255146,1.015659247,1.115989961,1.046296516,1.061396884,1.07847856,1.033186022,1.037826746,1.244269924,1.054083014
100,cPRC,1.139745602,1.196001661,1.016097608,1.165554363,1.040194014,1.053412562,1.076793974,1.062690171,1.057265363,1.244211751,1.019089781
101,cPRC,1.128741836,1.117280655,1.010301495,1.143013106,1.011941692,1.05518206,1.056407051,1.0923145,1.059825735,1.151308901,1.005019174
102,cPRC,1.174370785,1.054754701,1.010739857,1.057857245,1.011659169,1.050391467,1.061563945,1.092915399,1.04638378,1.268819081,1.022558087
103,cPRC,1.149722349,1.047458029,1.014222395,1.090153199,1.036916745,1.039515526,1.096321415,1.137021397,1.032200665,1.204479348,1.011476427
104,cPRC,1.090644354,1.110161951,1.012444596,1.122668852,1.029966674,1.035027043,1.086901488,1.078253459,1.03048252,1.148283886,0.985619219
105,cPRC,1.085313641,1.144094441,1.012566363,1.129215923,1.07505738,1.073006519,1.105431929,1.059926035,1.028831754,1.163118092,1.049233025
106,cPRC,1.087807828,1.156492852,1.016048902,1.115462681,1.014371391,1.067352756,1.071843355,1.144352367,1.021352771,1.191099476,1.005977893
107,cPRC,1.024670665,1.088924482,1.010496323,1.144067668,1.016123035,1.008786677,1.061254532,1.060406754,1.025361775,1.169109948,0.992076472
108,cPRC,1.00315219,1.030610429,1.011178218,1.097623011,0.985836546,1.033818605,1.10931679,1.089970993,1.067068894,1.148167539,1.008431085
109,cPRC,0.977085491,1.078958296,1.012736837,1.128205302,1.018891763,1.00239922,1.096390174,1.105594371,1.051538214,1.150203607,0.9858448
110,cPRC,1.056606039,1.131162128,1.01154352,1.089581978,1.112237437,1.04055133,1.093742968,1.067016645,0.982509226,1.159162304,0.96497857
111,cPRC,1.12512282,1.040398647,1.008913351,1.063613395,1.043866816,0.991393804,1.052590949,1.046165444,0.99184111,1.187725422,1.022614482
112,cPRC,1.038951108,1.053924186,1.006331888,1.095689648,0.946283294,1.059843178,1.090305038,1.014738418,1.032335421,1.212158232,0.992161065
113,cPRC,0.925147717,1.026042594,1.007525206,1.085759192,0.998776109,1.042234511,1.055650706,1.073746716,1.019230357,1.152356021,1.023714189
114,cPRC,0.961240069,0.954677582,1.00292241,1.063701275,1.037820819,1.019360509,1.04863733,0.997432522,1.031729017,1.185223967,0.983814573
115,cPRC,1.00549966,1.033339266,1.00299547,1.050387433,1.013297803,1.077192893,1.083532317,1.10625536,1.011953509,1.18336242,0.978598015
116,cPRC,1.043010275,1.105594115,1.006185768,1.026791614,1.015614494,1.029416438,1.082432179,1.020807499,1.035940156,1.201512507,0.958323934
117,cPRC,1.020220253,1.034466394,1.004870683,1.077454518,1.010416066,1.018972082,1.062732842,1.07062204,0.994401482,1.194531704,0.95908527
118,cPRC,0.929989374,1.043661387,1.004407968,1.077937859,0.973857561,0.953414327,1.058744843,0.983852201,1.017175321,1.135078534,0.938388225
119,cPRC,1.046140235,0.958948805,1.003287711,1.042082759,1.022112528,1.029157487,1.074215527,1.117492175,1.028798064,1.178766725,0.95860591
120,cPRC,1.075777044,1.07249214,1.002313575,1.056582983,1.00815588,0.977842036,1.07112139,1.021228129,1.059354088,1.145898778,0.971520415
121,cPRC,0.969016063,1.115856914,1.001534265,1.071346848,0.992052057,0.938826756,1.044924366,1.024112445,0.988202686,1.179872019,0.949977442
122,cPRC,1.045651178,1.127899389,1.008036628,1.073631731,1.000132221,1.008441409,1.06232029,1.033726831,1.003295408,1.172076789,0.957449808
123,cPRC,0.911992104,1.11389927,0.997540305,1.087209214,0.958601307,0.971109311,1.093949244,1.060166394,1.038129948,1.211809191,0.958070156
124,cPRC,1.018508556,1.001067806,1.005893527,1.071346848,0.995894372,1.041285025,1.087829729,1.016781475,0.977961196,1.166841187,0.942899842
125,cPRC,1.010536939,1.084771905,1.000414008,1.031844723,1.000866781,0.983884225,1.078444181,1.04183897,0.999151647,1.213554392,0.995009023
126,cPRC,0.994936045,1.074212493,0.999512932,0.988475871,1.011828682,1.019792094,1.062285911,1.034087371,0.988640644,1.181617219,0.939346943
127,cPRC,0.945394646,1.042356291,1.000438362,0.980478778,1.021377967,0.989279037,1.082604076,0.989801102,1.015052907,1.170680628,0.957506203
128,cPRC,0.883822464,1.047220739,0.994910136,1.067787702,0.978151914,1.007750873,1.095736967,1.032585123,1.002217356,1.157242583,0.942787052
129,cPRC,0.941042046,1.046864804,0.998660562,1.03030682,1.0035225,0.948710051,1.064211151,1.036250608,1.018421818,1.154043048,0.99670088
130,cPRC,1.027262663,1.036364715,0.996322634,1.085539491,1.03844237,0.973569345,1.098659207,1.004102502,1.06535075,1.134264107,0.939685315
131,cPRC,1.000853625,1.168416681,0.996566168,1.051573815,1.039459454,1.009908798,1.079647456,0.981628874,1.022060242,1.137405468,0.95931085
132,cPRC,0.948426795,0.969270926,0.99500755,1.044367643,0.957923251,0.974216722,1.043583573,0.999655849,1.006664319,1.148342059,0.947806226
133,cPRC,0.897075888,1.089221095,0.999293751,1.068490743,1.012958775,0.96968508,1.080988249,0.99136344,0.989415494,1.157300756,0.897135123
134,cPRC,0.930869675,0.887761761,1.00491939,1.074202952,1.009285973,1.017288901,1.074215527,1.010532124,0.970953861,1.16602676,0.921385067
135,cPRC,0.929793752,1.028830753,0.994885782,1.03663419,0.98431092,1.003435024,1.066170771,0.966125675,0.995984871,1.145782432,0.965288744
136,cPRC,0.932776995,0.944533428,0.994520481,1.046652527,1.067033721,0.976763074,1.059844981,0.962340011,1.006832764,1.136474695,0.931197834
137,cPRC,0.973124136,1.015008602,0.995104963,1.062998234,0.994368747,1.023115298,1.075075009,0.945695104,0.971964535,1.154508435,0.918678096
138,cPRC,0.942509214,1.045025805,0.995348497,1.034656887,1.004200555,0.957600702,1.062595324,0.921779317,0.996187005,1.12530541,0.877960749
139,cPRC,0.983541034,0.92679599,0.997296771,1.052716257,1.028158525,0.935805661,1.046883985,0.956331019,1.02253189,1.138510762,0.912446425
140,cPRC,0.916149082,0.941389334,0.995494618,1.043752482,1.043697302,0.969382971,1.059294912,1.00560475,1.024216345,1.177661431,0.923246109
141,cPRC,0.907101541,0.921456961,0.99722371,1.047838909,1.040420033,0.959283883,1.037979747,1.040156452,1.000600279,1.139557882,0.8549515
142,cPRC,0.926712697,1.022008661,0.996322634,1.008204964,1.005048125,0.966146084,1.038186023,0.973156196,0.989213359,1.139499709,0.905256034
143,cPRC,0.966619688,0.929880762,0.991987726,1.075696915,1.04804816,0.956349105,1.023334167,0.983010942,0.968696691,1.134613147,0.91839612
144,cPRC,0.878491751,1.005754286,0.994739662,1.068007402,0.968715638,0.975597794,1.036123265,0.956270929,1.029539225,1.154508435,0.882697947
145,cPRC,0.912530066,1.031322299,0.993278457,1.042829741,0.987418676,0.942538387,1.062595324,0.999956298,0.996995544,1.148632926,0.920651929
146,cPRC,0.885191821,1.020288308,0.990039453,0.970328621,1.010472571,0.980258912,1.040867608,0.927608039,1.002486869,1.142350204,0.865243627
147,cPRC,0.821907942,1.031856202,0.991622425,1.02424309,1.008664422,0.958852298,1.004906863,0.983010942,0.975771404,1.126236184,0.923528085
148,cPRC,0.878198317,0.958058967,0.990599581,1.032108363,0.988774787,0.939517292,1.031757095,1.001698906,1.004609283,1.15910413,0.878665689
149,cPRC,0.878198317,1.093610963,0.990404754,1.009874686,0.963234688,0.940553096,1.012435929,0.978263838,0.936624657,1.143048284,0.91439206
150,cPRC,0.861668215,0.982915109,0.988773075,1.052628377,0.996798447,0.978403096,1.012367171,0.971113138,0.953435524,1.114717859,0.920933905
151,cPRC,0.926663792,1.070356528,0.990794408,1.067524061,1.001996874,0.952162731,1.049771846,1.004703402,0.99827573,1.168760908,0.88018836
152,cPRC,0.951410038,0.998101679,0.994569188,1.047575268,0.953911421,0.934208797,1.036157645,0.901048296,0.992076934,1.172716696,0.877735168
153,cPRC,0.81511006,1.013288248,0.994057766,1.101885198,0.972444945,0.894632456,1.02464058,0.913967628,0.963845459,1.123734729,0.899983081
154,cPRC,0.836481818,1.10078899,0.991525011,1.049860152,0.944362136,0.938481488,1.055650706,0.94130854,0.996591275,1.169109948,0.872321227
155,cPRC,0.922409002,1.033635878,0.988651308,1.000691211,0.916279327,0.965196597,1.042105263,0.960657493,0.968258732,1.101105294,0.819366118
156,cPRC,0.82058749,1.093670285,0.992669622,0.98201668,1.003352986,0.941373107,1.008998,0.964262888,0.963003231,1.135427574,0.846717798
157,cPRC,0.857755765,1.029127365,0.986897862,1.051529875,0.902718212,0.956694373,1.044168021,0.971894307,1.005316754,1.071553229,0.889324385
158,cPRC,0.824842279,1.016195053,0.989138376,1.024726431,0.974140084,0.875426926,1.029144268,0.938904943,1.011886131,1.170680628,0.854584931
159,cPRC,0.880447976,1.034585039,0.99330281,1.04247822,0.974027075,0.923548648,1.020068134,0.937042156,0.961958869,1.146713205,0.88030115
160,cPRC,0.927837527,1.036542683,0.989430617,0.986542508,1.008890441,0.859889867,1.066480185,0.980487165,0.968393489,1.124549156,0.865046244
161,cPRC,0.915317686,1.045619031,0.987652818,0.984828845,0.957753737,0.910644258,1.04667771,0.937943505,0.950740395,1.177137871,0.882923528
162,cPRC,0.884262614,1.035890135,0.990891822,0.946513102,0.937299055,0.947803723,1.024021753,0.964443158,0.977927507,1.135602094,0.858391608
163,cPRC,0.820538584,0.973660794,0.988773075,0.958245101,0.908425182,0.920484395,1.035607576,0.9552494,0.969774742,1.135194881,0.908385969
164,cPRC,0.820196245,1.044254612,0.990015099,1.01211563,0.957527718,0.954536448,1.023746718,0.901468925,0.969606297,1.105351949,0.909344688
165,cPRC,0.796525922,0.989262621,0.988480834,1.026220393,0.984141406,0.948062674,0.992117765,0.961498752,0.979578274,1.121582315,0.89245432
166,cPRC,0.780093632,0.936109628,0.989430617,1.01220351,0.972275431,0.894459822,1.036088886,0.935299548,0.960948195,1.119197208,0.891298218
167,cPRC,0.801220862,1.103221214,0.990843115,1.011764109,0.940915353,0.874995341,1.019311789,0.890352291,0.972166669,1.113845259,0.882726145
168,cPRC,0.900450376,0.985050721,0.990672641,1.016333877,0.989000806,0.97572727,0.990605076,0.936861886,0.945080624,1.118150087,0.900406046
169,cPRC,0.841323475,1.024203595,0.984900882,0.985971287,0.890626218,0.918585421,0.986823353,0.892575618,0.956130652,1.137230948,0.866427927
170,cPRC,0.86284195,0.986593107,0.984632994,1.037732692,0.99148701,0.929720313,1.003875484,0.911984661,0.964249728,1.091390343,0.888591247
171,cPRC,0.749723239,1.035830812,0.986995275,1.018750581,0.954645981,0.955226984,1.012470309,0.917813383,1.024890128,1.105235602,0.881400857
172,cPRC,0.836090573,1.055763184,0.98631338,1.041950939,0.944362136,0.851258168,1.030863233,0.899425868,0.975400824,1.047236766,0.891636589
173,cPRC,0.822250281,1.049771608,0.988286007,1.03623873,0.944079613,0.876419571,1.021615202,0.917813383,0.986316096,1.162303665,0.900547034
174,cPRC,0.788701022,0.924660378,0.986703034,0.981049999,0.960070427,0.862738328,0.974171771,0.923221475,0.965563604,1.059569517,0.858025039
175,cPRC,0.740137736,0.988135493,0.986800448,0.986586448,0.983915388,0.935115125,0.975443805,0.931393704,0.943396169,1.089586969,0.872180239
176,cPRC,0.842350493,0.930177374,0.98068774,0.986586448,0.980638118,0.927087645,0.977987873,0.934458289,0.945754406,1.111285631,0.907681029
177,cPRC,0.700866519,0.903244943,0.991817252,1.013477772,0.987023143,0.900243061,1.01535817,0.90561513,0.982846117,1.104188482,0.894202572
178,cPRC,0.86396678,0.889066856,0.983439677,0.958069341,0.928879863,0.951774305,1.002397175,0.95567003,1.013166317,1.126061664,0.86710467
179,cPRC,0.827972239,0.981194756,0.984779115,0.981401519,0.897011243,0.92091598,0.997652832,0.906155939,0.982542915,1.105817336,0.861888112
180,cPRC,0.787038231,1.032568073,0.989040962,1.020596064,0.920291157,0.926483426,0.987510939,0.943471777,1.016905808,1.09080861,0.84398263
181,cPRC,0.800291655,0.995906745,0.988042472,0.974415048,0.960239941,0.872794258,0.990364421,0.921779317,1.003362786,1.044037231,0.809581547
182,cPRC,0.70174682,1.077059975,0.983634504,0.9578057,0.973631542,0.888460791,1.012160895,0.871904686,0.961285086,1.078126818,0.792155425
183,cPRC,0.875410696,1.030907042,0.986094199,0.974151407,0.952046768,0.869730004,0.981391424,0.917813383,0.991672664,1.046189645,0.881880217
184,cPRC,0.706588477,1.048466512,0.982952608,0.960046644,0.982615781,0.933000359,1.013604826,0.852675913,0.956198031,1.072309482,0.84257275
185,cPRC,0.753831311,1.047458029,0.988432127,0.956311738,0.903452773,0.896445113,0.970905738,0.888669773,0.992514892,1.095229785,0.85695353
186,cPRC,0.785326534,0.947914813,0.993375871,0.990760755,0.969337189,0.854840323,0.948112264,0.889210582,0.974356461,1.106864456,0.793001353
187,cPRC,0.783125781,1.029898558,0.985168769,0.971383183,0.889665639,0.875858511,0.988267283,0.950682567,0.939353475,1.073938336,0.841952402
188,cPRC,0.822641526,0.980720176,0.985168769,0.997307826,0.881924503,0.885223904,0.974996875,0.918053742,0.986956189,1.05753345,0.834282653
189,cPRC,0.803323804,1.013644183,0.982562954,0.98175304,0.983350341,0.849877096,0.991567696,0.9266466,0.940903174,1.073589296,0.822298669
190,cPRC,0.748060447,1.054280121,0.982928255,0.899716925,0.927297733,0.852337131,1.000334417,0.887407885,0.972604628,1.032460733,0.833239341
