Date,Track ID,ID,Speed,Edge time,Edge X,Edge Y,Y,L-NAME,sec,Ymm,y_axis,mm/sec,Condition
0804_03_,72,0804_03_72,0.100580445,30.5,77.54591062,408.8348024,-1.5596403,1 mM,1.016666667,-3.354065161,-0.335406516,0.648906097,dark
0804_03_,72,0804_03_72,0.809914297,31.5,77.87451152,408.9775709,-1.7024088,1 mM,1.05,-3.661094194,-0.366109419,5.225253529,dark
0804_03_,72,0804_03_72,0.328135129,32.5,78.11090689,409.0526846,-1.7775225,1 mM,1.083333333,-3.822629032,-0.382262903,2.117000832,dark
0804_03_,72,0804_03_72,0.277959071,33.5,78.0783727,409.0506493,-1.7754872,1 mM,1.116666667,-3.818252043,-0.381825204,1.793284329,dark
0804_03_,72,0804_03_72,0.037096658,34.5,78.18141348,409.1691713,-1.8940092,1 mM,1.15,-4.073138065,-0.407313807,0.239333277,dark
0804_03_,72,0804_03_72,0.161409553,35.5,78.19040756,409.1047265,-1.8295644,1 mM,1.183333333,-3.934547097,-0.39345471,1.041351955,dark
0804_03_,72,0804_03_72,0.400107126,36.5,78.37029686,409.1116922,-1.8365301,1 mM,1.216666667,-3.949527097,-0.39495271,2.581336297,dark
0804_03_,72,0804_03_72,0.377739433,37.5,78.72450606,409.1268352,-1.8516731,1 mM,1.25,-3.982092688,-0.398209269,2.4370286,dark
0804_03_,72,0804_03_72,0.141266695,38.5,78.9589052,409.0915615,-1.8163994,1 mM,1.283333333,-3.906235269,-0.390623527,0.911398032,dark
0804_03_,72,0804_03_72,0.543567689,39.5,79.29044859,409.1171468,-1.8419847,1 mM,1.316666667,-3.961257419,-0.396125742,3.506888316,dark
0804_03_,72,0804_03_72,0.415603349,40.5,79.55694569,409.3132188,-2.0380567,1 mM,1.35,-4.382917634,-0.438291763,2.681311929,dark
0804_03_,72,0804_03_72,0.350880694,41.5,79.68467344,409.6356462,-2.3604841,1 mM,1.383333333,-5.076309892,-0.507630989,2.263746413,dark
0804_03_,72,0804_03_72,0.127971532,42.5,79.76431216,409.7859967,-2.5108346,1 mM,1.416666667,-5.399644301,-0.53996443,0.825622787,dark
0804_03_,72,0804_03_72,0.449430322,43.5,79.88938671,409.9585609,-2.6833988,1 mM,1.45,-5.770750108,-0.577075011,2.899550465,dark
0804_03_,72,0804_03_72,0.261001021,44.5,80.16545874,410.00914,-2.7339779,1 mM,1.483333333,-5.879522366,-0.587952237,1.683877555,dark
0804_03_,72,0804_03_72,0.264291553,45.5,80.36417724,410.008215,-2.7330529,1 mM,1.516666667,-5.877533118,-0.587753312,1.705106794,dark
0804_03_,72,0804_03_72,0.531496059,46.5,80.72957596,410.0684327,-2.7932706,1 mM,1.55,-6.007033548,-0.600703355,3.429006832,dark
0804_03_,72,0804_03_72,0.208539411,47.5,80.94854205,410.1370305,-2.8618684,1 mM,1.583333333,-6.154555699,-0.61545557,1.345415555,dark
0804_03_,72,0804_03_72,0.568972633,48.5,81.16603973,410.1225518,-2.8473897,1 mM,1.616666667,-6.12341871,-0.612341871,3.670791181,dark
0804_03_,72,0804_03_72,0.362117125,49.5,81.21032015,410.3028338,-3.0276717,1 mM,1.65,-6.511121935,-0.651112194,2.336239516,dark
0804_03_,72,0804_03_72,0.362117125,50.5,81.21032015,410.3028338,-3.0276717,1 mM,1.683333333,-6.511121935,-0.651112194,2.336239516,dark
0804_03_,72,0804_03_72,0.25107303,51.5,80.99898675,410.466057,-3.1908949,1 mM,1.716666667,-6.86213957,-0.686213957,1.619826,dark
0804_03_,72,0804_03_72,0.334462435,52.5,81.08082626,410.4905278,-3.2153657,1 mM,1.75,-6.914764946,-0.691476495,2.157822161,dark
0804_03_,72,0804_03_72,0.116931713,53.5,81.21366025,410.6399584,-3.3647963,1 mM,1.783333333,-7.236121075,-0.723612108,0.754398148,dark
0804_03_,72,0804_03_72,0.360795412,54.5,81.46907967,410.941899,-3.6667369,1 mM,1.816666667,-7.885455699,-0.78854557,2.327712335,dark
0804_03_,72,0804_03_72,0.53050654,55.5,81.50361406,411.0344822,-3.7593201,1 mM,1.85,-8.084559355,-0.808455936,3.422622839,dark
0804_03_,72,0804_03_72,0.53050654,56.5,81.50361406,411.0344822,-3.7593201,1 mM,1.883333333,-8.084559355,-0.808455936,3.422622839,dark
0804_03_,72,0804_03_72,0.669081119,57.5,81.43838568,411.1448817,-3.8697196,1 mM,1.916666667,-8.321977634,-0.832197763,4.316652381,dark
0804_03_,72,0804_03_72,0.468764406,58.5,81.30136697,411.4560248,-4.1808627,1 mM,1.95,-8.991102581,-0.899110258,3.02428649,dark
0804_03_,72,0804_03_72,0.552198531,59.5,81.33481202,411.3792977,-4.1041356,1 mM,1.983333333,-8.826098065,-0.882609807,3.562571168,dark
0804_03_,72,0804_03_72,0.509092984,60.5,81.39956852,411.4652458,-4.1900837,1 mM,2.016666667,-9.010932688,-0.901093269,3.284470865,dark
