frame,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC
26,0.855814,1.181896,0.95033,1.06768,1.17357,1.019207,0.920357,1.03462,0.993515,0.937587,0.980765,1.025098,1.167128,1.022878,1.019941,1.070618,1.094101,1.003415,1.06588,1.014704,0.986188,0.933053,1.035476
27,0.860586,1.198901,0.951714,1.069292,1.170655,1.018131,0.933157,1.020212,0.98675,0.948987,0.987544,1.020359,1.140122,1.016338,1.018206,1.061351,1.105817,1.004916,1.045625,1.020847,0.994962,0.944152,1.037341
28,0.849459,1.202893,0.950533,1.067615,1.155859,1.019183,0.934431,1.01349,0.992231,0.950637,0.976391,1.019595,1.132054,1.015085,1.024185,1.050719,1.099175,0.998162,1.043425,1.018635,0.982914,0.928355,1.038783
29,0.845812,1.205654,0.953996,1.055799,1.155059,1.017262,0.942954,0.992166,0.996631,0.959385,1.001323,1.027983,1.127892,1.000406,1.041451,1.050693,1.077368,0.99629,1.045525,1.019277,0.975774,0.935411,1.047683
30,0.852441,1.191091,0.955326,1.009014,1.145135,1.026379,0.953815,0.993063,0.9836,0.955739,0.969572,1.013269,1.117592,1.011232,1.057791,1.048881,1.071001,0.995797,1.042266,1.00198,0.987958,0.933477,1.048621
31,0.853447,1.168444,0.953365,1.02108,1.137727,1.033377,0.966384,0.995654,0.972451,0.958015,0.977118,1.015977,1.104431,1.018644,1.061386,1.065402,1.079448,0.996194,1.040779,0.999071,0.9949,0.946326,1.043132
32,0.870816,1.164368,0.940603,1.03462,1.122077,1.038447,0.978982,0.987739,0.972396,0.947714,0.958328,1.007295,1.100858,1.024692,1.067321,1.043736,1.074429,0.99315,1.029134,0.994098,1.003916,0.956155,1.045902
33,0.888017,1.157729,0.944302,1.038301,1.113601,1.044443,0.978796,0.969578,0.970284,0.946865,0.950913,1.018664,1.092553,1.033712,1.048953,1.042362,1.085271,0.992615,1.037665,0.990074,1.010281,0.952569,1.028534
34,0.904287,1.166306,0.961454,1.042157,1.097837,1.046699,0.97396,0.97824,0.963782,0.961526,0.933012,1.007641,1.099186,1.061765,1.057503,1.043106,1.058081,0.995838,1.022026,0.98076,1.019537,0.952536,1.023014
35,0.925194,1.145459,0.987844,1.035019,1.092606,1.055501,0.967172,0.97517,0.958334,0.982436,0.909888,1.006872,1.089816,1.045851,1.04358,1.041461,1.040201,0.983818,1.011489,0.986291,1.023237,0.947381,1.010775
36,0.933725,1.141657,0.996305,1.03047,1.077749,1.060339,0.976001,0.976842,0.967107,0.998187,0.920586,1.010465,1.07122,1.037825,1.036497,1.036972,1.039326,0.987939,1.001723,0.985566,1.03467,0.948742,1.00939
37,0.91588,1.133412,0.983545,1.01642,1.063667,1.057701,0.966735,0.962085,0.964967,0.982581,0.934022,0.997029,1.080181,1.010877,1.018449,1.023959,1.040026,0.979251,1.011122,0.992509,1.046459,0.951813,1.010694
38,0.918591,1.108663,0.982545,1.02123,1.054107,1.055319,0.982124,0.967355,0.958767,0.968933,0.935831,0.995136,1.086025,0.982798,0.997692,1.016075,1.035064,0.983297,1.027854,0.992704,1.048045,0.962654,1.004886
39,0.917345,1.088749,0.991144,1.033192,1.040349,1.053013,0.981779,0.979689,0.967129,0.971132,0.935073,0.984083,1.089978,0.979895,0.999801,1.016154,1.015187,0.983118,1.023667,0.999442,1.044562,0.964771,1.003572
40,0.921079,1.087212,1.001828,1.08711,1.036738,1.048213,0.985892,0.984809,0.964139,0.974826,0.935558,0.98237,1.095765,0.970772,0.997672,1.014281,1.012364,0.978065,1.005411,1.000381,1.045055,0.985117,0.996352
41,0.915289,1.097755,0.991715,1.103358,1.028699,1.055679,0.990917,0.987663,0.982388,0.977016,0.959328,0.973742,1.078822,0.976569,0.973337,1.01464,1.003036,0.985649,0.999909,0.998662,1.045693,0.988561,1.004591
42,0.922208,1.098065,0.983691,1.099527,1.020126,1.052466,1.006417,0.991498,0.985191,0.983179,0.965127,0.961941,1.073301,0.982073,0.974469,1.018543,0.984524,0.989077,0.996956,0.986969,1.037996,0.986353,1.005026
43,0.931025,1.089701,0.977448,1.049797,1.0091,1.047008,1.011306,1.002265,0.985005,0.994213,0.966269,0.970865,1.045687,0.98412,0.96034,1.017388,0.98769,0.987884,1.002074,0.99737,1.025308,0.984784,1.003565
44,0.951628,1.070603,0.976852,1.048276,1.013359,1.047056,1.018349,0.990659,1.008082,0.998534,0.972734,0.955923,1.04181,1.002868,0.970966,1.012417,0.997347,0.990702,1.004639,0.989627,1.013045,0.987648,0.999961
45,0.952088,1.051349,0.983613,1.04485,1.007988,1.036327,1.012367,0.992877,0.998305,1.000743,0.967329,0.962344,1.029961,1.014109,0.96956,1.017256,1.001816,0.991244,1.024123,0.989776,1.006639,1.004607,0.999269
46,0.954649,1.032084,0.991195,1.059239,1.002363,1.025209,1.01553,0.99476,0.99775,1.006202,0.965066,0.962656,1.031557,1.012199,0.978945,1.006309,0.987753,0.98955,1.022237,0.990139,1.016794,0.996016,0.999158
47,0.956725,1.014198,0.997465,1.036109,0.992834,1.012807,1.017278,1.007042,0.998508,1.018094,0.953378,0.977581,1.026388,1.013556,0.986861,0.998066,0.986952,0.986897,1.02281,0.996691,1.003752,0.995916,1.002865
48,0.970715,0.99909,0.995185,1.019918,0.990239,1.012221,1.006373,1.001077,0.993427,1.010976,0.977563,0.973461,1.025466,1.011448,0.989304,1.001348,0.980237,0.992115,1.024397,0.997639,1.005196,0.984809,0.994488
49,0.981214,1.005956,0.991141,1.004963,0.999348,1.001428,0.999731,0.996741,1.004252,1.008816,0.982826,0.975796,1.017275,1.000855,1.000389,1.003894,0.992036,0.990455,1.017282,1.00039,0.99813,0.986179,1.00207
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,1.019354,0.992188,1.001814,0.990563,1.004367,1.000052,0.997468,0.992181,0.999995,1.003376,1.005778,1.000763,0.97594,0.992648,0.995591,1.007044,1.003722,1.001557,0.984647,1.003541,0.991866,0.996613,0.9887
52,1.024628,1.088222,1.001242,0.974914,1.02475,0.997875,0.992359,1.068236,0.949462,1.104977,1.032974,1.093013,1.248192,1.218515,1.288456,1.217463,0.973769,1.112569,1.240685,1.012798,1.274039,1.199412,1.112141
53,1.156392,1.222654,1.020729,1.057836,1.290693,1.130556,0.981063,1.122629,0.929671,1.106318,0.99505,1.0536,1.328307,1.268858,1.365676,1.21104,0.942056,1.11414,1.278859,0.96852,1.265215,1.23626,1.051458
54,1.232874,1.27103,1.030618,1.1172,1.458116,1.225141,0.984742,1.159278,0.893541,1.079389,0.9545,0.999608,1.34142,1.278621,1.347165,1.155701,0.89969,1.074425,1.283277,0.926537,1.18855,1.229968,0.963984
55,1.276592,1.271715,1.047178,1.16613,1.546186,1.275133,0.977261,1.13525,0.861756,1.06276,0.888461,0.9383,1.360149,1.259795,1.303525,1.099425,0.865745,1.029855,1.263246,0.894276,1.111852,1.210336,0.882536
56,1.278489,1.24935,1.052974,1.311929,1.589204,1.298687,0.968817,1.165207,0.813254,1.056472,0.847769,0.897618,1.355388,1.233237,1.258311,1.048557,0.839964,0.988734,1.242569,0.869255,1.032593,1.182943,0.793842
57,1.266878,1.218764,1.050411,1.210016,1.594102,1.372234,0.937835,1.130399,0.750288,1.065471,0.81423,0.870818,1.376826,1.221547,1.268374,0.997069,0.79028,0.966484,1.220022,0.832291,0.974786,1.16918,0.721112
58,1.241925,1.189094,1.031389,1.317266,1.592481,1.360162,0.944142,1.131626,0.706932,1.065943,0.775468,0.854579,1.386737,1.217495,1.271786,0.956395,0.75649,0.948615,1.22348,0.797743,0.923546,1.15531,0.666501
59,1.236658,1.165275,1.015325,1.28217,1.580774,1.323433,0.93441,1.109658,0.668404,1.069589,0.755667,0.829816,1.41111,1.211629,1.256991,0.924998,0.747118,0.930355,1.209495,0.771096,0.864148,1.159037,0.611221
60,1.228884,1.138478,1.01329,1.281397,1.578881,1.29423,0.927274,1.114605,0.642101,1.046431,0.724148,0.794523,1.430476,1.204778,1.209356,0.877263,0.730463,0.91708,1.205522,0.752591,0.807023,1.147523,0.577012
61,1.21115,1.10182,0.996693,1.247819,1.568516,1.262852,0.920382,1.083639,0.601625,1.02092,0.696418,0.761177,1.453424,1.192855,1.18455,0.85347,0.719628,0.896406,1.190672,0.722059,0.762202,1.129959,0.550395
62,1.194114,1.078482,0.992779,1.205426,1.548282,1.245233,0.917177,1.060091,0.578888,1.022859,0.666889,0.747087,1.483119,1.184371,1.15948,0.850924,0.702888,0.888932,1.176977,0.706351,0.71696,1.124256,0.538966
63,1.165998,1.040133,0.982997,1.152958,1.533549,1.221441,0.908479,1.032791,0.554829,1.016532,0.658656,0.739203,1.460275,1.183602,1.124808,0.835487,0.68747,0.866579,1.165817,0.68647,0.682244,1.124264,0.513042
64,1.142252,1.007499,0.977256,1.118704,1.515155,1.201471,0.902919,1.019233,0.546017,1.022579,0.627541,0.721993,1.437033,1.17523,1.098837,0.818861,0.668624,0.858138,1.160787,0.667621,0.648799,1.102773,0.479802
65,1.119402,0.980973,0.963808,1.077415,1.486402,1.182048,0.897382,0.98919,0.533623,1.019194,0.61162,0.714563,1.454954,1.15014,1.077911,0.80416,0.652545,0.83429,1.149208,0.648,0.624506,1.100814,0.457143
66,1.114915,0.963498,0.95642,1.041194,1.46565,1.158874,0.908284,0.996245,0.511654,1.001958,0.588849,0.69535,1.433631,1.132775,1.057104,0.775248,0.631656,0.812787,1.14286,0.637851,0.604079,1.107272,0.43694
67,1.09556,0.948685,0.949739,1.007902,1.438361,1.138513,0.92559,0.967803,0.4956,0.974865,0.57216,0.689229,1.423777,1.118571,1.020374,0.744454,0.621395,0.795823,1.129586,0.622468,0.593694,1.082096,0.421265
68,1.084421,0.92259,0.936645,0.97743,1.40842,1.111027,0.937,0.9693,0.481998,0.950588,0.552208,0.673645,1.419159,1.095494,1.011297,0.717642,0.597593,0.781135,1.112667,0.612495,0.572463,1.071222,0.409813
69,1.08264,0.892264,0.936382,0.949935,1.374817,1.098351,0.943589,0.961044,0.464693,0.920872,0.539762,0.659751,1.428937,1.067502,0.981291,0.703991,0.572778,0.764418,1.097417,0.609493,0.559769,1.077904,0.399833
70,1.069185,0.879839,0.933783,0.923986,1.351198,1.068325,0.953556,0.966583,0.448194,0.908497,0.514375,0.645762,1.388048,1.050819,0.982799,0.68866,0.560663,0.748757,1.09573,0.604121,0.537805,1.061659,0.392116
71,1.061844,0.881169,0.937132,0.917639,1.316582,1.057309,0.95048,0.982073,0.451464,0.88995,0.498485,0.638292,1.379657,1.028831,0.980633,0.661559,0.540745,0.719602,1.08818,0.593061,0.521577,1.029999,0.37173
72,1.065926,0.865668,0.930962,0.911088,1.292106,1.034921,0.95313,0.974631,0.439953,0.86494,0.492524,0.624129,1.382375,1.019932,0.972748,0.644504,0.52857,0.694876,1.078217,0.580485,0.510819,0.99179,0.363747
73,1.060511,0.856679,0.927268,0.921018,1.264985,1.017563,0.950978,0.965284,0.432804,0.860012,0.477957,0.601978,1.342351,0.985874,0.961242,0.634441,0.530817,0.670465,1.084373,0.570893,0.498881,0.965759,0.347215
74,1.055793,0.855874,0.920358,0.952127,1.246558,1.006848,0.949533,0.952985,0.420991,0.846827,0.461652,0.586102,1.328649,0.964681,0.945172,0.611278,0.515811,0.651232,1.077495,0.555874,0.486873,0.956512,0.32759
75,1.04381,0.846257,0.917614,0.929889,1.230664,0.988581,0.94755,0.942076,0.405102,0.82202,0.457561,0.566822,1.31488,0.942607,0.941049,0.592613,0.510503,0.624325,1.057743,0.553271,0.46658,0.925964,0.320016
76,1.0425,0.840256,0.90091,0.900757,1.209358,0.977021,0.941412,0.935839,0.401903,0.803231,0.438427,0.551912,1.322073,0.932455,0.930587,0.57043,0.50235,0.601129,1.041366,0.547369,0.456789,0.916642,0.297084
77,1.033592,0.830689,0.8998,0.875986,1.178983,0.959558,0.931092,0.92394,0.395966,0.775058,0.435528,0.536403,1.300265,0.90524,0.926503,0.552937,0.501289,0.580887,1.0315,0.541672,0.450294,0.890445,0.292178
78,1.032551,0.830768,0.901711,0.847273,1.157969,0.953671,0.933295,0.919903,0.391127,0.745438,0.421102,0.516677,1.282363,0.880997,0.924818,0.53043,0.516421,0.569937,1.011147,0.535175,0.435497,0.866331,0.287757
79,1.025439,0.827607,0.896573,0.823444,1.13844,0.94686,0.93269,0.914708,0.383714,0.722868,0.418566,0.500395,1.268945,0.851942,0.917843,0.515283,0.504387,0.55215,1.003112,0.53866,0.42543,0.868074,0.274271
80,1.014811,0.815975,0.890522,0.808335,1.116663,0.929938,0.919657,0.921557,0.381086,0.708989,0.40709,0.488486,1.243489,0.841116,0.926833,0.49576,0.504472,0.539904,1.000432,0.526289,0.415791,0.847629,0.268301
81,1.002828,0.814529,0.885009,0.784286,1.085161,0.924525,0.928322,0.917694,0.374881,0.70001,0.398725,0.471426,1.257153,0.819932,0.938466,0.482634,0.512058,0.521253,0.983747,0.525416,0.398578,0.832745,0.259649
