frame,stimuli,DAF-FM,SE,SE_upper,SE_lower
99,target,1.07622372,0.015383541,1.091607261,1.060840179
100,target,1.101834302,0.027818846,1.129653148,1.074015456
101,target,1.077743474,0.022243263,1.099986737,1.055500211
102,target,1.059962204,0.022341102,1.082303306,1.037621102
103,target,1.062998041,0.018341458,1.081339498,1.044656583
104,target,1.066818912,0.017393216,1.084212128,1.049425695
105,target,1.086542378,0.017418347,1.103960725,1.069124031
106,target,1.076256068,0.020844949,1.097101017,1.055411119
107,target,1.048844808,0.020685567,1.069530376,1.028159241
108,target,1.0270365,0.014491959,1.041528458,1.012544541
109,target,1.036379485,0.020936522,1.057316007,1.015442962
110,target,1.073613739,0.016909636,1.090523375,1.056704102
111,target,1.045551472,0.017450427,1.0630019,1.028101045
112,target,1.033503884,0.019259368,1.052763252,1.014244516
113,target,1.014247555,0.019902292,1.034149846,0.994345263
114,target,1.006620444,0.015955762,1.022576206,0.990664682
115,target,1.030452088,0.010879665,1.041331752,1.019572423
116,target,1.037768784,0.013235378,1.051004162,1.024533406
117,target,1.027733333,0.009822487,1.037555819,1.017910846
118,target,0.997211413,0.020888952,1.018100365,0.976322461
119,target,1.016954921,0.012030282,1.028985203,1.004924639
120,target,1.032193943,0.015404771,1.047598714,1.016789172
121,target,1.01477215,0.024704696,1.039476847,0.990067454
122,target,1.043965426,0.01856073,1.062526157,1.025404696
123,target,1.006725252,0.029158132,1.035883384,0.977567119
124,target,1.022332689,0.010798185,1.033130874,1.011534504
125,target,1.018719764,0.013405485,1.032125248,1.005314279
126,target,1.014793019,0.011648587,1.026441606,1.003144433
127,target,0.99655418,0.012536375,1.009090555,0.984017806
128,target,0.996607305,0.024046512,1.020653816,0.972560793
129,target,0.99485113,0.015878575,1.010729706,0.978972555
130,target,1.026250203,0.014374098,1.040624301,1.011876105
131,target,1.04446309,0.024054332,1.068517422,1.020408759
132,target,0.981535481,0.012896041,0.994431522,0.96863944
133,target,1.006120889,0.025877591,1.03199848,0.980243298
134,target,0.987388109,0.024909547,1.012297656,0.962478562
135,target,0.99631507,0.01424471,1.01055978,0.982070361
136,target,0.993713371,0.020137238,1.013850609,0.973576133
137,target,1.010619997,0.011582591,1.022202588,0.999037405
138,target,0.996556943,0.015183569,1.011740512,0.981373375
139,target,0.987385706,0.018540593,1.005926299,0.968845113
140,target,0.984977632,0.01964518,1.004622812,0.965332451
141,target,0.978887506,0.022181423,1.001068929,0.956706084
142,target,0.987407194,0.013077072,1.000484266,0.974330122
143,target,0.994763726,0.020999132,1.015762858,0.973764594
144,target,0.981884422,0.023006749,1.004891171,0.958877673
145,target,0.984986271,0.018722607,1.003708878,0.966263664
146,target,0.976096614,0.017984014,0.994080628,0.958112601
147,target,0.97285773,0.029220188,1.002077918,0.943637541
148,target,0.964542884,0.019688502,0.984231387,0.944854382
149,target,0.97931275,0.026928965,1.006241715,0.952383786
150,target,0.976864387,0.023326489,1.000190875,0.953537898
151,target,1.001583066,0.021889773,1.023472839,0.979693293
152,target,0.979962732,0.015546681,0.995509413,0.964416051
153,target,0.965236446,0.037038772,1.002275218,0.928197673
154,target,0.976916599,0.034615955,1.011532554,0.942300645
155,target,0.971143887,0.017082628,0.988226515,0.954061259
156,target,0.972278362,0.03340722,1.005685582,0.938871141
157,target,0.964120576,0.02765057,0.991771145,0.936470006
158,target,0.950744858,0.030415023,0.981159881,0.920329835
159,target,0.974731628,0.023585849,0.998317477,0.951145779
160,target,0.96818894,0.023847801,0.992036742,0.944341139
161,target,0.966969396,0.018898764,0.985868159,0.948070632
162,target,0.957110075,0.019181615,0.976291691,0.93792846
163,target,0.928354522,0.022779072,0.951133594,0.90557545
164,target,0.963107626,0.028982223,0.992089849,0.934125402
165,target,0.955448975,0.030449142,0.985898117,0.924999833
166,target,0.930762107,0.031554844,0.96231695,0.899207263
167,target,0.953826666,0.039691626,0.993518292,0.914135039
168,target,0.976205948,0.014720177,0.990926126,0.961485771
169,target,0.940935146,0.025737919,0.966673066,0.915197227
170,target,0.965501344,0.022683044,0.988184389,0.9428183
171,target,0.950195479,0.038593926,0.988789404,0.911601553
172,target,0.952623063,0.03483106,0.987454123,0.917792004
173,target,0.952840968,0.033573305,0.986414273,0.919267663
174,target,0.917320532,0.029001436,0.946321968,0.888319095
175,target,0.936781773,0.036709373,0.973491146,0.9000724
176,target,0.941254637,0.020592906,0.961847543,0.92066173
177,target,0.916112115,0.04313666,0.959248775,0.872975455
178,target,0.92919947,0.016792132,0.945991602,0.912407338
179,target,0.932212475,0.023460867,0.955673342,0.908751609
180,target,0.946002986,0.033838593,0.979841579,0.912164392
181,target,0.931948353,0.029189873,0.961138227,0.90275848
182,target,0.930389889,0.047435416,0.977825305,0.882954473
183,target,0.948056686,0.02381666,0.971873346,0.924240026
184,target,0.93561173,0.044172099,0.979783829,0.891439631
185,target,0.924321849,0.037481719,0.961803568,0.886840129
186,target,0.923592581,0.031583128,0.955175709,0.892009452
187,target,0.92251674,0.033553475,0.956070216,0.888963265
188,target,0.925497784,0.026805289,0.952303073,0.898692495
189,target,0.935751903,0.03229718,0.968049083,0.903454723
190,target,0.910770102,0.039470841,0.950240943,0.87129926
191,target,0.919697049,0.033641645,0.953338694,0.886055404
192,target,0.932354717,0.043058991,0.975413708,0.889295727
193,target,0.892595659,0.034547321,0.92714298,0.858048338
194,target,0.90722936,0.04387439,0.95110375,0.86335497
195,target,0.923676957,0.039413284,0.963090241,0.884263674
196,target,0.916179567,0.039237376,0.955416943,0.876942192
197,target,0.894897892,0.042437867,0.937335759,0.852460024
198,target,0.916406052,0.038669045,0.955075098,0.877737007
199,target,0.932446354,0.037039,0.969485354,0.895407354
200,target,0.909668466,0.033686243,0.943354709,0.875982223
1,NC,1.127916063,0.009710199,1.137626262,1.118205864
2,NC,1.106727996,0.008179751,1.114907747,1.098548246
3,NC,1.100310695,0.00442347,1.104734165,1.095887225
4,NC,1.106513322,0.014468234,1.120981557,1.092045088
5,NC,1.102734702,0.010310459,1.113045161,1.092424243
6,NC,1.084242193,0.011378056,1.095620249,1.072864136
7,NC,1.089061337,0.009446473,1.09850781,1.079614864
