frame,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2
11,1.0517821,1.0241058,1.0206122,1.0046465,1.0876092,0.9804439,1.0306300,1.0056411,1.0121776,1.0089721,1.0162411,0.9554281,0.9323542,1.0358311,0.9885722,1.0561665,1.0168660,1.0438080,1.0252449,1.0378277,1.0777394,1.0314339,1.0897508,0.9476408,0.9830457,1.0055127,1.0543642,1.0780925,1.0684276,1.1119558,1.1334549,0.9628903,0.9054230,0.9666535,1.0351566,1.0321733,0.9848948,1.0599573,1.0556296,0.9388890,1.0680111,0.9949839,1.0708142,1.0861270,1.0245248,1.0983563,1.1129589,1.0530384,1.0547564,1.0236194,1.0429189,1.0096420,0.9643046
12,1.0551120,1.0176689,1.0205915,1.0065314,1.0705951,0.9822690,1.0272791,1.0192589,1.0074317,1.0062700,1.0167444,1.0130676,1.0427772,1.0186064,0.9987480,1.0553618,1.0143520,1.0497179,1.0308468,1.0405309,1.0764353,1.0502218,1.1052905,0.9423290,0.9765463,0.9979327,1.0374811,1.0553777,1.0574931,1.0961576,1.1155756,0.9516863,0.8935213,0.9579860,1.0243942,1.0269705,0.9792446,1.0485632,1.0662419,0.9514599,1.0597311,0.9842485,1.0707917,1.0756004,1.0329087,1.0681732,1.0912699,1.0562691,1.0517547,1.0316513,1.0358753,1.0132355,0.9667410
13,1.0577004,1.0253672,1.0190616,1.0045734,1.0657227,0.9891718,1.0288221,1.0085504,1.0119690,1.0036990,1.0195128,1.0108856,1.0598612,1.0215539,0.9974048,1.0490317,1.0174113,1.0362036,1.0282763,1.0493894,1.0809670,1.0489542,1.0990325,0.9474256,0.9642292,0.9950110,1.0183328,1.0379721,1.0541245,1.0831602,1.1098549,0.9613553,0.9005831,0.9426366,1.0251172,1.0207229,0.9691023,1.0400301,1.0486032,0.9524692,1.0592830,0.9740132,1.0574054,1.0982030,1.0243681,1.0411041,1.0674796,1.0634637,1.0548169,1.0185876,1.0371631,1.0152990,0.9655937
14,1.0538033,1.0247624,1.0212221,0.9888368,1.0607399,0.9917412,1.0310215,1.0088919,1.0078750,1.0030432,1.0205027,1.0057125,1.0565824,1.0206558,0.9941723,1.0518749,1.0173182,1.0411836,1.0256329,1.0501547,1.0812767,1.0312981,1.0920712,0.9274356,0.9651055,0.9787484,1.0067200,1.0212233,1.0392733,1.0788750,1.1001008,0.9491072,0.9073760,0.9325378,1.0238725,1.0087995,0.9628541,1.0295395,1.0426429,0.9619937,1.0800256,0.9695909,1.0441996,1.1089119,1.0256061,1.0399920,1.0597483,1.0652476,1.0508683,1.0185400,1.0020632,1.0205410,0.9765253
15,1.0460091,1.0109988,1.0194751,0.9850378,1.0515784,0.9928322,1.0336354,1.0047396,1.0065191,0.9955402,1.0174155,1.0061047,1.0481075,1.0037305,0.9883673,1.0529746,1.0231574,1.0347158,1.0250509,1.0545188,1.0695237,1.0302267,1.0864600,0.9116248,0.9471532,0.9643143,0.9872093,1.0205802,1.0245024,1.0852511,1.1160410,0.9462880,0.8906060,0.9468943,1.0243793,1.0108784,0.9546461,1.0358389,1.0493785,0.9528179,1.0620999,0.9844829,1.0548319,1.1092613,1.0201683,1.0462421,1.0334155,1.0610655,1.0447037,1.0113811,1.0172017,1.0156548,0.9695770
16,1.0434789,1.0160964,1.0049515,0.9811511,1.0430635,0.9889271,1.0405329,1.0024859,0.9973402,0.9969044,1.0143452,0.9989948,1.0501975,1.0169944,0.9847478,1.0357277,1.0216012,1.0421962,1.0257057,1.0455138,1.0749682,1.0433254,1.0885132,0.9191678,0.9551131,0.9648931,0.9911054,1.0482074,1.0061223,1.1013204,1.1502676,0.9231388,0.8758880,0.9925310,1.0177013,1.0045208,0.9614288,1.0407830,1.0549270,0.9493311,1.0611609,0.9787011,1.0572022,1.0934334,1.0430790,1.0279366,1.0144506,1.0753558,1.0594907,1.0011905,1.0255858,1.0069379,0.9667797
17,1.0447876,1.0221877,1.0081973,0.9738015,1.0385853,0.9945859,1.0359730,1.0043981,1.0050849,0.9993179,1.0181202,0.9962734,1.0453656,1.0151752,0.9940812,1.0403412,1.0252989,1.0443039,1.0274517,1.0462303,1.0658560,1.0336221,1.0826630,0.9319093,0.9511331,0.9665194,0.9961794,1.0646552,1.0230988,1.1283865,1.1999884,0.9262086,0.8948940,0.9906437,1.0250427,0.9935433,0.9422514,1.0307190,1.0504446,0.9533868,1.0423175,0.9738100,1.0499108,1.1008157,1.0180057,1.0085411,1.0186276,1.0917271,1.0824771,0.9915237,0.9976083,1.0005455,0.9657226
18,1.0316567,1.0053309,1.0082077,0.9667587,1.0288719,1.0015396,1.0436420,1.0027044,1.0056586,0.9951467,1.0192108,0.9992645,1.0445028,1.0230507,0.9968130,1.0373371,1.0203110,1.0444899,1.0292948,1.0366390,1.0658723,1.0332146,1.0779800,0.9293497,0.9500499,0.9685683,1.0030957,1.0415161,0.9959230,1.1173122,1.1742360,0.9325989,0.8955308,1.0210741,1.0324288,0.9948743,0.9456873,1.0291630,1.0553631,0.9630031,1.0624627,0.9758571,1.0426195,1.1008613,1.0361839,1.0111435,1.0209106,1.0874856,1.0758894,0.9915713,0.9995532,1.0073174,0.9685973
19,1.0271343,1.0011578,1.0085074,0.9650199,1.0301334,1.0032220,1.0349596,1.0092197,1.0055021,0.9902933,1.0223818,1.0085074,1.0360279,1.0194123,0.9956520,1.0357009,1.0239422,1.0462464,1.0284218,1.0345221,1.0562547,1.0458455,1.0932525,0.9424763,0.9577055,0.9849227,1.0206735,1.0251779,1.0091700,1.1167314,1.1742941,0.9450454,0.9229572,1.0325325,1.0523884,1.0040148,0.9500140,1.0315221,1.0584644,0.9716834,1.0710627,0.9778729,1.0439062,1.1083651,1.0291477,1.0214640,1.0292126,1.0892298,1.0761312,1.0054128,0.9815761,1.0087288,0.9626159
20,1.0214486,1.0008208,1.0139551,0.9599351,1.0256552,0.9918533,1.0394505,0.9963668,1.0030770,0.9998688,1.0187410,0.9963715,1.0357020,1.0126192,1.0141368,1.0370420,1.0211224,1.0450272,1.0321079,1.0229604,1.0540052,1.0494824,1.0885976,0.9488753,0.9502446,0.9789597,1.0055572,1.0518883,1.0168964,1.1110652,1.1576365,0.9404720,0.9006538,1.0312444,1.0716176,1.0101415,0.9501540,1.0397540,1.0588763,0.9871538,1.0742851,0.9697784,1.0409490,1.1088056,1.0472004,1.0617007,1.0410170,1.0934316,1.0764132,0.9828727,0.9906435,1.0147061,0.9797223
