frame,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2
31,1.0299117,0.9733541,1.0176247,0.9532430,0.9798638,0.9999286,1.0324839,1.0054772,0.9953845,0.9963797,0.9883729,1.0197117,1.0208996,1.0058721,0.9807412,1.0117483,1.0099759,1.0157254,1.0090212,1.0345383,1.0472402,1.0343012,1.0388001,0.9616282,0.9918089,0.9818447,1.0357747,1.0460044,1.0463046,1.0773778,1.1120074,0.9416519,0.9263536,1.1419460,1.0789217,1.0047077,0.9752997,1.0314469,1.0501296,1.0243710,1.0552924,1.0115011,0.9925055,1.0964562,1.0360115,0.9941725,1.0070048,1.0131803,1.0389621,1.0448261,1.0176748,1.0157497,0.9928712
32,1.0291992,0.9710904,1.0080629,0.9406040,0.9940395,0.9949733,1.0324378,1.0015571,0.9948369,0.9880109,0.9903695,1.0177748,1.0192507,0.9932299,0.9783737,1.0178907,1.0137269,1.0261401,1.0171452,1.0306139,1.0376879,1.0360517,1.0400236,0.9514237,0.9824858,0.9819917,1.0333736,1.0324165,1.0483899,1.0643933,1.0889505,0.9323588,0.9003283,1.1167394,1.0789217,1.0047407,0.9783920,1.0428159,1.0514138,1.0271788,1.0436406,1.0022346,0.9864783,1.0771649,1.0479369,0.9737984,0.9955117,0.9975621,1.0471212,1.0445404,1.0410134,1.0137454,0.9905508
33,1.0295773,0.9704683,1.0072050,0.9536668,0.9888360,1.0009176,1.0222240,1.0042615,0.9824507,1.0017315,0.9917620,1.0182161,1.0153775,0.9904665,0.9771444,1.0129285,1.0217342,1.0212221,1.0185033,1.0254356,1.0393506,1.0235566,1.0325139,0.9447188,0.9711180,1.0164923,1.0609484,1.0317323,1.0439920,1.0452650,1.0701986,0.9452960,0.9151736,1.1028391,1.0810458,1.0060387,0.9924537,1.0302673,1.0388390,1.0035419,1.0347204,0.9893428,0.9767489,1.0625826,1.0279880,0.9669032,0.9879102,0.9884449,1.0196019,1.0392228,1.0329974,1.0065466,0.9967257
34,1.0295773,0.9734405,1.0108850,0.9540321,0.9934561,0.9929953,1.0139677,1.0098343,0.9939242,1.0057191,0.9919130,1.0170884,1.0150324,0.9932068,0.9586824,1.0068934,1.0199119,1.0297357,1.0206616,1.0330239,1.0447299,1.0288685,1.0351437,0.9537115,0.9828266,1.0194783,1.0587738,1.0117679,1.0438316,1.0302283,1.0611620,0.9625352,0.9057768,1.1065244,1.0570242,1.0171041,1.0050393,1.0267035,1.0407046,1.0137270,1.0368118,0.9816233,0.9631820,1.0720459,1.0425775,0.9713294,0.9873914,0.9989694,1.0123696,1.0551914,1.0183319,1.0136505,1.0043185
35,1.0393782,0.9767755,1.0141515,0.9553763,0.9969252,0.9880094,1.0153611,1.0113778,0.9952802,1.0000525,0.9875004,1.0179710,1.0249262,0.9981117,0.9616190,1.0208412,1.0122770,1.0381047,1.0183577,1.0272920,1.0388778,1.0283554,1.0295325,0.9658754,0.9994158,1.0151692,1.0546814,1.0250958,1.0633614,1.0159273,1.0351575,0.9646236,0.9087628,1.1055673,1.0546020,1.0155862,1.0083989,1.0102146,1.0260219,1.0301885,1.0447290,0.9624652,0.9564324,1.0476509,1.0460721,0.9616984,0.9921909,0.9844611,1.0085217,1.0533977,1.0046125,1.0108635,1.0035193
36,1.0347540,0.9854933,1.0190926,0.9604319,0.9931881,0.9856439,1.0059648,1.0132354,0.9953323,1.0035154,0.9916949,1.0192213,1.0203053,0.9867591,0.9758013,1.0213776,1.0135141,1.0378154,1.0162237,1.0274222,1.0386170,1.0259711,1.0297154,0.9701678,0.9909082,1.0028115,1.0366355,1.0597291,1.0744964,1.0040399,1.0184805,0.9553514,0.8949223,1.0955311,1.0580379,1.0163011,1.0211244,1.0031372,1.0196739,1.0153787,1.0454972,0.9620589,0.9527303,1.0371394,1.0182878,0.9625881,0.9824102,0.9888810,1.0062251,1.0186511,1.0153620,1.0139470,1.0062908
37,1.0385203,0.9903231,1.0080939,0.9662327,1.0011511,0.9861028,1.0112617,0.9961892,0.9970273,0.9962223,0.9784571,1.0162793,1.0197300,0.9938746,0.9744127,1.0087173,1.0150304,1.0353977,1.0160782,1.0249796,1.0360904,1.0149549,1.0192102,0.9782884,1.0075704,1.0023062,1.0274690,1.0508758,1.0786804,0.9960633,1.0155135,0.9737392,0.9125980,1.0925346,1.0687555,1.0173351,1.0245985,0.9899611,1.0143193,1.0302986,1.0321383,0.9569960,0.9524594,1.0560357,1.0224876,0.9512222,0.9799196,0.9819439,1.0128128,1.0113970,1.0090148,1.0133896,1.0161010
38,1.0474196,0.9883705,1.0085695,0.9708938,0.9977294,0.9851647,1.0103290,1.0101485,0.9919163,0.9937562,0.9807892,1.0212563,1.0315987,0.9971215,0.9640321,1.0198487,1.0073290,1.0301490,1.0122708,1.0267872,1.0301405,1.0216702,1.0220932,0.9819467,1.0102115,0.9967659,1.0258532,1.0448686,1.0687885,1.0122101,1.0405096,0.9725906,0.9223769,1.1117750,1.0569199,1.0109334,1.0285180,0.9973397,1.0071718,1.0235085,1.0393086,0.9458230,0.9457098,1.0417268,1.0092144,0.9591183,0.9662732,0.9985135,1.0049357,1.0024921,1.0111042,1.0173033,1.0137290
39,1.0412395,0.9932435,1.0057371,0.9738015,1.0046674,0.9933216,1.0094308,1.0180569,0.9987744,0.9928118,0.9773498,1.0206678,1.0316562,0.9918252,0.9840421,1.0056596,1.0027534,1.0301697,1.0103065,1.0164468,1.0231311,1.0398394,1.0266637,0.9867828,1.0173316,1.0065877,1.0265177,1.0354680,1.0854309,1.0119648,1.0256361,0.9633601,0.9035266,1.0882679,1.0665867,1.0203049,1.0237459,0.9908144,1.0077290,1.0252702,1.0390738,0.9536363,0.9442200,1.0382939,1.0242584,0.9617652,1.0031911,0.9936378,1.0031629,0.9977460,1.0091462,1.0199481,1.0114215
40,1.0313223,1.0459133,1.0489668,0.9751165,1.0030748,0.9995616,1.0104441,1.0159398,0.9848236,0.9983735,0.9804872,1.0246641,1.0395559,0.9953254,0.9847705,1.0073226,1.0055333,1.0226686,1.0032253,1.0108940,1.0178333,1.0456795,1.0393205,0.9774730,1.0092987,1.0115951,1.0362126,1.0434866,1.1105749,1.0060792,1.0096765,0.9673384,0.9199004,1.0909872,1.0650066,1.0202389,1.0313685,0.9981428,1.0116541,0.9980180,1.0329706,0.9699972,0.9711280,1.0185621,1.0062997,0.9553371,0.9785705,0.9694177,1.0048954,0.9990159,1.0237986,1.0210747,1.0190530
41,1.0294028,1.0403404,1.0313938,0.9674016,1.0082311,1.0073004,1.0132538,1.0168276,0.9887872,0.9842069,0.9835240,1.0263803,1.0371017,1.0020495,0.9891413,1.0281905,0.9951051,1.0240324,1.0011640,1.0183195,1.0237831,1.0327015,1.0300388,0.9963757,1.0159563,1.0124404,1.0323920,1.0609059,1.1019129,0.9914943,1.0057982,0.9801504,0.9295378,1.0853698,1.0686288,1.0185670,1.0210735,0.9941272,1.0160395,0.9872272,1.0252027,0.9648873,0.9848755,1.0238330,1.0031185,0.9543584,0.9663770,0.9852341,1.0022362,1.0127939,1.0086469,1.0270757,1.0281799
42,1.0291265,1.0311992,1.0203641,0.9706308,1.0060551,1.0132753,1.0199095,1.0184120,0.9914209,0.9874075,0.9848159,1.0183878,1.0331518,1.0059642,0.9837689,1.0071885,0.9940810,1.0143203,1.0009700,1.0116756,1.0199035,1.0289892,1.0236682,1.0187782,1.0441688,1.0470511,1.0686047,1.0712781,1.0909115,0.9717465,1.0204196,0.9797640,0.9515298,1.0546800,1.0373702,1.0146402,1.0295997,0.9879031,1.0101035,0.9891542,1.0036278,0.9660281,0.9803382,1.0214634,1.0238509,0.9268667,0.9678039,0.9853332,0.9940973,0.9982063,0.9933637,1.0191535,1.0275998
43,1.0292283,1.0280715,1.0234755,0.9726180,1.0046832,1.0196580,1.0210610,1.0092333,0.9875355,0.9857023,0.9807892,1.0151760,1.0277256,1.0014507,0.9813559,1.0043453,0.9881220,1.0062406,0.9906635,1.0084677,1.0157957,1.0278272,1.0186055,1.0156523,1.0391544,1.0491276,1.0633494,1.0848385,1.0864869,0.9638861,1.0045571,0.9791480,0.9768192,1.0620595,1.0279569,1.0222958,1.0353771,0.9776133,1.0062268,0.9930998,1.0081093,0.9929212,0.9982844,1.0016405,1.0249479,0.9330946,0.9548320,0.9968883,0.9975825,1.0068573,1.0024705,1.0079223,1.0178155
44,1.0199363,1.0232417,1.0208086,0.9709668,1.0053139,1.0243686,1.0218210,1.0105309,0.9929072,0.9818196,0.9848998,1.0157154,1.0209188,1.0046976,0.9783737,1.0029505,0.9940277,1.0128531,0.9983025,1.0052272,1.0124213,1.0375004,1.0309670,1.0150067,1.0578126,1.0473360,1.0583510,1.0882321,1.0887995,0.9736180,1.0020943,0.9956876,0.9641816,1.0505922,1.0135946,1.0185120,1.0272454,0.9864224,1.0021321,0.9944027,0.9990184,0.9997031,1.0012416,0.9850227,1.0047953,0.9430370,0.9451810,0.9837079,1.0183327,0.9846982,0.9890272,1.0110888,1.0091140
45,1.0119240,1.0196388,1.0190306,0.9716828,1.0061970,1.0241341,1.0162362,1.0126071,0.9876920,0.9818983,0.9873159,1.0106894,1.0185988,0.9964307,0.9891413,0.9992758,0.9909286,1.0166760,0.9974779,1.0044944,1.0127474,1.0400809,1.0242729,1.0218475,1.0452277,1.0397743,1.0506494,1.0819650,1.0623989,0.9795294,1.0157268,0.9894852,0.9935326,1.0563526,0.9882612,1.0225708,1.0279453,0.9818296,1.0005815,0.9918702,1.0076825,1.0002813,1.0058466,0.9928152,0.9958159,0.9505550,0.9612142,0.9981964,0.9959708,0.9777774,0.9952955,1.0037714,1.0103644
46,1.0027629,1.0210817,1.0178108,0.9789448,1.0026964,1.0186486,1.0068630,0.9998907,0.9922032,0.9849153,0.9902017,1.0115720,1.0143230,0.9980887,0.9825168,0.9974519,0.9906625,1.0019631,0.9932583,1.0055854,1.0154370,1.0372740,1.0144428,1.0138061,1.0446800,1.0280690,1.0326034,1.0547072,1.0666898,1.0057049,1.0173169,0.9898507,0.9868812,1.0255913,0.9888575,1.0238247,1.0241149,0.9794955,0.9964141,0.9945312,0.9965429,0.9959059,0.9947403,0.9777923,0.9994985,0.9527570,0.9679855,1.0041424,0.9909747,1.0066350,1.0057952,0.9998221,1.0027587
47,0.9927874,1.0193883,1.0123735,0.9885007,1.0036110,1.0186588,1.0090278,0.9978692,0.9888133,0.9901359,0.9850508,1.0076003,1.0064616,0.9928844,0.9824486,0.9940454,0.9927907,1.0176885,1.0042681,1.0043967,1.0126496,1.0266803,1.0094504,1.0180080,1.0454225,1.0147190,1.0225612,1.0412425,1.0499806,1.0088155,1.0376008,0.9870001,0.9933203,1.0248309,0.9938809,1.0124953,1.0126747,0.9861463,1.0036101,0.9940724,1.0100085,1.0040004,0.9933633,0.9965367,0.9840315,0.9574724,0.9566740,1.0037262,1.0027197,0.9940793,0.9988042,1.0062382,1.0058654
48,1.0005671,1.0128132,1.0011784,1.0012274,1.0042259,1.0175168,1.0089702,1.0006420,0.9866489,0.9901621,0.9888259,1.0028930,1.0022625,0.9960623,0.9912129,0.9955743,0.9971136,1.0070051,0.9969202,1.0015470,1.0074169,1.0157094,0.9980312,1.0232179,1.0314987,1.0005145,1.0168831,1.0337986,1.0578941,1.0136299,1.0157268,1.0168842,1.0012454,1.0253855,0.9903258,1.0076006,1.0084370,0.9826578,1.0004846,0.9936136,1.0192275,1.0101728,1.0225513,0.9787796,0.9994045,0.9667252,0.9473602,1.0028937,1.0103550,1.0046509,0.9975163,1.0147416,1.0114860
49,1.0042170,0.9982374,1.0032355,1.0017242,0.9990381,1.0063623,1.0011630,1.0077855,1.0021643,0.9891915,0.9905372,1.0025253,1.0037964,1.0002994,0.9800810,0.9981224,1.0028864,1.0074804,1.0032738,1.0058460,1.0053956,1.0182899,1.0040361,1.0044850,1.0269468,0.9966189,1.0080338,1.0280925,1.0222032,1.0076926,1.0197603,1.0082907,1.0172794,1.0249562,0.9956772,1.0075896,1.0076862,0.9831346,0.9905992,0.9885669,0.9938114,1.0155952,1.0139281,0.9912354,0.9904722,0.9723971,0.9726553,1.0097713,0.9982876,0.9835870,0.9981997,1.0101994,1.0034806
50,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
51,1.0013960,1.0008813,0.9999173,1.0040474,0.9953799,0.9942800,0.9899934,0.9943999,1.0062322,1.0002361,0.9956042,1.0044621,1.0044675,1.0014507,0.9974731,1.0007510,0.9951317,1.0032443,1.0027403,0.9891223,0.9854921,0.9897081,0.9886792,1.0053458,1.0095665,1.0092063,1.0153126,0.9722906,1.0030611,0.9887063,0.9891018,0.9866660,0.9922448,1.0146070,0.9756132,1.0045758,1.0043521,0.9894090,1.0001454,0.9803454,0.9985702,0.9969997,0.9873586,1.0071545,0.9963644,1.0209747,1.0260215,0.9946486,0.9973609,0.9803648,0.9847826,0.9917931,0.9951530
52,1.0028210,1.0111889,1.0002274,0.9942869,0.9894825,0.9876933,0.9865159,1.0009971,1.0095961,1.0024136,1.0015939,1.0003678,1.0042758,1.0014968,0.9957430,1.0064374,0.9862465,0.9919410,1.0027403,0.9917114,0.9862257,1.0068512,1.0094223,1.0086529,1.0144106,1.0074881,1.0077922,1.0033251,0.9871673,0.9966571,0.9944539,0.9858724,0.9981178,1.0046066,0.9682420,1.0043998,0.9992110,1.0025850,1.0091585,0.9827127,1.0026248,0.9886396,0.9787806,0.9817569,0.9880589,1.0278698,1.0331301,0.9978991,1.0081792,0.9673646,1.0102764,0.9956593,0.9896098
53,1.0992598,1.4270088,1.3245537,1.3231637,1.3355199,1.3829134,1.3455661,1.0002322,1.0077186,1.3298442,1.3336969,1.2572080,1.3180964,1.0401142,1.0017529,1.1293654,1.1717987,1.2914678,1.3236977,0.9911089,0.9902031,1.4636918,1.4920403,1.4497361,1.3729218,1.5245179,1.3687859,1.3494937,1.3171811,1.4146521,1.2685580,1.2369427,1.1829272,1.2687395,1.3008027,1.4666278,1.4373521,1.3626804,1.3744579,1.0160210,1.0647887,1.2769791,1.1843608,1.3389334,1.2634416,1.3134411,1.2300688,0.9926666,0.9978847,1.1659391,1.1928591,1.2319643,1.2416949
54,1.1203158,1.5401503,1.4165642,1.4066833,1.4335205,1.4582930,1.4235805,1.4046686,1.0825576,1.4354636,1.4277038,1.3774394,1.4390651,1.0846037,1.0752595,1.1701625,1.3225416,1.3710041,1.4282666,1.3715356,1.3644899,1.5591253,1.5955589,1.5657916,1.5086050,1.6263472,1.4768348,1.5417077,1.4773623,1.5607987,1.4114761,1.2937141,1.2552857,1.3474543,1.3741047,1.5843984,1.5633733,1.4610867,1.4730453,1.3300912,1.2796628,1.3575804,1.2388767,1.5088937,1.4279379,1.4174025,1.4108964,0.9976612,1.0051372,1.2514961,1.2856749,1.4722660,1.4703054
55,1.1245619,1.5698289,1.4571372,1.4438113,1.4646788,1.4751063,1.4555923,1.5559395,1.1133015,1.4742641,1.4626355,1.4231637,1.4807685,1.1130429,1.1063331,1.1713427,1.3631104,1.3795384,1.4534630,1.4584270,1.4494181,1.6187638,1.6465799,1.6227150,1.5879239,1.6762833,1.5336907,1.6161467,1.5356441,1.5854512,1.4391483,1.3109742,1.2920099,1.3688594,1.3888992,1.6539697,1.6300043,1.4831221,1.4773581,1.4169863,1.4209347,1.3958184,1.2606831,1.5532180,1.5093163,1.4536800,1.4343754,1.1034804,1.1679761,1.2545755,1.3108533,1.5329760,1.5359726
56,1.1395396,1.5901244,1.4626986,1.4508102,1.4724684,1.4799188,1.4652419,1.6237007,1.1298339,1.4871452,1.4764102,1.4378249,1.4904897,1.1350804,1.1239756,1.1795773,1.3869994,1.3930734,1.4817878,1.4836346,1.4763799,1.6288594,1.6661135,1.6468729,1.6235364,1.6824851,1.5459831,1.6373563,1.5872555,1.6581695,1.5163473,1.3332881,1.3383856,1.3791817,1.4025609,1.6871329,1.6694027,1.5046304,1.4890606,1.4700593,1.4722364,1.4117261,1.2646787,1.6065195,1.5371319,1.4882671,1.4818264,1.1449637,1.2503928,1.2750520,1.3383708,1.5762402,1.5819164
57,1.1445128,1.5923449,1.4693247,1.4498458,1.4773408,1.4701306,1.4763539,1.6877877,1.1392735,1.4849415,1.4871649,1.4364029,1.4908348,1.1459725,1.1335367,1.1753661,1.3814262,1.3902217,1.4846736,1.4907507,1.4806018,1.6077174,1.6315886,1.6687997,1.6790000,1.6592214,1.5151163,1.6503010,1.6076274,1.6542587,1.5032966,1.3317114,1.3468484,1.3808365,1.4077334,1.7171173,1.7051488,1.4923328,1.4698713,1.4833826,1.4729620,1.4204769,1.2695320,1.6785655,1.5282466,1.4755889,1.4873784,1.1891822,1.3218099,1.2837188,1.3287383,1.6166226,1.6207701
58,1.1459815,1.5703041,1.4565997,1.4460907,1.4751017,1.4619330,1.4809484,1.7055987,1.1350231,1.4662627,1.4906715,1.4354957,1.4784293,1.1453507,1.1460799,1.1714500,1.3624187,1.3763767,1.4851586,1.4879336,1.4783523,1.5764344,1.6148535,1.7006252,1.6825662,1.6450721,1.4939293,1.6980706,1.6513922,1.6783562,1.5362046,1.3321708,1.3374374,1.3616945,1.4005709,1.7130475,1.7104044,1.4817167,1.4677634,1.4978437,1.5032650,1.4200238,1.2627599,1.6599426,1.5161017,1.4608643,1.4650927,1.2277917,1.3403441,1.2656550,1.3223649,1.6425717,1.6570843
59,1.1419826,1.5788146,1.4471309,1.4409036,1.4780031,1.4552545,1.4822496,1.7020201,1.1250619,1.4435962,1.5002181,1.4182358,1.4693408,1.1647400,1.1497678,1.1614184,1.3357231,1.3572624,1.4784654,1.4977528,1.4915887,1.5378776,1.5843787,1.6923007,1.6614493,1.6311800,1.4698883,1.7209633,1.6653077,1.6608413,1.5492941,1.3198705,1.3557499,1.3667126,1.4072937,1.7018061,1.7109389,1.4751412,1.4371139,1.4738397,1.5000427,1.4245711,1.2474548,1.6927225,1.5215552,1.4384439,1.4743547,1.2332620,1.3857730,1.2871474,1.3240732,1.6453350,1.6590695
60,1.1381291,1.5707275,1.4418797,1.4273148,1.4578353,1.4367181,1.4698824,1.6856842,1.1210983,1.4464820,1.4887252,1.4275277,1.4592936,1.1663059,1.1539109,1.1565635,1.3214110,1.3388507,1.4790474,1.5025729,1.4891598,1.5208101,1.5699359,1.6551634,1.6108785,1.6097630,1.4420719,1.7159825,1.6586240,1.6383443,1.5544718,1.3085413,1.3495655,1.3295288,1.3929836,1.6866929,1.7140821,1.4456519,1.4127638,1.4665908,1.4875800,1.4531831,1.2728278,1.7061808,1.5091282,1.4292800,1.4509534,1.2434297,1.3795076,1.2440039,1.3416035,1.6482643,1.6644967
61,1.1339412,1.5604804,1.4278109,1.4160347,1.4459302,1.4193542,1.4678788,1.6725308,1.1068346,1.4125085,1.4691789,1.4174512,1.4416536,1.1644407,1.1477873,1.1582801,1.3065801,1.3336640,1.4855466,1.5233675,1.4991197,1.5021731,1.5586994,1.6179129,1.5730995,1.6502449,1.4822259,1.7070608,1.6410592,1.6311938,1.5614528,1.2839511,1.3174974,1.3079896,1.3812299,1.6753415,1.7186888,1.4495922,1.4023454,1.4297957,1.4705079,1.4731850,1.2758753,1.7011681,1.5098491,1.4160902,1.4365287,1.2497324,1.4102099,1.2632423,1.3256502,1.6370213,1.6614415
62,1.1306984,1.5463971,1.4088630,1.3969082,1.4344666,1.4168867,1.4693182,1.6576428,1.0994029,1.4177816,1.4647159,1.4024223,1.4326226,1.1639340,1.1448962,1.1438228,1.2934651,1.3264108,1.4934281,1.5059925,1.4891435,1.5253524,1.5490521,1.6128503,1.5742557,1.6359209,1.4726216,1.7173235,1.6550148,1.5967707,1.5372712,1.2641955,1.3020011,1.2741869,1.3641323,1.6853730,1.7259678,1.4334295,1.3753786,1.3853297,1.4140205,1.4902178,1.2412244,1.7137302,1.4669581,1.4014769,1.4364768,1.2409323,1.3943753,1.2156225,1.3081856,1.6372466,1.6574452
63,1.1319054,1.5304735,1.4006244,1.3903184,1.4168375,1.4126860,1.4734866,1.6385751,1.0912410,1.4019099,1.4566458,1.3930077,1.4120489,1.1475844,1.1540703,1.1430449,1.2675144,1.3088050,1.4971142,1.5023449,1.4846934,1.4900401,1.5356781,1.5988289,1.5685232,1.6343958,1.4672153,1.8055966,1.6864014,1.5561005,1.5040335,1.2322544,1.2873114,1.2732298,1.3613449,1.6810722,1.7285383,1.3982181,1.3280595,1.3423685,1.3978020,1.5113136,1.2352649,1.7340999,1.4733988,1.3826820,1.4226229,1.2255520,1.3503163,1.2086065,1.3055705,1.6466633,1.6875459
64,1.1273684,1.5110247,1.3771178,1.3775771,1.4092214,1.4066703,1.4718400,1.6242471,1.0834702,1.3934099,1.4504379,1.3756742,1.3948307,1.1447059,1.1280277,1.1278365,1.2521249,1.3006013,1.4851343,1.4905553,1.4827373,1.4644161,1.4940935,1.5883865,1.5535649,1.6163783,1.4587889,1.7658593,1.6949966,1.5155078,1.5091142,1.2074971,1.2610172,1.2516369,1.3486372,1.7030820,1.7520552,1.3656670,1.2904562,1.3538933,1.3744772,1.5017345,1.2200050,1.7429253,1.4638240,1.3701150,1.3903230,1.2300710,1.3274709,1.2032731,1.3016019,1.6387410,1.6902531
65,1.1169859,1.4943494,1.3596585,1.3776209,1.3935476,1.3919573,1.4608892,1.6050292,1.0752040,1.3791647,1.4369820,1.3678043,1.3785136,1.1427716,1.1410718,1.1150421,1.2397414,1.2782840,1.4668736,1.4832275,1.4784990,1.4410105,1.4846009,1.5814778,1.5279813,1.5870782,1.4086832,1.8253010,1.6680212,1.5311125,1.5471222,1.1747520,1.2344683,1.2389084,1.3564332,1.6964604,1.7540276,1.3756557,1.2898747,1.3369364,1.3556551,1.5299716,1.2247455,1.7468291,1.4571169,1.3518317,1.3979764,1.1914615,1.3019864,1.2103525,1.2988423,1.6436390,1.7078881
66,1.1198360,1.4876879,1.3563919,1.3829980,1.3800498,1.3715958,1.4515044,1.5961783,1.0670422,1.3713469,1.4210765,1.3625331,1.3707482,1.1333993,1.1356993,1.1020600,1.2090289,1.2639845,1.4479096,1.4813060,1.4794771,1.4314732,1.4700456,1.5622919,1.5018378,1.6213306,1.4615222,1.8387931,1.7105963,1.5119971,1.5644780,1.1661585,1.2362090,1.2070199,1.3311744,1.6881338,1.7411112,1.3641611,1.2778087,1.3174469,1.3145540,1.5226896,1.2294408,1.7621254,1.4900412,1.3236282,1.3897782,1.1766560,1.2702365,1.2092255,1.2856749,1.6506481,1.7118198
67,1.1209411,1.4744254,1.3424472,1.3805725,1.3721026,1.3499495,1.4484530,1.5713603,1.0548645,1.3564195,1.4064629,1.3495146,1.3594930,1.1205729,1.1350847,1.1022746,1.1981086,1.2471019,1.4468426,1.4696466,1.4610570,1.4315184,1.4712128,1.5347362,1.4574499,1.6243442,1.4532015,1.8743158,1.7772193,1.4932948,1.5243562,1.1494831,1.2473465,1.1954632,1.3141439,1.7020151,1.7596396,1.3554273,1.2657912,1.3259988,1.2958173,1.4954214,1.2075668,1.7969407,1.5017943,1.2859939,1.3671812,1.1502160,1.2482372,1.2063366,1.2794723,1.6577758,1.7294677
68,1.1137431,1.4585105,1.3225586,1.3616505,1.3605286,1.3370311,1.4336331,1.5519238,1.0453988,1.3279028,1.3936445,1.3432872,1.3503279,1.1286326,1.1230423,1.0893461,1.1853926,1.2417498,1.4476913,1.4556750,1.4548463,1.4558748,1.4749114,1.4957868,1.4205107,1.6003363,1.4260948,1.8613027,1.7418492,1.4797811,1.5228048,1.1271379,1.2383035,1.1857580,1.2813350,1.7057439,1.7592706,1.3522650,1.2591040,1.2797526,1.3306231,1.4714973,1.1840674,1.7895736,1.5124191,1.2732490,1.3446361,1.1368970,1.2286152,1.1948602,1.2914701,1.6502568,1.7172083
69,1.1093225,1.4383705,1.3028355,1.3513055,1.3494749,1.3223182,1.4291307,1.5378963,1.0513703,1.3150480,1.3885943,1.3444886,1.3411435,1.1126514,1.1292342,1.0847862,1.1945172,1.2295993,1.4440537,1.4436248,1.4453265,1.4412217,1.4649407,1.4361452,1.3699642,1.5741600,1.4083207,1.9366858,1.8042482,1.5027944,1.5218546,1.1176987,1.2106649,1.2194265,1.2452244,1.7054139,1.7533023,1.3409713,1.2488310,1.3088216,1.3092190,1.4602463,1.1852638,1.8230978,1.5004623,1.2654418,1.3368011,1.1100408,1.2334300,1.1906062,1.2972259,1.6564594,1.7200959
70,1.0981402,1.4266805,1.2917541,1.3434591,1.3423003,1.3072280,1.4265859,1.5129690,1.0416178,1.2960544,1.3724875,1.3443660,1.3439238,1.0932160,1.1061054,1.0791535,1.1494926,1.2156097,1.4338200,1.4389025,1.4476902,1.4110554,1.4423131,1.4225542,1.3266108,1.5473589,1.3712474,1.9914888,1.8628374,1.4838855,1.5617049,1.0990707,1.1976027,1.1327865,1.2647368,1.7144774,1.7693874,1.3475718,1.2424588,1.3098310,1.2539479,1.4614026,1.1702747,1.8501663,1.5141586,1.2543651,1.3398366,1.1011615,1.2125589,1.1946221,1.3013522,1.6520357,1.7422299
71,1.0838168,1.4176430,1.2773855,1.3205190,1.3343688,1.2981229,1.4270811,1.4979444,1.0248768,1.2860591,1.3751216,1.3259292,1.3276642,1.1060885,1.1104762,1.0666810,1.1352868,1.2083979,1.4393976,1.4295392,1.4417077,1.3961006,1.4162963,1.4199379,1.3216694,1.5337609,1.3542283,2.0120005,1.8812843,1.4897970,1.5521060,1.0870628,1.1986641,1.1283230,1.2763488,1.7130695,1.7747194,1.3337182,1.2268069,1.2618598,1.2662399,1.4423383,1.1518319,1.8663892,1.5197844,1.2342579,1.3278765,1.0958893,1.2096579,1.1897808,1.3160046,1.6449910,1.7448855
72,1.0818537,1.4168740,1.2816858,1.3013925,1.3355041,1.2877841,1.4243059,1.4799011,1.0245378,1.2702660,1.3652898,1.3195057,1.3112321,1.1120527,1.1373839,1.0624966,1.1236483,1.2041824,1.4332622,1.4167399,1.4464676,1.3826849,1.4109102,1.4009332,1.3044473,1.5469731,1.3707943,2.0496716,1.9303961,1.4921073,1.5881361,1.0681946,1.1752993,1.1183674,1.2537210,1.7151044,1.7847471,1.3305810,1.2309742,1.2638050,1.2548015,1.4284308,1.1589652,1.8467030,1.5065269,1.2239819,1.3230510,1.1007849,1.1738386,1.2235909,1.3175158,1.6353017,1.7199541
