time,condition,2017-08-04_3d_L_1mM_02,2017-08-04_3d_L_1mM_05,2017-08-06_3d_L_1mM_02,2017-08-07_3d_L_1mM_02,2017-08-08_3d_L_1mM_02,2017-08-08_3d_L_1mM_05,2017-08-09_3d_L_1mM_07,2017-08-15_3d_L_1mM_02,2017-08-15_3d_L_1mM_05,2017-08-15_3d_L_1mM_08,2017-08-16_3d_L_1mM_02,2017-08-17_3d_L_1mM_02,2017-08-17_3d_L_1mM_05,2017-08-21_3d_L_1mM_05,2017-08-21_3d_L_1mM_08
750,top395_30,-0.002899492,0.483479778,0.087055834,0.189093048,0.215319005,0.255145985,0.280838069,0.189233389,0.218054458,0.376156841,0.310454288,0.205296357,0.111374699,0.04058315,0.133857815
780,top395_60,-0.026357044,0.287539551,-0.05503134,-0.286261283,0.046302996,0.24125727,0.220689986,0.036817834,0.16356272,-0.00668994,0.124905144,-0.318143085,-0.015572081,0.045984564,0.112621563
810,top395_90,-0.149953296,0.190883836,-0.119043592,-0.303531678,-0.048310331,0.194274431,0.154806022,-0.005394123,0.063207092,-0.196290639,0.024869481,-0.522113671,-0.02420166,-0.001048649,-0.052112709
840,top395_120,-0.092244955,0.041117712,-0.148333711,-0.217995437,-0.120197307,0.15949396,0.104554322,-0.015779502,0.078077058,-0.262093608,0.005168832,-0.455149472,-0.047834446,-0.059052001,-0.069811519
870,dark3_30,-0.093009973,-0.086115151,0.007733542,-0.031172065,-0.227657026,-0.209661013,-0.251017423,-0.183747071,-0.092320083,-0.323123144,-0.205335622,-0.078398734,-0.152270204,0.035584445,-0.046126178
900,dark3_60,-0.2025185,-0.353826829,0.033666904,-0.196445735,-0.178292061,-0.237097744,-0.331292611,-0.135190542,-0.162682737,-0.399276552,-0.088121584,-0.067162661,-0.152798245,0.041102887,-0.075984506
930,dark3_90,-0.129903222,-0.314922381,0.000704466,-0.081852038,-0.128550424,-0.156721232,-0.233627451,-0.09269341,-0.04841534,-0.142102652,-0.033061643,-0.098195277,-0.112205885,0.000681604,-0.064001202
960,dark3_120,-0.131946771,-0.183961292,-0.038847524,-0.073852531,-0.007930176,-0.165088496,-0.137825663,-0.057501642,-0.084356293,-0.075555679,0.010014191,-0.003305807,-0.120965517,-0.03807522,0.009046716
990,dark3_150,-0.073536017,-0.221879621,-0.000546127,-0.093958156,-0.018090688,-0.06600308,-0.081973541,-0.006306811,0.010218513,0.01732729,0.021896822,-0.016354491,-0.051371653,-0.036855056,-0.021017641
1020,dark3_180,-0.01887572,-0.212891676,-0.002567603,-0.092134246,-0.021469468,-0.091366033,-0.083975153,0.044763033,0.0420986,0.026412323,0.020531794,-0.067776175,-0.026265601,-0.007143888,-0.068907741
