frame,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1
17,0.976712892,0.993331206,1.027387279,0.993569793,1.119453763,0.991049016,0.804389448,0.821117767,1.37890699,1.494393222,1.475671434,0.987901806,0.78603737,0.780498819,0.978784274,0.635030013,0.996126007,0.832707658,0.77948892,1.073760322,1.07988829,0.978411135,1.231589169,1.234455356,0.91021517,0.994650753,1.00505203,1.113870227,1.027474186,0.99894973,1.027965022,1.064482893,0.984781283,0.972118859,1.05027195,1.057353671,0.944850386,0.951752999
18,0.97753523,0.99696873,1.01157209,1.011471488,1.140056622,1.008290395,0.824209332,0.830046338,1.456004925,1.561342304,1.406696896,0.977643789,0.782698832,0.787828262,0.99753569,0.640282372,0.969415843,0.816488683,0.784797235,1.090617379,1.130157731,1.003124704,1.229555581,1.280839192,0.94589495,0.969048576,0.999395953,0.980298778,1.002385122,0.990308875,1.020556332,1.085124525,1.000526695,0.974006364,1.047552448,1.10875496,0.899465966,0.9551567
19,0.955818039,1.012699426,1.005914624,1.006507369,1.142554659,1.018694676,0.854098709,0.839229204,1.351581739,1.503364067,1.388821067,0.987118751,0.777287168,0.792031402,0.981503512,0.641599289,0.972814082,0.830921748,0.781865317,1.134129123,1.174999017,1.003266736,1.24577859,1.258859003,0.94137104,0.952320584,1.008923423,1.123990135,0.999667894,0.993650642,1.022337386,1.051870537,0.991046183,0.996953028,1.047591298,1.046875,0.894702043,0.936036455
20,1.021530296,0.992629228,1.026658666,1.012526042,1.141626817,1.014995376,0.847397532,0.85948802,1.304271642,1.421712767,1.447157307,1.003406289,0.782914221,0.779665138,0.989859506,0.606792846,0.974377273,0.830593724,0.782760323,1.202156334,1.228690556,1.017801345,1.229007198,1.252434024,0.947543108,0.947991713,0.99552456,1.102162882,1.021405712,0.952260467,1.017043698,1.054712758,0.995426069,0.91037049,1.065811966,1.029513889,0.938357209,0.919278341
21,1.042798939,1.008742821,1.019158238,1.024794876,1.122546571,1.014235698,0.844490143,0.83846632,1.242612237,1.365769582,1.396494594,1.019928743,0.830649938,0.826385994,1.000623159,0.594312753,0.985557481,0.803549951,0.763440528,1.201129508,1.240608897,1.028643121,1.218667885,1.246882617,0.958125419,0.939086608,0.99071964,0.913286277,1.014220156,0.96725068,1.0193937,1.055423313,0.985086212,0.96977296,1.034693085,1.00688244,0.913418666,0.930252023
22,1.024408477,1.007689853,1.036602092,1.032459683,1.143482502,0.996564936,0.832683307,0.836968807,1.22897329,1.355594318,1.339727939,0.996867781,0.811641807,0.818952341,0.961760707,0.599473233,0.985285622,0.814046725,0.768872292,1.197278912,1.196554301,0.973250639,1.201668,1.239034562,0.947850006,0.919390248,1.003130062,0.935680472,1.018567719,0.983959517,1.023462913,1.039222653,0.989050286,0.955967211,1.045454545,1.049417163,0.885716708,0.907709476
23,1.022390012,1.012890874,1.027901594,1.043391034,1.13253872,1.009050073,0.864061835,0.852932866,1.165751089,1.291718581,1.285184862,1.026858776,0.823353616,0.842017507,0.979973941,0.602153007,0.98426615,0.808688997,0.752175792,1.174175331,1.210636038,0.99786952,1.19074603,1.233722683,0.981165532,0.926130917,1.000384394,0.953709216,0.996286456,0.986394233,1.027989759,1.030127545,1.005460997,0.85096802,1.017715618,1.198474702,0.936119352,0.918032177
24,1.038051807,1.026483727,1.032916167,1.044985725,1.136131135,1.001123002,0.874627712,0.876441004,1.12592347,1.243874076,1.233780956,0.986453155,0.840961715,0.876128943,0.984024473,0.586319368,0.986135182,0.827532165,0.775631134,1.151841869,1.198639028,0.976185967,1.171872501,1.208121398,0.971753981,0.91710213,1.009994234,0.962610199,0.98333434,0.985487182,1.022028175,1.031974988,0.9965349,0.879361484,1.025679876,1.124751984,0.931202848,0.923891007
25,1.033753224,1.023548181,1.034587691,1.05293346,1.14372041,1.010635487,0.894553964,0.866890823,1.144487592,1.274399867,1.22392745,1.000195764,0.820338162,0.852890093,0.997733968,0.636500061,0.996669725,0.836170135,0.807511882,1.15466564,1.192306179,0.968942335,1.148017822,1.194116072,0.99175921,0.903342506,0.997748552,1.007313547,0.959966186,0.985009787,1.030488182,1.055920702,0.996978433,0.909939061,1.015268065,1.080729167,0.914774943,0.8999907
26,1.082233768,0.994160817,1.02734442,1.042542246,1.14486237,1.011824547,0.916040278,0.899271022,1.186777799,1.275396628,1.129403558,0.972945461,0.858381347,0.879949979,0.971391344,0.647203847,0.989737316,0.811859897,0.799734584,1.166003508,1.170200212,0.958005871,1.140226208,1.157581052,1.019436898,0.899322841,0.99560693,1.002409502,0.982851277,0.978326252,1.015942907,1.032543433,1.001912735,0.917758723,1.017715618,1.071118552,0.905925235,0.881893425
27,1.085373603,0.994830887,1.033859078,1.051621698,1.135798063,0.985334919,0.911431003,0.904582957,1.186730441,1.260985132,1.113620509,1.015543636,0.824215174,0.850666945,0.981673465,0.70637327,0.976280287,0.843532456,0.807264984,1.169169555,1.167053456,0.977085503,1.131726265,1.160342666,1.042602044,0.887263845,1.002580929,1.010771891,0.968963227,0.983291163,1.016734487,1.027001101,1.008898376,0.936606806,1.005283605,1.063926091,0.968330932,0.918887752
28,1.090419766,0.956924059,1.011186354,1.042542246,1.155306545,0.994054697,0.930222663,0.926452306,1.225232052,1.286983969,1.101805023,1.000391528,0.811695655,0.812456579,0.984902561,0.6961595,0.98511571,0.837956045,0.798777853,1.221879947,1.18860874,0.962598239,1.121192734,1.143927973,1.06117508,0.894097276,1.008072266,1.018935851,0.992029467,0.999522605,1.047915301,1.032685544,1.002217664,0.942511999,1.024242424,1.018725198,0.966059168,0.902538826
29,1.052592232,0.977919592,1.00634322,1.038838447,1.151642757,1.000990884,0.930683591,0.929588608,1.218317863,1.284907384,1.08750436,0.954426218,0.794841419,0.789044046,1.002719239,0.726387358,0.992285996,0.86357838,0.847293377,1.255337355,1.188844747,1.017043841,1.120632926,1.116438646,1.072416654,0.900837946,1.012355509,1.028715594,0.998762152,0.970115052,1.022337386,1.03179735,0.996119089,0.973224397,1.006526807,1.094494048,0.966025261,0.913214917
30,1.038051807,1.006445437,1.021429796,1.026235243,1.111008018,1.014599022,0.942384059,0.948688969,1.158789543,1.256831963,1.060995814,0.982420422,0.796268375,0.802348201,1.008554271,0.775771775,0.995786183,0.894631337,0.873742362,1.192743764,1.128663022,1.00686488,1.119856049,1.105772618,1.08097571,0.911876565,1.002141622,1.00087876,1.02264356,0.980140354,1.037736082,1.03051835,0.991933248,0.978779054,0.993978244,1.094184028,0.98119861,0.900399888
31,1.06115202,0.989342693,1.01680096,1.030479179,1.105488545,0.99263443,0.952240817,0.930068942,1.197670013,1.251931224,1.055502267,0.985161114,0.834123095,0.879602612,1.003823929,0.854235575,1.005063377,0.898494733,0.883093636,1.128994994,1.086103135,0.983145535,1.09717811,1.13065532,1.061277379,0.919915896,0.999011559,1.004620574,0.995501479,0.940468802,1.02372265,1.028066934,1.013694073,0.992476945,1.007226107,1.095424107,0.961549546,0.902297033
32,1.07625313,1.003765156,0.997428424,1.030221971,1.097804106,0.999636676,0.944263225,0.954792043,1.220259519,1.281044937,1.045256366,0.988175874,0.834823111,0.897735167,0.994533197,0.921459635,0.982397118,0.873455553,0.859391396,1.11556069,1.081619006,0.964634031,1.095750029,1.137559354,1.092649215,0.920070499,1.006864172,1.045893925,0.996709136,0.98672841,1.01537396,1.012434718,0.99966735,0.997357493,1.014529915,1.058407738,0.990828177,0.933358133
33,1.061451052,0.987460115,0.990485171,1.036266365,1.09016725,0.97849782,0.99024961,1.011584539,1.204773631,1.254506188,1.035533659,0.98410399,0.81086102,0.8687995,1.010848629,0.946358569,0.973153906,0.885884025,0.879359299,1.102982073,1.062463124,0.989063536,1.076465212,1.137686162,1.070825329,0.938530039,0.990143049,1.024690308,1.016635469,0.956270588,1.019480279,1.021387714,0.995010257,1.009060023,1.004351204,1.134486607,0.993066034,0.916972008
34,1.054797593,0.994543714,0.986413509,1.014069292,1.080531963,0.980908971,0.98787406,1.003644892,1.258950559,1.2870255,1.026203348,0.974315806,0.810214851,0.848548006,1.024813052,0.987673037,0.973595677,0.867551117,0.848651318,1.094553545,1.072375408,0.997112016,1.069164858,1.137460725,1.058390261,0.984694351,1.005189314,1.0286589,1.010838717,0.969780876,1.019987384,1.003517249,1.003104729,0.994202664,1.007459207,1.123883929,0.970111045,0.899972101
35,1.064777782,1.001244416,0.988042174,1.02739268,1.102443318,0.991808693,0.989930506,1.030458861,1.271405569,1.293047595,1.030563307,0.980267022,0.791260568,0.804189246,1.005325176,1.036613377,0.978115336,0.849363998,0.828683415,1.097291747,1.062148448,0.965296847,1.081709128,1.153199104,1.044295668,0.977582635,1.004173416,1.028403776,1.024455045,0.960567146,1.007507638,1.008171386,1.001829573,0.986895324,1.021950272,1.053447421,1.025786217,0.91793918
36,1.073636602,1.000127632,1.00214298,1.002083387,1.103299788,1.010206104,1.025634662,1.063178119,1.274010229,1.22871501,1.018311824,0.979679731,0.860616014,0.86459636,0.999065262,1.074666177,0.973867537,0.848744396,0.820350596,1.058144012,1.088227196,0.990105104,1.085559237,1.135276795,1.033292792,0.968151882,1.008401746,1.010885279,1.023971982,0.964720485,1.009597902,1.013891356,0.997283362,0.998840533,1.037801088,1.074900794,1.039772824,0.899934902
37,1.027697829,1.0023612,0.995885479,1.018493274,1.113172983,1.000891795,0.999255425,1.048259494,1.184504641,1.175305258,1.031871294,1.013390236,0.855258198,0.851882729,1.004673691,1.106501899,0.976654093,0.875861064,0.81488797,1.071364395,1.083585729,0.984660544,1.093476522,1.131895228,0.931413892,0.94715686,1.00008237,1.028290388,1.007094982,0.979806177,1.007050006,1.005115998,1.008621168,1.012673246,1.060644911,1.164868552,0.992353988,0.925285967
38,1.041490674,1.008296107,0.998628493,1.016718537,1.101824757,0.988703924,1.056126791,1.097846971,1.117257056,1.10648725,0.964117544,0.982616187,0.875370201,0.88488259,1.012548153,1.122764302,0.987256601,0.887742829,0.813838652,1.056304283,1.060299729,1.001562352,1.083856963,1.124286701,0.982052127,0.937540583,1.003953763,1.026391133,1.000694403,0.974841266,0.984885778,0.999147334,1.005876809,1.021193982,1.075369075,1.160714286,0.975468339,0.903673393
39,1.024408477,0.977632419,0.955983199,1.015509658,1.087003069,0.979554763,1.088498085,1.097366637,1.113326388,1.116247197,0.945718521,0.991034025,0.876931775,0.882624705,1.003115794,1.156498836,0.988106161,0.877318949,0.812357262,1.027296453,1.053534201,1.011504592,1.069107734,1.096078791,0.983950351,0.933768282,0.993218198,1.008759248,0.994203249,0.968062252,0.986901832,1.006608164,1.014359372,1.033220083,1.03030303,1.096292163,0.981079936,0.951436808
40,1.045116435,0.992884493,0.978270187,1.012654646,1.048557086,0.984311005,1.054424904,1.060578662,1.141882932,1.121023341,0.953217649,1.007634784,0.874858651,0.894226761,1.013879447,1.163221242,0.981241717,0.885300871,0.84720079,0.989303898,1.038233096,0.986128208,1.055489546,1.078086033,0.990304284,0.984756192,1.006864172,1.014853871,0.989161283,0.976368931,0.99046394,0.996766973,1.004573931,1.034433479,1.006759907,1.076388889,0.964923286,0.946917139
41,1.035809068,1.007338864,0.979598834,1.013812084,1.040967811,0.981008059,1.032300383,1.020287071,1.133263876,1.118199186,0.928322288,0.992600133,0.916186527,0.93261081,1.007534557,1.166421659,0.99830088,0.892335168,0.864637985,1.028922261,1.05290485,0.991525424,1.056917628,1.057218942,1.027075258,0.988002845,1.008484116,1.013436517,1.017269489,1.001145749,0.976932877,0.998685473,1.005959971,1.018200938,0.984615385,1.08265129,0.956921251,0.971412629
42,1.047359175,0.960402042,1.015429453,1.003369428,1.027121547,0.983154974,1.043433556,1.008872061,1.115078613,1.099759116,0.97083188,1.013586,0.89058209,0.93313186,1.005891684,1.139899547,0.982872872,0.957648431,0.917103882,1.035168784,1.062895803,0.993466528,1.051262424,1.062474462,1.008740921,0.970625522,1.002635842,0.994358931,1.012740777,1.011648446,0.986555516,0.990123281,1.005738205,1.013805749,0.971911422,1.036520337,1.028803933,0.951325212
43,0.986954734,0.989757498,0.98007029,1.011497209,1.022720244,1.002609328,1.034817756,1.034273282,1.111574162,1.103455436,0.965076735,1.006538507,0.928517581,0.946818119,1.016315432,1.113086488,0.992184049,0.956737253,0.941639405,0.998630899,1.027809464,0.99573904,1.054689821,1.039226185,1.004683042,0.963575647,1.006205211,1.005272557,1.026357104,1.006206139,0.996858419,1.007816108,1.004213561,1.035781697,0.987373737,1.146763393,1.022209036,0.94035153
44,1.006541322,0.995979579,1.015258015,1.016435608,1.011871625,0.999438499,1.036484187,1.026955244,1.075250995,1.065370878,0.969916289,0.980776007,0.95304507,1.018896763,1.015267392,1.064054269,0.986576953,0.969967562,0.948892044,0.994651949,1.033552295,0.996591232,1.047926425,1.030687726,1.01584505,0.946909496,1.001784685,1.008305695,1.057907131,1.004487516,0.996413155,0.997690695,0.99024228,1.034595265,0.986635587,1.154265873,1.008154616,0.97794104
45,0.986319291,0.992214422,1.002871593,1.017027187,1.02950063,0.986557009,1.044390867,1.008646022,1.043995075,1.018149348,0.973796652,0.996006421,0.927144473,1.00052105,1.01232155,1.049231288,0.999354334,0.996537522,0.967779767,1.01844008,1.033237619,1.000142032,1.052187821,1.03450608,1.012048604,0.984106861,1.008264463,1.060464325,1.030191414,0.997565284,1.009338165,0.986002061,1.002993846,1.029714717,0.984731935,1.149491567,0.991709757,0.954449921
46,1.027884723,0.993554563,0.996485513,1.015535379,1.018057241,0.999636676,1.0270529,1.027548599,1.011697291,1.011005897,0.970265085,1.019028229,0.976818696,1.021397805,1.01903467,1.035051452,0.998946546,0.967343368,0.941670267,0.976297437,1.033198285,1.006675504,1.028196047,1.019768081,0.997635746,1.008750502,1.003541913,1.057374493,1.045196546,1.003819163,1.014384485,0.989057448,1.005599601,1.040904924,0.97031857,1.075334821,1.022802407,0.973272575
47,0.987702314,0.943522655,0.992413852,0.996296201,1.032093831,0.989727837,1.019394412,1.010708635,1.015485887,0.997674225,0.996381235,0.995027603,1.010581013,1.064054467,1.01127351,1.038864388,1.015767832,0.927688887,0.91667181,0.999572156,1.017700507,1.00260392,1.013526791,1.021205247,1.020027962,0.995980335,0.991406057,1.020041387,1.037678884,0.993555163,1.01166343,1.001527694,1.008926096,1.032249366,1.006721057,1.062748016,0.999135373,0.960494746
48,1.031510485,0.95539247,1.003557346,1.001028833,1.035020103,0.988736953,1.023046376,1.005707505,1.015485887,1.005855968,1.00209278,1.01660076,1.008938668,1.026538836,1.007279628,1.00091878,1.012437557,0.976892517,0.974538609,0.981902195,1.02627542,1.000426096,1.010602079,1.014878898,1.013912727,1.012182678,0.995414733,1.004053633,1.008906467,0.991215926,1.00977106,0.984545422,1.016410711,1.009275737,1.001359751,1.044022817,1.030770535,0.994457361
49,1.003737899,0.977377154,0.975955769,0.999434142,1.046891728,0.999801823,0.999432705,1.020710895,1.010513355,0.980978487,1.019968608,1.017109745,1.020327392,1.046408226,1.002804215,1.014746417,0.996058042,0.984327733,0.996852046,1.002823771,1.05290485,1.004308304,1.001679424,1.007059022,1.007513327,0.993321171,0.996869938,0.980723984,0.998671578,0.989019907,0.987211043,0.992929975,1.00695792,1.003046972,0.970784771,1.031436012,1.007544291,0.983223287
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,1.012671476,0.997511168,0.988085033,1.008796523,1.014750315,1.006638922,0.994929797,1.010200045,1.013970449,1.034222111,1.013079874,0.992600133,1.028512196,1.019209393,1.000878087,0.976724244,1.011689945,0.969129278,0.985710759,1.056817696,1.094009362,0.999857968,1.049594425,1.026531216,1.014799323,1.022355524,0.999286126,0.99155257,0.971559688,0.984532391,1.001335791,0.996731446,0.991933248,1.008251092,1.025951826,0.976810516,1.000796813,1.010173905
52,0.985085785,1.00134014,0.993099606,0.982098305,0.999405229,1.000759678,0.997057155,1.00522717,0.975658269,0.990240053,1.008894315,0.992482676,1.071132411,1.050090315,0.987111942,0.965545755,0.994222992,0.962277217,0.987593358,1.095323664,1.147582897,1.003266736,1.085136525,1.051794344,1.001636791,1.063788998,1.003926306,1.026504521,0.947980194,1.015658567,0.98415604,1.002557999,1.020374785,1.006956803,0.999222999,0.969122024,0.968602187,0.995145541
53,0.970657497,0.975239311,0.977584433,0.982509838,1.001356077,0.987547893,0.978620054,0.973299051,0.973574541,0.978943434,0.976238228,1.024705376,1.146814926,1.088752258,1.008639248,0.974519172,1.019505896,0.946896527,0.997407567,1.115817396,1.120953467,1.020168545,1.159054039,1.106998436,0.990088319,1.045916948,1.001784685,0.956260453,0.947587706,1.003007591,1.007507638,0.990194337,1.008842934,1.000997681,1.011810412,0.982762897,0.985843859,0.981772529
54,0.920756551,0.838513082,0.968026744,0.97137272,1.02148312,0.987052451,0.966494114,0.949451854,0.973527183,0.989575546,1.058467039,0.911749736,1.158365193,1.118521606,0.992918649,1.021315693,1.00652462,0.973612275,1.000370348,1.143199418,1.145655509,1.021257457,1.253284588,1.133022417,0.993214136,0.989703472,1.00024711,0.87839102,1.085924763,0.815248007,1.056325834,1.02113902,1.004490769,0.908536914,1.095299145,0.964037698,1.176214292,1.201841347
55,0.948753411,0.851435865,0.975184296,0.972478716,1.05295839,0.967135685,0.97610268,0.938771474,1.02789354,1.00269956,1.089204744,0.919932658,1.163049917,1.110462693,0.997139134,1.069750704,0.995276447,0.98410905,0.985679896,1.169469045,1.152342367,1.038585361,1.295224494,1.250968678,0.985018812,0.981911506,0.9104912,0.875074411,1.122637522,0.81286103,1.205625162,1.002806693,0.921522426,0.908779593,1.136052836,0.86328125,1.221802153,1.252394681
56,0.922363847,0.843841736,0.944753986,0.966794413,1.06585302,0.955476285,0.914515672,0.903283228,1.026283387,0.963908963,1.09059993,0.927175914,1.148161111,1.111921634,1.001671199,1.119089183,0.979678527,1.003608266,0.973921363,1.151071749,1.124690241,1.044266641,1.335747744,1.333493018,0.976925787,0.970378158,0.917931962,0.875187799,1.187669827,0.807514203,1.243806508,0.986606033,0.907357099,0.898209567,1.174242424,0.893539187,1.287751123,1.287808054
57,0.927484768,0.853573708,0.933696211,0.969829471,1.026431613,0.96066191,0.934300099,0.880792269,1.008808486,0.946590248,1.09269271,0.935554599,1.06122449,1.045921912,0.980115568,1.128920127,0.971488769,0.944855487,0.918708722,1.161254439,1.074932148,1.048290882,1.343596481,1.337297282,0.997351581,0.94653845,0.917465199,0.889134564,1.158776644,0.804076956,1.378919247,0.987671866,0.914897156,0.891495443,1.17004662,0.883060516,1.273934051,1.273691063
