frame,stimuli,larva_12,larva_13,larva_14,larva_15,larva_16,larva_17,larva_18,larva_19
51,NC,0.98838097,0.981374575,1.00985981,0.988787228,0.989234477,0.997646199,0.988825607,0.992461232
52,NC,0.987043028,0.979066157,1.001648351,0.990535746,1.002313633,0.993667184,1.004763548,0.976493645
53,NC,0.977271271,0.999681926,0.993629347,1.033496846,1.007980424,1.006098077,0.999655978,1.009309045
54,NC,1.001163098,1.017143619,0.993885956,1.005433124,1.012319061,1.010951911,1.002232979,1.000630336
55,NC,0.992992093,0.969992477,1.001028214,0.994592309,1.011737203,1.004658859,0.997554909,0.99348044
56,NC,0.991200206,0.9824945,0.988368881,1.00744392,1.022476277,1.008708424,0.996858422,0.984801732
57,NC,0.985203357,0.983134458,0.987385217,1.030262087,1.019048375,1.005011609,0.988082688,0.987287981
58,NC,0.995237925,0.976597751,0.988860713,1.006639602,1.003021982,0.999325286,0.99619676,0.986021693
59,NC,0.99922786,0.966381289,0.998141373,1.033636728,1.019440496,1.009301043,1.009406794,0.990252949
60,NC,1.016836136,0.975614959,0.997392933,0.990990361,1.024854306,0.998676227,0.983288537,0.991272157
61,NC,1.001688718,0.9782205,0.993308587,0.995414113,1.033152106,1.003530061,0.994014434,0.992523002
62,NC,0.999896831,0.986082833,0.992389075,1.022813398,1.023665291,0.999635706,0.993201866,0.986593067
63,NC,0.996408624,0.986402811,1.007913865,0.997547305,1.036972131,1.000510525,0.996312841,0.981944862
64,NC,0.978418079,0.973306541,1.006588057,1.023075676,1.016214979,1.003515951,0.988813999,0.974038281
65,NC,0.990674586,0.973215119,1.004855952,1.029440283,1.033228001,0.991226157,0.9808044,0.9737912
66,NC,0.987974809,1.001464664,0.98969469,1.023862509,1.016050541,1.001159584,0.978854237,0.978161439
67,NC,0.988165944,0.977763387,1.005133944,0.982282739,0.996166177,0.999903796,0.984356483,0.981636011
68,NC,0.995261816,0.995887893,0.977527189,0.998124316,0.992915362,1.000905604,0.984449348,0.976725283
69,NC,1.010026965,0.976483473,1.007315113,1.015259798,1.006298095,0.981179851,0.985656592,0.957437549
70,NC,0.98353093,0.968529717,0.986936153,1.002075968,1.004603118,0.992637155,0.975244113,0.96449479
71,NC,0.990913504,0.97362652,1.011613299,1.01216492,0.993433974,0.993060455,0.968906083,0.963429255
72,NC,0.971585016,0.979203291,0.98990853,1.006202472,1.010965608,0.989688169,0.974385113,0.960912121
73,NC,1.009883614,0.977626253,0.987770129,1.015854294,0.989601301,0.994711323,0.971088408,0.938875615
74,NC,0.975049331,0.958907501,0.993757651,1.025418691,0.97659804,0.994175143,0.974965519,0.944759223
75,NC,1.000135749,0.968781129,0.98116247,1.005870254,1.000353025,0.991522467,0.974419937,0.946087281
76,NC,0.990698478,0.984871485,1.003401839,1.00697182,0.98877911,0.983239908,0.949601789,0.951028894
77,NC,0.983292011,0.967341225,0.994527476,1.012741931,1.000403621,0.983112918,0.963775296,0.94292156
78,NC,0.996671434,0.964095727,0.989202858,1.035000572,0.989082688,0.975789838,0.964425351,0.936126842
79,NC,0.98379374,0.966427,0.986594009,1.006219957,0.98421279,0.984608576,0.959526727,0.938736632
80,NC,0.983937091,0.947411125,1.015825948,1.054811287,0.973764644,0.991183827,0.953803926,0.919804076
81,NC,0.992275338,0.964918529,0.982659351,1.012112465,0.996659491,0.976043818,0.952515426,0.920514433
82,NC,1.005224708,0.977603398,0.989716074,0.990937905,0.989917528,0.986668634,0.942265461,0.922707274
83,NC,0.990794045,0.971203825,0.988005353,0.979520079,0.986590818,0.983197578,0.943136069,0.925888437
84,NC,0.98902605,0.959616026,0.973678067,0.975673339,0.991916084,0.982858939,0.944331705,0.925564144
85,NC,0.969721454,0.965878465,0.997093557,1.019596124,0.98213834,0.971796714,0.936426579,0.913071128
86,NC,0.978656997,0.947982515,0.978446701,0.984258565,0.957953286,0.984086507,0.946363125,0.920730629
87,NC,0.992108095,0.957490453,0.996879717,0.991410005,0.980430713,0.981504381,0.943612002,0.9137506
88,NC,0.971322206,0.965649909,0.962408695,0.991340065,0.970678267,0.975084339,0.947036396,0.913549847
89,NC,0.985585627,0.949765254,0.981568767,0.956177357,0.961305294,0.970950115,0.938771418,0.908639119
90,NC,0.984653845,0.945102707,0.977591341,0.978453483,0.978179175,0.965955182,0.945341611,0.914198434
91,NC,0.967069461,0.939045968,0.987128609,0.993368346,0.962140133,0.95959158,0.927766926,0.907110307
92,NC,0.952829933,0.988825507,0.985567576,0.978331087,0.964695249,0.966364371,0.917482137,0.898925761
93,NC,0.981786826,0.953216452,0.974790036,0.977771561,0.951616093,0.950801062,0.916936555,0.895389419
94,NC,0.975622735,0.955684859,0.984434224,1.006377324,0.952602722,0.956741364,0.909251984,0.901334797
95,NC,0.954908521,0.942245755,0.966108128,0.976005557,0.956612483,0.955795995,0.901729926,0.892254583
96,NC,0.964274117,0.954176388,0.994185332,0.964238027,0.961242048,0.948007286,0.905084671,0.891420686
97,NC,0.953833389,0.945605531,0.990378978,0.993158524,0.947745473,0.950843392,0.910888728,0.878448951
98,NC,0.946116329,0.954610645,0.982060599,0.995099379,0.951325164,0.955400916,0.914789054,0.882927288
99,NC,0.955529709,0.932120716,0.978895765,1.002513098,0.96163417,0.945721469,0.906419604,0.880549137
100,NC,0.964059091,0.960827373,0.97070569,1.002198365,0.945772215,0.943111123,0.912037931,0.876039915
101,NC,0.956867651,0.931960726,0.975367404,0.995991124,0.954209156,0.940472556,0.900394992,0.868488512
102,NC,0.973424687,0.952827907,0.969722026,0.977719105,0.945746917,0.953284419,0.91475423,0.877059122
103,NC,0.987544756,0.931435047,0.98980161,0.975988072,0.953943525,0.942081094,0.906419604,0.88081166
104,NC,0.96835962,0.984025827,0.971304442,0.96876669,0.9591423,0.938892238,0.895507976,0.875128805
105,NC,0.977557973,0.944554173,0.987941201,0.969850772,0.935792086,0.932937826,0.893929273,0.873677206
106,NC,0.9728035,0.952119383,0.972523331,0.995816272,0.936386593,0.93025693,0.895995517,0.871345382
107,NC,0.961622125,0.94185721,0.966108128,0.972263727,0.953298422,0.945396939,0.889378892,0.862187955
108,NC,0.992442581,0.945468397,0.999787942,0.973540146,0.943204451,0.938708808,0.890226284,0.872843309
109,NC,0.969625887,0.933492053,0.978190093,0.946927694,0.95388028,0.933050706,0.881589847,0.86221884
110,NC,0.983865415,0.937446075,0.957960821,0.957016646,0.936905205,0.933375236,0.894834706,0.867839925
111,NC,0.940668993,0.938268877,0.976928437,0.91545436,0.937626203,0.932782617,0.881067482,0.857632406
112,NC,0.956843759,0.919710115,0.977249197,0.957086587,0.929669928,0.93055324,0.894103395,0.85540868
113,NC,0.947215353,0.950336644,0.977933485,0.949305679,0.920461393,0.9303557,0.880974617,0.862002645
114,NC,0.954215658,0.923504147,0.966920721,0.978470968,0.934603072,0.926588335,0.877933291,0.857122802
115,NC,0.94743038,0.923207024,0.964654016,0.941874475,0.929948208,0.920140074,0.880684414,0.858157452
116,NC,0.970963829,0.93100079,0.9752391,0.949445561,0.919057344,0.920379943,0.873603465,0.850065561
117,NC,0.999586237,0.938177455,0.963306823,0.963171431,0.926406463,0.919053605,0.868762881,0.854188719
118,NC,0.922989041,0.932600684,0.965466608,0.94752219,0.945228305,0.914947601,0.877376102,0.845463683
119,NC,0.971752259,0.924029827,0.978339781,0.947592131,0.920006026,0.921790941,0.862958824,0.844552573
120,NC,0.961383206,0.918818745,0.970342162,0.968242135,0.921144443,0.918644416,0.865965326,0.843224515
121,NC,0.955911978,0.937034674,0.967220097,0.951666179,0.939397076,0.913451943,0.860567552,0.84623581
122,NC,0.949723995,0.923138457,0.960954582,0.948746153,0.927823161,0.913451943,0.865048284,0.845247488
123,NC,0.951205288,0.919847248,0.96649304,0.960338831,0.931820273,0.903687836,0.856504712,0.837696085
124,NC,0.934242092,0.931412192,0.968289297,0.942154238,0.905231892,0.902996447,0.876981426,0.841711146
125,NC,0.969482536,0.912282038,0.957789749,0.959132353,0.921966634,0.910714606,0.855529631,0.843934872
126,NC,0.978609213,0.920647195,0.957447605,0.926889672,0.915186724,0.905310484,0.850572966,0.843162745
127,NC,0.942771474,0.929446608,0.964547096,0.933936201,0.908255024,0.919914314,0.85947639,0.839085914
128,NC,0.951372531,0.90846515,0.950134274,0.937310842,0.913061677,0.905903103,0.857027078,0.833294961
129,NC,0.947740974,0.897448742,0.963114367,0.93848235,0.910493912,0.894742108,0.848216519,0.837495332
130,NC,0.964274117,0.908076604,0.961147038,0.930071975,0.902309953,0.910559397,0.84371257,0.827751089
131,NC,0.938662079,0.928715229,0.946520376,0.913618416,0.90844476,0.905649123,0.85590109,0.838854276
132,NC,0.932856366,0.913333397,0.941730358,0.900574468,0.900513783,0.894459908,0.846440477,0.829727734
133,NC,0.952232637,0.897014485,0.972501947,0.939548946,0.891849158,0.8862479,0.844292976,0.824214747
134,NC,0.945351791,0.914430467,0.937731549,0.926627394,0.898945296,0.9008094,0.843271462,0.832414736
135,NC,0.948601079,0.914750445,0.939463653,0.946945179,0.901095641,0.90044254,0.846974451,0.822886688
136,NC,0.923514661,0.897860143,0.945215952,0.946123375,0.883601954,0.890537334,0.834693066,0.817589897
137,NC,0.940836236,0.901768454,0.959628774,0.930369224,0.89016683,0.89342988,0.842319597,0.816570689
138,NC,0.939307159,0.927869571,0.951524234,0.921679086,0.879377159,0.892837261,0.845337706,0.81870176
139,NC,0.924661469,0.883712514,0.941537902,0.924599112,0.894328379,0.889493195,0.83386889,0.816339051
140,NC,0.941146829,0.897083052,0.967134561,0.921189501,0.892443666,0.887009839,0.833729592,0.817342816
141,NC,0.946641949,0.907870904,0.92637664,0.940755424,0.8885098,0.890001154,0.84026496,0.822902131
142,NC,0.956055329,0.90569962,0.956164564,0.956439635,0.892772542,0.884484152,0.822887613,0.816169183
143,NC,0.966902218,0.892900473,0.960120606,0.910925697,0.905295138,0.886882849,0.830223942,0.813080675
144,NC,0.957226029,0.890683478,0.951802226,0.94799429,0.895049377,0.879573879,0.832777727,0.808880303
145,NC,0.922535097,0.892191949,0.932706307,0.931103601,0.906597994,0.879813748,0.824884209,0.811907042
146,NC,0.948553296,0.895757426,0.943954295,0.922343523,0.902069621,0.878938929,0.825847683,0.805807238
147,NC,0.947000327,0.902614111,0.939827182,0.938814568,0.884575934,0.883891533,0.828424684,0.808231717
148,NC,0.941600774,0.917013152,0.945344256,0.929967064,0.879478352,0.884131402,0.830548969,0.807861096
149,NC,0.9342182,0.920738617,0.943868759,0.899455416,0.889268745,0.877161072,0.82050795,0.790735318
150,NC,0.958587863,0.887483692,0.935571764,0.931138572,0.886485946,0.880505137,0.816804962,0.801236246
151,NC,0.932904149,0.905973887,0.949856282,0.942608853,0.860833598,0.866705576,0.813821676,0.802888598
152,NC,0.949628428,0.907459503,0.951374546,0.949253224,0.883020096,0.869188933,0.803676184,0.807088969
153,NC,0.932689123,0.894934623,0.954068931,0.901588609,0.874975277,0.863008761,0.821262477,0.802147356
154,NC,0.924159741,0.907436647,0.927787985,0.914282853,0.884322952,0.873887556,0.818197935,0.794379757
155,NC,0.955171332,0.897471597,0.932556619,0.926539968,0.857810466,0.865181698,0.804848604,0.793051699
156,NC,0.965516492,0.901585609,0.955052596,0.918007198,0.862844803,0.860229095,0.814378866,0.795290867
157,NC,0.97438036,0.881152685,0.941944198,0.959499542,0.866285354,0.868737413,0.817118381,0.795213655
158,NC,0.948983348,0.881426952,0.959201093,0.917150423,0.883121289,0.864955938,0.814970879,0.792001606
159,NC,0.912476638,0.884489605,0.93080313,0.908635138,0.867664105,0.857181339,0.802027832,0.785592951
160,NC,0.921173262,0.908373727,0.94979213,0.916258679,0.868119472,0.862359702,0.809689187,0.777099554
161,NC,0.934839387,0.896145971,0.94051147,0.901623579,0.8711932,0.871926269,0.810733918,0.781886742
162,NC,0.948314377,0.881312674,0.929969154,0.932082772,0.868296559,0.862416142,0.796223775,0.773980161
163,NC,0.940812344,0.892169093,0.94504488,0.938867024,0.870029484,0.860440744,0.798707911,0.779091642
164,NC,0.938948781,0.885906654,0.94093915,0.938324983,0.869472924,0.856955579,0.800936669,0.781855857
165,NC,0.94690476,0.893403297,0.941452366,0.922658257,0.865501111,0.854232353,0.796363072,0.777640043
166,NC,0.941600774,0.889746398,0.928087361,0.937887853,0.863502555,0.851777216,0.793089584,0.780141734
167,NC,0.940382291,0.889517842,0.927959057,0.918007198,0.859771075,0.850747188,0.800588426,0.774906713
168,NC,0.935102197,0.885380975,0.929135177,0.929599875,0.881388364,0.852906015,0.797384586,0.774798615
169,NC,0.963772389,0.89813441,0.940126558,0.953432183,0.861124527,0.850352108,0.790814394,0.779925539
170,NC,0.978011918,0.898980068,0.911022922,0.910243775,0.865387269,0.842732718,0.792218975,0.773485999
171,NC,0.939020457,0.886340911,0.925564048,0.903564434,0.862174401,0.853230544,0.790001826,0.765625746
172,NC,0.942508664,0.891323436,0.926098648,0.929967064,0.859151269,0.836524327,0.787865933,0.771756435
173,NC,0.944348334,0.900351405,0.933155371,0.923480061,0.858746499,0.847812312,0.790373285,0.762197502
174,NC,0.927385137,0.869633453,0.927060928,0.962891668,0.866171512,0.842760938,0.78899192,0.77002687
175,NC,0.948959457,0.900374261,0.93576422,0.902008253,0.855976349,0.845371285,0.787923973,0.773455114
176,NC,0.924470334,0.884718162,0.929498705,0.890765279,0.84307428,0.846669403,0.780425131,0.765579418
177,NC,0.943464337,0.871027646,0.928600577,0.915611727,0.850954661,0.843960287,0.79102334,0.765841941
178,NC,0.950560209,0.87580447,0.925927576,0.898598642,0.859606636,0.832065573,0.78578808,0.763973394
179,NC,0.937419704,0.875575914,0.946584528,0.907935731,0.857519537,0.8342244,0.786414918,0.763973394
180,NC,0.939307159,0.870479111,0.924473463,0.887932679,0.847842986,0.84188612,0.782653889,0.750476613
181,NC,0.920599859,0.876398716,0.923831943,0.949672868,0.862174401,0.830076066,0.783582538,0.74663142
182,NC,0.920408724,0.880009904,0.919319917,0.91963332,0.854471107,0.827705589,0.781794889,0.744315039
183,NC,0.970055939,0.871667603,0.949193377,0.92958239,0.859682531,0.838499724,0.77495771,0.747125582
184,NC,0.945017305,0.871279058,0.914914811,0.910803301,0.858468219,0.837145166,0.783443241,0.741983215
185,NC,0.932044043,0.863508147,0.921779078,0.882564727,0.872875528,0.827987788,0.77846336,0.737782844
186,NC,0.946761409,0.86933633,0.928301201,0.898283909,0.857835764,0.824813043,0.764440758,0.745843851
187,NC,0.946809192,0.851897493,0.930610674,0.900067397,0.866993703,0.816742134,0.774760372,0.735728986
188,NC,0.91799565,0.85587437,0.932449699,0.915489331,0.851840097,0.823204505,0.774272831,0.728918826
189,NC,0.935627817,0.875004524,0.921394166,0.884995168,0.856204032,0.825617312,0.771927992,0.732038219
190,NC,0.948051567,0.88316398,0.929669777,0.903302157,0.853345338,0.822230916,0.763465676,0.727343686
191,NC,0.930061022,0.872056149,0.936598196,0.904386238,0.840430621,0.820777588,0.759414445,0.717182494
192,NC,0.922224503,0.872216138,0.923810559,0.889348979,0.845224625,0.830273605,0.763523717,0.726602444
193,NC,0.919620294,0.87930138,0.927681065,0.899822605,0.854698791,0.828340538,0.763059392,0.724270621
194,NC,0.92650114,0.860376927,0.919170229,0.898983316,0.833220641,0.820001539,0.766541827,0.723498494
195,NC,0.921651099,0.853748798,0.929028257,0.895853468,0.848513387,0.816093075,0.76886345,0.721923354
196,NC,0.948362161,0.870341977,0.901186278,0.910960668,0.857785168,0.822174476,0.759576958,0.715406602
197,NC,0.930061022,0.86990772,0.928814417,0.900976627,0.844174751,0.811196911,0.758984944,0.713908676
198,NC,0.946689733,0.85900559,0.929669777,0.88611422,0.834169323,0.814936056,0.761921797,0.719884939
199,NC,0.940931803,0.859919815,0.913097171,0.923182812,0.860732405,0.811648431,0.756860659,0.71733692
200,NC,0.952614906,0.856308627,0.919041925,0.907131412,0.831095595,0.807429546,0.757673227,0.716811873
