expression,solution,cell,time,intensity
GcG-NIT1,cGMP,C,5,1.071969782
GcG-NIT1,cGMP,C,5.2,1.085811124
GcG-NIT1,cGMP,C,5.4,1.088666639
GcG-NIT1,cGMP,C,5.6,1.091711719
GcG-NIT1,cGMP,C,5.8,1.07062373
GcG-NIT1,cGMP,C,6,1.088911239
GcG-NIT1,cGMP,C,6.2,1.105734723
GcG-NIT1,cGMP,C,6.4,1.096122042
GcG-NIT1,cGMP,C,6.6,1.10631847
GcG-NIT1,cGMP,C,6.8,1.114226007
GcG-NIT1,cGMP,C,7,1.104919076
GcG-NIT1,cGMP,C,7.2,1.12601572
GcG-NIT1,cGMP,C,7.4,1.125951653
GcG-NIT1,cGMP,C,7.6,1.129455829
GcG-NIT1,cGMP,C,7.8,1.136979156
GcG-NIT1,cGMP,C,8,1.126556662
GcG-NIT1,cGMP,C,8.2,1.123751948
GcG-NIT1,cGMP,C,8.4,1.144337378
GcG-NIT1,cGMP,C,8.6,1.151397376
GcG-NIT1,cGMP,C,8.8,1.135795763
GcG-NIT1,cGMP,C,9,1.084300625
GcG-NIT1,cGMP,C,9.2,1.126470487
GcG-NIT1,cGMP,C,9.4,1.15680642
GcG-NIT1,cGMP,C,9.6,1.153726908
GcG-NIT1,cGMP,C,9.8,1.158836599
GcG-NIT1,cGMP,C,10,1.165422168
GcG-NIT1,cGMP,D,0.2,1.010586955
GcG-NIT1,cGMP,D,0.4,1.015975378
GcG-NIT1,cGMP,D,0.6,1.004340891
GcG-NIT1,cGMP,D,0.8,1.016453277
GcG-NIT1,cGMP,D,1,0.989289945
GcG-NIT1,cGMP,D,1.2,0.989476076
GcG-NIT1,cGMP,D,1.4,1.002787116
GcG-NIT1,cGMP,D,1.6,0.9959962
GcG-NIT1,cGMP,D,1.8,0.987267789
GcG-NIT1,cGMP,D,2,0.987826372
GcG-NIT1,cGMP,D,2.2,1.045957616
GcG-NIT1,cGMP,D,2.4,1.088122176
GcG-NIT1,cGMP,D,2.6,1.128954936
GcG-NIT1,cGMP,D,2.8,1.173595545
GcG-NIT1,cGMP,D,3,1.207515748
GcG-NIT1,cGMP,D,3.2,1.260117563
GcG-NIT1,cGMP,D,3.4,1.282234572
GcG-NIT1,cGMP,D,3.6,1.362030259
GcG-NIT1,cGMP,D,3.8,1.400199703
GcG-NIT1,cGMP,D,4,1.397473981
GcG-NIT1,cGMP,D,4.2,1.401109524
GcG-NIT1,cGMP,D,4.4,1.436030365
GcG-NIT1,cGMP,D,4.6,1.431091194
GcG-NIT1,cGMP,D,4.8,1.442237224
GcG-NIT1,cGMP,D,5,1.449953871
GcG-NIT1,cGMP,D,5.2,1.465499145
GcG-NIT1,cGMP,D,5.4,1.471196997
GcG-NIT1,cGMP,D,5.6,1.485441817
GcG-NIT1,cGMP,D,5.8,1.494897374
GcG-NIT1,cGMP,D,6,1.519459181
GcG-NIT1,cGMP,D,6.2,1.514086147
