frame,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS
15,0.921066438,0.91060299,1.042520188,0.988088274,1.021986016,0.937193359,0.896755568,0.972044415,0.981604808,0.966739741,1.007371381,1.061526274,1.04520159,0.952283278,0.950478785,0.999179824,0.954591138,1.131573835,1.015756571,1.106283626,0.972552499,1.045421956,1.017453739,0.963826662,1.027503464,0.944573794
16,0.910239901,0.926088785,1.032620101,0.979526722,1.0214202,0.976735874,0.904660434,0.957086871,0.983269715,0.947831746,1.008207311,1.043570108,1.033390119,0.95401058,0.912937217,1.031525528,0.974737323,1.090777898,1.056583312,1.094000609,0.957882283,1.074438025,1.03163855,0.982923246,1.042714383,0.958026129
17,0.908761387,0.930485986,1.02372371,0.966498272,1.031847391,0.979497677,0.9234259,0.973220118,0.981117518,0.938000959,1.017174557,1.05228413,1.04770017,0.947803088,0.963059417,0.961810539,0.960575605,1.105764161,1.055626435,1.098467161,0.960189293,1.008730125,1.007938824,0.954966948,1.049317572,0.950653214
18,0.900510326,0.93970099,1.014051736,0.961074182,1.019076102,0.991779576,0.921982403,0.970019595,0.96751401,0.932349113,0.995440383,1.069250066,1.066780239,0.941811508,0.949196683,1.02009432,0.971037003,1.101795576,1.072403674,1.11125774,0.997633836,1.015984142,1.040861596,0.97254866,1.049199658,0.937394904
19,0.887251395,0.949566015,1.006569643,0.961978197,1.01026553,0.980504923,0.923632114,0.962704115,0.976204012,0.943276016,1.013526864,1.047531027,1.04770017,0.96145957,0.966545134,0.999128563,0.982183646,1.145699775,1.050395509,1.098162623,1.005442177,0.988233309,0.994746366,1.004269188,1.04097515,0.980662269
20,0.891114609,0.965395939,1.032483234,0.965700612,1.026552964,1.00542613,0.93765466,0.965774004,0.976285227,0.956292389,1.021734174,1.04706892,1.03838728,0.977437115,0.941023278,0.991798237,0.965235267,1.117808675,1.060602194,1.054207695,1.026264419,0.978027076,0.997840173,0.979526258,0.995018129,0.965981115
21,0.886631373,0.975031545,1.018978968,0.972294602,1.009295558,1.014036456,0.923288425,0.962834749,0.971615366,0.971843529,1.032753249,1.07538949,1.040318001,0.952067365,0.964662046,0.984109083,0.96372773,1.09424694,1.071000255,1.072581464,1.006625259,0.983762811,1.079680112,0.989625413,1.022963771,0.946255336
22,0.882481996,0.993002715,1.009580729,0.970646105,0.986177909,1.019202651,0.925556778,0.966884389,0.986315277,0.968555183,1.031005396,1.053736467,1.037251562,0.971823383,0.929003566,0.977291368,0.993650069,1.096689146,1.057029855,1.085270531,1.011475895,0.977520982,1.010273773,0.98994675,1.03876426,0.984348726
23,0.883722039,0.999235269,0.994799033,0.937410263,1.001454957,1.059070085,0.941778939,0.957805356,0.980467798,0.955401795,1.038984725,1.049247425,1.032708688,0.968692648,0.884089907,0.972472832,0.965372316,1.111619904,1.063409033,1.084356918,1.004140787,1.008392729,1.024225089,0.990222181,1.035669015,0.955115768
24,0.887060619,1.004703093,0.992746019,0.944057432,0.997009255,1.046268317,0.938616992,0.960352711,0.977909527,0.955744331,1.049015883,1.045220491,1.044293015,0.961081723,0.957610481,0.983698995,1.00324349,1.098770571,1.04650421,1.081210029,0.997219757,0.997596052,1.013776195,0.971263313,1.022138372,0.943344975
25,0.884628225,1.016059343,0.989871801,0.944376496,0.97938811,1.013906489,0.943634864,0.963879817,0.977665882,0.952524491,1.034729083,1.042381833,1.071663827,0.974738206,0.947193397,0.974318228,1.002740978,1.070213415,1.07080888,1.101207999,0.983318545,0.967778668,1.027260522,0.951340433,0.985879787,0.963911525
26,0.893785472,1.014376936,1.001961768,0.954214305,0.977973568,1.006758294,0.927275227,0.964010451,0.973848778,0.956977461,1.030701421,1.05228413,1.064622374,0.979758178,0.974077487,0.992669674,0.982183646,1.100851997,1.061750447,1.088620445,0.995622597,1.01007971,0.98032806,0.987376056,0.995253957,0.95873755
27,0.889826871,0.987343708,1.025685478,0.988885935,0.983470072,1.010787276,0.957726148,0.983082952,0.973199058,0.950880318,1.008359298,1.023897544,1.077910278,1.000107956,0.930606194,0.968474472,0.98688899,1.120805928,1.040954325,1.091564308,1.012599823,0.971743073,1.079271496,0.943031583,1.001562362,0.962424007
28,0.881480422,0.987993729,1.038140426,1.01122042,0.986177909,1.021542061,0.926862799,0.98922273,0.967432795,0.965164075,1.04392431,1.026604172,1.050653038,0.986775343,0.992667975,0.982622514,0.950890818,1.067327172,1.074253636,1.111968328,1.004436557,0.983762811,1.010565641,0.960246052,0.963269758,0.963394128
29,0.873038584,0.987343708,1.037684201,1.030842861,0.995392636,1.01085226,0.969480341,0.970803396,0.97413303,1.016887032,1.033057223,1.025613942,1.052129472,0.988178776,0.933050202,0.976573713,0.960255825,1.056781284,1.059964277,1.093290021,1.028867199,0.948926659,1.009981904,0.991002571,0.99360316,1.009119131
30,0.875423284,0.987190762,1.031662028,1.013772933,0.988926161,1.005556097,0.987352213,0.961854997,0.967879477,1.009077208,1.038604757,1.016569844,1.060533788,0.983698586,0.967907368,1.000922698,0.965417999,1.08617101,1.050586884,1.079687341,0.983673469,0.966091687,1.060767031,0.972319133,1.010966011,0.973160005
31,0.878189536,0.968225443,1.016013504,0.995001329,0.978781878,0.989082757,0.986252406,0.96525147,0.971859011,1.005720353,1.031385364,1.039411143,1.039068711,0.96475224,0.983492928,1.009790855,0.965189584,1.059195737,1.025006379,1.084965993,1.001419698,1.002783518,1.020722667,0.941838046,0.993278896,0.974065451
32,0.879143416,0.961954651,1.01738218,0.996437118,0.98795619,0.987490659,0.986664834,0.988112345,0.957443353,0.99678016,1.0214302,1.013995247,1.03838728,0.977868941,0.991626267,1.017531269,0.948104157,1.079399439,1.052373054,1.082326667,0.993256433,1.066340517,1.017920729,0.976129269,1.012174631,0.950847238
33,0.881480422,0.967766604,1.004516629,0.986865195,0.961039486,0.965136303,1.000893594,0.975310255,0.949849752,1.007090498,1.002051828,1.007129654,1.030550823,0.9725251,0.937337233,1.038753332,0.98565555,1.052396414,1.032278643,1.071363313,0.992960663,0.981991481,0.994687993,0.94624495,1.031954721,0.953369551
34,0.905327419,0.980422896,1.008303299,0.972081893,0.960029099,0.966923352,1.000962332,0.980927498,0.974742142,1.025073645,1.018390455,1.031027198,1.039068711,0.952931016,0.920108979,0.979803158,0.955687529,1.079066411,1.041783618,1.062531723,0.985980479,0.964362532,0.980970171,0.990084466,1.008047637,0.972319234
35,0.892736205,0.986923106,1.021442584,0.995426748,0.990704442,0.957923124,1.001374759,0.965186153,0.961382279,1.01185175,1.017098564,1.021851069,1.008404316,0.974144446,0.906486638,1.000666393,0.985792599,1.0830905,1.055754019,1.069536088,0.979177758,1.035047025,0.997314809,0.978424532,0.987176842,0.97736386
36,0.902370392,0.974802126,1.023586842,1.000159532,0.976882351,0.98697079,1.018215562,0.983605487,0.965605458,1.011886004,1.023710008,1.001188276,1.012947189,0.961351614,0.948956288,0.993643633,1.031110096,1.065828546,1.070489921,1.090752208,0.959006211,1.01223061,0.975541416,0.972365039,0.989358253,0.990428146
37,0.908522917,0.959698696,1.022355034,0.992927413,0.989936548,0.99077233,1.013128952,0.973873285,0.954844473,1.034390628,1.036096968,0.999405862,1.005451448,0.981647414,0.931968428,0.992874718,1.01667428,1.041878278,1.027494259,1.078672216,0.969180716,0.984015858,1.015527406,0.980903415,1.018600949,0.973548053
38,0.930128297,0.973005009,1.041698983,1.004307365,1.024410945,0.994606362,1.016084685,0.991508818,0.971087469,1.011166678,1.055399346,1.022907314,1.009653606,0.979056461,0.995152049,1.007432848,1.007903152,1.053922793,1.049119673,1.071870876,0.993078971,1.053139893,1.018971455,1.014643775,0.986911535,0.974388824
39,0.932131445,0.98038466,1.036771751,1.019941505,1.000363739,0.990837314,1.013678856,1.003984324,0.958702185,1.004692745,1.017402538,0.998019541,0.999659284,1.007233078,0.987419368,0.968166906,1.022156236,1.088807482,1.070553713,1.07684499,0.971783496,0.987980262,1.030120834,1.008676093,0.995814049,0.971219765
40,0.946773501,0.961610523,1.061955381,1.048125499,1.01927818,1.010364883,0.989139401,0.998236447,0.969828636,0.996745907,1.029941485,0.988315289,1.022827939,0.979218396,0.975039064,0.995642813,0.999086341,1.028085366,1.040571574,1.06923155,0.969890565,1.008687951,1.006070866,0.976358795,0.974383162,1.011641444
41,0.94353031,0.983940657,1.060677951,1.075299123,0.999030029,1.008057965,0.98542755,0.999934683,0.966092748,0.9853052,1.029713504,0.997425403,1.004429302,0.990337903,0.981930366,0.995283986,1.011009593,1.087503122,1.053393723,1.053598619,0.961431529,1.05516427,1.027494017,0.970987881,1.029478525,0.984478075
42,0.946248867,0.967001874,1.051872804,1.074288753,1.005860243,0.997758066,0.993882321,0.998628347,0.984934622,0.98246215,1.023026066,0.961182994,1.018171493,0.974198424,1.007772747,0.988825097,1.002695295,1.062276247,1.029152845,1.05603492,0.95220349,1.026316899,1.038643395,0.967728608,0.992748283,0.965657742
43,0.946487337,0.96791955,1.044162599,1.07455464,1.014145415,0.981512168,0.994363486,0.999738733,0.971128076,0.993252038,1.020518276,0.988513335,1.010562181,0.992766922,0.981810169,0.977291368,1.058200091,1.046873699,1.028004593,1.055831895,0.946820467,1.039306651,1.056272255,0.972273228,1.003301595,0.944573794
44,0.958792388,0.978472833,1.033121949,1.0492954,1.012569211,0.994183969,1.006598845,1.019529719,0.98140177,0.988216757,1.006611445,1.000594138,0.994548552,0.998920436,0.974357947,0.989388969,1.038921882,1.042627591,1.026282215,1.065983149,0.974977817,1.00177133,1.045414745,0.988890929,1.009551042,0.990234122
45,0.947822769,0.997935227,1.014736074,1.036426482,1.010467607,0.998992754,0.997731647,1.00751143,0.977503452,0.975097623,1.002127821,1.016833905,0.987734242,0.983914499,0.997716255,0.97190896,1.025262677,1.029334221,1.0318321,1.031265861,0.959065365,0.988022437,1.052536338,0.957721263,0.990272087,1.004656577
46,0.957361568,0.977249264,1.012272458,1.027545865,1.00214202,1.003151704,1.012235359,1.033180927,0.960448307,0.989449887,1.020670264,0.970755215,1.011357183,0.968260823,1.019111343,1.007330326,1.019735039,1.018066772,1.038147487,1.05644097,0.959124519,0.967652145,1.049209036,0.963734851,1.001886626,1.013775708
47,0.961654028,0.988337858,1.002326748,1.011805371,1.015277048,1.001104721,0.983021721,1.001306336,0.97413303,0.991642118,1.009803177,0.975046211,1.033276547,0.979812156,1.023198045,0.948226369,0.996984925,1.013126856,1.024751212,1.031976449,0.94599231,1.031251318,1.02848637,0.946749908,1.003448987,0.982861208
48,0.976629942,0.990096738,1.001596788,0.997553842,0.998019642,0.991324691,0.993676107,0.992096669,0.972021441,0.972220319,1.028725587,0.988513335,0.993867121,0.983806542,0.969870588,0.988876358,1.013476473,1.03549524,1.010334269,1.026088722,0.945814848,0.998102147,1.091179733,0.993802791,0.998496595,0.978980727
49,0.982496304,1.001605934,0.993384735,0.995107684,1.003920301,0.973779121,0.995394556,1.015610712,0.982741818,0.991744879,0.997720192,0.983694217,0.990005679,1.002752888,1.049601346,0.974266967,0.995294655,1.017178697,0.998532789,1.004974114,0.968470867,1.011091898,1.008697683,0.957858979,1.0087846,0.996895615
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,1.007726427,0.985737774,1.015967882,1.002180271,0.996403023,0.985671118,0.98508386,1.017243632,1.026922765,1.001678427,1.023634015,0.993596514,0.981487791,0.980729785,1.021996074,0.990619233,1.027912289,1.034829184,1.014034192,1.019388895,0.998284531,0.949727974,1.047107583,0.920400294,1.042006898,0.983766654
52,1.001335432,0.953427905,1.011177517,1.009837809,0.994220588,1.00597849,0.991682706,1.015480078,1.020181922,1.003459615,1.002203815,0.975112226,1.016354344,1.012037137,1.014423655,0.952224728,1.05833714,0.979990564,1.008356724,1.044462491,1.009997042,0.983298891,1.039635748,0.971309218,0.956961354,0.979239426
53,1.063719178,0.937636218,1.075505269,1.014464238,0.956715031,1.063846379,1.007011273,0.973350751,1.01713636,1.066760293,1.007219394,0.983628202,0.884951732,0.991255533,0.994150407,0.821457863,0.857332115,0.977992396,0.893084971,0.963455487,0.957763975,0.915397917,1.066604401,0.990451708,0.950417121,0.974259475
54,1.087136929,0.917714985,1.090925681,1.036107418,0.926847997,1.110894499,1.05217212,0.977857609,0.980345976,1.148318148,1.020670264,0.938473726,0.865190233,0.967397172,0.941904724,0.83734878,0.877204203,1.000721561,0.88734371,0.990660847,0.994025436,0.942727004,1.00992353,0.965203819,1.024761961,0.8454275
55,1.113416321,0.922226896,1.094849218,1.061579367,0.943660833,1.144945901,1.06640088,1.003984324,0.99191911,1.176097828,1.062010791,0.949234222,0.845315162,1.00566771,1.004166834,0.846216937,0.862631339,1.036938362,0.914263843,0.989036646,1.015261757,0.937033444,0.864572996,0.858933162,1.028564691,0.879446385
56,1.125292126,0.904293962,1.088827045,1.059452273,0.966859314,1.14419859,1.097058015,0.994774657,0.993421587,1.186476673,1.067634319,0.93418273,0.859284497,0.97878657,0.991025281,0.828634406,0.859936044,1.036383315,0.932380709,1.034920313,1.005442177,0.932014677,0.898021131,0.881702167,1.006013619,0.881709999
57,1.124576716,0.899323213,1.084766641,1.0685456,0.964434385,1.13968223,1.095064614,0.99634226,1.004101356,1.19497157,1.080705221,0.94448112,0.890971039,1.022508906,0.967867302,0.864517121,0.856966651,1.067216163,0.94207706,1.007511928,1.061283644,0.975370081,0.857684899,0.809814543,1.020251747,0.879640409
58,1.12414747,0.909455894,1.08910078,1.07795799,0.976074041,1.089514897,1.087640913,0.990725016,1.02505482,1.186887717,1.092408238,0.981449696,0.862123793,1.013548526,0.985856805,0.856520402,0.840246688,1.080093248,0.937292677,0.992894122,1.085536823,0.93829868,0.838479949,0.821612192,1.053031866,0.946384685
59,1.130252301,0.904943983,1.069483097,1.085190109,0.981570545,1.106865516,1.088946934,0.982887002,1.025460895,1.206309516,1.089976442,0.95926855,0.852470187,1.029526071,1.002644337,0.87000205,0.853129283,1.083479033,0.987433019,1.042635265,1.059449867,0.947155329,0.844200572,0.821061329,1.032898034,0.969990946
60,1.10015739,0.89549956,1.070213057,1.05551715,0.983267995,1.079669883,1.103931812,1.000457218,1.033826038,1.200178119,1.086404742,0.972933721,0.866666667,1.034222174,1.015345166,0.892659422,0.849291914,1.068853551,0.970145445,1.01360268,1.045785271,0.955843279,0.897612515,0.81844473,1.020517053,0.959319622
61,1.112987075,0.884334493,1.058214335,1.040414783,0.990785273,1.086233226,1.122903492,1.002743305,1.034678795,1.19904775,1.143247967,0.998481648,0.860988075,1.002860844,1.014143195,0.863799467,0.848835085,1.063303083,0.971548865,1.006598315,1.060159716,0.951794526,0.883953068,0.84213184,1.021047667,0.946643384
62,1.096675729,0.863151455,1.052922122,1.025525126,0.996443439,1.105273418,1.11417377,0.997517962,1.029196784,1.197198054,1.150923322,0.985872722,0.853038047,1.048526395,0.976601627,0.848421161,0.841708543,1.057058807,0.95815259,1.009745204,1.079089027,1.016026317,0.884828673,0.847181418,1.068567049,0.962618031
63,1.112605523,0.856574772,1.048086135,1.014198352,1.010831346,1.067258017,1.104550454,1.016133246,1.029887111,1.221107077,1.138460369,0.991219963,0.866439523,1.069577891,1.00793301,0.903834324,0.842530836,1.060278078,0.990176065,1.009745204,1.091807158,1.004006579,0.848053237,0.845207492,1.054387878,0.950006467
64,1.131635427,0.855083547,1.04726493,0.99920234,1.013781676,1.057023102,1.121185043,1.008752449,1.045236742,1.208193464,1.132760848,0.982637972,0.856785917,1.068768218,0.992708041,0.883586221,0.853586112,1.074515028,0.957195713,1.004669577,1.105944987,0.999072161,0.907769541,0.808070143,1.028535212,0.955374466
65,1.130395383,0.839597752,1.021807564,0.99377825,1.014630401,1.026805732,1.120635139,1.037622469,1.017055145,1.2165856,1.156698837,0.986070768,0.859965928,1.064072115,1.028086061,0.875384458,0.81758794,1.062692532,0.96102322,1.001624201,1.108606921,1.002403948,0.920611756,0.811145795,1.051646376,0.951170612
66,1.130299995,0.828929759,1.017290935,0.979526722,1.014953724,1.024466322,1.125996701,1.018941868,1.034069682,1.203809002,1.133900752,0.989833641,0.881658149,1.042750729,1.083537001,0.847139635,0.853677478,1.060333583,0.950688951,1.010963354,1.088257912,1.003795707,0.884887047,0.81302791,1.043893524,0.943344975
67,1.11985501,0.825985547,1.009626352,0.967030045,1.034757305,1.026123404,1.132664284,1.039647289,1.036424917,1.190826882,1.144691846,0.988909427,0.846337308,1.032656807,1.054769823,0.883381177,0.861169484,1.09519052,0.938440929,0.990559334,1.071103224,0.977099237,0.88383632,0.848558575,1.012734723,0.927370327
68,1.113368627,0.823806064,1.019343948,0.96373305,1.022066847,0.995451149,1.11211163,1.014761594,1.070535207,1.196238953,1.127821263,0.995444943,0.865530948,1.002860844,1.094675267,0.850574123,0.858839653,1.069769378,0.963574892,1.015632931,1.130848861,0.974821813,0.885178915,0.811329416,1.005512484,0.940305265
69,1.106023752,0.816770543,1.017884028,0.956447753,1.037020571,0.977125776,1.095064614,1.019856303,1.068748477,1.224566692,1.143703929,0.994322683,0.856785917,1.01522185,1.10248808,0.866259996,0.872727273,1.077762051,0.947244195,1.004568064,1.11422656,0.99299903,0.887980853,0.823586118,1.00179819,0.92465399
70,1.094434111,0.811455665,1.026278571,0.982611008,1.056541244,0.964161549,1.079323618,1.035467015,1.089539511,1.221209838,1.113078501,1.000792184,0.86564452,1.005343841,1.158660203,0.882150912,0.842804934,1.052424167,0.936846134,0.999492437,1.083880509,0.999620429,0.894635456,0.824274697,1.003743773,0.923748545
71,1.102923642,0.814667533,1.03439938,0.966976868,1.058077032,0.950807421,1.080492164,1.014043109,1.091285633,1.226758923,1.116802189,1.032941642,0.854628052,0.986937277,1.181938379,0.876460939,0.854819552,1.048705353,0.95706813,1.008527053,1.097131026,0.984648475,0.898196252,0.82211715,1.034430917,0.939787867
72,1.115324081,0.812908653,1.024681783,0.9575113,1.059734066,0.966078565,1.057808633,1.011561071,1.105620076,1.226210865,1.099551638,1.003300766,0.871095968,1.013872396,1.190191915,0.919212631,0.840109639,1.02908445,0.955983669,0.983961019,1.073528542,0.990763781,0.907185804,0.79466581,1.051616897,0.942698228
73,1.126961416,0.79761404,1.008303299,0.938739697,1.056177505,0.952432011,1.083722849,1.024755062,1.084991472,1.244707817,1.114978342,1.004885133,0.863827371,0.996977221,1.091630274,0.883740004,0.843124714,1.022257375,0.931806583,0.97157649,1.080212955,0.980473198,0.886579884,0.793196842,1.008961472,0.972513258
74,1.124338246,0.806446679,1.001003695,0.917894177,1.094168048,0.950514995,1.077055265,1.053102547,1.088483716,1.216414332,1.091040353,0.994652759,0.877683135,0.969394365,1.168997155,0.904193152,0.839515761,1.056531513,0.921791273,0.990254796,1.074001775,1.011808865,0.924873037,0.798705472,1.03776199,0.940499289
75,1.105976058,0.798684663,0.99927004,0.901462377,1.103059451,0.963121812,1.095820731,1.056694971,1.096117924,1.247722135,1.09833574,0.995642989,0.879840999,0.983428695,1.109379382,0.94228009,0.824257652,1.064107901,0.922237816,0.993097147,1.047441585,0.954114124,0.893526356,0.838964378,1.021666716,0.94632001
76,1.120236562,0.790502046,0.980519184,0.899282106,1.13725094,0.995548624,1.114517459,1.045656434,1.118411435,1.257587175,1.100463561,1.0146554,0.846791596,0.979596243,1.088384951,0.926235391,0.88117862,1.075819388,0.929063537,1.016140493,1.056196392,0.945215301,0.938065495,0.790213,1.037850426,0.929245893
77,1.100443554,0.831644553,0.972124641,0.889603829,1.116194479,0.970724892,1.127165246,1.044741999,1.105376431,1.269301911,1.097119842,1.017296013,0.859625213,0.980190003,1.062061781,0.902142711,0.836455002,1.040213138,0.930466956,1.025175109,1.046850044,0.974695289,0.890957913,0.829232464,1.029301654,0.926658906
78,1.106691468,0.829618017,0.976413158,0.904227599,1.143677,0.955616207,1.109155898,1.039908556,1.094980914,1.277214496,1.101755453,1.028518616,0.857126633,0.959732268,1.127569214,0.905936026,0.831064413,1.060083812,0.924917071,1.007917978,1.016208222,0.997806925,0.920028019,0.775431509,1.06175751,0.92161428
79,1.135689417,0.836997668,0.992563529,0.930124967,1.163116841,0.981837086,1.111767941,1.052057479,1.120035735,1.291121463,1.113838438,1.033997888,0.883816014,0.97581777,1.110861813,0.886713143,0.837460027,1.04248883,0.943289104,0.996447061,1.025081337,0.94922188,0.903216391,0.817985678,1.022993249,0.920191437
80,1.148805265,0.83906244,0.984944569,0.928636001,1.16598634,0.979400201,1.140087985,1.066884389,1.150044668,1.281941495,1.094004104,1.025613942,0.883816014,0.977814963,1.092030931,0.901732623,0.841297396,1.064080149,0.909607043,1.032991574,1.004081633,0.971321328,0.884887047,0.784015791,1.037732512,0.938494373
81,1.138694138,0.861813176,0.968337972,0.918904547,1.209150063,0.969912597,1.130945834,1.062508165,1.165069439,1.287148044,1.070218102,1.009638236,0.866098807,0.971553492,1.107776754,0.932130408,0.84892645,1.04806705,0.902462363,1.000101513,0.99408459,0.995824723,0.878874555,0.851680132,1.054830056,0.904798862
82,1.138884914,0.890261156,0.958072905,0.901143313,1.22390171,0.975956071,1.131908166,1.062312214,1.191301876,1.294615332,1.075309674,1.012080803,0.889381034,0.970365972,1.049721543,0.928900964,0.82530836,1.072267089,0.911839755,1.002842351,1.048920438,1.032811775,0.91232269,0.799256335,1.033104383,0.931638857
83,1.113893261,0.891064123,0.962087686,0.893432598,1.233843915,0.952756929,1.106062689,1.077661659,1.20433688,1.259436871,1.068546242,1.033337734,0.841113004,0.971607471,1.088144557,0.93274554,0.845134765,1.103183193,0.930147997,0.986194295,1.002011239,1.075323689,0.907769541,0.823769739,1.012675766,0.907709223
84,1.131778509,0.939471571,0.948629043,0.876788088,1.246372711,0.950385028,1.1422876,1.049575441,1.213920247,1.257655683,1.095675963,1.065223132,0.871550256,0.966155673,1.040546496,0.925568997,0.84490635,1.075403103,0.889959173,1.014110243,1.033599527,1.088313441,0.920378262,0.82666177,1.017510244,0.942374854
85,1.131683121,0.946698276,0.939458917,0.881839936,1.228953643,0.972966826,1.114792411,1.058981058,1.220904735,1.260635747,1.093244167,1.062120412,0.864735945,0.979866134,1.098120918,0.87748616,0.85262677,1.099325618,0.896721102,0.983250431,1.064300503,1.047404158,0.925807017,0.791590158,1.056127111,0.946255336
