frame,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1
19,1.351581739,1.503364067,1.388821067,0.972814082,1.134129123,1.174999017,1.003266736,0.94137104,0.952320584,1.008923423,1.123990135,0.999667894,0.993650642,1.022337386,1.051870537,0.991046183,0.996953028,1.047591298,1.046875,0.894702043,0.936036455
20,1.304271642,1.421712767,1.447157307,0.974377273,1.202156334,1.228690556,1.017801345,0.947543108,0.947991713,0.99552456,1.102162882,1.021405712,0.952260467,1.017043698,1.054712758,0.995426069,0.91037049,1.065811966,1.029513889,0.938357209,0.919278341
21,1.242612237,1.365769582,1.396494594,0.985557481,1.201129508,1.240608897,1.028643121,0.958125419,0.939086608,0.99071964,0.913286277,1.014220156,0.96725068,1.0193937,1.055423313,0.985086212,0.96977296,1.034693085,1.00688244,0.913418666,0.930252023
22,1.22897329,1.355594318,1.339727939,0.985285622,1.197278912,1.196554301,0.973250639,0.947850006,0.919390248,1.003130062,0.935680472,1.018567719,0.983959517,1.023462913,1.039222653,0.989050286,0.955967211,1.045454545,1.049417163,0.885716708,0.907709476
23,1.165751089,1.291718581,1.285184862,0.98426615,1.174175331,1.210636038,0.99786952,0.981165532,0.926130917,1.000384394,0.953709216,0.996286456,0.986394233,1.027989759,1.030127545,1.005460997,0.85096802,1.017715618,1.198474702,0.936119352,0.918032177
24,1.12592347,1.243874076,1.233780956,0.986135182,1.151841869,1.198639028,0.976185967,0.971753981,0.91710213,1.009994234,0.962610199,0.98333434,0.985487182,1.022028175,1.031974988,0.9965349,0.879361484,1.025679876,1.124751984,0.931202848,0.923891007
25,1.144487592,1.274399867,1.22392745,0.996669725,1.15466564,1.192306179,0.968942335,0.99175921,0.903342506,0.997748552,1.007313547,0.959966186,0.985009787,1.030488182,1.055920702,0.996978433,0.909939061,1.015268065,1.080729167,0.914774943,0.8999907
26,1.186777799,1.275396628,1.129403558,0.989737316,1.166003508,1.170200212,0.958005871,1.019436898,0.899322841,0.99560693,1.002409502,0.982851277,0.978326252,1.015942907,1.032543433,1.001912735,0.917758723,1.017715618,1.071118552,0.905925235,0.881893425
27,1.186730441,1.260985132,1.113620509,0.976280287,1.169169555,1.167053456,0.977085503,1.042602044,0.887263845,1.002580929,1.010771891,0.968963227,0.983291163,1.016734487,1.027001101,1.008898376,0.936606806,1.005283605,1.063926091,0.968330932,0.918887752
28,1.225232052,1.286983969,1.101805023,0.98511571,1.221879947,1.18860874,0.962598239,1.06117508,0.894097276,1.008072266,1.018935851,0.992029467,0.999522605,1.047915301,1.032685544,1.002217664,0.942511999,1.024242424,1.018725198,0.966059168,0.902538826
29,1.218317863,1.284907384,1.08750436,0.992285996,1.255337355,1.188844747,1.017043841,1.072416654,0.900837946,1.012355509,1.028715594,0.998762152,0.970115052,1.022337386,1.03179735,0.996119089,0.973224397,1.006526807,1.094494048,0.966025261,0.913214917
30,1.158789543,1.256831963,1.060995814,0.995786183,1.192743764,1.128663022,1.00686488,1.08097571,0.911876565,1.002141622,1.00087876,1.02264356,0.980140354,1.037736082,1.03051835,0.991933248,0.978779054,0.993978244,1.094184028,0.98119861,0.900399888
31,1.197670013,1.251931224,1.055502267,1.005063377,1.128994994,1.086103135,0.983145535,1.061277379,0.919915896,0.999011559,1.004620574,0.995501479,0.940468802,1.02372265,1.028066934,1.013694073,0.992476945,1.007226107,1.095424107,0.961549546,0.902297033
32,1.220259519,1.281044937,1.045256366,0.982397118,1.11556069,1.081619006,0.964634031,1.092649215,0.920070499,1.006864172,1.045893925,0.996709136,0.98672841,1.01537396,1.012434718,0.99966735,0.997357493,1.014529915,1.058407738,0.990828177,0.933358133
33,1.204773631,1.254506188,1.035533659,0.973153906,1.102982073,1.062463124,0.989063536,1.070825329,0.938530039,0.990143049,1.024690308,1.016635469,0.956270588,1.019480279,1.021387714,0.995010257,1.009060023,1.004351204,1.134486607,0.993066034,0.916972008
34,1.258950559,1.2870255,1.026203348,0.973595677,1.094553545,1.072375408,0.997112016,1.058390261,0.984694351,1.005189314,1.0286589,1.010838717,0.969780876,1.019987384,1.003517249,1.003104729,0.994202664,1.007459207,1.123883929,0.970111045,0.899972101
35,1.271405569,1.293047595,1.030563307,0.978115336,1.097291747,1.062148448,0.965296847,1.044295668,0.977582635,1.004173416,1.028403776,1.024455045,0.960567146,1.007507638,1.008171386,1.001829573,0.986895324,1.021950272,1.053447421,1.025786217,0.91793918
36,1.274010229,1.22871501,1.018311824,0.973867537,1.058144012,1.088227196,0.990105104,1.033292792,0.968151882,1.008401746,1.010885279,1.023971982,0.964720485,1.009597902,1.013891356,0.997283362,0.998840533,1.037801088,1.074900794,1.039772824,0.899934902
37,1.184504641,1.175305258,1.031871294,0.976654093,1.071364395,1.083585729,0.984660544,0.931413892,0.94715686,1.00008237,1.028290388,1.007094982,0.979806177,1.007050006,1.005115998,1.008621168,1.012673246,1.060644911,1.164868552,0.992353988,0.925285967
38,1.117257056,1.10648725,0.964117544,0.987256601,1.056304283,1.060299729,1.001562352,0.982052127,0.937540583,1.003953763,1.026391133,1.000694403,0.974841266,0.984885778,0.999147334,1.005876809,1.021193982,1.075369075,1.160714286,0.975468339,0.903673393
39,1.113326388,1.116247197,0.945718521,0.988106161,1.027296453,1.053534201,1.011504592,0.983950351,0.933768282,0.993218198,1.008759248,0.994203249,0.968062252,0.986901832,1.006608164,1.014359372,1.033220083,1.03030303,1.096292163,0.981079936,0.951436808
40,1.141882932,1.121023341,0.953217649,0.981241717,0.989303898,1.038233096,0.986128208,0.990304284,0.984756192,1.006864172,1.014853871,0.989161283,0.976368931,0.99046394,0.996766973,1.004573931,1.034433479,1.006759907,1.076388889,0.964923286,0.946917139
41,1.133263876,1.118199186,0.928322288,0.99830088,1.028922261,1.05290485,0.991525424,1.027075258,0.988002845,1.008484116,1.013436517,1.017269489,1.001145749,0.976932877,0.998685473,1.005959971,1.018200938,0.984615385,1.08265129,0.956921251,0.971412629
42,1.115078613,1.099759116,0.97083188,0.982872872,1.035168784,1.062895803,0.993466528,1.008740921,0.970625522,1.002635842,0.994358931,1.012740777,1.011648446,0.986555516,0.990123281,1.005738205,1.013805749,0.971911422,1.036520337,1.028803933,0.951325212
43,1.111574162,1.103455436,0.965076735,0.992184049,0.998630899,1.027809464,0.99573904,1.004683042,0.963575647,1.006205211,1.005272557,1.026357104,1.006206139,0.996858419,1.007816108,1.004213561,1.035781697,0.987373737,1.146763393,1.022209036,0.94035153
44,1.075250995,1.065370878,0.969916289,0.986576953,0.994651949,1.033552295,0.996591232,1.01584505,0.946909496,1.001784685,1.008305695,1.057907131,1.004487516,0.996413155,0.997690695,0.99024228,1.034595265,0.986635587,1.154265873,1.008154616,0.97794104
45,1.043995075,1.018149348,0.973796652,0.999354334,1.01844008,1.033237619,1.000142032,1.012048604,0.984106861,1.008264463,1.060464325,1.030191414,0.997565284,1.009338165,0.986002061,1.002993846,1.029714717,0.984731935,1.149491567,0.991709757,0.954449921
46,1.011697291,1.011005897,0.970265085,0.998946546,0.976297437,1.033198285,1.006675504,0.997635746,1.008750502,1.003541913,1.057374493,1.045196546,1.003819163,1.014384485,0.989057448,1.005599601,1.040904924,0.97031857,1.075334821,1.022802407,0.973272575
47,1.015485887,0.997674225,0.996381235,1.015767832,0.999572156,1.017700507,1.00260392,1.020027962,0.995980335,0.991406057,1.020041387,1.037678884,0.993555163,1.01166343,1.001527694,1.008926096,1.032249366,1.006721057,1.062748016,0.999135373,0.960494746
48,1.015485887,1.005855968,1.00209278,1.012437557,0.981902195,1.02627542,1.000426096,1.013912727,1.012182678,0.995414733,1.004053633,1.008906467,0.991215926,1.00977106,0.984545422,1.016410711,1.009275737,1.001359751,1.044022817,1.030770535,0.994457361
49,1.010513355,0.980978487,1.019968608,0.996058042,1.002823771,1.05290485,1.004308304,1.007513327,0.993321171,0.996869938,0.980723984,0.998671578,0.989019907,0.987211043,0.992929975,1.00695792,1.003046972,0.970784771,1.031436012,1.007544291,0.983223287
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,1.013970449,1.034222111,1.013079874,1.011689945,1.056817696,1.094009362,0.999857968,1.014799323,1.022355524,0.999286126,0.99155257,0.971559688,0.984532391,1.001335791,0.996731446,0.991933248,1.008251092,1.025951826,0.976810516,1.000796813,1.010173905
52,0.975658269,0.990240053,1.008894315,0.994222992,1.095323664,1.147582897,1.003266736,1.001636791,1.063788998,1.003926306,1.026504521,0.947980194,1.015658567,0.98415604,1.002557999,1.020374785,1.006956803,0.999222999,0.969122024,0.968602187,0.995145541
53,0.973574541,0.978943434,0.976238228,1.019505896,1.115817396,1.120953467,1.020168545,0.990088319,1.045916948,1.001784685,0.956260453,0.947587706,1.003007591,1.007507638,0.990194337,1.008842934,1.000997681,1.011810412,0.982762897,0.985843859,0.981772529
54,0.973527183,0.989575546,1.058467039,1.00652462,1.143199418,1.145655509,1.021257457,0.993214136,0.989703472,1.00024711,0.87839102,1.085924763,0.815248007,1.056325834,1.02113902,1.004490769,0.908536914,1.095299145,0.964037698,1.176214292,1.201841347
55,1.02789354,1.00269956,1.089204744,0.995276447,1.169469045,1.152342367,1.038585361,0.985018812,0.981911506,0.9104912,0.875074411,1.122637522,0.81286103,1.205625162,1.002806693,0.921522426,0.908779593,1.136052836,0.86328125,1.221802153,1.252394681
56,1.026283387,0.963908963,1.09059993,0.979678527,1.151071749,1.124690241,1.044266641,0.976925787,0.970378158,0.917931962,0.875187799,1.187669827,0.807514203,1.243806508,0.986606033,0.907357099,0.898209567,1.174242424,0.893539187,1.287751123,1.287808054
57,1.008808486,0.946590248,1.09269271,0.971488769,1.161254439,1.074932148,1.048290882,0.997351581,0.94653845,0.917465199,0.889134564,1.158776644,0.804076956,1.378919247,0.987671866,0.914897156,0.891495443,1.17004662,0.883060516,1.273934051,1.273691063
58,1.003362379,0.917642661,1.096442274,0.975940463,1.130235742,1.042205877,1.021020737,1.035895745,0.934170248,0.913950743,0.875698047,1.169766318,0.823554686,1.413204537,0.999502611,0.923989577,0.891576336,1.150699301,0.89515129,1.252301433,1.212629034
59,0.979873082,0.895049423,1.087417161,0.960546437,1.106661533,1.023404004,1.007906448,1.114529934,0.924368449,0.903489745,0.87479094,1.142775195,0.803504082,1.434762712,1.016236189,0.928009092,0.892600982,1.166511267,0.882440476,1.215444605,1.218190272
60,1.053655995,0.94098347,1.099755842,0.949060387,1.091344714,1.01966723,0.99242496,1.341543813,0.909031879,0.90634524,0.871927885,1.105398225,0.788513868,1.463383261,0.986002061,0.91572878,0.908105485,1.201515152,0.85844494,1.293447487,1.200595183
61,1.011555219,0.92819171,1.095657482,0.951575084,1.046421084,0.956063407,0.988164,1.486320288,0.930707152,0.904972406,0.872494827,1.075267194,0.783310259,1.482826434,0.993072086,0.922270888,0.953594348,1.182750583,0.850260417,1.322793931,1.14794011
62,0.997442697,0.905017028,1.079918033,0.947089408,1.036666239,0.945128427,1.016144305,1.647169146,0.912896942,0.912220971,0.908353885,1.07091963,0.780780064,1.452709305,1.004867304,0.923961856,0.911314243,1.225718726,0.85546875,1.284140036,1.122868037
63,0.977694639,0.885663261,1.067056156,0.936792741,1.023403072,0.916296267,1.010747088,1.761642247,0.910485143,0.917300459,0.998752728,1.048728941,0.799112045,1.515627512,0.995772196,0.916366358,0.908186378,1.201864802,0.874813988,1.245503094,1.12240305
64,0.94885395,0.858667663,1.067840949,0.941278418,1.065032302,0.951618613,1.007622384,1.908294213,0.888902631,0.914033113,0.940669558,1.014189964,0.783453478,1.519251463,1.003943582,0.931086101,0.915844254,1.174902875,0.871775794,1.221734339,1.039970241
65,0.95387384,0.849323033,1.057159051,0.931627417,1.065973559,0.953309995,1.00994224,1.767962081,0.889861167,0.923313473,0.890155059,0.977447014,0.794051654,1.497396445,0.990727253,0.926040916,0.867146632,1.211305361,0.911024306,1.198219886,1.086617688
66,0.933699564,0.871210233,1.032350889,0.944268869,1.04958713,0.977343351,1.017233217,1.815667731,0.880585016,0.922160292,0.874819287,1.033844575,0.788752566,1.506685137,0.996234057,0.917558352,0.852801596,1.191452991,0.887834821,1.231465627,1.066381475
67,0.924985793,0.859373702,1.011117893,0.941584259,1.078851666,0.987452307,0.980115519,1.959819044,0.882996815,0.940830839,0.864727726,0.997735644,0.793240082,1.542974113,0.993818169,0.92756556,0.859273041,1.151825952,0.895337302,1.234161227,1.013038222
68,0.894203448,0.8307999,0.98648413,0.928365107,1.046078809,0.973685246,0.977369567,1.918433227,0.8734733,0.928777354,0.855543272,1.020650927,0.815248007,1.59170573,0.976302981,0.919360204,0.869573424,1.122804973,0.88764881,1.195778588,1.009969311
69,0.894014018,0.836614337,0.987617719,0.912325415,1.02969238,0.964362978,0.99337184,1.881264421,0.877338363,0.929189204,0.862119795,1.027927058,0.797154724,1.54559622,0.978932035,0.929284249,0.880359165,1.165850816,0.860739087,1.166449097,0.98069376
70,0.87909642,0.829387823,0.953653645,0.968124512,1.02173448,0.950320576,0.981109743,1.86042943,0.862620203,0.928859724,0.853785753,0.979862327,0.797488901,1.413451905,0.960173375,0.931695958,0.851884808,1.124048174,0.86359127,1.168873442,0.954691714
71,0.897565827,0.809660271,0.973055459,0.927923336,1.002695418,0.933092082,0.976943471,1.819521011,0.887480288,0.937947887,0.853020382,1.004830626,0.804411133,1.489876439,0.951433545,0.922825304,0.899719571,1.098601399,0.878100198,1.1782148,0.978201432
72,0.877060049,0.799111222,0.980074991,0.927005811,1.002567065,0.898202415,0.979784111,1.800947975,0.873720664,0.942697894,0.839697253,0.971227583,0.807084547,1.50264066,0.959178598,0.930254477,0.877959338,1.074125874,0.845424107,1.151207934,0.918794755
73,0.892025005,0.794335078,0.947462504,0.948856492,0.985710007,0.899421783,0.989868384,1.797458427,0.887140163,0.927926196,0.838166511,0.998309281,0.79137824,1.534081211,0.97648062,0.918667184,0.870571105,1.071833722,0.866691468,1.119250657,0.881670232
74,0.865931048,0.762854058,0.945587722,0.92812723,0.970949386,0.895960351,1.008948016,1.778055628,0.872762129,0.943549051,0.839385435,0.984481613,0.797966296,1.547389643,0.978505702,0.930060431,0.863398587,1.086208236,0.851438492,1.173128762,0.920282712
75,0.874171245,0.781834039,0.955702825,0.928161212,0.952038677,0.879715219,1.008332544,1.743228344,0.86611422,0.917712309,0.836352298,1.033210555,0.797393421,1.583097302,0.983515117,0.932638465,0.866796096,1.065967366,0.835565476,1.146528779,0.899135125
76,0.869861716,0.794335078,0.916288804,0.927481565,0.931716083,0.885064705,1.00852192,1.778805824,0.869113509,0.944812059,0.84360915,1.030523519,0.798634649,1.616133381,0.973638398,0.925237013,0.868036456,1.052408702,0.884052579,1.127422226,0.879494095
77,0.860058723,0.784076751,0.903732124,0.934957692,0.919394173,0.850607717,1.001704384,1.815088034,0.861970873,0.931440652,0.85245344,1.063975605,0.796916026,1.597531261,0.968984261,0.930476243,0.877878445,1.079448329,0.865947421,1.095854878,0.882228215
78,0.87147187,0.772032561,0.910882456,0.917966493,0.92538399,0.85918263,1.061263138,1.899189561,0.861043258,0.931001345,0.852283357,1.071674416,0.812479114,1.573845716,0.98330195,0.927842768,0.868171278,1.048251748,0.869853671,1.181062982,0.862456989
79,0.854044327,0.769374533,0.930633066,0.918170388,0.897274633,0.847854305,0.986601648,2.013810428,0.85996104,0.931852503,0.84516824,1.037527927,0.778345348,1.569689923,0.963264291,0.932139491,0.875613439,1.01010101,0.831039187,1.162905824,0.85896029
80,0.865457473,0.761483512,0.931635856,0.925102797,0.896205023,0.849388349,0.995360288,2.144537777,0.853344052,0.923148733,0.846302123,1.027564761,0.784933403,1.54552201,0.970654066,0.930226756,0.863856981,1.033449883,0.868055556,1.145816733,0.859443876
81,0.875355181,0.748442562,0.916070806,0.914772148,0.879733025,0.853833143,1.000284064,2.209963968,0.864042547,0.929546141,0.84720923,1.022613369,0.764071227,1.522702255,0.984332256,0.937960858,0.850266947,1.01045066,0.85187252,1.178045266,0.84309495
82,0.839221443,0.77053742,0.9374782,0.911951609,0.878748984,0.837470007,1.035508001,2.198824693,0.947002257,0.931166086,0.83856337,0.976692229,0.79242851,1.583839408,0.996376168,0.945528636,0.844820148,0.985625486,0.847222222,1.232228533,0.786645587
83,0.864273537,0.763269375,0.909836066,0.903523975,0.866427074,0.847736302,1.041615377,2.212998852,0.947218701,0.919332253,0.844572951,1.006370388,0.778584045,1.577605719,0.999218389,0.951460886,0.84452354,1.004390054,0.825644841,1.234144274,0.803812889
84,0.840642167,0.760985132,0.898500174,0.899378122,0.855388696,0.837273335,1.041094593,2.22231947,0.930428867,0.935119848,0.838988576,1.044864441,0.776292548,1.582590197,1.015383522,0.944142596,0.859407863,0.991142191,0.85484871,1.25287785,0.799330419
85,0.847272211,0.775230501,0.91040286,0.907635845,0.877764942,0.816308067,1.037449105,2.205485525,0.930057821,0.934570715,0.823567764,1.068836423,0.805938798,1.595440996,1.019504743,0.931030659,0.842986572,0.995299145,0.84437004,1.297414597,0.772509997
86,0.838463724,0.762106487,0.908789676,0.904441499,0.87609635,0.834244582,1.029447969,2.318708299,0.927213135,0.929683424,0.832553789,1.065243645,0.782737385,1.626374442,1.006856859,0.937517325,0.853988028,1.03970474,0.869977679,1.265915063,0.790532875
87,0.842489108,0.779840518,0.927493896,0.901994767,0.884653232,0.811115919,1.01349304,2.408129397,0.907640456,0.94124269,0.836068827,1.068655274,0.778488566,1.579819668,1.025366824,0.945833564,0.850186054,1.015190365,0.855902778,1.353750954,0.798326049
88,0.845283198,0.750477614,0.922349145,0.89509634,0.873229795,0.830547142,1.049616514,2.3822249,0.911103553,0.934378518,0.838761799,1.081969688,0.795865756,1.600004947,1.010551746,0.94358818,0.842285499,1.051942502,0.849020337,1.320233958,0.762819678
89,0.831975753,0.767754797,0.912277642,0.885615251,0.883669191,0.825866342,0.99431872,2.3121043,0.917133051,0.930012905,0.855288148,1.077229636,0.779061441,1.575181507,1.019682382,0.93313744,0.861160546,1.087645688,0.862227183,1.310383996,0.746582349
90,0.818952453,0.751557438,0.919645971,0.884935603,0.880631498,0.803996381,1.002887984,2.362151471,0.923966482,0.927184866,0.869801854,1.098876879,0.797632119,1.542145428,1.01112019,0.932084049,0.880709702,1.068609169,0.950272817,1.326896669,0.761517716
91,0.824682705,0.742295872,0.915329613,0.86702688,0.887477003,0.821382213,1.017943377,2.377985155,0.916050833,0.921199308,0.863707231,1.087887205,0.761970688,1.529529629,1.000675028,0.928812996,0.874642722,1.106216006,0.960751488,1.29032805,0.759918162
92,0.818242091,0.763767755,0.929019881,0.880891698,0.890985325,0.802816347,1.026039201,2.267240301,0.947342383,0.923890063,0.864756073,1.1202524,0.771423115,1.541947533,1.002806693,0.92897932,0.874804508,1.11002331,0.926897321,1.336780537,0.757146843
93,0.837137715,0.763809286,0.918991978,0.881537364,0.892183288,0.799512253,1.028359057,2.103970356,1.043968956,0.931523022,0.851546333,1.104341525,0.784026352,1.495133022,0.996269585,0.933885901,0.897805102,1.094638695,0.896081349,1.326015089,0.750562634
94,0.821083539,0.776310325,0.955920823,0.906616373,0.884867154,0.800180939,1.045923681,2.259999773,1.039392721,0.921391505,0.845139893,1.084566149,0.794147133,1.431534551,0.997726223,0.926844819,0.868171278,1.097863248,0.99937996,1.343426295,0.762577885
95,0.825298352,0.774898247,0.997427625,0.88034798,0.892268857,0.810053888,1.032667361,2.266797004,1.029560001,0.925043244,0.828868668,1.056397561,0.776960901,1.424855599,1.006572637,0.925763708,0.835059052,1.116161616,0.972904266,1.368059676,0.746024365
96,0.828376586,0.787731539,0.984042553,0.877017705,0.865870877,0.806356449,1.032525329,2.244131989,1.093720046,0.921803355,0.849335261,1.041392428,0.835537308,1.359933705,1.051515259,0.94114875,0.840290136,1.132983683,1.086433532,1.291294397,0.728764066
97,0.829181663,0.791635518,0.956923614,0.876440004,0.898558165,0.818471463,1.019221665,2.251963581,1.141584985,0.931468109,0.835615273,1.024243705,0.908912971,1.322482097,1.06945678,0.928369463,0.820066872,1.127544678,1.040860615,1.335576842,0.731330791
98,0.836806213,0.79832212,0.945500523,0.881027628,0.893081761,0.826456358,1.016617745,2.223149232,1.174329798,0.926745559,0.862006406,1.010265081,0.96830095,1.289322334,1.053540342,0.946803792,0.826268673,1.139238539,1.106026786,1.287191659,0.748144704
99,0.837516575,0.825234654,0.931156261,0.871444592,0.891841013,0.81579672,1.008569264,2.194221217,1.347268174,0.921391505,0.852708564,1.01473341,0.990643052,1.291833125,1.039364764,0.934357155,0.815078466,1.163014763,1.10125248,1.358955667,0.727703897
100,0.880327714,0.837112717,0.94275375,0.885649234,0.881487186,0.801282303,1.064151122,2.139138639,1.469620605,0.923807693,0.8610993,0.973854236,0.973600038,1.252946779,1.033325044,0.931224705,0.822547592,1.173426573,1.157986111,1.350122913,0.766260578
101,0.916082591,0.863277681,0.927493896,0.881639311,0.871775125,0.809227865,1.111779188,2.067835912,1.635694629,0.933884298,0.873401933,0.948614214,0.990404354,1.236422555,1.010622802,0.933192881,0.835921911,1.157536908,1.203062996,1.346494872,0.765609597
102,0.943881417,0.884043525,0.975584234,0.881163557,0.90326445,0.848365653,1.100511315,1.997294747,1.681487895,0.927129952,0.876321683,0.928989795,1.024776818,1.236731766,1.063985505,0.950074846,0.82953136,1.145804196,1.266617063,1.307213698,0.748814284
103,0.9304319,0.876194036,0.975671434,0.872022292,0.9489582,0.905282618,1.061215794,1.910658468,1.807458025,0.924988331,0.885846302,0.939707747,1.031603571,1.219069647,1.060894589,0.947884903,0.845844793,1.126961927,1.215215774,1.252928711,0.788393937
104,0.912530782,0.904933965,0.974319847,0.8777993,0.959782655,0.893796956,1.076886658,1.863498414,1.843140286,0.933582274,0.901692321,0.938288751,1.042679143,1.19224252,1.053114009,0.932638465,0.846653724,1.126884227,1.194072421,1.249080275,0.813856598
105,0.978925933,0.942603206,1.034269271,0.877595406,0.960766697,0.916768281,1.106808067,1.825295248,1.99325933,0.94198402,0.892054313,0.920234285,1.100062061,1.172477768,1.038760792,0.944669291,0.845548185,1.102952603,1.216145833,1.284563872,0.778703618
106,1.066395151,0.992898081,1.19375654,0.896149794,0.953407778,0.897848405,1.162816021,1.798345022,2.036640797,0.933499904,0.894151997,0.920294668,1.097675085,1.160430916,1.037872597,0.946083052,0.845656043,1.112121212,1.158296131,1.264779181,0.787166372
