time,condition,2017-06-23_3d_nnxnn_00,2017-06-23_3d_nnxnn_02,2017-06-24_3d_nnxnn_00,2017-06-24_3d_nnxnn_01,2017-06-27_3d_nnxnn_02,2017-06-28_3d_nnxnn_00,2017-06-28_3d_nnxnn_01,2017-07-01_3d_nnxnn_06,2017-07-01_3d_nnxnn_07,2017-07-03_3d_nnxnn_00,2017-07-03_3d_nnxnn_01,2017-07-03_3d_nnxnn_02,2017-07-04_3d_nnxnn_00,2017-07-07_3d_nnxnn_00
30,dark_30,-0.826854005,-0.406127076,-0.130964646,-0.265646192,-0.152293883,-0.10197554,-0.2375737,-0.085153579,-0.014828576,-0.475747457,-0.305237443,-0.234768164,-0.437946093,0.057607962
60,dark_60,-0.529360514,-0.30012066,-0.086904961,-0.140747087,-0.066453249,-0.064890072,-0.176565032,-0.111534649,-0.188987013,-0.378965923,-0.115636006,-0.322096785,-0.317179118,-0.039184525
90,dark_90,-0.341615304,-0.223341498,-0.078138191,-0.161736565,-0.055491539,-0.123334544,-0.168345724,-0.112253864,-0.237527856,-0.289628361,-0.017560683,-0.289478166,-0.267252174,-0.07865115
120,dark_120,-0.197723058,-0.20049632,-0.048885282,-0.174935482,-0.069023887,-0.13492616,-0.180735773,-0.085288595,-0.232305859,-0.235572317,0.04833153,-0.253897015,-0.2604137,-0.091200395
150,dark_150,-0.11373427,-0.176819037,-0.043648414,-0.153445786,-0.081829433,-0.131534407,-0.193354029,-0.032816833,-0.206755097,-0.194892919,0.118592763,-0.23258444,-0.218155117,-0.109116139
180,dark_180,-0.063263066,-0.163122374,-0.046915503,-0.13159176,-0.105973707,-0.142344979,-0.202427165,-0.018356978,-0.183556164,-0.155324855,0.113518699,-0.161972838,-0.18748315,-0.10409539
210,dark_210,-0.014817761,-0.162749822,-0.059699219,-0.103624747,-0.105397242,-0.117988553,-0.206563903,0.003698295,-0.170950373,-0.093622562,0.144731045,-0.11299951,-0.158714657,-0.106897127
240,dark_240,0.017166597,-0.161147463,-0.05947839,-0.093519777,-0.0891675,-0.114927474,-0.20943938,0.025752103,-0.127282603,-0.060943968,0.063444458,-0.083803068,-0.13924376,-0.107827186
270,dark_270,0.04785006,-0.05124718,-0.077753966,-0.049809089,-0.168073474,-0.1239131,-0.209737138,-0.11859739,-0.10006102,-0.095106831,-0.019379906,-0.063571496,-0.207232313,-0.09965754
300,dark_300,-0.015304606,-0.071710646,-0.050636269,0.055528379,-0.104187529,-0.020864853,-0.157313526,-0.113389434,-0.088835625,-0.006760014,0.07084543,-0.052703661,-0.184103423,-0.074511872
