Date,Track ID,ID,Condition,L_NAME
0804_03_,72,0804_03_72,dark,1.0 mM
0804_06_,151,0804_06_151,dark,1.0 mM
0807_03_,256,0807_03_256,dark,1.0 mM
0815_03_,263,0815_03_263,dark,1.0 mM
0816_03_,232,0816_03_232,dark,1.0 mM
0821_03_,77,0821_03_77,dark,1.0 mM
0804_03_,72,0804_03_72,sideUV,1.0 mM
0804_06_,151,0804_06_151,sideUV,1.0 mM
0807_03_,256,0807_03_256,sideUV,1.0 mM
0815_03_,263,0815_03_263,sideUV,1.0 mM
0816_03_,232,0816_03_232,sideUV,1.0 mM
0821_03_,77,0821_03_77,sideUV,1.0 mM
