Date,Track ID,ID,Speed,Edge time,Edge X,Edge Y,Y,L-NAME,sec,Ymm,y_axis,mm/sec,Condition
0804_02_,169,0804_02_169,0.253852776,30.5,11.64154977,395.10311,-7.3476244,0.1 mM,1.016666667,-15.8013428,-1.58013428,1.637759845,dark
0804_02_,169,0804_02_169,0.629051466,31.5,11.98477486,395.0507839,-7.2952983,0.1 mM,1.05,-15.68881355,-1.568881355,4.058396555,dark
0804_02_,169,0804_02_169,0.464390458,32.5,12.20037331,395.118429,-7.3629434,0.1 mM,1.083333333,-15.83428688,-1.583428688,2.996067471,dark
0804_02_,169,0804_02_169,0.470472149,33.5,12.26674242,395.143095,-7.3876094,0.1 mM,1.116666667,-15.88733204,-1.588733204,3.035304187,dark
0804_02_,169,0804_02_169,0.934648411,34.5,12.65277801,395.3288457,-7.5733601,0.1 mM,1.15,-16.28679591,-1.628679591,6.029989748,dark
0804_02_,169,0804_02_169,0.351494931,35.5,12.96460509,395.546275,-7.7907894,0.1 mM,1.183333333,-16.75438581,-1.675438581,2.267709232,dark
0804_02_,169,0804_02_169,0.252946594,36.5,13.11857784,395.4476644,-7.6921788,0.1 mM,1.216666667,-16.54232,-1.654232,1.63191351,dark
0804_02_,169,0804_02_169,0.349345968,37.5,13.32732308,395.3772324,-7.6217468,0.1 mM,1.25,-16.39085333,-1.639085333,2.253844955,dark
0804_02_,169,0804_02_169,0.984770646,38.5,13.69172907,395.6541886,-7.898703,0.1 mM,1.283333333,-16.98645806,-1.698645806,6.353359006,dark
0804_02_,169,0804_02_169,0.075981147,39.5,13.99025806,396.0766106,-8.321125,0.1 mM,1.316666667,-17.89489247,-1.789489247,0.490200948,dark
0804_02_,169,0804_02_169,0.067286601,40.5,14.00256461,396.1035014,-8.3480158,0.1 mM,1.35,-17.95272215,-1.795272215,0.434107103,dark
0804_02_,169,0804_02_169,0.342222217,41.5,14.10435464,396.2400733,-8.4845877,0.1 mM,1.383333333,-18.24642516,-1.824642516,2.207885271,dark
0804_02_,169,0804_02_169,0.427521484,42.5,14.4271193,396.4407915,-8.6853059,0.1 mM,1.416666667,-18.6780772,-1.86780772,2.758203123,dark
0804_02_,169,0804_02_169,0.316226121,43.5,14.73106066,396.6421798,-8.8866942,0.1 mM,1.45,-19.11117032,-1.911117032,2.040168523,dark
0804_02_,169,0804_02_169,0.265739174,44.5,14.94198861,396.8417825,-9.0862969,0.1 mM,1.483333333,-19.54042344,-1.954042344,1.714446284,dark
0804_02_,169,0804_02_169,0.220884896,45.5,15.09118841,397.0263506,-9.270865,0.1 mM,1.516666667,-19.93734409,-1.993734409,1.425063845,dark
0804_02_,169,0804_02_169,0.350899677,46.5,15.18683811,397.2949314,-9.5394458,0.1 mM,1.55,-20.5149372,-2.05149372,2.263868884,dark
0804_02_,169,0804_02_169,0.249851571,47.5,15.25689848,397.5865338,-9.8310482,0.1 mM,1.583333333,-21.14203914,-2.114203914,1.611945619,dark
0804_02_,169,0804_02_169,0.506088107,48.5,15.29876113,397.961862,-10.2063764,0.1 mM,1.616666667,-21.94919656,-2.194919656,3.265084561,dark
