frame,stimuli,sample,intencity
177,cPRC,c1-1,0.700866519
178,cPRC,c1-1,0.86396678
179,cPRC,c1-1,0.827972239
180,cPRC,c1-1,0.787038231
181,cPRC,c1-1,0.800291655
182,cPRC,c1-1,0.70174682
183,cPRC,c1-1,0.875410696
184,cPRC,c1-1,0.706588477
185,cPRC,c1-1,0.753831311
186,cPRC,c1-1,0.785326534
187,cPRC,c1-1,0.783125781
188,cPRC,c1-1,0.822641526
189,cPRC,c1-1,0.803323804
190,cPRC,c1-1,0.748060447
191,cPRC,c1-1,0.755689725
192,cPRC,c1-1,0.748402787
193,cPRC,c1-1,0.728400386
194,cPRC,c1-1,0.697981087
195,cPRC,c1-1,0.750359012
196,cPRC,c1-1,0.707860023
197,cPRC,c1-1,0.692112412
198,cPRC,c1-1,0.783272498
199,cPRC,c1-1,0.762829946
200,cPRC,c1-1,0.728840537
1,cPRC,c1-2,0.985940559
2,cPRC,c1-2,0.966779379
3,cPRC,c1-2,1.043898677
4,cPRC,c1-2,1.046449546
5,cPRC,c1-2,0.932016373
6,cPRC,c1-2,1.069881948
7,cPRC,c1-2,0.965296316
8,cPRC,c1-2,1.067449724
9,cPRC,c1-2,0.982677819
10,cPRC,c1-2,0.945838524
11,cPRC,c1-2,0.938126594
12,cPRC,c1-2,1.010381444
13,cPRC,c1-2,1.016788278
14,cPRC,c1-2,0.978762532
15,cPRC,c1-2,0.991754167
16,cPRC,c1-2,0.857507267
17,cPRC,c1-2,0.977694726
18,cPRC,c1-2,0.996084713
19,cPRC,c1-2,1.010915347
20,cPRC,c1-2,1.000355935
21,cPRC,c1-2,1.097407605
22,cPRC,c1-2,1.025568013
23,cPRC,c1-2,0.995135552
24,cPRC,c1-2,1.026220561
25,cPRC,c1-2,0.984932076
26,cPRC,c1-2,1.043661387
27,cPRC,c1-2,0.977872694
28,cPRC,c1-2,1.04443258
29,cPRC,c1-2,0.940380851
30,cPRC,c1-2,1.049534318
31,cPRC,c1-2,1.032568073
32,cPRC,c1-2,0.964584446
33,cPRC,c1-2,1.057246248
34,cPRC,c1-2,1.004330545
35,cPRC,c1-2,0.945126654
36,cPRC,c1-2,1.007178027
37,cPRC,c1-2,1.054814024
38,cPRC,c1-2,1.033339266
39,cPRC,c1-2,0.989084653
40,cPRC,c1-2,0.903719523
41,cPRC,c1-2,1.026813787
42,cPRC,c1-2,1.025152756
43,cPRC,c1-2,0.946431749
44,cPRC,c1-2,0.968796346
45,cPRC,c1-2,1.042059678
46,cPRC,c1-2,0.980838821
47,cPRC,c1-2,0.954084357
48,cPRC,c1-2,0.984872753
49,cPRC,c1-2,0.971643827
50,cPRC,c1-2,1.1173993
51,cPRC,c1-2,0.993830456
52,cPRC,c1-2,0.93545708
53,cPRC,c1-2,1.059500504
54,cPRC,c1-2,1.049712286
