 ,Mean1
1,235.868
2,231.215
3,227.711
4,113.364
5,205.319
6,213.408
7,212.598
8,208.368
9,205.829
10,203.18
11,199.332
12,196.169
13,193.083
14,189.914
15,185.887
16,182.966
17,180.027
18,177.438
19,173.958
20,171.993
21,170.736
22,166.709
23,164.001
24,161.926
25,160.654
26,156.631
27,155.59
28,153.054
29,151.088
30,149.018
31,148.215
32,146.289
33,144.417
34,142.763
35,142.191
36,140.422
37,139.374
38,137.086
39,136.51
40,135.281
41,133.536
42,132.901
43,132.499
44,131.611
45,130.068
46,130.275
47,131.608
48,130.196
49,127.28
50,127.662
51,126.761
52,127.209
53,125.466
54,125.262
55,125.894
56,125.589
57,124.699
58,123.825
59,123.972
60,123.242
61,122.573
62,121.405
63,120.906
64,120.203
65,120.552
66,121.611
67,121.211
68,121.948
69,122.678
70,121.89
71,120.802
72,119.578
73,119.43
74,119.355
75,119.275
76,119.211
77,119.291
78,120.043
79,120.802
80,120.874
81,120.391
82,120.479
83,120.665
84,120.115
85,62.68
86,45.761
87,41.605
88,69.912
89,93.329
90,103.448
91,107.75
92,111.084
93,113.06
94,114.153
95,114.784
96,117.026
97,118.676
98,118.534
99,119.125
100,120.329
101,120.948
102,120.258
103,119.781
104,120.048
105,119.388
106,120.057
107,118.906
108,118.973
109,117.689
110,117.769
111,117.822
112,118.406
113,118.308
114,117.401
115,117.694
116,117.417
117,118.307
118,117.205
119,117.021
120,93.487
121,51.932
122,52.803
123,92.686
124,103.114
125,107.29
126,110.147
127,109.578
128,110.039
129,110.739
130,110.568
131,111.212
132,112.181
133,112.204
134,135.875
135,141.241
136,141.274
137,139.211
138,136.386
139,132.42
140,128.628
141,124.898
142,122.263
143,119.291
144,116.553
145,112.897
146,110.842
147,108.371
148,105.813
149,103.5
150,101.228
151,99.128
152,97.986
153,95.682
154,94.866
155,92.458
156,91.379
157,90.995
158,87.867
159,47.286
160,33.197
161,29.108
162,41.072
163,55.529
164,62.43
165,70.597
166,73.704
167,73.047
168,73.122
169,71.79
170,74.837
171,74.517
172,71.803
173,70.191
174,70.665
175,71.574
176,71.528
177,71.155
178,70.026
179,70.077
180,69.331
181,69.322
182,69.204
183,69.276
184,69.098
185,68.948
186,68.141
187,67.829
188,66.884
189,68.01
190,67.795
191,67.477
192,67.522
193,66.685
194,66.166
195,65.19
196,66.513
197,66.342
198,64.577
199,64.912
200,64.768
201,64.964
202,64.221
203,63.815
204,63.811
205,62.921
206,63.057
207,62.413
208,61.987
209,62.426
210,61.873
211,61.404
212,60.829
213,60.573
214,60.275
215,59.631
216,59.3
217,59
218,58.747
219,58.631
220,58.036
221,57.917
222,57.711
223,56.994
224,56.322
225,56.626
226,56.757
227,56.489
228,55.611
229,55.116
230,55.031
231,54.803
232,55.072
233,54.986
234,54.672
235,54.581
236,54.567
237,54.591
238,55.104
239,54.149
240,54.199
241,54.646
242,53.95
243,54.054
244,53.962
245,53.498
246,53.546
247,53.655
248,53.722
249,53.277
250,53.061
251,53.789
252,53.229
253,54.01
254,54.709
255,54.092
256,54.444
257,55.261
258,54.671
259,55.386
260,55.907
261,56.214
262,56.182
263,56.155
264,56.069
265,56.014
266,56.148
267,56.261
268,56.071
269,55.872
270,55.788
271,55.98
272,55.839
273,55.083
274,55.636
275,54.198
276,54.719
277,54.634
278,54.282
279,53.681
280,53.694
281,53.976
282,54.154
283,54.273
284,54.053
285,54.098
286,53.279
287,53.818
288,53.567
289,53.544
290,53.486
291,53.42
292,53.556
293,53.256
294,53.054
295,53.267
296,53.331
297,53.381
298,54.002
299,53.317
300,53.597
301,53.039
302,53.096
303,52.797
304,52.588
305,52.896
306,52.495
307,52.366
308,52.414
309,52.547
310,52.004
311,52.433
312,52.042
313,53.009
314,52.996
315,52.999
316,53.284
317,53.478
318,53.985
319,53.985
320,53.424
321,53.853
322,54.395
323,54.511
324,54.934
325,55.358
326,55.32
327,55.065
328,55.629
329,55.462
330,55.661
331,56.141
332,55.578
333,56.329
334,56.005
335,56.568
336,57.124
337,52.566
338,42.38
339,51.844
340,54.932
341,56.677
342,57.027
343,55.574
344,56.494
345,57.02
346,55.862
347,56.002
348,54.465
349,54.597
350,54.805
351,54.733
352,54.775
353,54.701
354,54.236
355,53.819
356,54.483
357,54.902
358,53.791
359,53.616
360,54.69
361,54.128
362,54.171
363,54.123
364,54.548
365,54.69
366,54.545
367,54.513
368,54.293
369,54.161
370,53.559
371,54.185
372,53.52
373,53.817
374,53.257
375,53.606
376,53.713
377,53.597
378,52.878
379,52.958
380,53.167
381,53.434
382,53.962
383,53.813
384,53.539
385,53.573
386,52.903
387,53.386
388,52.19
389,51.984
390,51.118
391,51.473
392,51.193
393,51.534
394,51.586
395,52.021
396,52.024
397,52.064
398,51.927
399,52.317
400,52.164
401,51.62
402,52.203
403,51.689
404,52.028
405,52.367
406,52.872
407,52.044
408,52.65
409,52.337
410,52.237
411,52.838
412,53.062
413,53.724
414,53.067
415,53.044
416,52.76
417,52.777
418,52.431
419,52.109
420,52.281
421,52.308
422,51.89
423,51.449
424,51.855
425,51.647
426,51.518
427,51.795
428,51.97
429,51.622
430,52.006
431,51.235
432,50.514
433,50.435
434,50.516
435,50.532
436,50.049
437,50.295
438,50.104
439,50.458
440,50.562
441,50.834
442,50.344
443,50.382
444,50.899
445,50.493
446,50.303
447,49.675
448,50.281
449,49.757
450,49.932
451,49.493
452,49.535
453,49.994
454,49.485
455,49.195
456,50.363
457,49.94
458,49.805
459,49.633
460,49.506
461,49.259
462,49.544
463,49.722
464,49.771
465,49.982
466,50.513
467,50.762
468,51.169
469,51.052
470,50.946
471,50.232
472,50.677
473,50.955
474,51.062
475,51.332
476,51.179
477,50.732
478,50.772
479,50.753
480,51.187
481,51
482,50.737
483,50.863
484,51.169
485,51.88
486,51.793
487,51.599
488,51.498
489,51.416
490,52.066
491,51.81
492,51.637
493,51.783
494,51.734
495,49.566
496,39.712
497,45.598
498,49.886
499,51.151
500,51.149
501,52.814
502,52.311
503,51.921
504,53.512
505,53.457
506,53.142
507,53.042
508,53.177
509,52.926
510,53.047
511,53.161
512,53.638
513,53.183
514,54.01
515,54.169
516,54.503
517,53.887
518,52.826
519,53.049
520,53.21
521,53.296
522,52.912
523,52.831
524,52.347
525,52.392
526,52.141
527,52.971
528,52.139
529,51.532
530,51.342
531,51.685
532,51.138
533,50.926
534,50.305
535,50.181
536,50.438
537,50.271
538,50.093
539,50.246
540,49.769
541,50.229
542,49.897
543,48.48
544,48.36
545,48.791
546,47.53
547,47.956
548,47.801
549,47.362
550,47.589
551,47.04
552,46.251
553,46.398
554,47.083
555,47.544
556,48.327
557,49.111
558,48.977
559,49.102
560,49.281
