 ,Mean1
1,83.204
2,80.215
3,79.719
4,78.309
5,77.585
6,76.331
7,74.812
8,73.623
9,73.664
10,72.342
11,72.367
12,70.976
13,69.614
14,69.590
15,68.844
16,68.471
17,67.985
18,67.343
19,67.990
20,66.961
21,67.328
22,66.488
23,66.525
24,66.098
25,65.841
26,66.324
27,65.982
28,65.561
29,66.517
30,65.703
31,65.037
32,65.055
33,65.781
34,66.582
35,67.127
36,67.310
37,66.949
38,67.954
39,68.429
40,67.659
41,67.874
42,68.297
43,68.507
44,69.876
45,70.056
46,71.167
47,69.999
48,69.511
49,68.974
50,68.481
51,68.394
52,68.129
53,67.257
54,67.958
55,67.104
56,66.672
57,65.701
58,66.734
59,66.290
60,65.441
61,65.033
62,64.699
63,63.405
64,63.885
65,63.742
66,62.490
67,61.640
68,61.910
69,61.237
70,61.779
71,60.292
72,59.835
73,59.669
74,59.362
75,58.662
76,58.493
77,57.544
78,57.848
79,58.364
80,58.280
81,58.817
82,58.620
83,58.794
84,59.066
85,59.911
86,60.153
87,60.175
88,60.978
89,60.416
90,61.190
91,61.898
92,62.350
93,62.371
94,61.720
95,61.213
96,62.094
97,62.082
98,61.921
99,61.945
100,61.206
101,61.344
102,62.347
103,62.993
104,63.366
105,63.696
106,64.982
107,64.921
108,65.627
109,66.229
110,66.386
111,66.875
112,67.073
113,67.323
114,66.418
115,65.975
116,65.992
117,65.655
118,64.980
119,66.117
120,66.348
121,66.061
122,66.872
123,65.806
124,65.642
125,64.332
126,64.617
127,64.625
128,65.145
129,64.953
130,64.390
131,64.934
132,65.070
133,66.111
134,67.123
135,67.571
136,66.655
137,66.992
138,66.409
139,65.874
140,65.502
141,65.962
142,67.050
143,67.247
144,67.429
145,67.929
146,68.095
147,66.745
148,66.671
149,64.997
150,64.168
151,63.561
152,63.293
153,63.206
154,63.037
155,62.992
156,61.844
157,60.993
158,60.199
159,60.886
160,59.886
161,60.799
162,60.490
163,59.144
164,59.288
165,59.039
166,58.348
167,59.136
168,58.617
169,58.084
170,58.749
171,58.004
172,58.283
173,57.932
174,58.223
175,58.053
176,58.732
177,58.232
178,57.677
179,56.977
180,57.153
181,56.502
182,56.880
183,56.581
184,56.892
185,57.169
186,56.933
187,56.975
188,56.414
189,56.400
190,56.246
191,56.850
192,57.192
193,57.202
194,58.352
195,57.780
196,58.548
197,59.116
198,58.840
199,59.037
200,59.277
201,59.078
202,58.810
203,58.512
204,58.684
205,58.912
206,57.965
207,58.332
208,58.923
209,58.775
210,58.900
211,58.955
212,59.204
213,59.915
214,58.964
215,59.270
216,59.575
217,60.816
218,60.843
219,62.384
220,62.827
221,63.740
222,64.723
223,65.989
224,66.291
225,67.308
226,68.384
227,69.228
228,69.819
229,69.206
230,68.636
231,67.730
232,67.821
233,67.467
234,67.156
235,66.689
236,65.904
237,65.657
238,64.676
239,63.326
240,62.588
241,63.745
242,64.081
243,62.854
244,63.121
245,63.573
246,62.784
247,62.628
248,62.949
249,63.145
250,63.214
251,62.559
252,61.978
253,62.095
254,62.106
255,61.307
256,60.549
257,59.694
258,59.709
259,58.064
260,58.674
261,59.636
262,60.927
263,60.538
264,60.329
265,59.659
266,59.576
267,58.528
268,58.060
269,58.253
270,58.158
271,57.582
272,57.806
273,57.201
274,57.110
275,56.537
276,56.567
277,56.989
278,56.143
279,56.757
280,56.621
281,56.243
282,56.627
283,55.996
284,55.927
285,55.705
286,56.256
287,55.962
288,55.457
289,56.523
290,55.945
291,56.356
292,56.967
293,56.682
294,55.917
295,55.396
296,54.979
297,55.317
298,54.774
299,54.368
300,53.978
301,54.726
302,53.995
303,54.131
304,53.934
305,55.216
306,54.802
307,55.618
308,55.973
309,55.071
310,55.719
311,55.008
312,54.355
313,54.296
314,55.515
315,55.745
316,55.909
317,56.048
318,56.256
319,56.012
320,56.291
321,56.475
322,57.072
323,57.427
324,57.188
325,57.254
326,57.813
327,57.592
328,58.111
329,58.835
330,59.405
331,59.898
332,60.960
333,62.255
334,61.900
335,62.404
336,62.462
337,62.809
338,62.793
339,63.363
340,63.184
341,63.553
342,63.359
343,62.361
344,62.272
345,62.513
346,61.790
347,61.693
348,62.339
349,63.042
350,63.453
351,64.793
352,66.346
353,67.592
354,68.497
355,69.920
356,70.040
357,70.613
358,71.628
359,71.580
360,71.929
361,72.923
362,73.417
363,72.746
364,73.191
365,73.241
366,74.032
367,73.405
368,73.164
369,75.255
370,75.846
371,75.965
372,75.784
373,74.816
374,74.466
375,75.192
376,75.246
377,75.342
378,75.675
379,77.566
380,77.180
381,77.104
382,77.829
383,76.420
384,75.591
385,73.640
386,73.226
387,73.050
388,73.888
389,73.177
390,73.486
391,72.985
392,74.248
393,74.359
394,74.757
395,73.521
396,73.395
397,72.486
398,71.939
399,71.404
400,70.206
401,70.671
402,69.193
403,69.064
404,67.626
405,67.110
406,66.365
407,66.270
408,65.381
409,63.935
410,63.911
411,63.521
412,63.917
413,63.662
414,63.558
415,62.656
416,62.616
417,62.610
418,62.984
419,62.368
420,62.211
421,61.798
422,62.320
423,62.493
424,62.726
425,62.434
426,62.053
427,62.323
428,62.231
429,61.142
430,61.892
431,61.755
432,60.422
433,61.460
434,60.599
435,60.981
436,60.585
437,60.427
438,61.203
439,61.837
440,62.420
441,62.306
442,62.903
443,61.933
444,62.764
445,62.817
446,63.243
447,63.603
448,65.452
449,65.593
450,65.368
451,65.348
452,66.320
453,67.257
454,67.785
455,67.740
456,67.176
457,67.811
458,68.335
459,68.419
460,68.646
461,68.405
462,68.084
463,68.168
464,68.487
465,69.821
466,70.476
467,70.133
468,70.252
469,70.602
470,70.558
471,70.894
472,70.657
473,70.038
474,70.509
475,70.269
476,71.520
477,71.859
478,71.779
479,72.569
480,72.201
481,71.671
482,72.156
483,73.219
484,72.975
485,73.755
486,72.817
487,72.928
488,73.705
489,74.062
490,73.740
491,72.474
492,72.390
493,71.516
494,70.885
495,71.211
496,70.943
497,71.016
498,70.405
499,70.119
500,69.805
501,68.911
502,67.838
503,68.399
504,68.136
505,68.284
506,67.870
507,67.962
508,67.980
509,67.686
510,66.741
511,67.035
512,67.848
513,67.351
514,67.243
515,67.278
516,66.157
517,67.188
518,67.169
519,67.354
520,66.762
521,66.837
522,67.345
523,65.936
524,64.822
525,63.001
526,63.687
527,62.933
528,62.682
529,63.625
530,63.041
531,62.901
532,62.753
533,62.207
534,62.148
535,62.002
536,62.253
537,63.312
538,63.188
539,64.317
540,63.211
541,63.725
542,63.195
543,64.011
544,63.837
545,63.277
546,63.569
547,62.967
548,62.995
549,63.572
550,62.909
551,63.608
552,63.933
553,64.135
554,63.484
555,62.405
556,62.190
557,61.861
558,60.762
559,60.072
560,60.060
