 ,Mean1
1,132.543
2,131.215
3,129.960
4,128.164
5,126.065
6,125.752
7,124.734
8,124.062
9,123.408
10,122.041
11,121.725
12,120.497
13,118.774
14,119.531
15,119.196
16,118.550
17,117.071
18,116.125
19,115.881
20,115.818
21,114.597
22,114.442
23,114.170
24,114.679
25,114.286
26,113.815
27,113.702
28,112.121
29,110.833
30,110.122
31,109.417
32,107.556
33,107.850
34,106.077
35,106.273
36,106.047
37,104.992
38,104.859
39,104.650
40,103.623
41,102.799
42,103.569
43,102.425
44,102.538
45,101.792
46,101.547
47,100.809
48,100.133
49,99.981
50,100.025
51,99.231
52,99.552
53,99.377
54,99.406
55,99.314
56,99.351
57,98.861
58,98.324
59,97.925
60,99.277
61,99.288
62,99.503
63,99.385
64,98.328
65,97.841
66,98.148
67,97.713
68,98.487
69,98.320
70,97.978
71,98.100
72,98.230
73,97.459
74,96.887
75,95.918
76,96.586
77,96.073
78,97.025
79,96.958
80,96.789
81,97.161
82,96.714
83,96.967
84,96.561
85,97.186
86,96.976
87,97.037
88,96.587
89,97.456
90,96.858
91,96.766
92,97.626
93,97.296
94,97.798
95,96.900
96,97.318
97,97.709
98,96.874
99,98.710
100,97.797
101,99.494
102,99.163
103,98.705
104,98.368
105,98.245
106,99.716
107,99.747
108,100.392
109,99.809
110,98.895
111,99.712
112,99.647
113,99.771
114,98.474
115,98.494
116,98.770
117,99.856
118,100.158
119,100.315
120,99.990
121,100.463
122,100.794
123,100.225
124,99.527
125,100.294
126,100.114
127,99.548
128,100.244
129,100.552
130,100.646
131,99.439
132,99.605
133,93.440
134,93.093
135,91.802
136,91.230
137,90.167
138,88.912
139,88.093
140,86.568
141,86.177
142,84.649
143,84.110
144,82.307
145,80.996
146,80.071
147,79.047
148,78.085
149,77.563
150,76.234
151,75.968
152,73.992
153,73.868
154,73.353
155,72.407
156,72.104
157,70.876
158,70.032
159,70.604
160,69.676
161,68.969
162,69.348
163,69.002
164,68.712
165,68.474
166,69.056
167,69.392
168,68.509
169,68.360
170,68.853
171,68.518
172,69.613
173,69.541
174,70.161
175,71.224
176,72.770
177,73.640
178,75.746
179,77.652
180,78.909
181,81.569
182,82.124
183,83.296
184,83.870
185,83.523
186,84.083
187,85.302
188,87.752
189,88.829
190,90.352
191,91.000
192,93.165
193,93.353
194,93.216
195,93.386
196,94.130
197,94.549
198,95.756
199,95.546
200,95.662
201,95.345
202,95.137
203,95.427
204,96.846
205,96.611
206,96.726
207,95.637
208,95.342
209,96.280
210,95.344
211,95.106
212,94.742
213,94.222
214,93.977
215,93.638
216,92.675
217,92.813
218,90.622
219,89.379
220,88.664
221,88.472
222,87.188
223,86.748
224,86.196
225,84.828
226,84.221
227,82.995
228,83.618
229,83.032
230,82.786
231,82.264
232,82.337
233,81.897
234,81.410
235,81.007
236,81.157
237,79.707
238,80.024
239,78.644
240,78.620
241,78.541
242,78.114
243,78.500
244,79.057
245,78.270
246,78.248
247,78.315
248,77.641
249,77.850
250,77.518
251,77.473
252,76.664
253,76.265
254,76.439
255,75.437
256,75.985
257,76.415
258,76.571
259,76.185
260,75.249
261,75.327
262,75.048
263,73.885
264,74.654
265,74.853
266,74.972
267,73.743
268,74.398
269,73.961
270,74.644
271,74.865
272,75.506
273,76.073
274,75.789
275,76.763
276,76.978
277,76.737
278,77.663
279,78.085
280,78.358
281,77.264
282,77.091
283,77.024
284,77.202
285,76.953
286,76.284
287,76.604
288,76.950
289,76.028
290,76.028
291,76.532
292,77.345
293,77.897
294,77.827
295,79.028
296,78.046
297,78.841
298,78.209
299,78.812
300,79.485
301,79.388
302,79.743
303,80.165
304,80.316
305,80.002
306,79.850
307,79.841
308,79.463
309,80.345
310,79.450
311,79.145
312,80.057
313,80.236
314,80.003
315,79.825
316,79.537
317,78.587
318,78.874
319,77.901
320,77.837
321,78.474
322,76.917
323,76.872
324,76.249
325,76.063
326,77.124
327,77.382
328,76.435
329,76.904
330,75.711
331,75.618
332,74.890
333,74.740
334,74.298
335,74.036
336,73.876
337,73.429
338,72.870
339,72.855
340,73.841
341,72.567
342,73.273
343,74.034
344,74.530
345,74.808
346,75.327
347,74.959
348,74.468
349,74.561
350,76.300
351,75.371
352,75.808
353,75.609
354,75.297
355,76.472
356,75.841
357,76.331
358,76.651
359,77.390
360,77.508
361,77.628
362,78.286
363,78.578
364,79.225
365,79.104
366,79.676
367,79.882
368,79.748
369,79.684
370,80.470
371,80.067
372,79.791
373,79.708
374,79.996
375,79.849
376,78.290
377,79.221
378,78.215
379,78.552
380,78.834
381,78.198
382,78.691
383,79.164
384,79.014
385,79.483
386,78.478
387,78.628
388,77.769
389,78.524
390,78.320
391,78.292
392,78.558
393,78.248
394,78.202
395,79.289
396,79.369
397,79.528
398,79.430
399,79.490
400,79.742
401,80.271
402,79.646
403,79.593
404,79.279
405,79.621
406,79.747
407,79.420
408,79.564
409,79.804
410,80.099
411,80.726
412,80.344
413,80.462
414,80.356
415,79.620
416,79.685
417,80.012
418,80.315
419,79.891
420,79.386
421,78.686
422,78.981
423,78.721
424,78.529
425,78.558
426,78.426
427,78.422
428,77.797
429,78.485
430,78.040
431,77.517
432,78.065
433,77.032
434,77.156
435,77.296
436,77.378
437,76.822
438,77.848
439,76.326
440,75.795
441,77.076
442,76.373
443,76.072
444,76.280
445,77.238
446,77.078
447,78.295
448,77.772
449,77.838
450,78.243
451,77.510
452,77.404
453,77.527
454,77.435
455,77.380
456,77.627
457,77.390
458,77.643
459,78.256
460,79.483
461,79.554
462,80.071
463,79.923
