frame,morphant,sample,intensity
1,NIT1-MO1,12,1.01382
1,NIT1-MO1,13,0.99606
1,NIT1-MO1,14,1.03437
1,NIT1-MO1,15,1.00981
1,NIT1-MO1,16,1.08656
1,NIT1-MO1,17,0.90398
1,NIT1-MO1,18,1.07393
1,NIT1-MO1,19,1.05034
1,NIT1-MO1,20,0.99159
1,NIT1-MO1,21,0.99227
1,NIT1-MO1,22,0.98726
1,NIT1-MO1,23,0.97882
1,NIT1-MO1,24,1.04039
1,NIT1-MO1,25,0.97513
1,NIT1-MO2,26,1.04818
1,NIT1-MO2,27,1.0809
1,NIT1-MO2,28,0.97212
1,NIT1-MO2,29,1.03069
1,NIT1-MO2,30,1.0021
1,NIT1-MO2,31,0.84305
1,NIT1-MO2,32,1.0195
1,NIT1-MO2,33,1.03899
1,NIT1-MO2,34,1.07473
1,NIT1-MO2,35,1.03553
1,NIT1-MO2,36,1.06752
1,NIT1-MO2,37,1.11788
1,NIT1-MO2,38,1.01791
1,NIT1-MO2,39,1.01303
1,NIT1-MO2,40,0.97903
1,NIT1-MO2,41,1.03427
1,NIT1-MO2,42,0.99922
1,NIT1-MO2,43,1.01059
1,NIT1-MO2,44,1.04773
1,NIT1-MO2,45,0.98405
2,NIT1-MO1,12,0.99872
2,NIT1-MO1,13,1.01569
2,NIT1-MO1,14,0.97313
2,NIT1-MO1,15,1.01461
2,NIT1-MO1,16,1.07795
2,NIT1-MO1,17,0.90511
2,NIT1-MO1,18,1.04858
2,NIT1-MO1,19,1.03478
2,NIT1-MO1,20,0.97638
2,NIT1-MO1,21,0.9969
2,NIT1-MO1,22,0.97662
2,NIT1-MO1,23,0.97161
2,NIT1-MO1,24,1.05477
2,NIT1-MO1,25,0.9654
2,NIT1-MO2,26,1.04919
2,NIT1-MO2,27,1.07963
2,NIT1-MO2,28,0.97703
2,NIT1-MO2,29,1.01446
2,NIT1-MO2,30,0.99631
2,NIT1-MO2,31,0.83355
2,NIT1-MO2,32,0.99986
2,NIT1-MO2,33,1.02732
2,NIT1-MO2,34,1.06519
2,NIT1-MO2,35,1.02621
2,NIT1-MO2,36,1.07099
2,NIT1-MO2,37,1.10432
2,NIT1-MO2,38,1.00827
2,NIT1-MO2,39,1.02161
2,NIT1-MO2,40,0.98412
2,NIT1-MO2,41,1.04826
2,NIT1-MO2,42,0.9923
2,NIT1-MO2,43,1.01806
2,NIT1-MO2,44,1.03008
2,NIT1-MO2,45,0.98711
3,NIT1-MO1,12,0.99264
3,NIT1-MO1,13,1.05016
3,NIT1-MO1,14,0.96478
3,NIT1-MO1,15,1.01222
3,NIT1-MO1,16,1.06757
3,NIT1-MO1,17,0.88276
3,NIT1-MO1,18,1.06198
3,NIT1-MO1,19,1.02985
3,NIT1-MO1,20,0.97155
3,NIT1-MO1,21,1.00967
3,NIT1-MO1,22,0.97779
3,NIT1-MO1,23,0.97467
3,NIT1-MO1,24,1.04787
3,NIT1-MO1,25,0.97209
3,NIT1-MO2,26,1.05492
3,NIT1-MO2,27,1.07499
3,NIT1-MO2,28,0.97601
3,NIT1-MO2,29,1.0222
3,NIT1-MO2,30,0.99332
3,NIT1-MO2,31,0.84634
3,NIT1-MO2,32,1.01174
3,NIT1-MO2,33,1.02672
3,NIT1-MO2,34,1.05826
3,NIT1-MO2,35,1.02228
3,NIT1-MO2,36,1.07218
3,NIT1-MO2,37,1.10863
3,NIT1-MO2,38,1.01223
3,NIT1-MO2,39,1.00813
3,NIT1-MO2,40,1.00389
3,NIT1-MO2,41,1.1087
3,NIT1-MO2,42,1.00086
3,NIT1-MO2,43,1.01837
3,NIT1-MO2,44,1.02574
