time,condition,displacement,L-NAME,batch
330,sideUV_90,-0.293085816,0 mM,2017-08-07_3d_L_0mM_00
360,sideUV_120,-0.339783497,0 mM,2017-08-07_3d_L_0mM_00
390,dark1_30,-0.155206239,0 mM,2017-08-07_3d_L_0mM_00
420,dark1_60,-0.285972013,0 mM,2017-08-07_3d_L_0mM_00
450,dark1_90,-0.181945775,0 mM,2017-08-07_3d_L_0mM_00
480,dark1_120,-0.071688828,0 mM,2017-08-07_3d_L_0mM_00
510,top488_30,0.247057869,0 mM,2017-08-07_3d_L_0mM_00
540,top488_60,0.327591672,0 mM,2017-08-07_3d_L_0mM_00
570,top488_90,0.388257697,0 mM,2017-08-07_3d_L_0mM_00
600,top488_120,0.441394039,0 mM,2017-08-07_3d_L_0mM_00
630,dark2_30,0.305897636,0 mM,2017-08-07_3d_L_0mM_00
660,dark2_60,0.150453347,0 mM,2017-08-07_3d_L_0mM_00
690,dark2_90,0.15273681,0 mM,2017-08-07_3d_L_0mM_00
720,dark2_120,0.147982236,0 mM,2017-08-07_3d_L_0mM_00
750,top395_30,0.275997888,0 mM,2017-08-07_3d_L_0mM_00
780,top395_60,-0.270969693,0 mM,2017-08-07_3d_L_0mM_00
810,top395_90,-0.552574152,0 mM,2017-08-07_3d_L_0mM_00
840,top395_120,-0.514078751,0 mM,2017-08-07_3d_L_0mM_00
180,dark_180,0.188029139,0 mM,2017-08-08_3d_L_0mM_00
210,dark_210,0.251025303,0 mM,2017-08-08_3d_L_0mM_00
240,dark_240,0.251068006,0 mM,2017-08-08_3d_L_0mM_00
270,sideUV_30,0.256928427,0 mM,2017-08-08_3d_L_0mM_00
300,sideUV_60,0.167904994,0 mM,2017-08-08_3d_L_0mM_00
330,sideUV_90,0.071748328,0 mM,2017-08-08_3d_L_0mM_00
360,sideUV_120,0.001705823,0 mM,2017-08-08_3d_L_0mM_00
390,dark1_30,-0.248949519,0 mM,2017-08-08_3d_L_0mM_00
420,dark1_60,-0.276397814,0 mM,2017-08-08_3d_L_0mM_00
450,dark1_90,-0.153039816,0 mM,2017-08-08_3d_L_0mM_00
480,dark1_120,-0.099890854,0 mM,2017-08-08_3d_L_0mM_00
510,top488_30,0.365135886,0 mM,2017-08-08_3d_L_0mM_00
540,top488_60,0.474531172,0 mM,2017-08-08_3d_L_0mM_00
570,top488_90,0.526084358,0 mM,2017-08-08_3d_L_0mM_00
600,top488_120,0.534256401,0 mM,2017-08-08_3d_L_0mM_00
630,dark2_30,0.161305427,0 mM,2017-08-08_3d_L_0mM_00
660,dark2_60,-0.046076857,0 mM,2017-08-08_3d_L_0mM_00
690,dark2_90,0.004889092,0 mM,2017-08-08_3d_L_0mM_00
720,dark2_120,0.087641654,0 mM,2017-08-08_3d_L_0mM_00
750,top395_30,0.288485381,0 mM,2017-08-08_3d_L_0mM_00
780,top395_60,0.146162451,0 mM,2017-08-08_3d_L_0mM_00
810,top395_90,-0.040549057,0 mM,2017-08-08_3d_L_0mM_00
840,top395_120,-0.20836201,0 mM,2017-08-08_3d_L_0mM_00
180,dark_180,0.079977211,0 mM,2017-08-08_3d_L_0mM_03
210,dark_210,0.139812748,0 mM,2017-08-08_3d_L_0mM_03
240,dark_240,0.169269074,0 mM,2017-08-08_3d_L_0mM_03
270,sideUV_30,0.069332612,0 mM,2017-08-08_3d_L_0mM_03
300,sideUV_60,-0.012271874,0 mM,2017-08-08_3d_L_0mM_03
330,sideUV_90,-0.121638034,0 mM,2017-08-08_3d_L_0mM_03
360,sideUV_120,-0.122018663,0 mM,2017-08-08_3d_L_0mM_03
390,dark1_30,-0.236382723,0 mM,2017-08-08_3d_L_0mM_03
420,dark1_60,-0.08706354,0 mM,2017-08-08_3d_L_0mM_03
450,dark1_90,0.04237119,0 mM,2017-08-08_3d_L_0mM_03
480,dark1_120,0.021254322,0 mM,2017-08-08_3d_L_0mM_03
510,top488_30,0.330093837,0 mM,2017-08-08_3d_L_0mM_03
540,top488_60,0.513745221,0 mM,2017-08-08_3d_L_0mM_03
570,top488_90,0.521547296,0 mM,2017-08-08_3d_L_0mM_03
600,top488_120,0.498578549,0 mM,2017-08-08_3d_L_0mM_03
630,dark2_30,0.065078286,0 mM,2017-08-08_3d_L_0mM_03
660,dark2_60,-0.155748681,0 mM,2017-08-08_3d_L_0mM_03
690,dark2_90,-0.146422604,0 mM,2017-08-08_3d_L_0mM_03
720,dark2_120,-0.039864876,0 mM,2017-08-08_3d_L_0mM_03
750,top395_30,0.196044229,0 mM,2017-08-08_3d_L_0mM_03
780,top395_60,0.133642442,0 mM,2017-08-08_3d_L_0mM_03
810,top395_90,-0.050361792,0 mM,2017-08-08_3d_L_0mM_03
840,top395_120,-0.180478203,0 mM,2017-08-08_3d_L_0mM_03
180,dark_180,-0.185155307,0 mM,2017-08-09_3d_L_0mM_06
210,dark_210,-0.153481635,0 mM,2017-08-09_3d_L_0mM_06
240,dark_240,-0.126133055,0 mM,2017-08-09_3d_L_0mM_06
270,sideUV_30,-0.162735935,0 mM,2017-08-09_3d_L_0mM_06
300,sideUV_60,-0.159071959,0 mM,2017-08-09_3d_L_0mM_06
330,sideUV_90,-0.13385824,0 mM,2017-08-09_3d_L_0mM_06
360,sideUV_120,-0.137213504,0 mM,2017-08-09_3d_L_0mM_06
390,dark1_30,-0.156602786,0 mM,2017-08-09_3d_L_0mM_06
420,dark1_60,-0.144205219,0 mM,2017-08-09_3d_L_0mM_06
450,dark1_90,-0.120558284,0 mM,2017-08-09_3d_L_0mM_06
480,dark1_120,-0.132590166,0 mM,2017-08-09_3d_L_0mM_06
510,top488_30,0.034825757,0 mM,2017-08-09_3d_L_0mM_06
540,top488_60,0.141994104,0 mM,2017-08-09_3d_L_0mM_06
570,top488_90,0.202106406,0 mM,2017-08-09_3d_L_0mM_06
600,top488_120,0.208809963,0 mM,2017-08-09_3d_L_0mM_06
630,dark2_30,-0.334876918,0 mM,2017-08-09_3d_L_0mM_06
660,dark2_60,-0.272595927,0 mM,2017-08-09_3d_L_0mM_06
690,dark2_90,-0.158074768,0 mM,2017-08-09_3d_L_0mM_06
720,dark2_120,-0.089276796,0 mM,2017-08-09_3d_L_0mM_06
750,top395_30,0.099195178,0 mM,2017-08-09_3d_L_0mM_06
780,top395_60,0.063492176,0 mM,2017-08-09_3d_L_0mM_06
810,top395_90,0.047349911,0 mM,2017-08-09_3d_L_0mM_06
840,top395_120,-0.027966465,0 mM,2017-08-09_3d_L_0mM_06
180,dark_180,0.209426827,0 mM,2017-08-15_3d_L_0mM_00
210,dark_210,0.205418822,0 mM,2017-08-15_3d_L_0mM_00
240,dark_240,0.263369829,0 mM,2017-08-15_3d_L_0mM_00
270,sideUV_30,-0.20696483,0 mM,2017-08-15_3d_L_0mM_00
300,sideUV_60,-0.467500925,0 mM,2017-08-15_3d_L_0mM_00
330,sideUV_90,-0.449555027,0 mM,2017-08-15_3d_L_0mM_00
360,sideUV_120,-0.324162817,0 mM,2017-08-15_3d_L_0mM_00
390,dark1_30,-0.099081447,0 mM,2017-08-15_3d_L_0mM_00
420,dark1_60,0.116742655,0 mM,2017-08-15_3d_L_0mM_00
450,dark1_90,0.100990361,0 mM,2017-08-15_3d_L_0mM_00
480,dark1_120,0.092855795,0 mM,2017-08-15_3d_L_0mM_00
510,top488_30,0.315134139,0 mM,2017-08-15_3d_L_0mM_00
540,top488_60,0.444643181,0 mM,2017-08-15_3d_L_0mM_00
570,top488_90,0.460676888,0 mM,2017-08-15_3d_L_0mM_00
600,top488_120,0.402264976,0 mM,2017-08-15_3d_L_0mM_00
630,dark2_30,0.077836801,0 mM,2017-08-15_3d_L_0mM_00
660,dark2_60,0.118622786,0 mM,2017-08-15_3d_L_0mM_00
690,dark2_90,0.180875307,0 mM,2017-08-15_3d_L_0mM_00
720,dark2_120,0.200425289,0 mM,2017-08-15_3d_L_0mM_00
750,top395_30,0.205305045,0 mM,2017-08-15_3d_L_0mM_00
780,top395_60,-0.299110733,0 mM,2017-08-15_3d_L_0mM_00
810,top395_90,-0.514807321,0 mM,2017-08-15_3d_L_0mM_00
840,top395_120,-0.394058523,0 mM,2017-08-15_3d_L_0mM_00
180,dark_180,-0.135847308,0 mM,2017-08-15_3d_L_0mM_03
210,dark_210,-0.109628629,0 mM,2017-08-15_3d_L_0mM_03
240,dark_240,-0.15758439899999999,0 mM,2017-08-15_3d_L_0mM_03
270,sideUV_30,-0.120410291,0 mM,2017-08-15_3d_L_0mM_03
300,sideUV_60,-0.303213801,0 mM,2017-08-15_3d_L_0mM_03
330,sideUV_90,-0.231058438,0 mM,2017-08-15_3d_L_0mM_03
360,sideUV_120,-0.211322928,0 mM,2017-08-15_3d_L_0mM_03
390,dark1_30,-0.187140418,0 mM,2017-08-15_3d_L_0mM_03
420,dark1_60,-0.131707942,0 mM,2017-08-15_3d_L_0mM_03
450,dark1_90,-0.190758064,0 mM,2017-08-15_3d_L_0mM_03
480,dark1_120,-0.073878193,0 mM,2017-08-15_3d_L_0mM_03
510,top488_30,0.231783927,0 mM,2017-08-15_3d_L_0mM_03
540,top488_60,0.435392769,0 mM,2017-08-15_3d_L_0mM_03
570,top488_90,0.40704218,0 mM,2017-08-15_3d_L_0mM_03
600,top488_120,0.451373677,0 mM,2017-08-15_3d_L_0mM_03
630,dark2_30,-0.066995417,0 mM,2017-08-15_3d_L_0mM_03
660,dark2_60,-0.290314848,0 mM,2017-08-15_3d_L_0mM_03
690,dark2_90,-0.117388122,0 mM,2017-08-15_3d_L_0mM_03
720,dark2_120,-0.048791617,0 mM,2017-08-15_3d_L_0mM_03
750,top395_30,0.07901115,0 mM,2017-08-15_3d_L_0mM_03
780,top395_60,-0.122121961,0 mM,2017-08-15_3d_L_0mM_03
810,top395_90,-0.110274168,0 mM,2017-08-15_3d_L_0mM_03
840,top395_120,-0.085857008,0 mM,2017-08-15_3d_L_0mM_03
180,dark_180,0.050588059,0 mM,2017-08-15_3d_L_0mM_06
210,dark_210,0.109172577,0 mM,2017-08-15_3d_L_0mM_06
240,dark_240,0.136323024,0 mM,2017-08-15_3d_L_0mM_06
270,sideUV_30,-0.029288464,0 mM,2017-08-15_3d_L_0mM_06
300,sideUV_60,0.019186905,0 mM,2017-08-15_3d_L_0mM_06
330,sideUV_90,0.031843318,0 mM,2017-08-15_3d_L_0mM_06
360,sideUV_120,0.078081066,0 mM,2017-08-15_3d_L_0mM_06
390,dark1_30,-0.039703249,0 mM,2017-08-15_3d_L_0mM_06
420,dark1_60,-0.179329445,0 mM,2017-08-15_3d_L_0mM_06
450,dark1_90,-0.159297826,0 mM,2017-08-15_3d_L_0mM_06
480,dark1_120,-0.072015779,0 mM,2017-08-15_3d_L_0mM_06
510,top488_30,0.254007328,0 mM,2017-08-15_3d_L_0mM_06
540,top488_60,0.32664158,0 mM,2017-08-15_3d_L_0mM_06
570,top488_90,0.344181391,0 mM,2017-08-15_3d_L_0mM_06
600,top488_120,0.320954595,0 mM,2017-08-15_3d_L_0mM_06
630,dark2_30,0.221390489,0 mM,2017-08-15_3d_L_0mM_06
660,dark2_60,-0.17010671,0 mM,2017-08-15_3d_L_0mM_06
690,dark2_90,-0.357684502,0 mM,2017-08-15_3d_L_0mM_06
720,dark2_120,-0.211903195,0 mM,2017-08-15_3d_L_0mM_06
750,top395_30,0.139074337,0 mM,2017-08-15_3d_L_0mM_06
780,top395_60,-0.28504693,0 mM,2017-08-15_3d_L_0mM_06
810,top395_90,-0.427203068,0 mM,2017-08-15_3d_L_0mM_06
840,top395_120,-0.44322703,0 mM,2017-08-15_3d_L_0mM_06
180,dark_180,0.019394721,0 mM,2017-08-16_3d_L_0mM_00
210,dark_210,0.126848903,0 mM,2017-08-16_3d_L_0mM_00
240,dark_240,0.127456077,0 mM,2017-08-16_3d_L_0mM_00
270,sideUV_30,0.048665207,0 mM,2017-08-16_3d_L_0mM_00
300,sideUV_60,-0.054873043,0 mM,2017-08-16_3d_L_0mM_00
330,sideUV_90,-0.11515944,0 mM,2017-08-16_3d_L_0mM_00
360,sideUV_120,-0.112279027,0 mM,2017-08-16_3d_L_0mM_00
390,dark1_30,-0.241417358,0 mM,2017-08-16_3d_L_0mM_00
420,dark1_60,-0.065505858,0 mM,2017-08-16_3d_L_0mM_00
450,dark1_90,0.003195123,0 mM,2017-08-16_3d_L_0mM_00
480,dark1_120,0.09118196,0 mM,2017-08-16_3d_L_0mM_00
510,top488_30,0.339089999,0 mM,2017-08-16_3d_L_0mM_00
540,top488_60,0.341725288,0 mM,2017-08-16_3d_L_0mM_00
570,top488_90,0.289609002,0 mM,2017-08-16_3d_L_0mM_00
600,top488_120,0.331314754,0 mM,2017-08-16_3d_L_0mM_00
630,dark2_30,-0.033053209,0 mM,2017-08-16_3d_L_0mM_00
660,dark2_60,-0.079460002,0 mM,2017-08-16_3d_L_0mM_00
690,dark2_90,0.014008255,0 mM,2017-08-16_3d_L_0mM_00
720,dark2_120,0.120597034,0 mM,2017-08-16_3d_L_0mM_00
750,top395_30,0.345766757,0 mM,2017-08-16_3d_L_0mM_00
780,top395_60,0.139767212,0 mM,2017-08-16_3d_L_0mM_00
810,top395_90,-0.097756546,0 mM,2017-08-16_3d_L_0mM_00
840,top395_120,-0.145189625,0 mM,2017-08-16_3d_L_0mM_00
180,dark_180,0.146811816,0 mM,2017-08-17_3d_L_0mM_00
210,dark_210,0.186557281,0 mM,2017-08-17_3d_L_0mM_00
240,dark_240,0.233255154,0 mM,2017-08-17_3d_L_0mM_00
270,sideUV_30,0.077958633,0 mM,2017-08-17_3d_L_0mM_00
300,sideUV_60,-0.021412909,0 mM,2017-08-17_3d_L_0mM_00
330,sideUV_90,-0.125311675,0 mM,2017-08-17_3d_L_0mM_00
360,sideUV_120,-0.06659575,0 mM,2017-08-17_3d_L_0mM_00
390,dark1_30,-0.026989408,0 mM,2017-08-17_3d_L_0mM_00
420,dark1_60,-0.043905436,0 mM,2017-08-17_3d_L_0mM_00
450,dark1_90,-0.035015461,0 mM,2017-08-17_3d_L_0mM_00
480,dark1_120,-0.014477411,0 mM,2017-08-17_3d_L_0mM_00
510,top488_30,0.159142282,0 mM,2017-08-17_3d_L_0mM_00
540,top488_60,0.451812043,0 mM,2017-08-17_3d_L_0mM_00
570,top488_90,0.517387968,0 mM,2017-08-17_3d_L_0mM_00
600,top488_120,0.539914473,0 mM,2017-08-17_3d_L_0mM_00
630,dark2_30,0.296108061,0 mM,2017-08-17_3d_L_0mM_00
660,dark2_60,0.195925047,0 mM,2017-08-17_3d_L_0mM_00
690,dark2_90,0.226890717,0 mM,2017-08-17_3d_L_0mM_00
720,dark2_120,0.20939507500000001,0 mM,2017-08-17_3d_L_0mM_00
750,top395_30,0.253183022,0 mM,2017-08-17_3d_L_0mM_00
780,top395_60,-0.161016461,0 mM,2017-08-17_3d_L_0mM_00
810,top395_90,-0.570396628,0 mM,2017-08-17_3d_L_0mM_00
840,top395_120,-0.550678129,0 mM,2017-08-17_3d_L_0mM_00
180,dark_180,-0.09815067,0 mM,2017-08-17_3d_L_0mM_03
210,dark_210,-0.086521065,0 mM,2017-08-17_3d_L_0mM_03
240,dark_240,-0.0077708,0 mM,2017-08-17_3d_L_0mM_03
270,sideUV_30,-0.029905516,0 mM,2017-08-17_3d_L_0mM_03
300,sideUV_60,-0.153372455,0 mM,2017-08-17_3d_L_0mM_03
330,sideUV_90,-0.155236278,0 mM,2017-08-17_3d_L_0mM_03
360,sideUV_120,-0.137798988,0 mM,2017-08-17_3d_L_0mM_03
390,dark1_30,-0.105389428,0 mM,2017-08-17_3d_L_0mM_03
420,dark1_60,-0.018319086,0 mM,2017-08-17_3d_L_0mM_03
450,dark1_90,0.016580449,0 mM,2017-08-17_3d_L_0mM_03
480,dark1_120,-0.001916372,0 mM,2017-08-17_3d_L_0mM_03
510,top488_30,0.134063822,0 mM,2017-08-17_3d_L_0mM_03
540,top488_60,0.216136914,0 mM,2017-08-17_3d_L_0mM_03
570,top488_90,0.267971864,0 mM,2017-08-17_3d_L_0mM_03
600,top488_120,0.248258927,0 mM,2017-08-17_3d_L_0mM_03
630,dark2_30,-0.05705816,0 mM,2017-08-17_3d_L_0mM_03
660,dark2_60,-0.126769039,0 mM,2017-08-17_3d_L_0mM_03
690,dark2_90,-0.073654044,0 mM,2017-08-17_3d_L_0mM_03
720,dark2_120,-0.016170577,0 mM,2017-08-17_3d_L_0mM_03
750,top395_30,0.033727317,0 mM,2017-08-17_3d_L_0mM_03
780,top395_60,-0.086521034,0 mM,2017-08-17_3d_L_0mM_03
810,top395_90,-0.156463946,0 mM,2017-08-17_3d_L_0mM_03
840,top395_120,-0.205127747,0 mM,2017-08-17_3d_L_0mM_03
180,dark_180,0.102270004,0 mM,2017-08-21_3d_L_0mM_03
210,dark_210,0.105046646,0 mM,2017-08-21_3d_L_0mM_03
240,dark_240,0.094817381,0 mM,2017-08-21_3d_L_0mM_03
