frame,genotype,sample,intensity
1,WT_MC,2,1.00282644
1,WT_MC,3,2.222771483
1,WT_MC,4,0.978411016
1,WT_MC,5,1.053848451
1,WT_MC,6,0.333057891
1,WT_MC,7,0.971202391
1,WT_MC,8,1.049092898
1,WT_MC,9,1.731121155
1,WT_MC,10,0.991151494
1,WT_MC,11,0.307146291
1,WT_MC,12,1.024287647
1,WT_MC,13,1.575652906
1,WT_MC,14,0.979109572
1,WT_MC,15,1.91202125
1,WT_MC,16,0.989038484
1,WT_MC,17,1.287197035
1,WT_MC,18,0.999328039
1,WT_MC,19,1.612128059
1,NOS11_MC,20,0.758757214
1,NOS11_MC,21,1.01722241
1,NOS11_MC,22,0.999151262
1,NOS11_MC,23,1.060606981
1,NOS11_MC,24,0.971630025
1,NOS11_MC,25,1.856414776
1,NOS11_MC,26,0.826381522
1,NOS11_MC,27,1.301105859
1,NOS11_MC,28,1.015174126
1,NOS11_MC,29,1.012972062
1,NOS11_MC,30,1.035714863
1,NOS11_MC,31,0.465562759
1,NOS11_MC,32,0.999574999
1,NOS11_MC,33,1.0031204440000001
2,WT_MC,2,0.994487043
2,WT_MC,3,2.218983725
2,WT_MC,4,0.986242452
2,WT_MC,5,1.055029793
2,WT_MC,6,0.334632771
2,WT_MC,7,0.966557615
2,WT_MC,8,1.040067463
2,WT_MC,9,1.683359056
2,WT_MC,10,0.987113249
2,WT_MC,11,0.310519148
2,WT_MC,12,1.021370551
2,WT_MC,13,1.537278854
2,WT_MC,14,0.974009938
2,WT_MC,15,1.851394522
2,WT_MC,16,0.968763652
2,WT_MC,17,1.282149986
2,WT_MC,18,1.012950519
2,WT_MC,19,1.618729055
2,NOS11_MC,20,0.762425625
2,NOS11_MC,21,1.028323178
2,NOS11_MC,22,0.979558369
2,NOS11_MC,23,1.046439378
2,NOS11_MC,24,0.962324674
2,NOS11_MC,25,2.330778663
2,NOS11_MC,26,0.827538818
2,NOS11_MC,27,1.317982503
2,NOS11_MC,28,1.027112484
2,NOS11_MC,29,1.00344181
2,NOS11_MC,30,1.035132556
2,NOS11_MC,31,0.454705928
2,NOS11_MC,32,0.989045941
2,NOS11_MC,33,0.994127025
3,WT_MC,2,0.99378742900000006
3,WT_MC,3,2.22299618
3,WT_MC,4,0.982964177
3,WT_MC,5,1.058989238
3,WT_MC,6,0.337520051
3,WT_MC,7,0.95003837
3,WT_MC,8,1.057419394
3,WT_MC,9,1.604977401
3,WT_MC,10,0.994774036
3,WT_MC,11,0.316463708
3,WT_MC,12,1.017293063
3,WT_MC,13,1.480960404
3,WT_MC,14,0.970847764
3,WT_MC,15,1.846728167
3,WT_MC,16,0.94549029
3,WT_MC,17,1.243512974
3,WT_MC,18,0.990348198
3,WT_MC,19,1.617827765
3,NOS11_MC,20,0.762984834
3,NOS11_MC,21,1.049593771
3,NOS11_MC,22,0.978565777
3,NOS11_MC,23,1.043271907
3,NOS11_MC,24,0.954078468
3,NOS11_MC,25,2.477391171
3,NOS11_MC,26,0.825344778
3,NOS11_MC,27,1.336998139
3,NOS11_MC,28,1.025767941
3,NOS11_MC,29,1.009399701
3,NOS11_MC,30,1.02198211
3,NOS11_MC,31,0.436460205
3,NOS11_MC,32,0.989484652
3,NOS11_MC,33,0.991497132
4,WT_MC,2,1.018945542
4,WT_MC,3,2.203158604
4,WT_MC,4,0.98279606
4,WT_MC,5,1.05726266
4,WT_MC,6,0.340835075
4,WT_MC,7,0.94131427
4,WT_MC,8,1.07762786
4,WT_MC,9,1.537289163
4,WT_MC,10,0.999465526
4,WT_MC,11,0.317425092
4,WT_MC,12,1.021402785
4,WT_MC,13,1.429823083
4,WT_MC,14,0.963961251
4,WT_MC,15,1.797516063
4,WT_MC,16,0.921303467
4,WT_MC,17,1.213715426
4,WT_MC,18,1.032376298
4,WT_MC,19,1.590801767
4,NOS11_MC,20,0.767704559
4,NOS11_MC,21,1.074320131
4,NOS11_MC,22,0.959361289
4,NOS11_MC,23,1.05098313
4,NOS11_MC,24,0.945438865
4,NOS11_MC,25,2.634503372
4,NOS11_MC,26,0.824862571
4,NOS11_MC,27,1.326870013
4,NOS11_MC,28,1.034928562
4,NOS11_MC,29,0.996807425
4,NOS11_MC,30,1.012923993
4,NOS11_MC,31,0.445051941
4,NOS11_MC,32,0.990554009
4,NOS11_MC,33,0.995598676
5,WT_MC,2,1.02034477
5,WT_MC,3,2.186948287
5,WT_MC,4,0.999887922
5,WT_MC,5,1.061637523
5,WT_MC,6,0.342254411
5,WT_MC,7,0.953511854
5,WT_MC,8,1.041161455
5,WT_MC,9,1.480184103
5,WT_MC,10,0.987172635
5,WT_MC,11,0.317240827
5,WT_MC,12,1.020790356
5,WT_MC,13,1.376242628
5,WT_MC,14,0.958118757
5,WT_MC,15,1.75727772
5,WT_MC,16,0.889729537
5,WT_MC,17,1.212403764
5,WT_MC,18,1.016127062
5,WT_MC,19,1.55268102
5,NOS11_MC,20,0.767055876
5,NOS11_MC,21,1.079045362
5,NOS11_MC,22,0.938804575
5,NOS11_MC,23,1.052096299
5,NOS11_MC,24,0.940067483
5,NOS11_MC,25,2.769504905
5,NOS11_MC,26,0.820016395
5,NOS11_MC,27,1.299865244
5,NOS11_MC,28,1.053397556
5,NOS11_MC,29,0.987728168
5,NOS11_MC,30,1.001568995
5,NOS11_MC,31,0.423197688
5,NOS11_MC,32,0.998066931
5,NOS11_MC,33,0.990625043
6,WT_MC,2,1.001427212
6,WT_MC,3,2.189548358
6,WT_MC,4,0.984687373
6,WT_MC,5,1.068504888
6,WT_MC,6,0.339542118
6,WT_MC,7,0.950361485
6,WT_MC,8,1.025070654
6,WT_MC,9,1.416850402
6,WT_MC,10,1.002375438
