frame,stimuli,sample,intensity
17,cPRC,larva_1,1.041151861
17,cPRC,larva_2,0.977694726
17,cPRC,larva_3,1.01931226
17,cPRC,larva_4,0.962067887
17,cPRC,larva_5,0.984932471
17,cPRC,larva_6,1.020914215
17,cPRC,larva_7,0.991602075
17,cPRC,larva_8,1.017442464
17,cPRC,larva_9,1.054806058
17,cPRC,larva_10,1.157300756
17,cPRC,larva_11,1.117696819
18,cPRC,larva_1,0.980997942
18,cPRC,larva_2,0.996084713
18,cPRC,larva_3,1.014441576
18,cPRC,larva_4,1.004909458
18,cPRC,larva_5,0.99233458
18,cPRC,larva_6,1.082026644
18,cPRC,larva_7,1.029350544
18,cPRC,larva_8,1.011673832
18,cPRC,larva_9,1.006967521
18,cPRC,larva_10,1.120767888
18,cPRC,larva_11,1.094236409
19,cPRC,larva_1,0.936053672
19,cPRC,larva_2,1.010915347
19,cPRC,larva_3,1.014587697
19,cPRC,larva_4,1.020683944
19,cPRC,larva_5,0.98990488
19,cPRC,larva_6,1.106454353
19,cPRC,larva_7,1.003394174
19,cPRC,larva_8,0.964443158
19,cPRC,larva_9,1.002486869
19,cPRC,larva_10,1.105235602
19,cPRC,larva_11,1.130019174
20,cPRC,larva_1,1.075532516
20,cPRC,larva_2,1.000355935
20,cPRC,larva_3,1.013857094
20,cPRC,larva_4,1.036019029
20,cPRC,larva_5,1.034826073
20,cPRC,larva_6,1.035890213
20,cPRC,larva_7,1.008860483
20,cPRC,larva_8,0.996531173
20,cPRC,larva_9,1.04224002
20,cPRC,larva_10,1.087376382
20,cPRC,larva_11,1.058933002
21,cPRC,larva_1,1.087367677
21,cPRC,larva_2,1.097407605
21,cPRC,larva_3,1.016341143
21,cPRC,larva_4,0.938735709
21,cPRC,larva_5,0.982389762
21,cPRC,larva_6,1.10999335
21,cPRC,larva_7,1.018349169
21,cPRC,larva_8,1.001518636
21,cPRC,larva_9,1.022026553
21,cPRC,larva_10,1.05113438
21,cPRC,larva_11,1.096745996
22,cPRC,larva_1,0.98124247
22,cPRC,larva_2,1.025568013
22,cPRC,larva_3,1.010204082
22,cPRC,larva_4,1.013389892
22,cPRC,larva_5,1.025841834
22,cPRC,larva_6,1.091737306
22,cPRC,larva_7,1.003291036
22,cPRC,larva_8,0.966305945
22,cPRC,larva_9,1.035198995
22,cPRC,larva_10,1.120535195
22,cPRC,larva_11,1.04080194
23,cPRC,larva_1,1.052987022
23,cPRC,larva_2,0.995135552
23,cPRC,larva_3,1.016195022
23,cPRC,larva_4,0.983290942
23,cPRC,larva_5,1.005161134
23,cPRC,larva_6,1.108439644
23,cPRC,larva_7,1.04028316
23,cPRC,larva_8,0.951824275
23,cPRC,larva_9,1.03122368
23,cPRC,larva_10,1.094822571
23,cPRC,larva_11,1.073652154
24,cPRC,larva_1,0.936933973
24,cPRC,larva_2,1.026220561
24,cPRC,larva_3,1.012468949
24,cPRC,larva_4,1.058911807
24,cPRC,larva_5,1.035956166
24,cPRC,larva_6,1.072186507
24,cPRC,larva_7,1.033888611
24,cPRC,larva_8,0.930732715
24,cPRC,larva_9,0.981633309
24,cPRC,larva_10,1.129028505
24,cPRC,larva_11,1.022952854
25,cPRC,larva_1,1.018948707
25,cPRC,larva_2,0.984932076
25,cPRC,larva_3,1.013784034
25,cPRC,larva_4,1.050826834
25,cPRC,larva_5,0.981259669
25,cPRC,larva_6,1.038652356
25,cPRC,larva_7,0.956982123
25,cPRC,larva_8,0.996050454
25,cPRC,larva_9,0.962430516
25,cPRC,larva_10,1.057998837
25,cPRC,larva_11,1.047118204
26,cPRC,larva_1,1.013715805
26,cPRC,larva_2,1.043661387
26,cPRC,larva_3,1.011640933
26,cPRC,larva_4,1.037073591
26,cPRC,larva_5,0.977304344
26,cPRC,larva_6,1.004039243
26,cPRC,larva_7,1.009101138
26,cPRC,larva_8,1.030782425
26,cPRC,larva_9,0.963643324
26,cPRC,larva_10,1.106864456
26,cPRC,larva_11,1.08431085
