expression,solution,cell,time,intensity
GcG,SNAP,A,0.2,1.020390913
GcG,SNAP,A,0.4,1.00167249
GcG,SNAP,A,0.6,1.008234982
GcG,SNAP,A,0.8,0.994697028
GcG,SNAP,A,1,1.001207038
GcG,SNAP,A,1.2,1.00141753
GcG,SNAP,A,1.4,0.990598137
GcG,SNAP,A,1.6,0.996196655
GcG,SNAP,A,1.8,0.989581794
GcG,SNAP,A,2,0.996003432
GcG,SNAP,A,2.2,0.989350084
GcG,SNAP,A,2.4,0.980405479
GcG,SNAP,A,2.6,0.992315931
GcG,SNAP,A,2.8,0.979529878
GcG,SNAP,A,3,0.980747797
GcG,SNAP,A,3.2,0.981482543
GcG,SNAP,A,3.4,0.979969033
GcG,SNAP,A,3.6,0.97597804
GcG,SNAP,A,3.8,0.980099391
GcG,SNAP,A,4,0.972490309
GcG,SNAP,A,4.2,0.990630642
GcG,SNAP,A,4.4,0.98941611
GcG,SNAP,A,4.6,0.991872149
GcG,SNAP,A,4.8,0.972764457
GcG,SNAP,A,5,0.986740211
GcG,SNAP,A,5.2,0.98122826
GcG,SNAP,A,5.4,0.970761906
GcG,SNAP,A,5.6,0.990130653
GcG,SNAP,A,5.8,0.985800842
GcG,SNAP,A,6,0.984987768
GcG,SNAP,A,6.2,0.982120564
GcG,SNAP,A,6.4,0.976337174
GcG,SNAP,A,6.6,0.981242142
GcG,SNAP,A,6.8,0.996276789
GcG,SNAP,A,7,1.000368457
GcG,SNAP,A,7.2,1.010068123
GcG,SNAP,A,7.4,0.999900747
GcG,SNAP,A,7.6,1.002013115
GcG,SNAP,A,7.8,0.981116073
GcG,SNAP,A,8,0.98063956
GcG,SNAP,A,8.2,0.984532925
GcG,SNAP,A,8.4,0.98117036
GcG,SNAP,A,8.6,0.992745154
GcG,SNAP,A,8.8,0.987307467
GcG,SNAP,A,9,0.97590592
GcG,SNAP,A,9.2,0.991068555
GcG,SNAP,A,9.4,0.986041017
GcG,SNAP,A,9.6,0.995579739
GcG,SNAP,A,9.8,0.980866417
GcG,SNAP,A,10,0.990326924
GcG,SNAP,B,0.2,1.049001416
GcG,SNAP,B,0.4,1.002541934
GcG,SNAP,B,0.6,1.017888809
GcG,SNAP,B,0.8,0.991072963
GcG,SNAP,B,1,0.990258476
GcG,SNAP,B,1.2,0.99929833
GcG,SNAP,B,1.4,0.996892679
GcG,SNAP,B,1.6,0.974535542
GcG,SNAP,B,1.8,0.987103141
GcG,SNAP,B,2,0.99140671
GcG,SNAP,B,2.2,1.015331909
GcG,SNAP,B,2.4,1.025106492
GcG,SNAP,B,2.6,1.007905346
GcG,SNAP,B,2.8,1.016352724
GcG,SNAP,B,3,1.013860505
GcG,SNAP,B,3.2,0.993679106
GcG,SNAP,B,3.4,0.999244103
GcG,SNAP,B,3.6,0.992225453
GcG,SNAP,B,3.8,1.003924946
GcG,SNAP,B,4,0.996261052
GcG,SNAP,B,4.2,0.997469349
GcG,SNAP,B,4.4,0.982102534
GcG,SNAP,B,4.6,0.992000767
GcG,SNAP,B,4.8,0.987578532
GcG,SNAP,B,5,0.967120287
GcG,SNAP,B,5.2,0.980225285
GcG,SNAP,B,5.4,0.985375075
GcG,SNAP,B,5.6,0.99066347
GcG,SNAP,B,5.8,0.99932216
GcG,SNAP,B,6,1.002660113
GcG,SNAP,B,6.2,1.006320384
GcG,SNAP,B,6.4,1.004029143
GcG,SNAP,B,6.6,1.01063988
GcG,SNAP,B,6.8,1.000774231
GcG,SNAP,B,7,1.007668502
GcG,SNAP,B,7.2,1.001439901
GcG,SNAP,B,7.4,1.005084245
