frame,genotype,sample,intensity
1,WT_INNOS,38,0.840061264
1,WT_INNOS,39,1.030487021
1,WT_INNOS,40,0.992308641
1,WT_INNOS,41,0.760446394
1,WT_INNOS,42,0.937400966
1,WT_INNOS,43,0.986575186
1,WT_INNOS,44,1.011315591
1,WT_INNOS,45,0.931690761
1,WT_INNOS,46,0.978530078
1,WT_INNOS,47,1.001140928
1,WT_INNOS,48,1.016434126
1,WT_INNOS,49,1.097167634
1,WT_INNOS,50,0.714360471
1,WT_INNOS,51,0.958347313
1,WT_INNOS,52,0.940468098
1,WT_INNOS,53,1.024801758
1,WT_INNOS,54,0.959375332
1,WT_INNOS,55,1.052946561
1,WT_INNOS,56,1.559492165
1,WT_INNOS,57,1.205422705
1,WT_INNOS,58,0.821530185
1,WT_INNOS,59,1.201213599
1,WT_INNOS,60,0.963736711
1,WT_INNOS,61,1.04213874
1,WT_INNOS,62,1.148193197
1,WT_INNOS,63,0.944605201
1,WT_INNOS,64,1.077905632
1,NOS11_INNOS,83,0.888521024
1,NOS11_INNOS,84,0.896118576
1,NOS11_INNOS,85,0.826715739
1,NOS11_INNOS,86,0.806996381
1,NOS11_INNOS,87,0.660680229
1,NOS11_INNOS,88,0.977097819
1,NOS11_INNOS,89,0.92029758
1,NOS11_INNOS,90,0.867321754
1,NOS11_INNOS,91,0.971334762
1,NOS11_INNOS,92,0.976206213
1,NOS11_INNOS,93,0.917036924
1,NOS11_INNOS,94,1.013664082
1,NOS11_INNOS,95,1.062442608
1,NOS11_INNOS,96,0.901146132
1,NOS11_INNOS,97,0.941361945
1,NOS11_INNOS,98,0.977173572
1,NOS11_INNOS,99,0.978736829
1,NOS11_INNOS,100,1.005742451
1,NOS11_INNOS,101,0.987609432
1,NOS11_INNOS,102,0.973754771
1,NOS11_INNOS,103,1.251575781
2,WT_INNOS,38,0.922191556
2,WT_INNOS,39,1.030474157
2,WT_INNOS,40,1.005305803
2,WT_INNOS,41,0.745501517
2,WT_INNOS,42,0.947242321
2,WT_INNOS,43,0.989525443
2,WT_INNOS,44,1.000684199
2,WT_INNOS,45,0.943612657
2,WT_INNOS,46,0.991756749
2,WT_INNOS,47,0.992079507
2,WT_INNOS,48,1.047317046
2,WT_INNOS,49,1.10195583
2,WT_INNOS,50,0.70914763
