time,condition,displacement,genotype,batch
840,top395_120,0.058535552,NOS11x11,2017-07-02_2d_nnxnn_00
180,dark_180,0.207401363,NOS11x11,2017-07-03_2d_nnxnn_03
210,dark_210,0.197314909,NOS11x11,2017-07-03_2d_nnxnn_03
240,dark_240,0.158019482,NOS11x11,2017-07-03_2d_nnxnn_03
270,sideUV_30,0.157313522,NOS11x11,2017-07-03_2d_nnxnn_03
300,sideUV_60,0.156607563,NOS11x11,2017-07-03_2d_nnxnn_03
330,sideUV_90,0.154435007,NOS11x11,2017-07-03_2d_nnxnn_03
360,sideUV_120,0.085713812,NOS11x11,2017-07-03_2d_nnxnn_03
390,dark1_30,-0.08062726,NOS11x11,2017-07-03_2d_nnxnn_03
420,dark1_60,-0.12078212,NOS11x11,2017-07-03_2d_nnxnn_03
450,dark1_90,-0.047822442,NOS11x11,2017-07-03_2d_nnxnn_03
480,dark1_120,0.056499009,NOS11x11,2017-07-03_2d_nnxnn_03
510,top488_30,0.225751581,NOS11x11,2017-07-03_2d_nnxnn_03
540,top488_60,0.520861096,NOS11x11,2017-07-03_2d_nnxnn_03
570,top488_90,0.437498322,NOS11x11,2017-07-03_2d_nnxnn_03
600,top488_120,0.40229397,NOS11x11,2017-07-03_2d_nnxnn_03
630,dark2_30,-0.088398294,NOS11x11,2017-07-03_2d_nnxnn_03
660,dark2_60,-0.102510643,NOS11x11,2017-07-03_2d_nnxnn_03
690,dark2_90,-0.046208145,NOS11x11,2017-07-03_2d_nnxnn_03
720,dark2_120,-0.024785552,NOS11x11,2017-07-03_2d_nnxnn_03
750,top395_30,0.2188328,NOS11x11,2017-07-03_2d_nnxnn_03
780,top395_60,0.353941428,NOS11x11,2017-07-03_2d_nnxnn_03
810,top395_90,0.268587524,NOS11x11,2017-07-03_2d_nnxnn_03
840,top395_120,0.117891713,NOS11x11,2017-07-03_2d_nnxnn_03
180,dark_180,-0.08738387,NOS11x11,2017-07-03_2d_nnxnn_04
210,dark_210,-5.82987e-4,NOS11x11,2017-07-03_2d_nnxnn_04
240,dark_240,-0.002687241,NOS11x11,2017-07-03_2d_nnxnn_04
270,sideUV_30,-0.010210707,NOS11x11,2017-07-03_2d_nnxnn_04
300,sideUV_60,0.079647025,NOS11x11,2017-07-03_2d_nnxnn_04
330,sideUV_90,0.113145432,NOS11x11,2017-07-03_2d_nnxnn_04
360,sideUV_120,0.08085445,NOS11x11,2017-07-03_2d_nnxnn_04
390,dark1_30,0.061269511,NOS11x11,2017-07-03_2d_nnxnn_04
420,dark1_60,0.040149272,NOS11x11,2017-07-03_2d_nnxnn_04
450,dark1_90,0.0127415,NOS11x11,2017-07-03_2d_nnxnn_04
480,dark1_120,0.015923655,NOS11x11,2017-07-03_2d_nnxnn_04
510,top488_30,0.211539887,NOS11x11,2017-07-03_2d_nnxnn_04
540,top488_60,0.340410552,NOS11x11,2017-07-03_2d_nnxnn_04
570,top488_90,0.367157681,NOS11x11,2017-07-03_2d_nnxnn_04
600,top488_120,0.282307686,NOS11x11,2017-07-03_2d_nnxnn_04
630,dark2_30,0.04909174,NOS11x11,2017-07-03_2d_nnxnn_04
660,dark2_60,-0.043217042,NOS11x11,2017-07-03_2d_nnxnn_04
690,dark2_90,-0.050894136,NOS11x11,2017-07-03_2d_nnxnn_04
720,dark2_120,-0.062075076,NOS11x11,2017-07-03_2d_nnxnn_04
750,top395_30,0.182788612,NOS11x11,2017-07-03_2d_nnxnn_04
780,top395_60,0.176491235,NOS11x11,2017-07-03_2d_nnxnn_04
810,top395_90,0.116537043,NOS11x11,2017-07-03_2d_nnxnn_04
840,top395_120,0.076578212,NOS11x11,2017-07-03_2d_nnxnn_04
180,dark_180,-0.238404325,NOS11x11,2017-07-06_2d_nnxnn_03
210,dark_210,-0.180648121,NOS11x11,2017-07-06_2d_nnxnn_03
240,dark_240,-0.151188056,NOS11x11,2017-07-06_2d_nnxnn_03
270,sideUV_30,-0.045301195,NOS11x11,2017-07-06_2d_nnxnn_03
300,sideUV_60,-0.032242045,NOS11x11,2017-07-06_2d_nnxnn_03
330,sideUV_90,-0.016020056,NOS11x11,2017-07-06_2d_nnxnn_03
360,sideUV_120,-0.018710185,NOS11x11,2017-07-06_2d_nnxnn_03
390,dark1_30,0.0036925,NOS11x11,2017-07-06_2d_nnxnn_03
420,dark1_60,-0.027903129,NOS11x11,2017-07-06_2d_nnxnn_03
450,dark1_90,0.006090439,NOS11x11,2017-07-06_2d_nnxnn_03
480,dark1_120,0.021645278,NOS11x11,2017-07-06_2d_nnxnn_03
510,top488_30,0.271859786,NOS11x11,2017-07-06_2d_nnxnn_03
540,top488_60,0.414030322,NOS11x11,2017-07-06_2d_nnxnn_03
570,top488_90,0.348677213,NOS11x11,2017-07-06_2d_nnxnn_03
600,top488_120,0.303586677,NOS11x11,2017-07-06_2d_nnxnn_03
630,dark2_30,-0.025690925,NOS11x11,2017-07-06_2d_nnxnn_03
660,dark2_60,-0.149274069,NOS11x11,2017-07-06_2d_nnxnn_03
690,dark2_90,-0.112384484,NOS11x11,2017-07-06_2d_nnxnn_03
720,dark2_120,-0.092552245,NOS11x11,2017-07-06_2d_nnxnn_03
750,top395_30,0.196639931,NOS11x11,2017-07-06_2d_nnxnn_03
780,top395_60,0.171902014,NOS11x11,2017-07-06_2d_nnxnn_03
810,top395_90,0.138776737,NOS11x11,2017-07-06_2d_nnxnn_03
840,top395_120,0.071289632,NOS11x11,2017-07-06_2d_nnxnn_03
180,dark_180,0.144259868,NOS23x23,2017-06-23_2d_nnxnn_03
210,dark_210,0.153737425,NOS23x23,2017-06-23_2d_nnxnn_03
240,dark_240,0.137692424,NOS23x23,2017-06-23_2d_nnxnn_03
270,sideUV_30,0.238147383,NOS23x23,2017-06-23_2d_nnxnn_03
300,sideUV_60,0.144617025,NOS23x23,2017-06-23_2d_nnxnn_03
330,sideUV_90,0.080624712,NOS23x23,2017-06-23_2d_nnxnn_03
360,sideUV_120,0.06656769,NOS23x23,2017-06-23_2d_nnxnn_03
390,dark1_30,0.052372826,NOS23x23,2017-06-23_2d_nnxnn_03
420,dark1_60,0.097784589,NOS23x23,2017-06-23_2d_nnxnn_03
450,dark1_90,0.114218348,NOS23x23,2017-06-23_2d_nnxnn_03
480,dark1_120,0.159020916,NOS23x23,2017-06-23_2d_nnxnn_03
510,top488_30,0.52796826,NOS23x23,2017-06-23_2d_nnxnn_03
540,top488_60,0.415653693,NOS23x23,2017-06-23_2d_nnxnn_03
570,top488_90,0.333105693,NOS23x23,2017-06-23_2d_nnxnn_03
600,top488_120,0.264637864,NOS23x23,2017-06-23_2d_nnxnn_03
630,dark2_30,0.019641804,NOS23x23,2017-06-23_2d_nnxnn_03
660,dark2_60,-0.033577816,NOS23x23,2017-06-23_2d_nnxnn_03
690,dark2_90,-0.05260978,NOS23x23,2017-06-23_2d_nnxnn_03
720,dark2_120,-0.040471799,NOS23x23,2017-06-23_2d_nnxnn_03
750,top395_30,0.204841509,NOS23x23,2017-06-23_2d_nnxnn_03
780,top395_60,0.075976475,NOS23x23,2017-06-23_2d_nnxnn_03
810,top395_90,1.31e-5,NOS23x23,2017-06-23_2d_nnxnn_03
840,top395_120,-0.050318243,NOS23x23,2017-06-23_2d_nnxnn_03
180,dark_180,0.145386594,NOS23x23,2017-06-23_2d_nnxnn_04
210,dark_210,0.156997334,NOS23x23,2017-06-23_2d_nnxnn_04
240,dark_240,0.118227235,NOS23x23,2017-06-23_2d_nnxnn_04
270,sideUV_30,0.12641747,NOS23x23,2017-06-23_2d_nnxnn_04
300,sideUV_60,0.157097835,NOS23x23,2017-06-23_2d_nnxnn_04
330,sideUV_90,0.154546115,NOS23x23,2017-06-23_2d_nnxnn_04
360,sideUV_120,0.156852655,NOS23x23,2017-06-23_2d_nnxnn_04
390,dark1_30,0.097287748,NOS23x23,2017-06-23_2d_nnxnn_04
420,dark1_60,0.100166517,NOS23x23,2017-06-23_2d_nnxnn_04
450,dark1_90,0.110126934,NOS23x23,2017-06-23_2d_nnxnn_04
480,dark1_120,0.067332235,NOS23x23,2017-06-23_2d_nnxnn_04
510,top488_30,0.410678503,NOS23x23,2017-06-23_2d_nnxnn_04
540,top488_60,0.292441524,NOS23x23,2017-06-23_2d_nnxnn_04
570,top488_90,0.230103478,NOS23x23,2017-06-23_2d_nnxnn_04
600,top488_120,0.206433428,NOS23x23,2017-06-23_2d_nnxnn_04
630,dark2_30,-0.016032495,NOS23x23,2017-06-23_2d_nnxnn_04
660,dark2_60,-0.010179853,NOS23x23,2017-06-23_2d_nnxnn_04
690,dark2_90,-0.022189581,NOS23x23,2017-06-23_2d_nnxnn_04
720,dark2_120,-0.045966524,NOS23x23,2017-06-23_2d_nnxnn_04
750,top395_30,0.228949385,NOS23x23,2017-06-23_2d_nnxnn_04
780,top395_60,0.112048684,NOS23x23,2017-06-23_2d_nnxnn_04
810,top395_90,0.069397633,NOS23x23,2017-06-23_2d_nnxnn_04
840,top395_120,0.044772822,NOS23x23,2017-06-23_2d_nnxnn_04
180,dark_180,0.064318863,NOS23x23,2017-06-27_2d_nnxnn_01
210,dark_210,0.044864199,NOS23x23,2017-06-27_2d_nnxnn_01
240,dark_240,-5.96373e-4,NOS23x23,2017-06-27_2d_nnxnn_01
270,sideUV_30,0.0771567,NOS23x23,2017-06-27_2d_nnxnn_01
300,sideUV_60,0.161070742,NOS23x23,2017-06-27_2d_nnxnn_01
330,sideUV_90,0.117330444,NOS23x23,2017-06-27_2d_nnxnn_01
360,sideUV_120,0.080787019,NOS23x23,2017-06-27_2d_nnxnn_01
390,dark1_30,-0.008749098,NOS23x23,2017-06-27_2d_nnxnn_01
420,dark1_60,-0.002088138,NOS23x23,2017-06-27_2d_nnxnn_01
450,dark1_90,-0.013734462,NOS23x23,2017-06-27_2d_nnxnn_01
480,dark1_120,-0.018004189,NOS23x23,2017-06-27_2d_nnxnn_01
510,top488_30,0.246792513,NOS23x23,2017-06-27_2d_nnxnn_01
540,top488_60,0.194196283,NOS23x23,2017-06-27_2d_nnxnn_01
570,top488_90,0.170656293,NOS23x23,2017-06-27_2d_nnxnn_01
600,top488_120,0.123700016,NOS23x23,2017-06-27_2d_nnxnn_01
630,dark2_30,0.01130566,NOS23x23,2017-06-27_2d_nnxnn_01
660,dark2_60,0.005774543,NOS23x23,2017-06-27_2d_nnxnn_01
690,dark2_90,0.040604007,NOS23x23,2017-06-27_2d_nnxnn_01
720,dark2_120,0.020220995,NOS23x23,2017-06-27_2d_nnxnn_01
750,top395_30,0.234462025,NOS23x23,2017-06-27_2d_nnxnn_01
780,top395_60,0.182316663,NOS23x23,2017-06-27_2d_nnxnn_01
810,top395_90,0.141833821,NOS23x23,2017-06-27_2d_nnxnn_01
840,top395_120,0.101378272,NOS23x23,2017-06-27_2d_nnxnn_01
