time,condition,displacement,genotype,batch
390,dark1_30,-0.075768598,WT,2017-07-02_2d_NNxNN_06
420,dark1_60,-0.062291571,WT,2017-07-02_2d_NNxNN_06
450,dark1_90,-0.071982362,WT,2017-07-02_2d_NNxNN_06
480,dark1_120,-0.067875733,WT,2017-07-02_2d_NNxNN_06
510,top488_30,0.208183986,WT,2017-07-02_2d_NNxNN_06
540,top488_60,0.200568562,WT,2017-07-02_2d_NNxNN_06
570,top488_90,0.202745965,WT,2017-07-02_2d_NNxNN_06
600,top488_120,0.152004466,WT,2017-07-02_2d_NNxNN_06
630,dark2_30,-0.083952163,WT,2017-07-02_2d_NNxNN_06
660,dark2_60,-0.080369949,WT,2017-07-02_2d_NNxNN_06
690,dark2_90,-0.045176114,WT,2017-07-02_2d_NNxNN_06
720,dark2_120,-0.022932801,WT,2017-07-02_2d_NNxNN_06
750,top395_30,0.167149016,WT,2017-07-02_2d_NNxNN_06
780,top395_60,0.076733001,WT,2017-07-02_2d_NNxNN_06
810,top395_90,-0.010174205,WT,2017-07-02_2d_NNxNN_06
840,top395_120,-0.08330379,WT,2017-07-02_2d_NNxNN_06
180,dark_180,0.116812617,WT,2017-07-02_2d_NNxNN_07
210,dark_210,0.079450184,WT,2017-07-02_2d_NNxNN_07
240,dark_240,0.092268884,WT,2017-07-02_2d_NNxNN_07
270,sideUV_30,-0.044136151,WT,2017-07-02_2d_NNxNN_07
300,sideUV_60,-0.042495118,WT,2017-07-02_2d_NNxNN_07
330,sideUV_90,-0.090324589,WT,2017-07-02_2d_NNxNN_07
360,sideUV_120,-0.058388705,WT,2017-07-02_2d_NNxNN_07
390,dark1_30,-0.105747891,WT,2017-07-02_2d_NNxNN_07
420,dark1_60,-0.069049704,WT,2017-07-02_2d_NNxNN_07
450,dark1_90,-0.057757415,WT,2017-07-02_2d_NNxNN_07
480,dark1_120,-0.064126323,WT,2017-07-02_2d_NNxNN_07
510,top488_30,0.377305573,WT,2017-07-02_2d_NNxNN_07
540,top488_60,0.333601014,WT,2017-07-02_2d_NNxNN_07
570,top488_90,0.29469460200000003,WT,2017-07-02_2d_NNxNN_07
600,top488_120,0.234318024,WT,2017-07-02_2d_NNxNN_07
630,dark2_30,-0.192616158,WT,2017-07-02_2d_NNxNN_07
660,dark2_60,-0.231620669,WT,2017-07-02_2d_NNxNN_07
690,dark2_90,-0.203468667,WT,2017-07-02_2d_NNxNN_07
720,dark2_120,-0.135715221,WT,2017-07-02_2d_NNxNN_07
750,top395_30,0.240162063,WT,2017-07-02_2d_NNxNN_07
780,top395_60,0.149615575,WT,2017-07-02_2d_NNxNN_07
810,top395_90,0.078857409,WT,2017-07-02_2d_NNxNN_07
840,top395_120,-3.73813e-4,WT,2017-07-02_2d_NNxNN_07
180,dark_180,-0.047776772,WT,2017-07-02_2d_NNxNN_08
210,dark_210,-0.043287647,WT,2017-07-02_2d_NNxNN_08
240,dark_240,-0.03496315,WT,2017-07-02_2d_NNxNN_08
270,sideUV_30,-0.138308716,WT,2017-07-02_2d_NNxNN_08
300,sideUV_60,-0.18149728,WT,2017-07-02_2d_NNxNN_08
330,sideUV_90,-0.211589879,WT,2017-07-02_2d_NNxNN_08
360,sideUV_120,-0.159104623,WT,2017-07-02_2d_NNxNN_08
390,dark1_30,-0.149953792,WT,2017-07-02_2d_NNxNN_08
420,dark1_60,-0.030005558,WT,2017-07-02_2d_NNxNN_08
450,dark1_90,0.021261978,WT,2017-07-02_2d_NNxNN_08
480,dark1_120,0.063370059,WT,2017-07-02_2d_NNxNN_08
510,top488_30,0.441641378,WT,2017-07-02_2d_NNxNN_08
540,top488_60,0.377423016,WT,2017-07-02_2d_NNxNN_08
570,top488_90,0.310866744,WT,2017-07-02_2d_NNxNN_08
600,top488_120,0.270896424,WT,2017-07-02_2d_NNxNN_08
630,dark2_30,-0.305943221,WT,2017-07-02_2d_NNxNN_08
660,dark2_60,-0.323225422,WT,2017-07-02_2d_NNxNN_08
690,dark2_90,-0.14902735,WT,2017-07-02_2d_NNxNN_08
720,dark2_120,-0.055869137,WT,2017-07-02_2d_NNxNN_08
750,top395_30,0.312871537,WT,2017-07-02_2d_NNxNN_08
780,top395_60,0.274829512,WT,2017-07-02_2d_NNxNN_08
810,top395_90,0.152568347,WT,2017-07-02_2d_NNxNN_08
840,top395_120,0.066939092,WT,2017-07-02_2d_NNxNN_08
180,dark_180,-0.013081017,WT,2017-07-02_2d_NNxNN_09
210,dark_210,-0.026168945,WT,2017-07-02_2d_NNxNN_09
240,dark_240,0.005219562,WT,2017-07-02_2d_NNxNN_09
270,sideUV_30,-0.183651577,WT,2017-07-02_2d_NNxNN_09
300,sideUV_60,-0.349133112,WT,2017-07-02_2d_NNxNN_09
330,sideUV_90,-0.271746758,WT,2017-07-02_2d_NNxNN_09
360,sideUV_120,-0.151733589,WT,2017-07-02_2d_NNxNN_09
390,dark1_30,-0.172303411,WT,2017-07-02_2d_NNxNN_09
420,dark1_60,0.057228633,WT,2017-07-02_2d_NNxNN_09
450,dark1_90,0.115001785,WT,2017-07-02_2d_NNxNN_09
480,dark1_120,0.083515798,WT,2017-07-02_2d_NNxNN_09
510,top488_30,0.465560474,WT,2017-07-02_2d_NNxNN_09
540,top488_60,0.455045419,WT,2017-07-02_2d_NNxNN_09
570,top488_90,0.406968203,WT,2017-07-02_2d_NNxNN_09
600,top488_120,0.367505594,WT,2017-07-02_2d_NNxNN_09
630,dark2_30,-0.36742236,WT,2017-07-02_2d_NNxNN_09
660,dark2_60,-0.392107596,WT,2017-07-02_2d_NNxNN_09
690,dark2_90,-0.158558405,WT,2017-07-02_2d_NNxNN_09
720,dark2_120,-0.052022986,WT,2017-07-02_2d_NNxNN_09
750,top395_30,0.298011478,WT,2017-07-02_2d_NNxNN_09
780,top395_60,0.15920120200000001,WT,2017-07-02_2d_NNxNN_09
810,top395_90,0.072062123,WT,2017-07-02_2d_NNxNN_09
840,top395_120,-9.19094e-4,WT,2017-07-02_2d_NNxNN_09
180,dark_180,-0.008341584,WT,2017-07-03_2d_NNxNN_08
210,dark_210,0.034375852,WT,2017-07-03_2d_NNxNN_08
240,dark_240,0.042131848,WT,2017-07-03_2d_NNxNN_08
270,sideUV_30,0.086611902,WT,2017-07-03_2d_NNxNN_08
300,sideUV_60,0.053486425,WT,2017-07-03_2d_NNxNN_08
330,sideUV_90,-0.007045567,WT,2017-07-03_2d_NNxNN_08
360,sideUV_120,-0.049474866,WT,2017-07-03_2d_NNxNN_08
390,dark1_30,-0.017475158,WT,2017-07-03_2d_NNxNN_08
420,dark1_60,0.033931741,WT,2017-07-03_2d_NNxNN_08
450,dark1_90,0.047490984,WT,2017-07-03_2d_NNxNN_08
480,dark1_120,0.051849805,WT,2017-07-03_2d_NNxNN_08
510,top488_30,0.42750916,WT,2017-07-03_2d_NNxNN_08
540,top488_60,0.43660246,WT,2017-07-03_2d_NNxNN_08
570,top488_90,0.396277768,WT,2017-07-03_2d_NNxNN_08
600,top488_120,0.339118078,WT,2017-07-03_2d_NNxNN_08
630,dark2_30,0.037247087,WT,2017-07-03_2d_NNxNN_08
660,dark2_60,-0.021998820999999998,WT,2017-07-03_2d_NNxNN_08
690,dark2_90,0.017918733,WT,2017-07-03_2d_NNxNN_08
720,dark2_120,0.051165181,WT,2017-07-03_2d_NNxNN_08
750,top395_30,0.311815957,WT,2017-07-03_2d_NNxNN_08
780,top395_60,0.114256349,WT,2017-07-03_2d_NNxNN_08
810,top395_90,0.067293952,WT,2017-07-03_2d_NNxNN_08
840,top395_120,1.36359e-4,WT,2017-07-03_2d_NNxNN_08
180,dark_180,0.362084383,WT,2017-07-04_2d_NNxNN_03
210,dark_210,0.285003914,WT,2017-07-04_2d_NNxNN_03
240,dark_240,0.217399938,WT,2017-07-04_2d_NNxNN_03
270,sideUV_30,0.159079027,WT,2017-07-04_2d_NNxNN_03
300,sideUV_60,0.016716346,WT,2017-07-04_2d_NNxNN_03
330,sideUV_90,-0.096994945,WT,2017-07-04_2d_NNxNN_03
360,sideUV_120,-0.046270072,WT,2017-07-04_2d_NNxNN_03
390,dark1_30,-0.051604866,WT,2017-07-04_2d_NNxNN_03
420,dark1_60,0.004787673,WT,2017-07-04_2d_NNxNN_03
450,dark1_90,0.090556316,WT,2017-07-04_2d_NNxNN_03
480,dark1_120,0.077186409,WT,2017-07-04_2d_NNxNN_03
510,top488_30,0.288902412,WT,2017-07-04_2d_NNxNN_03
540,top488_60,0.277028681,WT,2017-07-04_2d_NNxNN_03
570,top488_90,0.225508636,WT,2017-07-04_2d_NNxNN_03
600,top488_120,0.177403939,WT,2017-07-04_2d_NNxNN_03
630,dark2_30,-0.00849075,WT,2017-07-04_2d_NNxNN_03
660,dark2_60,-0.040124488,WT,2017-07-04_2d_NNxNN_03
690,dark2_90,-0.005169912,WT,2017-07-04_2d_NNxNN_03
720,dark2_120,0.036947606,WT,2017-07-04_2d_NNxNN_03
750,top395_30,0.14137108,WT,2017-07-04_2d_NNxNN_03
780,top395_60,0.011681387,WT,2017-07-04_2d_NNxNN_03
810,top395_90,-0.108365897,WT,2017-07-04_2d_NNxNN_03
840,top395_120,-0.073834297,WT,2017-07-04_2d_NNxNN_03
180,dark_180,-0.126875819,WT,2017-07-05_2d_NNxNN_01
210,dark_210,-0.105930378,WT,2017-07-05_2d_NNxNN_01
240,dark_240,-0.072817906,WT,2017-07-05_2d_NNxNN_01
270,sideUV_30,0.00379758,WT,2017-07-05_2d_NNxNN_01
300,sideUV_60,0.045963718,WT,2017-07-05_2d_NNxNN_01
330,sideUV_90,-0.041230255,WT,2017-07-05_2d_NNxNN_01
360,sideUV_120,-0.064891086,WT,2017-07-05_2d_NNxNN_01
390,dark1_30,-0.107393508,WT,2017-07-05_2d_NNxNN_01
420,dark1_60,-0.083996137,WT,2017-07-05_2d_NNxNN_01
450,dark1_90,-0.060497027,WT,2017-07-05_2d_NNxNN_01
480,dark1_120,-0.041517086,WT,2017-07-05_2d_NNxNN_01
510,top488_30,0.444426632,WT,2017-07-05_2d_NNxNN_01
540,top488_60,0.46534021,WT,2017-07-05_2d_NNxNN_01
570,top488_90,0.401140804,WT,2017-07-05_2d_NNxNN_01
600,top488_120,0.308715853,WT,2017-07-05_2d_NNxNN_01
630,dark2_30,-0.174660777,WT,2017-07-05_2d_NNxNN_01
660,dark2_60,-0.155501957,WT,2017-07-05_2d_NNxNN_01
690,dark2_90,-0.085299977,WT,2017-07-05_2d_NNxNN_01
720,dark2_120,-0.041846889,WT,2017-07-05_2d_NNxNN_01
750,top395_30,0.212697682,WT,2017-07-05_2d_NNxNN_01
780,top395_60,0.248011431,WT,2017-07-05_2d_NNxNN_01
810,top395_90,0.153290442,WT,2017-07-05_2d_NNxNN_01
840,top395_120,0.050777387,WT,2017-07-05_2d_NNxNN_01
180,dark_180,0.289417031,WT,2017-07-05_2d_NNxNN_02
210,dark_210,0.236455018,WT,2017-07-05_2d_NNxNN_02
240,dark_240,0.222895982,WT,2017-07-05_2d_NNxNN_02
270,sideUV_30,-0.005087915,WT,2017-07-05_2d_NNxNN_02
300,sideUV_60,0.111204842,WT,2017-07-05_2d_NNxNN_02
330,sideUV_90,0.160456082,WT,2017-07-05_2d_NNxNN_02
360,sideUV_120,0.139215352,WT,2017-07-05_2d_NNxNN_02
390,dark1_30,0.02370978,WT,2017-07-05_2d_NNxNN_02
420,dark1_60,0.078464055,WT,2017-07-05_2d_NNxNN_02
450,dark1_90,0.07893909,WT,2017-07-05_2d_NNxNN_02
480,dark1_120,-0.011522165,WT,2017-07-05_2d_NNxNN_02
510,top488_30,0.42674541,WT,2017-07-05_2d_NNxNN_02
540,top488_60,0.39688023100000003,WT,2017-07-05_2d_NNxNN_02
570,top488_90,0.321015854,WT,2017-07-05_2d_NNxNN_02
600,top488_120,0.223224095,WT,2017-07-05_2d_NNxNN_02
630,dark2_30,-0.412449499,WT,2017-07-05_2d_NNxNN_02
660,dark2_60,-0.426246026,WT,2017-07-05_2d_NNxNN_02
690,dark2_90,-0.310799636,WT,2017-07-05_2d_NNxNN_02
720,dark2_120,-0.258878992,WT,2017-07-05_2d_NNxNN_02
750,top395_30,0.258745372,WT,2017-07-05_2d_NNxNN_02
780,top395_60,0.154728922,WT,2017-07-05_2d_NNxNN_02
810,top395_90,0.06017796,WT,2017-07-05_2d_NNxNN_02
840,top395_120,-0.010122228,WT,2017-07-05_2d_NNxNN_02
180,dark_180,0.134745538,WT,...14
210,dark_210,0.116712424,WT,...14
240,dark_240,0.102031485,WT,...14
270,sideUV_30,-0.034093095,WT,...14
300,sideUV_60,-0.046483593,WT,...14
330,sideUV_90,-0.072928283,WT,...14
360,sideUV_120,-0.065433501,WT,...14
390,dark1_30,-0.08442076,WT,...14
420,dark1_60,-0.011347974,WT,...14
450,dark1_90,0.01757533,WT,...14
480,dark1_120,0.008873165,WT,...14
510,top488_30,0.370125536,WT,...14
540,top488_60,0.37115154,WT,...14
570,top488_90,0.318085032,WT,...14
600,top488_120,0.258272634,WT,...14
630,dark2_30,-0.174329014,WT,...14
660,dark2_60,-0.184545163,WT,...14
690,dark2_90,-0.104087705,WT,...14
720,dark2_120,-0.070138209000000007,WT,...14
750,top395_30,0.241509214,WT,...14
780,top395_60,0.148946864,WT,...14
810,top395_90,0.054801661,WT,...14
840,top395_120,-0.025614641,WT,...14
180,dark_180,-0.117039571,NOS11x11,2017-06-22_2d_nnxnn_02
210,dark_210,-0.093499546,NOS11x11,2017-06-22_2d_nnxnn_02
240,dark_240,-0.022284806,NOS11x11,2017-06-22_2d_nnxnn_02
270,sideUV_30,0.003109442,NOS11x11,2017-06-22_2d_nnxnn_02
300,sideUV_60,0.004159651,NOS11x11,2017-06-22_2d_nnxnn_02
330,sideUV_90,-0.002609623,NOS11x11,2017-06-22_2d_nnxnn_02
360,sideUV_120,0.017375618,NOS11x11,2017-06-22_2d_nnxnn_02
390,dark1_30,0.007213489,NOS11x11,2017-06-22_2d_nnxnn_02
420,dark1_60,-0.004216236,NOS11x11,2017-06-22_2d_nnxnn_02
450,dark1_90,0.01755517,NOS11x11,2017-06-22_2d_nnxnn_02
480,dark1_120,0.040222318,NOS11x11,2017-06-22_2d_nnxnn_02
510,top488_30,0.458622053,NOS11x11,2017-06-22_2d_nnxnn_02
540,top488_60,0.414811004,NOS11x11,2017-06-22_2d_nnxnn_02
570,top488_90,0.388073346,NOS11x11,2017-06-22_2d_nnxnn_02
600,top488_120,0.32456016,NOS11x11,2017-06-22_2d_nnxnn_02
630,dark2_30,0.034685333,NOS11x11,2017-06-22_2d_nnxnn_02
660,dark2_60,0.010299169,NOS11x11,2017-06-22_2d_nnxnn_02
690,dark2_90,-0.01240463,NOS11x11,2017-06-22_2d_nnxnn_02
720,dark2_120,0.015219198,NOS11x11,2017-06-22_2d_nnxnn_02
750,top395_30,0.353932476,NOS11x11,2017-06-22_2d_nnxnn_02
780,top395_60,0.246059949,NOS11x11,2017-06-22_2d_nnxnn_02
810,top395_90,0.146460588,NOS11x11,2017-06-22_2d_nnxnn_02
840,top395_120,0.048967319,NOS11x11,2017-06-22_2d_nnxnn_02
180,dark_180,0.012935203,NOS11x11,2017-06-29_2d_nnxnn_00
210,dark_210,0.006429093,NOS11x11,2017-06-29_2d_nnxnn_00
240,dark_240,-0.036568242,NOS11x11,2017-06-29_2d_nnxnn_00
270,sideUV_30,-0.053348495,NOS11x11,2017-06-29_2d_nnxnn_00
300,sideUV_60,-0.031076978,NOS11x11,2017-06-29_2d_nnxnn_00
330,sideUV_90,-0.063737263,NOS11x11,2017-06-29_2d_nnxnn_00
360,sideUV_120,-0.075051638,NOS11x11,2017-06-29_2d_nnxnn_00
390,dark1_30,-0.077935979,NOS11x11,2017-06-29_2d_nnxnn_00
420,dark1_60,-0.071899477,NOS11x11,2017-06-29_2d_nnxnn_00
450,dark1_90,-0.055130605,NOS11x11,2017-06-29_2d_nnxnn_00
480,dark1_120,-0.046205539,NOS11x11,2017-06-29_2d_nnxnn_00
510,top488_30,0.091177546,NOS11x11,2017-06-29_2d_nnxnn_00
540,top488_60,0.137142997,NOS11x11,2017-06-29_2d_nnxnn_00
570,top488_90,0.130569167,NOS11x11,2017-06-29_2d_nnxnn_00
600,top488_120,0.123556085,NOS11x11,2017-06-29_2d_nnxnn_00
