expression,solution,cell,time,intensity
GcG-mutNIT1,SNAP,A,0.26345,1.008682041
GcG-mutNIT1,SNAP,A,0.5266,0.993883444
GcG-mutNIT1,SNAP,A,0.78975,0.997438285
GcG-mutNIT1,SNAP,A,1.0529,0.993061888
GcG-mutNIT1,SNAP,A,1.31605,0.991134794
GcG-mutNIT1,SNAP,A,1.5792,0.996952613
GcG-mutNIT1,SNAP,A,1.84235,1.002575914
GcG-mutNIT1,SNAP,A,2.1055,1.016271021
GcG-mutNIT1,SNAP,A,2.36865,1.001621757
GcG-mutNIT1,SNAP,A,2.6318,0.987659855
GcG-mutNIT1,SNAP,A,2.89495,0.972525829
GcG-mutNIT1,SNAP,A,3.1581,0.966730546
GcG-mutNIT1,SNAP,A,3.42125,0.967402884
GcG-mutNIT1,SNAP,A,3.6844,0.957337284
GcG-mutNIT1,SNAP,A,3.94755,0.958964689
GcG-mutNIT1,SNAP,A,4.2107,0.958951144
GcG-mutNIT1,SNAP,A,4.47385,0.950682998
GcG-mutNIT1,SNAP,A,4.737,0.957827736
GcG-mutNIT1,SNAP,A,5.00015,0.948636961
GcG-mutNIT1,SNAP,A,5.2633,0.947631243
GcG-mutNIT1,SNAP,A,5.52645,0.960661638
GcG-mutNIT1,SNAP,A,5.7896,0.962430409
GcG-mutNIT1,SNAP,A,6.05275,0.951944015
GcG-mutNIT1,SNAP,A,6.3159,0.954555853
GcG-mutNIT1,SNAP,A,6.57905,0.954802616
GcG-mutNIT1,SNAP,A,6.8422,0.956153209
GcG-mutNIT1,SNAP,A,7.10535,0.957074814
GcG-mutNIT1,SNAP,A,7.3685,0.955142028
GcG-mutNIT1,SNAP,A,7.63165,0.962293938
GcG-mutNIT1,SNAP,A,7.8948,0.965371074
GcG-mutNIT1,SNAP,A,8.15795,0.96609133
GcG-mutNIT1,SNAP,A,8.4211,0.978737354
GcG-mutNIT1,SNAP,A,8.68425,0.970970586
GcG-mutNIT1,SNAP,A,8.9474,0.988931457
