frame,genotype,sample,intensity
4,WT_Ser-h1,23,0.998532336
4,WT_Ser-h1,24,1.42444876
4,WT_Ser-h1,25,1.221901286
4,NOS11_Ser-h1,26,0.890630506
4,NOS11_Ser-h1,27,0.909279243
4,NOS11_Ser-h1,28,1.002773125
4,NOS11_Ser-h1,29,1.072937041
4,NOS11_Ser-h1,30,0.979590604
4,NOS11_Ser-h1,31,0.999761302
4,NOS11_Ser-h1,32,1.01820633
4,NOS11_Ser-h1,33,1.199701567
4,NOS11_Ser-h1,34,0.996479459
4,NOS11_Ser-h1,35,0.91018174
4,NOS11_Ser-h1,36,1.05955711
4,NOS11_Ser-h1,37,1.278397817
4,NOS11_Ser-h1,38,0.969042977
4,NOS11_Ser-h1,39,0.966093183
5,WT_Ser-h1,2,1.01035398
5,WT_Ser-h1,3,0.908040842
5,WT_Ser-h1,4,0.951568661
5,WT_Ser-h1,5,1.007227552
5,WT_Ser-h1,6,1.15373635
5,WT_Ser-h1,7,0.979587792
5,WT_Ser-h1,8,0.774570983
5,WT_Ser-h1,9,0.772406193
5,WT_Ser-h1,10,1.534855086
5,WT_Ser-h1,11,1.601129662
5,WT_Ser-h1,12,1.526116149
5,WT_Ser-h1,13,0.991034025
5,WT_Ser-h1,14,0.839723224
5,WT_Ser-h1,15,0.837849104
5,WT_Ser-h1,16,0.979719012
5,WT_Ser-h1,17,0.561941076
5,WT_Ser-h1,18,0.987732355
5,WT_Ser-h1,19,0.898604075
5,WT_Ser-h1,20,0.87170545
5,WT_Ser-h1,21,1.075129423
5,WT_Ser-h1,22,1.088502537
5,WT_Ser-h1,23,1.003503456
5,WT_Ser-h1,24,1.392288358
5,WT_Ser-h1,25,1.23720288
5,NOS11_Ser-h1,26,0.892733328
5,NOS11_Ser-h1,27,0.933397236
5,NOS11_Ser-h1,28,0.998270229
5,NOS11_Ser-h1,29,1.064716387
5,NOS11_Ser-h1,30,0.972103134
5,NOS11_Ser-h1,31,0.988208335
5,NOS11_Ser-h1,32,1.021681859
5,NOS11_Ser-h1,33,1.177638825
5,NOS11_Ser-h1,34,0.988107778
5,NOS11_Ser-h1,35,0.915304967
