frame,morphant,sample,intensity
4,NIT2-MO1,11,1.002912
4,NIT2-MO1,12,1.0064092
4,NIT2-MO1,13,1.0284643
4,NIT2-MO1,14,1.0653066
4,NIT2-MO1,15,1.0409662
4,NIT2-MO1,16,1.0230377
4,NIT2-MO1,17,1.0683708
4,NIT2-MO1,18,1.0136604
4,NIT2-MO1,19,1.0447792
4,NIT2-MO1,20,1.0482831
4,NIT2-MO1,21,1.031477
4,NIT2-MO1,22,1.1010335
4,NIT2-MO2,23,0.9913078
4,NIT2-MO2,24,1.076419
4,NIT2-MO2,25,0.9221012
4,NIT2-MO2,26,0.9818408
4,NIT2-MO2,27,0.9517085
4,NIT2-MO2,28,1.0324071
4,NIT2-MO2,29,1.1478927
4,NIT2-MO2,30,1.0568782
4,NIT2-MO2,31,1.121507
4,NIT2-MO2,32,1.1317484
4,NIT2-MO2,33,0.9296335
4,NIT2-MO2,34,0.7933684
4,NIT2-MO2,35,0.9309814
4,NIT2-MO2,36,0.9655589
4,NIT2-MO2,37,1.0105154
4,NIT2-MO2,38,0.9723983
4,NIT2-MO2,39,1.0587778
4,NIT2-MO2,40,1.0697066
4,NIT2-MO2,41,0.9677011
4,NIT2-MO2,42,1.0732181
4,NIT2-MO2,43,1.0150795
4,NIT2-MO2,44,1.08709
4,NIT2-MO2,45,1.094284
4,NIT2-MO2,46,1.0354473
4,NIT2-MO2,47,1.1468449
4,NIT2-MO2,48,1.1480348
4,NIT2-MO2,49,1.083918
4,NIT2-MO2,50,1.057738
4,NIT2-MO2,51,1.0127462
4,NIT2-MO2,52,1.0277672
4,NIT2-MO2,53,1.0178489
4,NIT2-MO2,54,0.9531151
5,NIT2-MO1,2,1.051942
5,NIT2-MO1,3,1.0042509
5,NIT2-MO1,4,1.0404077
5,NIT2-MO1,5,1.0435132
5,NIT2-MO1,6,1.0844713
5,NIT2-MO1,7,0.9554126
5,NIT2-MO1,8,1.0224313
5,NIT2-MO1,9,1.018412
5,NIT2-MO1,10,0.9844846
5,NIT2-MO1,11,1.0062962
5,NIT2-MO1,12,1.0162411
5,NIT2-MO1,13,1.023708
5,NIT2-MO1,14,1.0743759
5,NIT2-MO1,15,1.030811
5,NIT2-MO1,16,1.0132262
5,NIT2-MO1,17,1.059573
5,NIT2-MO1,18,1.003578
5,NIT2-MO1,19,1.0442626
5,NIT2-MO1,20,1.0306286
5,NIT2-MO1,21,1.0290018
5,NIT2-MO1,22,1.0983764
5,NIT2-MO2,23,0.996499
5,NIT2-MO2,24,1.072636
5,NIT2-MO2,25,0.9132331
5,NIT2-MO2,26,0.9749763
5,NIT2-MO2,27,0.9824236
5,NIT2-MO2,28,1.0599064
5,NIT2-MO2,29,1.1412151
5,NIT2-MO2,30,1.0410245
5,NIT2-MO2,31,1.1360404
5,NIT2-MO2,32,1.1484254
5,NIT2-MO2,33,0.9099927
5,NIT2-MO2,34,0.7961705
5,NIT2-MO2,35,0.9267684
5,NIT2-MO2,36,0.9670421
5,NIT2-MO2,37,1.0207779
5,NIT2-MO2,38,0.9858746
5,NIT2-MO2,39,1.0648262
5,NIT2-MO2,40,1.0675987
5,NIT2-MO2,41,0.9639757
5,NIT2-MO2,42,1.0701878
5,NIT2-MO2,43,1.0299403
5,NIT2-MO2,44,1.0912887
5,NIT2-MO2,45,1.0792156
5,NIT2-MO2,46,1.055741
5,NIT2-MO2,47,1.1388376
5,NIT2-MO2,48,1.1453107
5,NIT2-MO2,49,1.0805883
5,NIT2-MO2,50,1.0387808
5,NIT2-MO2,51,1.0064922
5,NIT2-MO2,52,1.0093565
5,NIT2-MO2,53,1.0261151
5,NIT2-MO2,54,0.9627963
6,NIT2-MO1,2,1.0545449
6,NIT2-MO1,3,1.0095818
6,NIT2-MO1,4,1.0395394
6,NIT2-MO1,5,1.043484
6,NIT2-MO1,6,1.0799931
6,NIT2-MO1,7,0.9684534
6,NIT2-MO1,8,1.0322766
6,NIT2-MO1,9,1.0186989
6,NIT2-MO1,10,0.9886047
6,NIT2-MO1,11,1.0212498
6,NIT2-MO1,12,1.0033053
6,NIT2-MO1,13,1.0385653
6,NIT2-MO1,14,1.1113625
6,NIT2-MO1,15,1.037443
6,NIT2-MO1,16,1.0106083
6,NIT2-MO1,17,1.0635696
6,NIT2-MO1,18,1.0138466
6,NIT2-MO1,19,1.0408737
6,NIT2-MO1,20,1.0250267
6,NIT2-MO1,21,1.0244748
6,NIT2-MO1,22,1.08752
6,NIT2-MO2,23,1.0017807
