frame,MO,sample,intensity
6,NIT2MO2_RGW,22,0.95307622
6,NIT2MO2_RGW,23,0.83625129
6,NIT2MO2_RGW,24,1.0527943
6,NIT2MO2_RGW,25,1.14037705
6,NIT2MO2_RGW,26,0.82951367
7,NIT2MO1_RGW,2,1.016392845
7,NIT2MO1_RGW,3,0.86810827
7,NIT2MO1_RGW,4,0.797575451
7,NIT2MO1_RGW,5,1.027256972
7,NIT2MO1_RGW,6,0.988088936
7,NIT2MO1_RGW,7,0.952267106
7,NIT2MO1_RGW,8,0.946723125
7,NIT2MO1_RGW,9,1.06688452
7,NIT2MO1_RGW,10,0.98319935
7,NIT2MO1_RGW,11,0.971076593
7,NIT2MO1_RGW,12,0.998125797
7,NIT2MO1_RGW,13,0.953107155
7,NIT2MO1_RGW,14,1.004156702
7,NIT2MO2_RGW,15,1.0929614
7,NIT2MO2_RGW,16,1.00390642
7,NIT2MO2_RGW,17,0.76708831
7,NIT2MO2_RGW,18,0.91468949
7,NIT2MO2_RGW,19,1.02567034
7,NIT2MO2_RGW,20,0.97479789
7,NIT2MO2_RGW,21,1.01344985
7,NIT2MO2_RGW,22,0.96147842
7,NIT2MO2_RGW,23,0.82708758
7,NIT2MO2_RGW,24,1.04552147
7,NIT2MO2_RGW,25,1.12561599
7,NIT2MO2_RGW,26,0.82046998
8,NIT2MO1_RGW,2,1.03056355
8,NIT2MO1_RGW,3,0.893377946
8,NIT2MO1_RGW,4,0.777699204
8,NIT2MO1_RGW,5,0.98198624
8,NIT2MO1_RGW,6,1.007058408
8,NIT2MO1_RGW,7,0.961129431
8,NIT2MO1_RGW,8,0.925425014
8,NIT2MO1_RGW,9,1.058820429
8,NIT2MO1_RGW,10,0.983109024
8,NIT2MO1_RGW,11,0.983770755
8,NIT2MO1_RGW,12,0.976984781
8,NIT2MO1_RGW,13,0.9665435
8,NIT2MO1_RGW,14,1.015943514
8,NIT2MO2_RGW,15,1.1202428
8,NIT2MO2_RGW,16,0.97159356
8,NIT2MO2_RGW,17,0.77318884
8,NIT2MO2_RGW,18,0.90804983
8,NIT2MO2_RGW,19,1.00084231
8,NIT2MO2_RGW,20,0.9773723
8,NIT2MO2_RGW,21,1.04430941
