frame,genotype,sample,intensity
1,WT_cPRC,2,0.940629
1,WT_cPRC,3,1.106611
1,WT_cPRC,4,0.958303
1,WT_cPRC,5,0.878578
1,WT_cPRC,6,1.205258
1,WT_cPRC,7,0.966184
1,WT_cPRC,8,0.843395
1,WT_cPRC,9,1.058797
1,NOS23_cPRC,10,0.946812
1,NOS23_cPRC,11,1.012297
1,NOS23_cPRC,12,1.002627
1,NOS23_cPRC,13,1.022974
1,NOS23_cPRC,14,1.044918
1,NOS23_cPRC,15,1.104393
1,NOS23_cPRC,16,1.118966
1,NOS23_cPRC,17,1.168485
1,NOS23_cPRC,18,1.123183
1,NOS23_cPRC,19,1.004169
1,NOS23_cPRC,20,1.033745
1,NOS23_cPRC,21,0.999145
1,NOS23_cPRC,22,1.02573
1,NOS23_cPRC,23,0.94294
1,NOS23_cPRC,24,1.036058
2,WT_cPRC,2,0.957996
2,WT_cPRC,3,1.124461
2,WT_cPRC,4,0.952535
2,WT_cPRC,5,0.905266
2,WT_cPRC,6,1.214131
2,WT_cPRC,7,0.971247
2,WT_cPRC,8,0.84131
2,WT_cPRC,9,1.057302
2,NOS23_cPRC,10,0.948957
2,NOS23_cPRC,11,1.029765
2,NOS23_cPRC,12,0.987403
2,NOS23_cPRC,13,1.022141
2,NOS23_cPRC,14,1.087944
2,NOS23_cPRC,15,1.10327
2,NOS23_cPRC,16,1.135639
2,NOS23_cPRC,17,1.152524
2,NOS23_cPRC,18,1.151778
2,NOS23_cPRC,19,1.003387
2,NOS23_cPRC,20,1.036899
2,NOS23_cPRC,21,1.00909
2,NOS23_cPRC,22,1.037447
2,NOS23_cPRC,23,0.930057
2,NOS23_cPRC,24,1.041369
3,WT_cPRC,2,0.956087
3,WT_cPRC,3,1.106124
3,WT_cPRC,4,0.946893
3,WT_cPRC,5,0.938031
3,WT_cPRC,6,1.224486
3,WT_cPRC,7,0.965638
3,WT_cPRC,8,0.836405
3,WT_cPRC,9,1.065742
3,NOS23_cPRC,10,0.964035
3,NOS23_cPRC,11,1.035938
3,NOS23_cPRC,12,1.005172
3,NOS23_cPRC,13,1.013754
3,NOS23_cPRC,14,1.096601
3,NOS23_cPRC,15,1.092056
3,NOS23_cPRC,16,1.14153
3,NOS23_cPRC,17,1.152463
3,NOS23_cPRC,18,1.18697
3,NOS23_cPRC,19,1.004169
3,NOS23_cPRC,20,1.041312
3,NOS23_cPRC,21,1.005846
3,NOS23_cPRC,22,1.038027
3,NOS23_cPRC,23,0.92232
3,NOS23_cPRC,24,1.034313
4,WT_cPRC,2,0.952995
4,WT_cPRC,3,1.107681
4,WT_cPRC,4,0.94128
4,WT_cPRC,5,0.963133
4,WT_cPRC,6,1.220395
4,WT_cPRC,7,0.960851
4,WT_cPRC,8,0.842435
4,WT_cPRC,9,1.0847
4,NOS23_cPRC,10,0.961066
4,NOS23_cPRC,11,1.022203
4,NOS23_cPRC,12,0.982947
4,NOS23_cPRC,13,1.024265
4,NOS23_cPRC,14,1.08517
4,NOS23_cPRC,15,1.096687
4,NOS23_cPRC,16,1.13329
4,NOS23_cPRC,17,1.148709
4,NOS23_cPRC,18,1.197894
4,NOS23_cPRC,19,0.99782
4,NOS23_cPRC,20,1.046072
4,NOS23_cPRC,21,1.001478
4,NOS23_cPRC,22,1.035516
4,NOS23_cPRC,23,0.91729
4,NOS23_cPRC,24,1.023169
5,WT_cPRC,2,0.944292
5,WT_cPRC,3,1.0832870000000001
5,WT_cPRC,4,0.93803
5,WT_cPRC,5,0.971091
5,WT_cPRC,6,1.22168
5,WT_cPRC,7,0.969625
5,WT_cPRC,8,0.845474
5,WT_cPRC,9,1.09316
5,NOS23_cPRC,10,0.984313
5,NOS23_cPRC,11,1.038899
5,NOS23_cPRC,12,0.974957
5,NOS23_cPRC,13,1.039176
5,NOS23_cPRC,14,1.08783
5,NOS23_cPRC,15,1.085282
5,NOS23_cPRC,16,1.143654
5,NOS23_cPRC,17,1.16551
5,NOS23_cPRC,18,1.23737
5,NOS23_cPRC,19,1.002338
5,NOS23_cPRC,20,1.052675
5,NOS23_cPRC,21,0.997184
5,NOS23_cPRC,22,1.016757
5,NOS23_cPRC,23,0.917996
5,NOS23_cPRC,24,1.02445
6,WT_cPRC,2,0.925245
6,WT_cPRC,3,1.076413
6,WT_cPRC,4,0.939066
6,WT_cPRC,5,1.027235
6,WT_cPRC,6,1.229919
6,WT_cPRC,7,0.96876
6,WT_cPRC,8,0.842703
6,WT_cPRC,9,1.084852
6,NOS23_cPRC,10,0.987232
6,NOS23_cPRC,11,1.055758
6,NOS23_cPRC,12,0.977048
6,NOS23_cPRC,13,1.038253
6,NOS23_cPRC,14,1.07829
6,NOS23_cPRC,15,1.087468
6,NOS23_cPRC,16,1.120435
6,NOS23_cPRC,17,1.167995
6,NOS23_cPRC,18,1.260554
6,NOS23_cPRC,19,1.00035
6,NOS23_cPRC,20,1.073494
6,NOS23_cPRC,21,0.997537
6,NOS23_cPRC,22,1.003502
6,NOS23_cPRC,23,0.919324
6,NOS23_cPRC,24,1.033944
