Genotype,Batch,Condition,Track ID,mean_speed,genotype_label
WT,0701_11,dark,0701_11_ID109,0.9144151094,WT
WT,0701_11,dark,0701_11_ID169,0.5268653330999999,WT
WT,0701_11,dark,0701_11_ID186,1.199173869,WT
WT,0701_11,dark,0701_11_ID191,0.7228948493,WT
WT,0701_11,dark,0701_11_ID227,0.9530865876,WT
WT,0701_11,dark,0701_11_ID249,0.8576729688,WT
WT,0701_11,dark,0701_11_ID269,1.0265936402,WT
WT,0701_11,dark,0701_11_ID318,1.0171018953,WT
WT,0701_11,dark,0701_11_ID342,0.8417383611,WT
WT,0701_12,dark,0701_12_ID104,0.9188125442,WT
WT,0701_12,dark,0701_12_ID106,0.7412118408,WT
WT,0701_12,dark,0701_12_ID130,0.8086271638,WT
WT,0701_12,dark,0701_12_ID143,0.8939510616,WT
WT,0701_12,dark,0701_12_ID150,0.6413239179,WT
WT,0701_12,dark,0701_12_ID159,0.8156633066,WT
WT,0701_12,dark,0701_12_ID167,0.8771646292,WT
WT,0701_12,dark,0701_12_ID173,0.7563574559,WT
WT,0701_12,dark,0701_12_ID58,1.1456804292,WT
WT,0701_12,dark,0701_12_ID67,0.7812645769,WT
WT,0702_06,dark,0702_06_ID273,0.7812299404,WT
WT,0702_06,dark,0702_06_ID323,0.6644245351,WT
WT,0702_06,dark,0702_06_ID368,1.156946546,WT
WT,0702_06,dark,0702_06_ID380,0.909108047,WT
WT,0702_07,dark,0702_07_ID166,0.7613759845,WT
WT,0702_07,dark,0702_07_ID233,0.9701857158,WT
WT,0702_07,dark,0702_07_ID33,0.9685231664,WT
WT,0702_07,dark,0702_07_ID39,1.140052139,WT
WT,0702_07,dark,0702_07_ID56,0.7571223489,WT
WT,0702_07,dark,0702_07_ID79,0.7441667255,WT
WT,0702_07,dark,0702_07_ID99,1.3550092704,WT
WT,0702_08,dark,0702_08_ID349,1.2703054699,WT
WT,0702_08,dark,0702_08_ID63,0.8662685617,WT
WT,0702_09,dark,0702_09_ID270,0.9212882987,WT
WT,0703_08,dark,0703_08_ID220,1.1858529104,WT
WT,0704_03,dark,0704_03_ID324,0.6893814914,WT
WT,0705_01,dark,0705_01_ID12,1.3749777861,WT
WT,0705_01,dark,0705_01_ID149,1.4028911532,WT
NOS23x23,0623_04,dark,0623_04_ID214,0.9147530207,NOS^'Δ23/Δ23'
NOS23x23,0623_04,dark,0623_04_ID430,0.7285981403,NOS^'Δ23/Δ23'
NOS23x23,0623_04,dark,0623_04_ID438,0.744448442,NOS^'Δ23/Δ23'
NOS23x23,0627_01,dark,0627_01_ID164,0.7222163764,NOS^'Δ23/Δ23'
NOS23x23,0627_01,dark,0627_01_ID166,0.9871741383,NOS^'Δ23/Δ23'
NOS23x23,0627_01,dark,0627_01_ID169,0.899692956,NOS^'Δ23/Δ23'
NOS23x23,0627_01,dark,0627_01_ID206,0.9968938733,NOS^'Δ23/Δ23'
NOS23x23,0627_01,dark,0627_01_ID95,0.7590967389,NOS^'Δ23/Δ23'
NOS11x11,0622_02,dark,0622_02_ID251,1.9248126613,NOS^'Δ11/Δ11'
NOS11x11,0622_02,dark,0622_02_ID35,1.2924328114,NOS^'Δ11/Δ11'
NOS11x11,0629_00,dark,0629_00_ID102,1.1700153511,NOS^'Δ11/Δ11'
NOS11x11,0629_00,dark,0629_00_ID179,0.9530685521,NOS^'Δ11/Δ11'
NOS11x11,0629_00,dark,0629_00_ID216,0.9818393652,NOS^'Δ11/Δ11'
NOS11x11,0629_00,dark,0629_00_ID371,0.7695936821,NOS^'Δ11/Δ11'
NOS11x11,0630_02,dark,0630_02_ID118,0.7801861978,NOS^'Δ11/Δ11'
NOS11x11,0630_02,dark,0630_02_ID130,1.8866861303,NOS^'Δ11/Δ11'
NOS11x11,0630_02,dark,0630_02_ID165,1.3324394234,NOS^'Δ11/Δ11'
NOS11x11,0703_04,dark,0703_04_ID119,1.6626099633,NOS^'Δ11/Δ11'
NOS11x11,0703_04,dark,0703_04_ID150,1.3729018714,NOS^'Δ11/Δ11'
NOS11x11,0703_04,dark,0703_04_ID156,1.8753982307000001,NOS^'Δ11/Δ11'
NOS11x11,0703_04,dark,0703_04_ID164,1.4470870563,NOS^'Δ11/Δ11'
NOS11x11,0703_04,dark,0703_04_ID226,0.7988643886,NOS^'Δ11/Δ11'
NOS11x11,0703_04,dark,0703_04_ID261,0.681836916,NOS^'Δ11/Δ11'
NOS11x11,0703_04,dark,0703_04_ID316,0.7279247682,NOS^'Δ11/Δ11'
NOS11x11,0703_04,dark,0703_04_ID7,1.1893854866,NOS^'Δ11/Δ11'
NOS11x11,0703_04,dark,0703_04_ID84,0.8897795377,NOS^'Δ11/Δ11'
WT,0701_11,sideUV,0701_11_ID109,1.369575012,WT
WT,0701_11,sideUV,0701_11_ID169,0.7683850453,WT
WT,0701_11,sideUV,0701_11_ID186,1.3936649952,WT
WT,0701_11,sideUV,0701_11_ID191,1.5159810942,WT
WT,0701_11,sideUV,0701_11_ID227,1.1666812774,WT
WT,0701_11,sideUV,0701_11_ID249,1.1694668761,WT
WT,0701_11,sideUV,0701_11_ID269,1.136428931,WT
WT,0701_11,sideUV,0701_11_ID318,0.8484867878,WT
WT,0701_11,sideUV,0701_11_ID342,1.0110061979,WT
WT,0701_12,sideUV,0701_12_ID104,0.9110291136,WT
WT,0701_12,sideUV,0701_12_ID106,0.8469292506,WT
WT,0701_12,sideUV,0701_12_ID130,1.2073848949000001,WT
WT,0701_12,sideUV,0701_12_ID143,2.1288070766,WT
WT,0701_12,sideUV,0701_12_ID150,0.9438636667,WT
WT,0701_12,sideUV,0701_12_ID159,1.0006047828,WT
WT,0701_12,sideUV,0701_12_ID167,1.4818838527,WT
WT,0701_12,sideUV,0701_12_ID173,0.8296313157,WT
WT,0701_12,sideUV,0701_12_ID58,1.1786814249,WT
WT,0701_12,sideUV,0701_12_ID67,0.6613452162,WT
WT,0702_06,sideUV,0702_06_ID273,0.8654851513,WT
WT,0702_06,sideUV,0702_06_ID323,0.7901872787,WT
WT,0702_06,sideUV,0702_06_ID368,1.0530721286,WT
WT,0702_06,sideUV,0702_06_ID380,1.1540748638,WT
WT,0702_07,sideUV,0702_07_ID166,0.847694526,WT
WT,0702_07,sideUV,0702_07_ID233,1.0274488609,WT
WT,0702_07,sideUV,0702_07_ID33,1.038947392,WT
WT,0702_07,sideUV,0702_07_ID39,1.3518520403,WT
WT,0702_07,sideUV,0702_07_ID56,0.9284696783,WT
WT,0702_07,sideUV,0702_07_ID79,1.1343555958,WT
WT,0702_07,sideUV,0702_07_ID99,1.6707566544,WT
WT,0702_08,sideUV,0702_08_ID349,1.2201639699,WT
WT,0702_08,sideUV,0702_08_ID63,1.4192684677,WT
WT,0702_09,sideUV,0702_09_ID270,1.4204236096,WT
WT,0703_08,sideUV,0703_08_ID220,1.6153208492,WT
WT,0704_03,sideUV,0704_03_ID324,1.1055341322,WT
WT,0705_01,sideUV,0705_01_ID12,1.5105908177,WT
WT,0705_01,sideUV,0705_01_ID149,1.2616701506,WT
NOS23x23,0623_04,sideUV,0623_04_ID214,0.9736827811,NOS^'Δ23/Δ23'
NOS23x23,0623_04,sideUV,0623_04_ID430,0.9858079265,NOS^'Δ23/Δ23'
NOS23x23,0623_04,sideUV,0623_04_ID438,0.5896669386,NOS^'Δ23/Δ23'
NOS23x23,0627_01,sideUV,0627_01_ID164,0.7564188122,NOS^'Δ23/Δ23'
NOS23x23,0627_01,sideUV,0627_01_ID166,0.7876633504,NOS^'Δ23/Δ23'
NOS23x23,0627_01,sideUV,0627_01_ID169,0.8401458818,NOS^'Δ23/Δ23'
NOS23x23,0627_01,sideUV,0627_01_ID206,0.8960510838,NOS^'Δ23/Δ23'
NOS23x23,0627_01,sideUV,0627_01_ID95,0.7931640194,NOS^'Δ23/Δ23'
NOS11x11,0622_02,sideUV,0622_02_ID251,1.1515333691,NOS^'Δ11/Δ11'
NOS11x11,0622_02,sideUV,0622_02_ID35,0.9561298476,NOS^'Δ11/Δ11'
NOS11x11,0629_00,sideUV,0629_00_ID102,0.8141026187,NOS^'Δ11/Δ11'
NOS11x11,0629_00,sideUV,0629_00_ID179,1.3294597199,NOS^'Δ11/Δ11'
NOS11x11,0629_00,sideUV,0629_00_ID216,0.8366732553,NOS^'Δ11/Δ11'
NOS11x11,0629_00,sideUV,0629_00_ID371,0.9316913283,NOS^'Δ11/Δ11'
NOS11x11,0630_02,sideUV,0630_02_ID118,1.2477495678,NOS^'Δ11/Δ11'
NOS11x11,0630_02,sideUV,0630_02_ID130,1.1435383022,NOS^'Δ11/Δ11'
NOS11x11,0630_02,sideUV,0630_02_ID165,1.2285000741,NOS^'Δ11/Δ11'
NOS11x11,0703_04,sideUV,0703_04_ID119,1.1826817509,NOS^'Δ11/Δ11'
NOS11x11,0703_04,sideUV,0703_04_ID150,1.3419967697,NOS^'Δ11/Δ11'
NOS11x11,0703_04,sideUV,0703_04_ID156,1.0795904807,NOS^'Δ11/Δ11'
NOS11x11,0703_04,sideUV,0703_04_ID164,1.5236176705,NOS^'Δ11/Δ11'
NOS11x11,0703_04,sideUV,0703_04_ID226,0.8751350426,NOS^'Δ11/Δ11'
NOS11x11,0703_04,sideUV,0703_04_ID261,0.6704962241,NOS^'Δ11/Δ11'
NOS11x11,0703_04,sideUV,0703_04_ID316,0.6465715756,NOS^'Δ11/Δ11'
NOS11x11,0703_04,sideUV,0703_04_ID7,0.877656403,NOS^'Δ11/Δ11'
NOS11x11,0703_04,sideUV,0703_04_ID84,0.7969422341,NOS^'Δ11/Δ11'
