expression,solution,cell,time,intensity
GcG-NIT1,SNAP,C,5,1.040112709
GcG-NIT1,SNAP,C,5.2,1.055129488
GcG-NIT1,SNAP,C,5.4,1.055280938
GcG-NIT1,SNAP,C,5.6,1.055342016
GcG-NIT1,SNAP,C,5.8,1.041557503
GcG-NIT1,SNAP,C,6,1.031892505
GcG-NIT1,SNAP,C,6.2,1.030302395
GcG-NIT1,SNAP,C,6.4,1.03467903
GcG-NIT1,SNAP,C,6.6,1.031580709
GcG-NIT1,SNAP,C,6.8,1.030339242
GcG-NIT1,SNAP,C,7,1.019608112
GcG-NIT1,SNAP,C,7.2,1.026178624
GcG-NIT1,SNAP,C,7.4,1.030130739
GcG-NIT1,SNAP,C,7.6,1.02060381
GcG-NIT1,SNAP,C,7.8,1.024522759
GcG-NIT1,SNAP,C,8,1.021192931
GcG-NIT1,SNAP,C,8.2,1.01788235
GcG-NIT1,SNAP,C,8.4,1.018446396
GcG-NIT1,SNAP,C,8.6,1.015806374
GcG-NIT1,SNAP,C,8.8,1.01499188
GcG-NIT1,SNAP,C,9,1.024223885
GcG-NIT1,SNAP,C,9.2,1.016461098
GcG-NIT1,SNAP,C,9.4,1.013267498
GcG-NIT1,SNAP,C,9.6,1.010792269
GcG-NIT1,SNAP,C,9.8,1.010587677
GcG-NIT1,SNAP,C,10,1.008591874
GcG-NIT1,SNAP,D,0.2,0.982679128
GcG-NIT1,SNAP,D,0.4,0.994882073
GcG-NIT1,SNAP,D,0.6,0.999726283
GcG-NIT1,SNAP,D,0.8,1.012616542
GcG-NIT1,SNAP,D,1,0.994776536
GcG-NIT1,SNAP,D,1.2,0.997840604
GcG-NIT1,SNAP,D,1.4,0.993786073
GcG-NIT1,SNAP,D,1.6,1.014416661
GcG-NIT1,SNAP,D,1.8,1.007506991
GcG-NIT1,SNAP,D,2,1.001769109
GcG-NIT1,SNAP,D,2.2,1.049271415
GcG-NIT1,SNAP,D,2.4,1.071817431
GcG-NIT1,SNAP,D,2.6,1.049681643
GcG-NIT1,SNAP,D,2.8,1.0668051
GcG-NIT1,SNAP,D,3,1.063494724
GcG-NIT1,SNAP,D,3.2,1.065227114
GcG-NIT1,SNAP,D,3.4,1.074776134
GcG-NIT1,SNAP,D,3.6,1.072336368
GcG-NIT1,SNAP,D,3.8,1.040199666
GcG-NIT1,SNAP,D,4,1.063322574
GcG-NIT1,SNAP,D,4.2,1.06444918
GcG-NIT1,SNAP,D,4.4,1.061812316
GcG-NIT1,SNAP,D,4.6,1.053584257
GcG-NIT1,SNAP,D,4.8,1.051854868
GcG-NIT1,SNAP,D,5,1.043038858
GcG-NIT1,SNAP,D,5.2,1.030116449
GcG-NIT1,SNAP,D,5.4,1.043783442
GcG-NIT1,SNAP,D,5.6,1.030886924
GcG-NIT1,SNAP,D,5.8,1.008895681
GcG-NIT1,SNAP,D,6,1.046478776
GcG-NIT1,SNAP,D,6.2,1.034861296
GcG-NIT1,SNAP,D,6.4,1.032116752
GcG-NIT1,SNAP,D,6.6,1.013096128
GcG-NIT1,SNAP,D,6.8,1.021572039
GcG-NIT1,SNAP,D,7,1.009734913
GcG-NIT1,SNAP,D,7.2,1.036572853
GcG-NIT1,SNAP,D,7.4,1.01504885
GcG-NIT1,SNAP,D,7.6,1.026096211
GcG-NIT1,SNAP,D,7.8,1.016136877
GcG-NIT1,SNAP,D,8,1.014972291
GcG-NIT1,SNAP,D,8.2,1.014989609
GcG-NIT1,SNAP,D,8.4,1.025680152
GcG-NIT1,SNAP,D,8.6,1.026842938
GcG-NIT1,SNAP,D,8.8,1.011094539
GcG-NIT1,SNAP,D,9,1.018849785
GcG-NIT1,SNAP,D,9.2,1.005866763
GcG-NIT1,SNAP,D,9.4,1.012890628
GcG-NIT1,SNAP,D,9.6,1.011463188
GcG-NIT1,SNAP,D,9.8,1.017765102
GcG-NIT1,SNAP,D,10,1.011401461
GcG-NIT1,SNAP,E,0.2,1.00488389
GcG-NIT1,SNAP,E,0.4,1.000868497
GcG-NIT1,SNAP,E,0.6,1.009587518
GcG-NIT1,SNAP,E,0.8,0.994114178
GcG-NIT1,SNAP,E,1,1.007413702
GcG-NIT1,SNAP,E,1.2,0.992644828
GcG-NIT1,SNAP,E,1.4,1.009320126
GcG-NIT1,SNAP,E,1.6,0.999217746
GcG-NIT1,SNAP,E,1.8,0.997390739
GcG-NIT1,SNAP,E,2,0.984558775
GcG-NIT1,SNAP,E,2.2,1.037807388
GcG-NIT1,SNAP,E,2.4,1.044235564
GcG-NIT1,SNAP,E,2.6,1.055405374
GcG-NIT1,SNAP,E,2.8,1.059380148
GcG-NIT1,SNAP,E,3,1.04710395
GcG-NIT1,SNAP,E,3.2,1.068753911
GcG-NIT1,SNAP,E,3.4,1.066110159
GcG-NIT1,SNAP,E,3.6,1.070766596
GcG-NIT1,SNAP,E,3.8,1.048583514
GcG-NIT1,SNAP,E,4,1.059654032
GcG-NIT1,SNAP,E,4.2,1.074029221
GcG-NIT1,SNAP,E,4.4,1.052230085
GcG-NIT1,SNAP,E,4.6,1.062127705
GcG-NIT1,SNAP,E,4.8,1.066348254
GcG-NIT1,SNAP,E,5,1.074507074
GcG-NIT1,SNAP,E,5.2,1.062109177
GcG-NIT1,SNAP,E,5.4,1.067926001
GcG-NIT1,SNAP,E,5.6,1.078309235
GcG-NIT1,SNAP,E,5.8,1.058901819
GcG-NIT1,SNAP,E,6,1.055903814
GcG-NIT1,SNAP,E,6.2,1.053335996
GcG-NIT1,SNAP,E,6.4,1.078605527
GcG-NIT1,SNAP,E,6.6,1.050401573
GcG-NIT1,SNAP,E,6.8,1.03590706
GcG-NIT1,SNAP,E,7,1.067724408
GcG-NIT1,SNAP,E,7.2,1.048172172
GcG-NIT1,SNAP,E,7.4,1.031267013
GcG-NIT1,SNAP,E,7.6,1.045958844
GcG-NIT1,SNAP,E,7.8,1.054762509
GcG-NIT1,SNAP,E,8,1.071177858
GcG-NIT1,SNAP,E,8.2,1.034388144
GcG-NIT1,SNAP,E,8.4,1.072664469
GcG-NIT1,SNAP,E,8.6,1.054905113
GcG-NIT1,SNAP,E,8.8,1.060501183
GcG-NIT1,SNAP,E,9,1.041334159
GcG-NIT1,SNAP,E,9.2,1.069246096
GcG-NIT1,SNAP,E,9.4,1.032761463
GcG-NIT1,SNAP,E,9.6,1.065916325
