frame,genotype,sample,intensity
1,WT_cPRC,2,1.000070404
1,WT_cPRC,3,0.929092952
1,WT_cPRC,4,0.976163399
1,WT_cPRC,5,0.876511359
1,WT_cPRC,6,0.935758352
1,WT_cPRC,7,0.907982142
1,WT_cPRC,8,0.991734914
1,WT_cPRC,9,1.014589784
1,WT_cPRC,10,1.014202125
1,WT_cPRC,11,1.033400782
1,WT_cPRC,12,1.088414997
1,WT_cPRC,13,1.011199737
1,WT_cPRC,14,0.927737986
1,WT_cPRC,15,0.920624074
1,WT_cPRC,16,1.073456448
1,WT_cPRC,17,1.020370273
1,WT_cPRC,18,1.062953837
1,WT_cPRC,19,1.041060726
1,WT_cPRC,20,1.119782062
1,WT_cPRC,21,1.197104343
1,WT_cPRC,22,1.012098637
1,WT_cPRC,23,1.085361162
1,WT_cPRC,24,1.349138993
1,WT_cPRC,25,1.254311762
1,WT_cPRC,26,1.06948127
1,WT_cPRC,27,1.104507996
1,WT_cPRC,28,0.999327769
1,WT_cPRC,29,0.907877186
1,WT_cPRC,30,0.948765479
1,WT_cPRC,31,1.079844631
1,WT_cPRC,32,1.077437665
1,WT_cPRC,33,1.083533134
1,WT_cPRC,34,1.225851326
1,WT_cPRC,35,1.071802787
1,WT_cPRC,36,1.000964085
1,WT_cPRC,37,1.026135417
1,NOS11_cPRC,65,0.831673328
1,NOS11_cPRC,66,0.801597652
1,NOS11_cPRC,67,1.149052497
1,NOS11_cPRC,68,1.078218755
1,NOS11_cPRC,69,1.005113551
1,NOS11_cPRC,70,0.98486322
1,NOS11_cPRC,71,1.171374651
1,NOS11_cPRC,72,1.174576298
1,NOS11_cPRC,73,1.102147533
1,NOS11_cPRC,74,1.075139309
1,NOS11_cPRC,75,1.058207459
1,NOS11_cPRC,76,1.134549252
1,NOS11_cPRC,77,1.017904281
1,NOS11_cPRC,78,1.057454975
1,NOS11_cPRC,79,1.034785817
1,NOS11_cPRC,80,1.105127056
1,NOS11_cPRC,81,1.031886184
1,NOS11_cPRC,82,1.076773593
2,WT_cPRC,2,1.003076641
