frame,MO,sample,intensity
1,NIT2MO1_NOS,2,1.072924119
1,NIT2MO1_NOS,3,0.886934577
1,NIT2MO1_NOS,4,1.044299466
1,NIT2MO1_NOS,5,1.124807232
1,NIT2MO1_NOS,6,1.035403953
1,NIT2MO1_NOS,7,0.908340644
1,NIT2MO1_NOS,8,0.916827055
1,NIT2MO1_NOS,9,0.933311561
1,NIT2MO1_NOS,10,0.980549013
1,NIT2MO1_NOS,11,1.011200932
1,NIT2MO1_NOS,12,1.000531955
1,NIT2MO1_NOS,13,1.071296541
1,NIT2MO2_NOS,14,1.104826803
1,NIT2MO2_NOS,15,1.003076757
1,NIT2MO2_NOS,16,0.953844305
1,NIT2MO2_NOS,17,1.003280705
1,NIT2MO2_NOS,18,1.008862494
1,NIT2MO2_NOS,19,1.218383149
1,NIT2MO2_NOS,20,1.033107936
1,NIT2MO2_NOS,21,1.044360979
1,NIT2MO2_NOS,22,0.98166223
1,NIT2MO2_NOS,23,1.007928809
1,NIT2MO2_NOS,24,1.05650575
1,NIT2MO2_NOS,25,0.950192802
1,NIT2MO2_NOS,26,1.029006868
1,NIT2MO2_NOS,27,0.977557884
2,NIT2MO1_NOS,2,1.055277341
2,NIT2MO1_NOS,3,0.886858104
2,NIT2MO1_NOS,4,1.033943154
2,NIT2MO1_NOS,5,1.097101835
2,NIT2MO1_NOS,6,1.02962454
2,NIT2MO1_NOS,7,0.926568541
2,NIT2MO1_NOS,8,0.918957932
2,NIT2MO1_NOS,9,0.961005879
2,NIT2MO1_NOS,10,1.001218225
2,NIT2MO1_NOS,11,0.954065904
2,NIT2MO1_NOS,12,0.996504294
2,NIT2MO1_NOS,13,1.0879324
2,NIT2MO2_NOS,14,1.117546848
2,NIT2MO2_NOS,15,1.009931987
2,NIT2MO2_NOS,16,1.021795745
2,NIT2MO2_NOS,17,1.028552389
2,NIT2MO2_NOS,18,0.965417999
2,NIT2MO2_NOS,19,1.186634474
2,NIT2MO2_NOS,20,1.007782598
2,NIT2MO2_NOS,21,1.043244341
2,NIT2MO2_NOS,22,0.962141378
2,NIT2MO2_NOS,23,1.021213783
2,NIT2MO2_NOS,24,1.037125679
2,NIT2MO2_NOS,25,0.948127066
2,NIT2MO2_NOS,26,1.076850514
2,NIT2MO2_NOS,27,0.973030656
3,NIT2MO1_NOS,2,1.049601755
3,NIT2MO1_NOS,3,0.898405537
3,NIT2MO1_NOS,4,1.067612574
3,NIT2MO1_NOS,5,1.103217229
3,NIT2MO1_NOS,6,1.022996403
3,NIT2MO1_NOS,7,0.918640543
3,NIT2MO1_NOS,8,0.922669783
3,NIT2MO1_NOS,9,0.948203788
3,NIT2MO1_NOS,10,1.00743117
3,NIT2MO1_NOS,11,1.010515859
3,NIT2MO1_NOS,12,1.012766928
3,NIT2MO1_NOS,13,1.085621864
3,NIT2MO2_NOS,14,1.09346962
3,NIT2MO2_NOS,15,1.009122315
3,NIT2MO2_NOS,16,0.996073561
3,NIT2MO2_NOS,17,1.030346525
3,NIT2MO2_NOS,18,0.95678392
3,NIT2MO2_NOS,19,1.181639053
3,NIT2MO2_NOS,20,1.028770094
3,NIT2MO2_NOS,21,1.042838291
3,NIT2MO2_NOS,22,0.947648625
3,NIT2MO2_NOS,23,1.014676732
3,NIT2MO2_NOS,24,1.015002043
3,NIT2MO2_NOS,25,0.938211531
3,NIT2MO2_NOS,26,1.077204257
3,NIT2MO2_NOS,27,0.92892252
4,NIT2MO1_NOS,2,1.01945915
4,NIT2MO1_NOS,3,0.888808167
4,NIT2MO1_NOS,4,1.069391852
4,NIT2MO1_NOS,5,1.095825578
4,NIT2MO1_NOS,6,1.017216991
4,NIT2MO1_NOS,7,0.909607824
4,NIT2MO1_NOS,8,0.926587847
4,NIT2MO1_NOS,9,0.96159373
4,NIT2MO1_NOS,10,0.988832941
4,NIT2MO1_NOS,11,0.992498459
4,NIT2MO1_NOS,12,0.996200319
4,NIT2MO1_NOS,13,1.076115659
4,NIT2MO2_NOS,14,1.109142533
4,NIT2MO2_NOS,15,1.019432149
4,NIT2MO2_NOS,16,1.000600986
4,NIT2MO2_NOS,17,1.028706172
4,NIT2MO2_NOS,18,0.969894929
4,NIT2MO2_NOS,19,1.180695474
4,NIT2MO2_NOS,20,1.029726971
4,NIT2MO2_NOS,21,1.036544513
4,NIT2MO2_NOS,22,0.959538598
4,NIT2MO2_NOS,23,1.027118215
4,NIT2MO2_NOS,24,0.999357889
4,NIT2MO2_NOS,25,0.970666544
4,NIT2MO2_NOS,26,1.089378887
4,NIT2MO2_NOS,27,0.966886561
5,NIT2MO1_NOS,2,1.001812372
5,NIT2MO1_NOS,3,0.880969678
5,NIT2MO1_NOS,4,1.068844382
5,NIT2MO1_NOS,5,1.068013826
5,NIT2MO1_NOS,6,0.99401851
5,NIT2MO1_NOS,7,0.943139357
5,NIT2MO1_NOS,8,0.905072862
5,NIT2MO1_NOS,9,0.936120183
5,NIT2MO1_NOS,10,0.989685698
5,NIT2MO1_NOS,11,1.006747962
5,NIT2MO1_NOS,12,1.010867087
5,NIT2MO1_NOS,13,1.053142329
5,NIT2MO2_NOS,14,1.101760363
5,NIT2MO2_NOS,15,1.033088632
5,NIT2MO2_NOS,16,1.002684402
5,NIT2MO2_NOS,17,1.062794751
5,NIT2MO2_NOS,18,0.950571037
5,NIT2MO2_NOS,19,1.159159659
5,NIT2MO2_NOS,20,1.025708089
5,NIT2MO2_NOS,21,1.099583799
5,NIT2MO2_NOS,22,0.946702159
5,NIT2MO2_NOS,23,0.95753026
5,NIT2MO2_NOS,24,1.031288308
5,NIT2MO2_NOS,25,0.935503122
5,NIT2MO2_NOS,26,1.067653215
5,NIT2MO2_NOS,27,0.970702367
6,NIT2MO1_NOS,2,0.993895169
6,NIT2MO1_NOS,3,0.887087523
6,NIT2MO1_NOS,4,1.082439892
6,NIT2MO1_NOS,5,1.025791013
6,NIT2MO1_NOS,6,1.016247019
6,NIT2MO1_NOS,7,0.946843422
6,NIT2MO1_NOS,8,0.915039868
6,NIT2MO1_NOS,9,0.922860875
6,NIT2MO1_NOS,10,0.994396167
6,NIT2MO1_NOS,11,0.993628828
6,NIT2MO1_NOS,12,1.011171062
6,NIT2MO1_NOS,13,1.081330869
6,NIT2MO2_NOS,14,1.108801817
6,NIT2MO2_NOS,15,0.999460218
6,NIT2MO2_NOS,16,0.996474218
6,NIT2MO2_NOS,17,1.011482469
6,NIT2MO2_NOS,18,0.986934673
6,NIT2MO2_NOS,19,1.138539672
6,NIT2MO2_NOS,20,1.0318321
6,NIT2MO2_NOS,21,1.04923358
