genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID13,128.5911424,181.004748,-181.004748,0,0,0,dark
NOS,ID13,128.389588,180.893755,-180.893755,-0.2015544,0.110993,1,dark
NOS,ID13,128.384425,180.7510424,-180.7510424,-0.2067174,0.2537056,2,dark
NOS,ID13,128.4010086,180.6165738,-180.6165738,-0.1901338,0.3881742,3,dark
NOS,ID13,128.297678,180.4622787,-180.4622787,-0.2934644,0.5424693,4,dark
NOS,ID13,128.3533803,180.3282073,-180.3282073,-0.2377621,0.6765407,5,dark
NOS,ID13,128.1762622,180.3088945,-180.3088945,-0.4148802,0.6958535,6,dark
NOS,ID13,128.0389315,180.0370274,-180.0370274,-0.5522109,0.9677206,7,dark
NOS,ID13,127.9351364,180.0563485,-180.0563485,-0.656006,0.9483995,8,dark
NOS,ID13,127.7430342,179.8731993,-179.8731993,-0.8481082,1.1315487,9,dark
NOS,ID13,127.4902314,179.6478915,-179.6478915,-1.100911,1.3568565,10,dark
NOS,ID13,127.487856,179.4081094,-179.4081094,-1.1032864,1.5966386,11,dark
NOS,ID13,127.2960336,179.1088036,-179.1088036,-1.2951088,1.8959444,12,dark
NOS,ID13,127.2850971,178.9561427,-178.9561427,-1.3060453,2.0486053,13,dark
NOS,ID13,127.2046456,178.8024644,-178.8024644,-1.3864968,2.2022836,14,dark
NOS,ID13,127.1963563,178.6198983,-178.6198983,-1.3947861,2.3848497,15,dark
NOS,ID13,127.1569696,178.4347169,-178.4347169,-1.4341728,2.5700311,16,dark
NOS,ID13,127.0868965,178.2249033,-178.2249033,-1.5042459,2.7798447,17,dark
NOS,ID13,127.0770507,178.1176085,-178.1176085,-1.5140917,2.8871395,18,dark
NOS,ID13,127.057892,177.9722082,-177.9722082,-1.5332504,3.0325398,19,dark
NOS,ID13,126.9296894,177.7830183,-177.7830183,-1.661453,3.2217297,20,dark
NOS,ID13,126.9884495,177.4408209,-177.4408209,-1.6026929,3.5639271,21,dark
NOS,ID13,126.894695,177.2483489,-177.2483489,-1.6964474,3.7563991,22,dark
NOS,ID13,126.8549654,177.1209846,-177.1209846,-1.736177,3.8837634,23,dark
NOS,ID13,126.7161632,176.9702549,-176.9702549,-1.8749792,4.0344931,24,dark
NOS,ID13,126.64491,176.7074333,-176.7074333,-1.9462324,4.2973147,25,dark
NOS,ID13,126.4729308,176.6368729,-176.6368729,-2.1182116,4.3678751,26,dark
NOS,ID13,126.2224322,176.353721,-176.353721,-2.3687102,4.651027,27,dark
