genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID08,100.3863221,290.9967997,-290.9967997,0.0465835,1.9950616,71,dark
NOS,ID08,100.5795227,290.992291,-290.992291,0.2397841,1.9995703,72,dark
NOS,ID08,100.5294202,290.9924847,-290.9924847,0.1896816,1.9993766,73,dark
NOS,ID08,101.0806705,290.9690773,-290.9690773,0.7409319,2.022784,74,dark
NOS,ID08,101.1941689,290.9134922,-290.9134922,0.8544303,2.0783691,75,dark
NOS,ID08,101.3275778,291.0085788,-291.0085788,0.9878392,1.9832825,76,dark
NOS,ID08,101.6105698,291.0203455,-291.0203455,1.2708312,1.9715158,77,dark
NOS,ID08,101.9252719,291.0369672,-291.0369672,1.5855333,1.9548941,78,dark
NOS,ID08,102.1068827,291.1472307,-291.1472307,1.7671441,1.8446306,79,dark
NOS,ID08,102.3238695,291.1923356,-291.1923356,1.9841309,1.7995257,80,dark
NOS,ID08,102.3116817,291.098549,-291.098549,1.9719431,1.8933123,81,dark
NOS,ID08,102.5289917,291.3145838,-291.3145838,2.1892531,1.6772775,82,dark
NOS,ID08,102.7764481,291.2301387,-291.2301387,2.4367095,1.7617226,83,dark
NOS,ID08,103.0679212,291.3113906,-291.3113906,2.7281826,1.6804707,84,dark
NOS,ID08,102.8874284,291.1703312,-291.1703312,2.5476898,1.8215301,85,dark
NOS,ID08,103.1374091,291.1888638,-291.1888638,2.7976705,1.8029975,86,dark
NOS,ID08,103.2978091,291.1144797,-291.1144797,2.9580705,1.8773816,87,dark
NOS,ID08,103.2538868,291.2922156,-291.2922156,2.9141482,1.6996457,88,dark
NOS,ID08,103.2836993,291.0674726,-291.0674726,2.9439607,1.9243887,89,dark
NOS,ID08,103.3619913,291.1168095,-291.1168095,3.0222527,1.8750518,90,dark
NOS,ID08,103.5670885,291.065943,-291.065943,3.2273499,1.9259183,91,dark
NOS,ID08,103.2503232,290.9719479,-290.9719479,2.9105846,2.0199134,92,dark
NOS,ID08,103.2604851,290.8761845,-290.8761845,2.9207465,2.1156768,93,dark
NOS,ID08,103.4857062,290.9349045,-290.9349045,3.1459676,2.0569568,94,dark
NOS,ID08,103.4166095,290.8774009,-290.8774009,3.0768709,2.1144604,95,dark
NOS,ID08,103.4436475,290.7988934,-290.7988934,3.1039089,2.1929679,96,dark
NOS,ID08,103.2660545,290.5571358,-290.5571358,2.9263159,2.4347255,97,dark
NOS,ID08,103.243377,290.7841086,-290.7841086,2.9036384,2.2077527,98,dark
NOS,ID08,103.3164595,290.3644846,-290.3644846,2.9767209,2.6273767,99,dark
NOS,ID08,103.0274144,290.3894488,-290.3894488,2.6876758,2.6024125,100,dark
NOS,ID08,103.0775617,290.2215145,-290.2215145,2.7378231,2.7703468,101,dark
NOS,ID08,103.0412491,290.1866463,-290.1866463,2.7015105,2.805215,102,dark
NOS,ID08,103.0040834,290.1096708,-290.1096708,2.6643448,2.8821905,103,dark
NOS,ID08,102.9891475,290.0010501,-290.0010501,2.6494089,2.9908112,104,dark
NOS,ID08,102.9239709,289.8417206,-289.8417206,2.5842323,3.1501407,105,dark
NOS,ID08,102.8921335,289.6561171,-289.6561171,2.5523949,3.3357442,106,dark
NOS,ID08,102.9094775,289.4582045,-289.4582045,2.5697389,3.5336568,107,dark
NOS,ID08,102.9738799,289.3193111,-289.3193111,2.6341413,3.6725502,108,dark
NOS,ID08,102.8059568,289.1754029,-289.1754029,2.4662182,3.8164584,109,dark
NOS,ID08,102.8454826,289.0060865,-289.0060865,2.505744,3.9857748,110,dark
NOS,ID08,102.8917789,288.9367858,-288.9367858,2.5520403,4.0550755,111,dark
NOS,ID08,102.7334523,288.629692,-288.629692,2.3937137,4.3621693,112,dark
NOS,ID08,102.5570461,288.4357223,-288.4357223,2.2173075,4.556139,113,dark
NOS,ID08,102.7257913,288.5320735,-288.5320735,2.3860527,4.4597878,114,dark
NOS,ID08,102.8746309,288.2992989,-288.2992989,2.5348923,4.6925624,115,dark
NOS,ID08,102.8555659,288.1117893,-288.1117893,2.5158273,4.880072,116,dark
NOS,ID08,102.7816384,287.9826934,-287.9826934,2.4418998,5.0091679,117,dark
NOS,ID08,102.8823154,287.9078987,-287.9078987,2.5425768,5.0839626,118,dark
NOS,ID08,102.8051424,287.590712,-287.590712,2.4654038,5.4011493,119,dark
NOS,ID08,102.9073086,287.5886269,-287.5886269,2.56757,5.4032344,120,dark
NOS,ID08,102.7727562,287.3811405,-287.3811405,2.4330176,5.6107208,121,dark
NOS,ID08,102.8291629,287.1570616,-287.1570616,2.4894243,5.8347997,122,dark
NOS,ID08,102.8101763,287.1482192,-287.1482192,2.4704377,5.8436421,123,dark
NOS,ID08,102.8039345,286.9661161,-286.9661161,2.4641959,6.0257452,124,dark
NOS,ID08,102.8744412,286.6981132,-286.6981132,2.5347026,6.2937481,125,dark
NOS,ID08,102.7738409,286.696714,-286.696714,2.4341023,6.2951473,126,dark
NOS,ID08,102.5171272,286.4770903,-286.4770903,2.1773886,6.514771,127,dark
NOS,ID08,102.4257823,286.2222095,-286.2222095,2.0860437,6.7696518,128,dark
NOS,ID08,102.3885603,286.1983367,-286.1983367,2.0488217,6.7935246,129,dark
NOS,ID08,102.4656302,285.8871878,-285.8871878,2.1258916,7.1046735,130,dark
NOS,ID08,102.3129855,285.86217,-285.86217,1.9732469,7.1296913,131,dark
NOS,ID08,102.3313317,285.7204152,-285.7204152,1.9915931,7.2714461,132,dark
NOS,ID08,102.4916831,285.4801691,-285.4801691,2.1519445,7.5116922,133,dark
NOS,ID08,102.3447358,285.3017577,-285.3017577,2.0049972,7.6901036,134,dark
NOS,ID08,102.3869829,285.3978573,-285.3978573,2.0472443,7.594004,135,dark
NOS,ID08,102.4353205,285.047285,-285.047285,2.0955819,7.9445763,136,dark
NOS,ID08,102.4838396,285.0920367,-285.0920367,2.144101,7.8998246,137,dark
NOS,ID08,102.5451636,284.8240016,-284.8240016,2.205425,8.1678597,138,dark
NOS,ID08,102.5971039,284.779789,-284.779789,2.2573653,8.2120723,139,dark
NOS,ID08,102.592021,284.6648942,-284.6648942,2.2522824,8.3269671,140,dark
NOS,ID08,102.6576271,284.6657335,-284.6657335,2.3178885,8.3261278,141,dark
NOS,ID08,102.8119196,284.4350594,-284.4350594,2.472181,8.5568019,142,dark
NOS,ID08,102.7819765,284.4403846,-284.4403846,2.4422379,8.5514767,143,dark
NOS,ID08,102.8375087,284.4260111,-284.4260111,2.4977701,8.5658502,144,dark
NOS,ID08,102.9591032,284.242789,-284.242789,2.6193646,8.7490723,145,dark
NOS,ID08,103.0900994,284.286567,-284.286567,2.7503608,8.7052943,146,dark
NOS,ID08,103.1114507,284.2512251,-284.2512251,2.7717121,8.7406362,147,dark
NOS,ID08,103.2692657,284.2935233,-284.2935233,2.9295271,8.698338,148,dark
NOS,ID08,103.3848823,284.2856098,-284.2856098,3.0451437,8.7062515,149,dark
NOS,ID08,103.4573422,284.2758404,-284.2758404,3.1176036,8.7160209,150,dark
NOS,ID08,103.5814978,284.313708,-284.313708,3.2417592,8.6781533,151,dark
NOS,ID08,103.835847,284.3044318,-284.3044318,3.4961084,8.6874295,152,dark
NOS,ID08,104.031799,284.3825119,-284.3825119,3.6920604,8.6093494,153,dark
