genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID19,138.3666392,108.4847,-108.4847,0,0,0,dark
NOS,ID19,138.2292848,108.6008012,-108.6008012,-0.1373544,-0.1161012,1,dark
NOS,ID19,138.3935612,108.2556151,-108.2556151,0.026922,0.2290849,2,dark
NOS,ID19,138.5148558,108.3683801,-108.3683801,0.1482166,0.1163199,3,dark
NOS,ID19,138.3946331,108.3535819,-108.3535819,0.0279939,0.1311181,4,dark
NOS,ID19,138.526051,108.4282546,-108.4282546,0.1594118,0.0564454,5,dark
NOS,ID19,138.3851634,107.9744068,-107.9744068,0.0185242,0.5102932,6,dark
NOS,ID19,138.4119095,108.031862,-108.031862,0.0452703,0.452838,7,dark
NOS,ID19,138.2474684,108.1677557,-108.1677557,-0.1191708,0.3169443,8,dark
NOS,ID19,138.2396712,108.0114647,-108.0114647,-0.126968,0.4732353,9,dark
NOS,ID19,138.2196637,108.2413447,-108.2413447,-0.1469755,0.2433553,10,dark
NOS,ID19,138.2101505,108.3952926,-108.3952926,-0.1564887,0.0894074,11,dark
NOS,ID19,137.9932135,108.5675366,-108.5675366,-0.3734257,-0.0828366,12,dark
NOS,ID19,137.9644279,108.7175887,-108.7175887,-0.4022113,-0.2328887,13,dark
NOS,ID19,137.884622,108.9679741,-108.9679741,-0.4820172,-0.4832741,14,dark
NOS,ID19,137.7529727,109.0309008,-109.0309008,-0.6136665,-0.5462008,15,dark
NOS,ID19,137.6269549,109.2340101,-109.2340101,-0.7396843,-0.7493101,16,dark
NOS,ID19,137.5897629,109.5823226,-109.5823226,-0.7768763,-1.0976226,17,dark
NOS,ID19,137.4160651,109.7465837,-109.7465837,-0.9505741,-1.2618837,18,dark
NOS,ID19,137.2182844,110.0080314,-110.0080314,-1.1483548,-1.5233314,19,dark
NOS,ID19,136.9741739,110.3538327,-110.3538327,-1.3924653,-1.8691327,20,dark
NOS,ID19,136.8142595,110.5914025,-110.5914025,-1.5523797,-2.1067025,21,dark
NOS,ID19,136.7290719,111.0667974,-111.0667974,-1.6375673,-2.5820974,22,dark
NOS,ID19,136.3575232,111.068254,-111.068254,-2.009116,-2.583554,23,dark
NOS,ID19,135.9905994,111.1047407,-111.1047407,-2.3760398,-2.6200407,24,dark
NOS,ID19,135.8801751,111.2809769,-111.2809769,-2.4864641,-2.7962769,25,dark
NOS,ID19,135.5792334,111.2651564,-111.2651564,-2.7874058,-2.7804564,26,dark
NOS,ID19,135.3703397,111.4002236,-111.4002236,-2.9962995,-2.9155236,27,dark
NOS,ID19,135.2491273,111.6770129,-111.6770129,-3.1175119,-3.1923129,28,dark
NOS,ID19,135.0292363,111.9421366,-111.9421366,-3.3374029,-3.4574366,29,dark
NOS,ID19,134.8315928,112.0248822,-112.0248822,-3.5350464,-3.5401822,30,dark
NOS,ID19,134.5828874,112.2268082,-112.2268082,-3.7837518,-3.7421082,31,dark
NOS,ID19,134.2970954,112.3773638,-112.3773638,-4.0695438,-3.8926638,32,dark
NOS,ID19,134.1337309,112.6429443,-112.6429443,-4.2329083,-4.1582443,33,dark
NOS,ID19,133.94248,112.9130189,-112.9130189,-4.4241592,-4.4283189,34,dark
NOS,ID19,133.7299389,113.0130381,-113.0130381,-4.6367003,-4.5283381,35,dark
NOS,ID19,133.2966958,113.1326061,-113.1326061,-5.0699434,-4.6479061,36,dark
NOS,ID19,133.0796321,113.2295046,-113.2295046,-5.2870071,-4.7448046,37,dark
NOS,ID19,132.928989,113.2885777,-113.2885777,-5.4376502,-4.8038777,38,dark
NOS,ID19,132.8022985,113.6616998,-113.6616998,-5.5643407,-5.1769998,39,dark
NOS,ID19,132.4876284,113.6705664,-113.6705664,-5.8790108,-5.1858664,40,dark
NOS,ID19,132.2747826,113.859678,-113.859678,-6.0918566,-5.374978,41,dark
NOS,ID19,132.1238885,113.992879,-113.992879,-6.2427507,-5.508179,42,dark
NOS,ID19,131.9715479,114.0555586,-114.0555586,-6.3950913,-5.5708586,43,dark
NOS,ID19,131.8064209,114.0317567,-114.0317567,-6.5602183,-5.5470567,44,dark
NOS,ID19,131.4669188,114.2029467,-114.2029467,-6.8997204,-5.7182467,45,dark
NOS,ID19,131.2447806,114.1635377,-114.1635377,-7.1218586,-5.6788377,46,dark
NOS,ID19,131.1709891,114.2059002,-114.2059002,-7.1956501,-5.7212002,47,dark
NOS,ID19,131.0004205,114.2890053,-114.2890053,-7.3662187,-5.8043053,48,dark
NOS,ID19,130.9453779,114.3954457,-114.3954457,-7.4212613,-5.9107457,49,dark
NOS,ID19,130.4889957,114.3700119,-114.3700119,-7.8776435,-5.8853119,50,dark
NOS,ID19,130.353167,114.4759875,-114.4759875,-8.0134722,-5.9912875,51,dark
NOS,ID19,130.245172,114.4744317,-114.4744317,-8.1214672,-5.9897317,52,dark
NOS,ID19,130.0804938,114.6847148,-114.6847148,-8.2861454,-6.2000148,53,dark
NOS,ID19,130.0749393,114.7286771,-114.7286771,-8.2916999,-6.2439771,54,dark
NOS,ID19,129.9594824,114.7880795,-114.7880795,-8.4071568,-6.3033795,55,dark
NOS,ID19,129.8332485,114.7823131,-114.7823131,-8.5333907,-6.2976131,56,dark
NOS,ID19,129.6275867,114.842568,-114.842568,-8.7390525,-6.357868,57,dark
NOS,ID19,129.7792098,114.9433652,-114.9433652,-8.5874294,-6.4586652,58,dark
NOS,ID19,129.4939513,115.0083473,-115.0083473,-8.8726879,-6.5236473,59,dark
NOS,ID19,129.7829314,115.0563078,-115.0563078,-8.5837078,-6.5716078,60,dark
NOS,ID19,129.9024298,115.1048587,-115.1048587,-8.4642094,-6.6201587,61,dark
NOS,ID19,129.7987155,115.1683255,-115.1683255,-8.5679237,-6.6836255,62,dark
NOS,ID19,130.0733855,115.1199891,-115.1199891,-8.2932537,-6.6352891,63,dark
NOS,ID19,130.0821688,115.3143425,-115.3143425,-8.2844704,-6.8296425,64,dark
NOS,ID19,130.2459383,115.4137065,-115.4137065,-8.1207009,-6.9290065,65,dark
NOS,ID19,130.4849467,115.6408755,-115.6408755,-7.8816925,-7.1561755,66,dark
NOS,ID19,130.8870942,115.75403,-115.75403,-7.479545,-7.26933,67,dark
NOS,ID19,131.0153598,115.9864614,-115.9864614,-7.3512794,-7.5017614,68,dark
NOS,ID19,131.1547849,116.0741512,-116.0741512,-7.2118543,-7.5894512,69,dark
NOS,ID19,131.3337342,116.213351,-116.213351,-7.032905,-7.728651,70,dark
NOS,ID19,131.6509065,116.449411,-116.449411,-6.7157327,-7.964711,71,dark
NOS,ID19,132.0488287,116.8228017,-116.8228017,-6.3178105,-8.3381017,72,dark
NOS,ID19,132.19692,117.0723399,-117.0723399,-6.1697192,-8.5876399,73,dark
NOS,ID19,132.5962238,117.324384,-117.324384,-5.7704154,-8.839684,74,dark
NOS,ID19,133.0306468,117.654752,-117.654752,-5.3359924,-9.170052,75,dark
NOS,ID19,133.3273649,117.9799577,-117.9799577,-5.0392743,-9.4952577,76,dark
NOS,ID19,133.759442,118.2080444,-118.2080444,-4.6071972,-9.7233444,77,dark
NOS,ID19,134.1269604,118.6313306,-118.6313306,-4.2396788,-10.1466306,78,dark
