genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID22,106.7128215,577.8427355,-577.8427355,0,0,0,dark
NOS,ID22,106.7939387,577.8705624,-577.8705624,0.0811172,-0.0278269,1,dark
NOS,ID22,106.7471577,578.0333831,-578.0333831,0.0343362,-0.1906476,2,dark
NOS,ID22,106.588216,578.1433956,-578.1433956,-0.1246055,-0.3006601,3,dark
NOS,ID22,106.4372018,578.1873615,-578.1873615,-0.2756197,-0.344626,4,dark
NOS,ID22,106.4703483,578.2625921,-578.2625921,-0.2424732,-0.4198566,5,dark
NOS,ID22,106.3673865,578.3854272,-578.3854272,-0.345435,-0.5426917,6,dark
NOS,ID22,106.2208286,578.4130116,-578.4130116,-0.4919929,-0.5702761,7,dark
NOS,ID22,106.1444955,578.4925658,-578.4925658,-0.568326,-0.6498303,8,dark
NOS,ID22,106.0538228,578.5991094,-578.5991094,-0.6589987,-0.7563739,9,dark
NOS,ID22,105.8557119,578.7226341,-578.7226341,-0.8571096,-0.8798986,10,dark
NOS,ID22,105.7937006,578.7796133,-578.7796133,-0.9191209,-0.9368778,11,dark
NOS,ID22,105.6248781,578.7939857,-578.7939857,-1.0879434,-0.9512502,12,dark
NOS,ID22,105.4273313,578.8460048,-578.8460048,-1.2854902,-1.0032693,13,dark
NOS,ID22,105.340994,578.934444,-578.934444,-1.3718275,-1.0917085,14,dark
NOS,ID22,105.2067712,579.0460773,-579.0460773,-1.5060503,-1.2033418,15,dark
NOS,ID22,105.0754395,579.2007295,-579.2007295,-1.637382,-1.357994,16,dark
NOS,ID22,104.9274987,579.1689015,-579.1689015,-1.7853228,-1.326166,17,dark
NOS,ID22,104.7063723,579.1842354,-579.1842354,-2.0064492,-1.3414999,18,dark
NOS,ID22,104.4922007,579.3493469,-579.3493469,-2.2206208,-1.5066114,19,dark
NOS,ID22,104.5212462,579.3513613,-579.3513613,-2.1915753,-1.5086258,20,dark
NOS,ID22,104.3456351,579.3575116,-579.3575116,-2.3671864,-1.5147761,21,dark
NOS,ID22,104.137632,579.3279488,-579.3279488,-2.5751895,-1.4852133,22,dark
NOS,ID22,104.0551713,579.4496903,-579.4496903,-2.6576502,-1.6069548,23,dark
