genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID09,103.515596,329.2826198,-329.2826198,0,0,0,dark
NOS,ID09,103.416153,329.2538096,-329.2538096,-0.099443,0.0288102,1,dark
NOS,ID09,103.3769803,329.2570318,-329.2570318,-0.1386157,0.025588,2,dark
NOS,ID09,103.50485,329.2590603,-329.2590603,-0.010746,0.0235595,3,dark
NOS,ID09,103.2762187,329.1501988,-329.1501988,-0.2393773,0.132421,4,dark
NOS,ID09,103.3055733,329.2026364,-329.2026364,-0.2100227,0.0799834,5,dark
NOS,ID09,103.3216045,329.0099087,-329.0099087,-0.1939915,0.2727111,6,dark
NOS,ID09,103.2632273,329.0406961,-329.0406961,-0.2523687,0.2419237,7,dark
NOS,ID09,103.0909835,328.8954125,-328.8954125,-0.4246125,0.3872073,8,dark
NOS,ID09,103.0959006,328.81546,-328.81546,-0.4196954,0.4671598,9,dark
NOS,ID09,103.0129043,328.6984151,-328.6984151,-0.5026917,0.5842047,10,dark
NOS,ID09,103.0314584,328.7466062,-328.7466062,-0.4841376,0.5360136,11,dark
NOS,ID09,103.0015096,328.7519717,-328.7519717,-0.5140864,0.5306481,12,dark
NOS,ID09,102.8611362,328.5334705,-328.5334705,-0.6544598,0.7491493,13,dark
NOS,ID09,102.7755033,328.5631374,-328.5631374,-0.7400927,0.7194824,14,dark
NOS,ID09,102.8543172,328.4244538,-328.4244538,-0.6612788,0.858166,15,dark
NOS,ID09,102.7523774,328.3400402,-328.3400402,-0.7632186,0.9425796,16,dark
NOS,ID09,102.7223582,328.2228192,-328.2228192,-0.7932378,1.0598006,17,dark
NOS,ID09,102.5473959,328.0926397,-328.0926397,-0.9682001,1.1899801,18,dark
NOS,ID09,102.6246166,328.2345364,-328.2345364,-0.8909794,1.0480834,19,dark
NOS,ID09,102.5684652,328.1597756,-328.1597756,-0.9471308,1.1228442,20,dark
NOS,ID09,102.451296,328.1563461,-328.1563461,-1.0643,1.1262737,21,dark
NOS,ID09,102.4354073,328.0378787,-328.0378787,-1.0801887,1.2447411,22,dark
NOS,ID09,102.5758937,328.0936854,-328.0936854,-0.9397023,1.1889344,23,dark
NOS,ID09,102.6276607,327.9344799,-327.9344799,-0.8879353,1.3481399,24,dark
NOS,ID09,102.6139437,327.9187162,-327.9187162,-0.9016523,1.3639036,25,dark
NOS,ID09,102.6191077,327.7705656,-327.7705656,-0.8964883,1.5120542,26,dark
NOS,ID09,102.6336771,327.7645848,-327.7645848,-0.8819189,1.518035,27,dark
NOS,ID09,102.5741119,327.6971699,-327.6971699,-0.9414841,1.5854499,28,dark
NOS,ID09,102.6683373,327.7871006,-327.7871006,-0.8472587,1.4955192,29,dark
NOS,ID09,102.6841773,327.6905389,-327.6905389,-0.8314187,1.5920809,30,dark
NOS,ID09,102.6608326,327.5264127,-327.5264127,-0.8547634,1.7562071,31,dark
NOS,ID09,102.580516,327.4841715,-327.4841715,-0.93508,1.7984483,32,dark
NOS,ID09,102.6608871,327.4100883,-327.4100883,-0.8547089,1.8725315,33,dark
NOS,ID09,102.7629422,327.3026323,-327.3026323,-0.7526538,1.9799875,34,dark
NOS,ID09,102.7977932,327.2759918,-327.2759918,-0.7178028,2.006628,35,dark
NOS,ID09,102.7011481,327.2880503,-327.2880503,-0.8144479,1.9945695,36,dark
NOS,ID09,102.8697147,327.1818683,-327.1818683,-0.6458813,2.1007515,37,dark
NOS,ID09,102.8070525,327.2061206,-327.2061206,-0.7085435,2.0764992,38,dark
NOS,ID09,103.0194317,327.1764096,-327.1764096,-0.4961643,2.1062102,39,dark
NOS,ID09,102.9093831,327.1052586,-327.1052586,-0.6062129,2.1773612,40,dark
NOS,ID09,102.8770153,326.9573526,-326.9573526,-0.6385807,2.3252672,41,dark
NOS,ID09,102.8605443,327.0246172,-327.0246172,-0.6550517,2.2580026,42,dark
NOS,ID09,102.9792622,326.9245271,-326.9245271,-0.5363338,2.3580927,43,dark
NOS,ID09,102.9498754,326.8754119,-326.8754119,-0.5657206,2.4072079,44,dark
NOS,ID09,102.9851662,326.9737355,-326.9737355,-0.5304298,2.3088843,45,dark
NOS,ID09,102.9766426,326.8003582,-326.8003582,-0.5389534,2.4822616,46,dark
NOS,ID09,102.9875098,326.9592283,-326.9592283,-0.5280862,2.3233915,47,dark
NOS,ID09,103.0541322,327.01649,-327.01649,-0.4614638,2.2661298,48,dark
NOS,ID09,103.1851472,327.1149092,-327.1149092,-0.3304488,2.1677106,49,dark
NOS,ID09,103.3780492,327.1378716,-327.1378716,-0.1375468,2.1447482,50,dark
NOS,ID09,103.5706931,327.2011024,-327.2011024,0.0550971,2.0815174,51,dark
NOS,ID09,103.5669508,327.3758188,-327.3758188,0.0513548,1.906801,52,dark
NOS,ID09,103.9700024,327.5396329,-327.5396329,0.4544064,1.7429869,53,dark
NOS,ID09,104.129532,327.7211681,-327.7211681,0.613936,1.5614517,54,dark
NOS,ID09,104.4149855,327.9017142,-327.9017142,0.8993895,1.3809056,55,dark
NOS,ID09,104.7002502,328.0170383,-328.0170383,1.1846542,1.2655815,56,dark
NOS,ID09,104.9288907,328.2327947,-328.2327947,1.4132947,1.0498251,57,dark
NOS,ID09,105.1678742,328.569032,-328.569032,1.6522782,0.7135878,58,dark
NOS,ID09,105.4936445,328.7157995,-328.7157995,1.9780485,0.5668203,59,dark
NOS,ID09,105.7330002,329.0312279,-329.0312279,2.2174042,0.2513919,60,dark
NOS,ID09,105.9794102,329.2529824,-329.2529824,2.4638142,0.0296374,61,dark
NOS,ID09,106.1687273,329.5966664,-329.5966664,2.6531313,-0.3140466,62,dark
NOS,ID09,106.5139922,329.845197,-329.845197,2.9983962,-0.5625772,63,dark
NOS,ID09,106.6746527,330.0456711,-330.0456711,3.1590567,-0.7630513,64,dark
NOS,ID09,106.9982108,330.4000771,-330.4000771,3.4826148,-1.1174573,65,dark
NOS,ID09,107.2161414,330.7356789,-330.7356789,3.7005454,-1.4530591,66,dark
NOS,ID09,107.5443948,331.0621211,-331.0621211,4.0287988,-1.7795013,67,dark
NOS,ID09,107.8083751,331.239237,-331.239237,4.2927791,-1.9566172,68,dark
NOS,ID09,108.0102376,331.6019666,-331.6019666,4.4946416,-2.3193468,69,dark
NOS,ID09,108.2192432,331.7268107,-331.7268107,4.7036472,-2.4441909,70,dark
NOS,ID09,108.3246281,331.9555761,-331.9555761,4.8090321,-2.6729563,71,dark
NOS,ID09,108.5904153,332.2747669,-332.2747669,5.0748193,-2.9921471,72,dark
NOS,ID09,108.9474273,332.4446188,-332.4446188,5.4318313,-3.161999,73,dark
NOS,ID09,109.056439,332.7007106,-332.7007106,5.540843,-3.4180908,74,dark
NOS,ID09,109.2368551,332.9266439,-332.9266439,5.7212591,-3.6440241,75,dark
NOS,ID09,109.5320984,333.1048394,-333.1048394,6.0165024,-3.8222196,76,dark
NOS,ID09,109.6516392,333.3821697,-333.3821697,6.1360432,-4.0995499,77,dark
NOS,ID09,109.8619522,333.5731717,-333.5731717,6.3463562,-4.2905519,78,dark
NOS,ID09,110.1144317,333.7858736,-333.7858736,6.5988357,-4.5032538,79,dark
NOS,ID09,110.2683245,333.9866249,-333.9866249,6.7527285,-4.7040051,80,dark
NOS,ID09,110.4981959,334.3413204,-334.3413204,6.9825999,-5.0587006,81,dark
NOS,ID09,110.7177251,334.3852224,-334.3852224,7.2021291,-5.1026026,82,dark
NOS,ID09,110.9422667,334.7432659,-334.7432659,7.4266707,-5.4606461,83,dark
NOS,ID09,111.1053673,334.816341,-334.816341,7.5897713,-5.5337212,84,dark
NOS,ID09,111.3592359,335.0307603,-335.0307603,7.8436399,-5.7481405,85,dark
NOS,ID09,111.6017465,335.2767318,-335.2767318,8.0861505,-5.994112,86,dark
NOS,ID09,111.7969233,335.4321642,-335.4321642,8.2813273,-6.1495444,87,dark
NOS,ID09,111.9806474,335.597869,-335.597869,8.4650514,-6.3152492,88,dark
NOS,ID09,112.2526126,335.7353877,-335.7353877,8.7370166,-6.4527679,89,dark
