Genotype,Batch,Condition,Track ID
WT,0701_08,dark,0701_08_ID265
WT,0701_08,dark,0701_08_ID429
WT,0701_08,dark,0701_08_ID537
WT,0701_08,dark,0701_08_ID576
WT,0701_09,dark,0701_09_ID1
WT,0701_09,dark,0701_09_ID199
WT,0701_09,dark,0701_09_ID30
WT,0701_09,dark,0701_09_ID383
WT,0701_09,dark,0701_09_ID55
WT,0701_09,dark,0701_09_ID99
WT,0702_03,dark,0702_03_ID313
WT,0702_04,dark,0702_04_ID332
WT,0703_07,dark,0703_07_ID111
WT,0703_07,dark,0703_07_ID132
WT,0703_07,dark,0703_07_ID139
WT,0703_07,dark,0703_07_ID202
WT,0703_07,dark,0703_07_ID211
WT,0703_07,dark,0703_07_ID56
WT,0704_02,dark,0704_02_ID102
WT,0704_02,dark,0704_02_ID143
WT,0704_02,dark,0704_02_ID148
WT,0704_02,dark,0704_02_ID161
WT,0704_02,dark,0704_02_ID28
WT,0704_02,dark,0704_02_ID3
WT,0704_02,dark,0704_02_ID47
WT,0704_02,dark,0704_02_ID52
WT,0705_00,dark,0705_00_ID112
WT,0705_00,dark,0705_00_ID149
WT,0705_00,dark,0705_00_ID175
WT,0705_00,dark,0705_00_ID178
WT,0705_00,dark,0705_00_ID193
WT,0706_00,dark,0706_00_ID203
NOS23x23,0623_02,dark,0623_02_ID10
NOS23x23,0623_02,dark,0623_02_ID146
NOS23x23,0623_02,dark,0623_02_ID173
NOS23x23,0623_02,dark,0623_02_ID174
NOS23x23,0623_02,dark,0623_02_ID208
NOS23x23,0623_02,dark,0623_02_ID221
NOS23x23,0623_02,dark,0623_02_ID234
NOS23x23,0623_02,dark,0623_02_ID250
NOS23x23,0623_02,dark,0623_02_ID266
NOS23x23,0623_02,dark,0623_02_ID270
NOS23x23,0623_02,dark,0623_02_ID291
NOS23x23,0623_02,dark,0623_02_ID293
NOS23x23,0623_02,dark,0623_02_ID34
NOS23x23,0623_02,dark,0623_02_ID40
NOS23x23,0623_02,dark,0623_02_ID44
NOS23x23,0623_02,dark,0623_02_ID64
NOS23x23,0623_02,dark,0623_02_ID84
NOS23x23,0624_00,dark,0624_00_ID164
NOS23x23,0624_00,dark,0624_00_ID759
NOS23x23,0624_01,dark,0624_01_ID209
NOS23x23,0624_01,dark,0624_01_ID221
NOS23x23,0624_01,dark,0624_01_ID223
NOS23x23,0624_01,dark,0624_01_ID253
NOS23x23,0624_01,dark,0624_01_ID284
NOS23x23,0624_01,dark,0624_01_ID337
NOS23x23,0624_01,dark,0624_01_ID381
NOS23x23,0624_01,dark,0624_01_ID407
NOS23x23,0624_01,dark,0624_01_ID463
NOS23x23,0627_02,dark,0627_02_ID122
NOS23x23,0627_02,dark,0627_02_ID159
NOS23x23,0627_02,dark,0627_02_ID257
NOS23x23,0627_02,dark,0627_02_ID279
NOS23x23,0627_02,dark,0627_02_ID326
NOS23x23,0627_02,dark,0627_02_ID387
NOS23x23,0628_00,dark,0628_00_ID102
NOS23x23,0628_00,dark,0628_00_ID165
NOS23x23,0628_00,dark,0628_00_ID575
NOS23x23,0628_00,dark,0628_00_ID649
NOS23x23,0628_00,dark,0628_00_ID7
NOS23x23,0628_00,dark,0628_00_ID702
NOS23x23,0703_01,dark,0703_01_ID132
NOS23x23,0703_01,dark,0703_01_ID239
NOS23x23,0703_01,dark,0703_01_ID251
NOS23x23,0703_01,dark,0703_01_ID284
NOS23x23,0703_01,dark,0703_01_ID305
NOS23x23,0703_01,dark,0703_01_ID52
NOS23x23,0703_01,dark,0703_01_ID56
NOS11x11,0623_00,dark,0623_00_ID117
NOS11x11,0623_00,dark,0623_00_ID138
NOS11x11,0623_00,dark,0623_00_ID139
NOS11x11,0623_00,dark,0623_00_ID147
NOS11x11,0623_00,dark,0623_00_ID164
NOS11x11,0623_00,dark,0623_00_ID177
NOS11x11,0623_00,dark,0623_00_ID183
NOS11x11,0623_00,dark,0623_00_ID206
NOS11x11,0623_00,dark,0623_00_ID32
NOS11x11,0623_00,dark,0623_00_ID325
NOS11x11,0623_00,dark,0623_00_ID408
NOS11x11,0623_00,dark,0623_00_ID99
NOS11x11,0701_06,dark,0701_06_ID119
NOS11x11,0701_06,dark,0701_06_ID201
NOS11x11,0701_06,dark,0701_06_ID356
NOS11x11,0701_06,dark,0701_06_ID385
NOS11x11,0701_06,dark,0701_06_ID52
NOS11x11,0701_06,dark,0701_06_ID632
NOS11x11,0701_06,dark,0701_06_ID681
NOS11x11,0701_06,dark,0701_06_ID86
NOS11x11,0703_00,dark,0703_00_ID120
NOS11x11,0703_00,dark,0703_00_ID138
NOS11x11,0703_00,dark,0703_00_ID234
NOS11x11,0703_00,dark,0703_00_ID385
NOS11x11,0703_00,dark,0703_00_ID396
NOS11x11,0703_00,dark,0703_00_ID81
