genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID01,86.17192237,106.1829349,-106.1829349,-0.73494871,2.8187224,70,dark
NOS,ID01,86.15755423,105.991606,-105.991606,-0.74931685,3.0100513,71,dark
NOS,ID01,86.10107994,105.8475619,-105.8475619,-0.80579114,3.1540954,72,dark
NOS,ID01,86.10014455,105.5287106,-105.5287106,-0.80672653,3.4729467,73,dark
NOS,ID01,86.03022838,105.3148799,-105.3148799,-0.8766427,3.6867774,74,dark
NOS,ID01,85.95223966,105.1039745,-105.1039745,-0.95463142,3.8976828,75,dark
NOS,ID01,85.82901113,104.9429262,-104.9429262,-1.07785995,4.0587311,76,dark
NOS,ID01,85.65855717,104.7759042,-104.7759042,-1.24831391,4.2257531,77,dark
NOS,ID01,85.5009767,104.4232254,-104.4232254,-1.40589438,4.5784319,78,dark
NOS,ID01,85.28882165,104.1329882,-104.1329882,-1.61804943,4.8686691,79,dark
NOS,ID01,85.21556374,104.0030806,-104.0030806,-1.69130734,4.9985767,80,dark
NOS,ID01,85.12208701,103.8768865,-103.8768865,-1.78478407,5.1247708,81,dark
NOS,ID01,84.97346086,103.6728924,-103.6728924,-1.93341022,5.3287649,82,dark
NOS,ID01,84.80826268,103.5068309,-103.5068309,-2.0986084,5.4948264,83,dark
NOS,ID01,84.44960285,103.2591434,-103.2591434,-2.45726823,5.7425139,84,dark
NOS,ID01,84.23799434,103.0839751,-103.0839751,-2.66887674,5.9176822,85,dark
NOS,ID01,84.19207397,102.9984829,-102.9984829,-2.71479711,6.0031744,86,dark
NOS,ID01,84.0492913,102.9615162,-102.9615162,-2.85757978,6.0401411,87,dark
NOS,ID01,83.91447773,102.8600492,-102.8600492,-2.99239335,6.1416081,88,dark
NOS,ID01,83.67698887,102.6703955,-102.6703955,-3.22988221,6.3312618,89,dark
NOS,ID01,83.47529715,102.4632879,-102.4632879,-3.43157393,6.5383694,90,dark
NOS,ID01,83.23558155,102.3728114,-102.3728114,-3.67128953,6.6288459,91,dark
NOS,ID01,83.10573953,102.2204024,-102.2204024,-3.80113155,6.7812549,92,dark
NOS,ID01,83.07143152,102.2034537,-102.2034537,-3.83543956,6.7982036,93,dark
NOS,ID01,82.93703261,102.132987,-102.132987,-3.96983847,6.8686703,94,dark
NOS,ID01,82.77683458,102.0309296,-102.0309296,-4.1300365,6.9707277,95,dark
NOS,ID01,82.67777668,102.0053502,-102.0053502,-4.2290944,6.9963071,96,dark
NOS,ID01,82.48734596,101.9485754,-101.9485754,-4.41952512,7.0530819,97,dark
NOS,ID01,82.35518176,101.8614621,-101.8614621,-4.55168932,7.1401952,98,dark
NOS,ID01,82.33669603,101.7358146,-101.7358146,-4.57017505,7.2658427,99,dark
NOS,ID01,82.33849868,101.5399133,-101.5399133,-4.5683724,7.461744,100,dark
NOS,ID01,82.16155536,101.3553149,-101.3553149,-4.74531572,7.6463424,101,dark
NOS,ID01,82.17386649,101.3118863,-101.3118863,-4.73300459,7.689771,102,dark
NOS,ID01,82.09008808,101.2096203,-101.2096203,-4.816783,7.792037,103,dark
NOS,ID01,82.11393965,101.174866,-101.174866,-4.79293143,7.8267913,104,dark
NOS,ID01,82.14730958,101.1500919,-101.1500919,-4.7595615,7.8515654,105,dark
NOS,ID01,82.16618802,101.1116489,-101.1116489,-4.74068306,7.8900084,106,dark
NOS,ID01,82.22679962,101.0672856,-101.0672856,-4.68007146,7.9343717,107,dark
NOS,ID01,82.38568612,101.0535581,-101.0535581,-4.52118496,7.9480992,108,dark
NOS,ID01,82.58737115,100.9907542,-100.9907542,-4.31949993,8.0109031,109,dark
NOS,ID01,82.81045769,100.9292702,-100.9292702,-4.09641339,8.0723871,110,dark
NOS,ID01,82.96489619,100.8311213,-100.8311213,-3.94197489,8.170536,111,dark
NOS,ID01,83.020864,100.7617921,-100.7617921,-3.88600708,8.2398652,112,dark
NOS,ID01,83.23941725,100.7351897,-100.7351897,-3.66745383,8.2664676,113,dark
NOS,ID01,83.51096614,100.5638798,-100.5638798,-3.39590494,8.4377775,114,dark
NOS,ID01,83.79329587,100.5227183,-100.5227183,-3.11357521,8.478939,115,dark
NOS,ID01,84.10844224,100.4311543,-100.4311543,-2.79842884,8.570503,116,dark
NOS,ID01,84.25940261,100.3504518,-100.3504518,-2.64746847,8.6512055,117,dark
NOS,ID01,84.58825344,100.4489758,-100.4489758,-2.31861764,8.5526815,118,dark
NOS,ID01,84.9009123,100.2831126,-100.2831126,-2.00595878,8.7185447,119,dark
NOS,ID01,85.12943076,100.2429082,-100.2429082,-1.77744032,8.7587491,120,dark
NOS,ID01,85.16070014,100.5330261,-100.5330261,-1.74617094,8.4686312,121,dark
NOS,ID01,85.06580121,100.7507938,-100.7507938,-1.84106987,8.2508635,122,dark
NOS,ID01,85.06210057,100.9139411,-100.9139411,-1.84477051,8.0877162,123,dark
NOS,ID01,85.1537236,101.0146574,-101.0146574,-1.75314748,7.9869999,124,dark
NOS,ID01,85.1272896,101.0678355,-101.0678355,-1.77958148,7.9338218,125,dark
NOS,ID01,85.26965705,101.1773158,-101.1773158,-1.63721403,7.8243415,126,dark
NOS,ID01,85.46116693,101.1749489,-101.1749489,-1.44570415,7.8267084,127,dark
NOS,ID01,85.72602953,101.2557399,-101.2557399,-1.18084155,7.7459174,128,dark
NOS,ID01,85.9230649,101.3061125,-101.3061125,-0.98380618,7.6955448,129,dark
NOS,ID01,86.10866464,101.2937217,-101.2937217,-0.79820644,7.7079356,130,dark
NOS,ID01,86.33578036,101.3339102,-101.3339102,-0.57109072,7.6677471,131,dark
NOS,ID01,86.5283071,101.3930745,-101.3930745,-0.37856398,7.6085828,132,dark
NOS,ID01,86.8994128,101.4291159,-101.4291159,-0.00745828,7.5725414,133,dark
NOS,ID01,87.07622833,101.3612187,-101.3612187,0.16935725,7.6404386,134,dark
NOS,ID01,87.34762496,101.3801091,-101.3801091,0.44075388,7.6215482,135,dark
NOS,ID01,87.80042318,101.5004554,-101.5004554,0.8935521,7.5012019,136,dark
NOS,ID01,87.95492502,101.1442143,-101.1442143,1.04805394,7.857443,137,dark
NOS,ID01,88.09409429,101.1989308,-101.1989308,1.18722321,7.8027265,138,dark
NOS,ID01,88.21254517,101.1121273,-101.1121273,1.30567409,7.88953,139,dark
NOS,ID01,88.40902673,101.1713157,-101.1713157,1.50215565,7.8303416,140,dark
NOS,ID01,88.55622251,100.9642017,-100.9642017,1.64935143,8.0374556,141,dark
NOS,ID01,88.82169889,100.8893624,-100.8893624,1.91482781,8.1122949,142,dark
NOS,ID01,88.88904764,100.7389787,-100.7389787,1.98217656,8.2626786,143,dark
NOS,ID01,88.99961986,100.5590645,-100.5590645,2.09274878,8.4425928,144,dark
NOS,ID01,89.11693017,100.2873266,-100.2873266,2.21005909,8.7143307,145,dark
NOS,ID01,89.0573874,100.2242598,-100.2242598,2.15051632,8.7773975,146,dark
NOS,ID01,89.06480265,100.1411491,-100.1411491,2.15793157,8.8605082,147,dark
NOS,ID01,89.14676248,100.0692047,-100.0692047,2.2398914,8.9324526,148,dark
NOS,ID01,89.00226427,99.79593661,-99.79593661,2.09539319,9.20572069,149,dark
NOS,ID01,88.9632206,99.78555911,-99.78555911,2.05634952,9.21609819,150,dark
NOS,ID01,88.83237816,99.59052078,-99.59052078,1.92550708,9.41113652,151,dark
NOS,ID01,88.47582141,99.23957215,-99.23957215,1.56895033,9.76208515,152,dark
NOS,ID01,88.38399268,99.08244657,-99.08244657,1.4771216,9.91921073,153,dark
NOS,ID01,88.11029374,98.88925097,-98.88925097,1.20342266,10.11240633,154,dark
NOS,ID01,88.03519372,98.80051724,-98.80051724,1.12832264,10.20114006,155,dark
NOS,ID01,87.79008381,98.51498741,-98.51498741,0.88321273,10.48666989,156,dark
NOS,ID01,87.53893253,98.35776302,-98.35776302,0.63206145,10.64389428,157,dark
NOS,ID01,87.23591658,98.1951996,-98.1951996,0.3290455,10.8064577,158,dark
NOS,ID01,87.12756663,98.10475951,-98.10475951,0.22069555,10.89689779,159,dark
NOS,ID01,87.08539525,98.00282628,-98.00282628,0.17852417,10.99883102,160,dark
NOS,ID01,87.0411011,97.86010185,-97.86010185,0.13423002,11.14155545,161,dark
NOS,ID01,86.88567549,97.68971154,-97.68971154,-0.02119559,11.31194576,162,dark
NOS,ID01,86.52149581,97.33373863,-97.33373863,-0.38537527,11.66791867,163,dark
NOS,ID01,86.41253458,97.15878028,-97.15878028,-0.4943365,11.84287702,164,dark
NOS,ID01,86.28025191,97.04181154,-97.04181154,-0.62661917,11.95984576,165,dark
NOS,ID01,86.19658626,96.85178468,-96.85178468,-0.71028482,12.14987262,166,dark
NOS,ID01,86.08861178,96.70651454,-96.70651454,-0.8182593,12.29514276,167,dark
NOS,ID01,86.08257501,96.43801799,-96.43801799,-0.82429607,12.56363931,168,dark
NOS,ID01,85.96329993,96.22903128,-96.22903128,-0.94357115,12.77262602,169,dark
NOS,ID01,86.03654515,96.18171818,-96.18171818,-0.87032593,12.81993912,170,dark
NOS,ID01,86.00372683,96.08896228,-96.08896228,-0.90314425,12.91269502,171,dark
NOS,ID01,86.03784476,96.08906012,-96.08906012,-0.86902632,12.91259718,172,dark
NOS,ID01,86.04705228,96.03202999,-96.03202999,-0.8598188,12.96962731,173,dark
NOS,ID01,86.07361924,96.03894048,-96.03894048,-0.83325184,12.96271682,174,dark
NOS,ID01,86.08080964,95.98075239,-95.98075239,-0.82606144,13.02090491,175,dark
NOS,ID01,86.10484244,95.91386577,-95.91386577,-0.80202864,13.08779153,176,dark
NOS,ID01,86.17070947,95.87838247,-95.87838247,-0.73616161,13.12327483,177,dark
NOS,ID01,86.17249524,95.78588228,-95.78588228,-0.73437584,13.21577502,178,dark
NOS,ID01,86.25132905,95.6390647,-95.6390647,-0.65554203,13.3625926,179,dark
NOS,ID01,86.34973582,95.60921156,-95.60921156,-0.55713526,13.39244574,180,dark
NOS,ID01,86.39430722,95.52540682,-95.52540682,-0.51256386,13.47625048,181,dark
NOS,ID01,86.53490266,95.37851007,-95.37851007,-0.37196842,13.62314723,182,dark
NOS,ID01,86.59136716,95.3181543,-95.3181543,-0.31550392,13.683503,183,dark
NOS,ID01,86.73554954,95.181137,-95.181137,-0.17132154,13.8205203,184,dark
NOS,ID01,86.85014548,95.16969341,-95.16969341,-0.0567256,13.83196389,185,dark
NOS,ID01,87.03901063,95.06387191,-95.06387191,0.13213955,13.93778539,186,dark
NOS,ID01,87.0900473,94.93425216,-94.93425216,0.18317622,14.06740514,187,dark
NOS,ID01,87.13368136,94.84753655,-94.84753655,0.22681028,14.15412075,188,dark
NOS,ID01,87.2272789,94.7156964,-94.7156964,0.32040782,14.2859609,189,dark
NOS,ID01,87.31360495,94.51367172,-94.51367172,0.40673387,14.48798558,190,dark
NOS,ID01,87.51420462,94.43685588,-94.43685588,0.60733354,14.56480142,191,dark
NOS,ID01,87.63471672,94.23255821,-94.23255821,0.72784564,14.76909909,192,dark
NOS,ID01,87.92329277,94.02400101,-94.02400101,1.01642169,14.97765629,193,dark
NOS,ID01,88.05740074,93.90384762,-93.90384762,1.15052966,15.09780968,194,dark
NOS,ID01,88.10232986,93.82639331,-93.82639331,1.19545878,15.17526399,195,dark
NOS,ID01,88.26245312,93.61381681,-93.61381681,1.35558204,15.38784049,196,dark
NOS,ID01,88.48799329,93.45349309,-93.45349309,1.58112221,15.54816421,197,dark
NOS,ID01,88.78843738,93.3175776,-93.3175776,1.8815663,15.6840797,198,dark
NOS,ID01,89.0000162,93.19667041,-93.19667041,2.09314512,15.80498689,199,dark
NOS,ID01,89.18876839,93.04830536,-93.04830536,2.28189731,15.95335194,200,dark
NOS,ID01,89.25795697,93.03614456,-93.03614456,2.35108589,15.96551274,201,dark
NOS,ID01,89.58325628,93.01816293,-93.01816293,2.6763852,15.98349437,202,dark
NOS,ID01,89.81458594,92.91538242,-92.91538242,2.90771486,16.08627488,203,dark
NOS,ID01,90.08617914,92.72529301,-92.72529301,3.17930806,16.27636429,204,dark
NOS,ID01,90.2772351,92.59513445,-92.59513445,3.37036402,16.40652285,205,dark
NOS,ID01,90.20879136,92.41382266,-92.41382266,3.30192028,16.58783464,206,dark
NOS,ID01,90.35893285,92.15157721,-92.15157721,3.45206177,16.85008009,207,dark
NOS,ID01,90.51829562,92.24274043,-92.24274043,3.61142454,16.75891687,208,dark
NOS,ID01,90.70332829,92.09832345,-92.09832345,3.79645721,16.90333385,209,dark
NOS,ID01,90.75216787,91.96063587,-91.96063587,3.84529679,17.04102143,210,dark
NOS,ID01,90.74700325,91.83783311,-91.83783311,3.84013217,17.16382419,211,dark
NOS,ID01,90.77462787,91.58582685,-91.58582685,3.86775679,17.41583045,212,dark
NOS,ID01,90.8643362,91.48674748,-91.48674748,3.95746512,17.51490982,213,dark
NOS,ID01,90.89018369,91.31897407,-91.31897407,3.98331261,17.68268323,214,dark
NOS,ID01,90.79528277,91.11329834,-91.11329834,3.88841169,17.88835896,215,dark
NOS,ID01,90.71547307,91.01832264,-91.01832264,3.80860199,17.98333466,216,dark
NOS,ID01,90.54759431,90.8470398,-90.8470398,3.64072323,18.1546175,217,dark
NOS,ID01,90.49267391,90.67395033,-90.67395033,3.58580283,18.32770697,218,dark
NOS,ID01,90.44645601,90.55068377,-90.55068377,3.53958493,18.45097353,219,dark
NOS,ID01,90.25369535,90.44420779,-90.44420779,3.34682427,18.55744951,220,dark
NOS,ID01,90.11140817,90.29616395,-90.29616395,3.20453709,18.70549335,221,dark
NOS,ID01,90.0753706,90.2181808,-90.2181808,3.16849952,18.7834765,222,dark
NOS,ID01,89.97557549,90.07401043,-90.07401043,3.06870441,18.92764687,223,dark
NOS,ID01,89.75730488,90.10398057,-90.10398057,2.8504338,18.89767673,224,dark
